Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WestKy,Game Score,Team Indicator,Play,Period
01:45,,,,,"SUB IN by BUTZ,JAYLEN",,,"SUB IN by BUTZ,JAYLEN",1
01:45,,,,,"SUB IN by STANSBURY,NOAH",,,"SUB IN by STANSBURY,NOAH",1
01:45,,,,,"SUB IN by BRASHEAR,SHERMAN",,,"SUB IN by BRASHEAR,SHERMAN",1
01:45,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
01:45,"SUB OUT by STEWART,BLAKE",,,,,,,"SUB OUT by STEWART,BLAKE",1
01:45,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",1
01:45,"SUB IN by BLAIR,ANDY",,,,,,,"SUB IN by BLAIR,ANDY",1
01:27,,,,,"MISS LAYUP by BUTZ,JAYLEN(in the paint)",,,"MISS LAYUP by BUTZ,JAYLEN(in the paint)",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
01:15,"GOOD 3PTR by BANKS,JAXSON",18,,46 (+28),,Centre 18-46 (-28),,"GOOD 3PTR by BANKS,JAXSON",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
00:45,,18,,48 (+30),"GOOD JUMPER by ANDERSON,JOSH",WestKy 18-48 (-30),,"GOOD JUMPER by ANDERSON,JOSH",1
00:25,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by BUTZ,JAYLEN",,,"REBOUND DEF by BUTZ,JAYLEN",1
00:00,,,,,"MISS 3PTR by STANSBURY,NOAH",,,"MISS 3PTR by STANSBURY,NOAH",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
20:00,,,,,"SUB OUT by BUTZ,JAYLEN",,,"SUB OUT by BUTZ,JAYLEN",2
20:00,,,,,"SUB OUT by ANDERSON,JOSH",,,"SUB OUT by ANDERSON,JOSH",2
20:00,,,,,"SUB OUT by STANSBURY,NOAH",,,"SUB OUT by STANSBURY,NOAH",2
20:00,,,,,"SUB OUT by BRASHEAR,SHERMAN",,,"SUB OUT by BRASHEAR,SHERMAN",2
20:00,,,,,"SUB IN by HAMILTON,JAIRUS",,,"SUB IN by HAMILTON,JAIRUS",2
20:00,,,,,"SUB IN by FRAMPTON,LUKE",,,"SUB IN by FRAMPTON,LUKE",2
20:00,,,,,"SUB IN by SHARP,JAMARION",,,"SUB IN by SHARP,JAMARION",2
20:00,,,,,"SUB IN by JUSTICE,CAMRON",,,"SUB IN by JUSTICE,CAMRON",2
20:00,"SUB OUT by BANKS,JAXSON",,,,,,,"SUB OUT by BANKS,JAXSON",2
20:00,"SUB OUT by BLAIR,ANDY",,,,,,,"SUB OUT by BLAIR,ANDY",2
20:00,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
20:00,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
19:53,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",2
19:53,,,,,"STEAL  by JUSTICE,CAMRON",,,"STEAL  by JUSTICE,CAMRON",2
19:47,,18,,50 (+32),"GOOD DUNK by SHARP,JAMARION(fastbreak)(in the paint)",WestKy 18-50 (-32),,"GOOD DUNK by SHARP,JAMARION(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by JUSTICE,CAMRON",,,"ASSIST  by JUSTICE,CAMRON",2
19:17,"GOOD 3PTR by BAUGHMAN,CARTER",21,,50 (+29),,Centre 21-50 (-29),,"GOOD 3PTR by BAUGHMAN,CARTER",2
19:02,,,,,"MISS JUMPER by MCKNIGHT,DAYVION",,,"MISS JUMPER by MCKNIGHT,DAYVION",2
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",2
18:51,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
18:38,"GOOD LAYUP by SMITH,RJ(in the paint)",23,,50 (+27),,Centre 23-50 (-27),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,"ASSIST  by WILLIAMS,JALEN",,,,,,,"ASSIST  by WILLIAMS,JALEN",2
18:12,,,,,"MISS JUMPER by HAMILTON,JAIRUS(in the paint)",,,"MISS JUMPER by HAMILTON,JAIRUS(in the paint)",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
17:50,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by HAMILTON,JAIRUS",,,"REBOUND DEF by HAMILTON,JAIRUS",2
17:37,,23,,52 (+29),"GOOD DUNK by SHARP,JAMARION(in the paint)",WestKy 23-52 (-29),,"GOOD DUNK by SHARP,JAMARION(in the paint)",2
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",2
17:10,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",2
--,,,,,"REBOUND DEF by SHARP,JAMARION",,,"REBOUND DEF by SHARP,JAMARION",2
16:57,,23,,54 (+31),"GOOD JUMPER by HAMILTON,JAIRUS(in the paint)",WestKy 23-54 (-31),,"GOOD JUMPER by HAMILTON,JAIRUS(in the paint)",2
16:40,"GOOD DUNK by SMITH,RJ(in the paint)",25,,54 (+29),,Centre 25-54 (-29),,"GOOD DUNK by SMITH,RJ(in the paint)",2
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",2
16:22,,25,,56 (+31),"GOOD JUMPER by MCKNIGHT,DAYVION",WestKy 25-56 (-31),,"GOOD JUMPER by MCKNIGHT,DAYVION",2
16:11,"GOOD 3PTR by MOORE,CHEZ",28,,56 (+28),,Centre 28-56 (-28),,"GOOD 3PTR by MOORE,CHEZ",2
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",2
15:52,,28,,58 (+30),"GOOD JUMPER by MCKNIGHT,DAYVION",WestKy 28-58 (-30),,"GOOD JUMPER by MCKNIGHT,DAYVION",2
15:39,,,,,"FOUL  by JUSTICE,CAMRON",,,"FOUL  by JUSTICE,CAMRON",2
15:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:36,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",2
15:36,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
15:36,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
15:22,,,,,"MISS 3PTR by FRAMPTON,LUKE",,,"MISS 3PTR by FRAMPTON,LUKE",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
15:17,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
15:17,,,,,"STEAL  by JUSTICE,CAMRON",,,"STEAL  by JUSTICE,CAMRON",2
15:08,,,,,"MISS LAYUP by SHARP,JAMARION(in the paint)",,,"MISS LAYUP by SHARP,JAMARION(in the paint)",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
15:00,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",2
--,,,,,"REBOUND DEF by HAMILTON,JAIRUS",,,"REBOUND DEF by HAMILTON,JAIRUS",2
14:46,,28,,60 (+32),"GOOD JUMPER by MCKNIGHT,DAYVION",WestKy 28-60 (-32),,"GOOD JUMPER by MCKNIGHT,DAYVION",2
14:25,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",2
14:25,,,,,"BLOCK  by SHARP,JAMARION",,,"BLOCK  by SHARP,JAMARION",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:25,,,,,"SUB OUT by FRAMPTON,LUKE",,,"SUB OUT by FRAMPTON,LUKE",2
14:25,,,,,"SUB IN by ANDERSON,JOSH",,,"SUB IN by ANDERSON,JOSH",2
14:25,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
14:25,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
14:19,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by ANDERSON,JOSH",,,"REBOUND DEF by ANDERSON,JOSH",2
14:13,,,,,"MISS 3PTR by HAMILTON,JAIRUS",,,"MISS 3PTR by HAMILTON,JAIRUS",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
13:53,"GOOD LAYUP by WILSON,DREW(in the paint)",30,,60 (+30),,Centre 30-60 (-30),,"GOOD LAYUP by WILSON,DREW(in the paint)",2
13:35,,,,,"MISS 3PTR by JUSTICE,CAMRON",,,"MISS 3PTR by JUSTICE,CAMRON",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
13:23,"MISS JUMPER by RING,NOAH",,,,,,,"MISS JUMPER by RING,NOAH",2
13:23,,,,,"BLOCK  by SHARP,JAMARION",,,"BLOCK  by SHARP,JAMARION",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:23,,,,,"SUB OUT by HAMILTON,JAIRUS",,,"SUB OUT by HAMILTON,JAIRUS",2
13:23,,,,,"SUB OUT by MCKNIGHT,DAYVION",,,"SUB OUT by MCKNIGHT,DAYVION",2
13:23,,,,,"SUB OUT by SHARP,JAMARION",,,"SUB OUT by SHARP,JAMARION",2
13:23,,,,,"SUB OUT by JUSTICE,CAMRON",,,"SUB OUT by JUSTICE,CAMRON",2
13:23,,,,,"SUB IN by BUTZ,JAYLEN",,,"SUB IN by BUTZ,JAYLEN",2
13:23,,,,,"SUB IN by STANSBURY,NOAH",,,"SUB IN by STANSBURY,NOAH",2
13:23,,,,,"SUB IN by BRASHEAR,SHERMAN",,,"SUB IN by BRASHEAR,SHERMAN",2
13:23,,,,,"SUB IN by FRAMPTON,LUKE",,,"SUB IN by FRAMPTON,LUKE",2
13:21,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",2
13:21,,,,,"STEAL  by ANDERSON,JOSH",,,"STEAL  by ANDERSON,JOSH",2
13:17,,30,,62 (+32),"GOOD DUNK by ANDERSON,JOSH(fastbreak)(in the paint)",WestKy 30-62 (-32),,"GOOD DUNK by ANDERSON,JOSH(fastbreak)(in the paint)",2
13:10,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",2
13:03,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by ANDERSON,JOSH",,,"REBOUND DEF by ANDERSON,JOSH",2
12:42,,,,,"MISS 3PTR by FRAMPTON,LUKE",,,"MISS 3PTR by FRAMPTON,LUKE",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
12:36,,,,,"FOUL  by BRASHEAR,SHERMAN",,,"FOUL  by BRASHEAR,SHERMAN",2
12:36,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
12:36,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
12:36,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
12:36,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
12:19,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by FRAMPTON,LUKE",,,"REBOUND DEF by FRAMPTON,LUKE",2
12:06,,,,,"MISS 3PTR by BRASHEAR,SHERMAN",,,"MISS 3PTR by BRASHEAR,SHERMAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:02,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
12:02,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
11:55,,,,,"MISS JUMPER by FRAMPTON,LUKE",,,"MISS JUMPER by FRAMPTON,LUKE",2
--,,,,,"REBOUND OFF by BUTZ,JAYLEN",,,"REBOUND OFF by BUTZ,JAYLEN",2
11:50,,30,,64 (+34),"GOOD LAYUP by BUTZ,JAYLEN(in the paint)",WestKy 30-64 (-34),,"GOOD LAYUP by BUTZ,JAYLEN(in the paint)",2
11:32,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
11:32,,,,,"STEAL  by BUTZ,JAYLEN",,,"STEAL  by BUTZ,JAYLEN",2
11:28,,30,,66 (+36),"GOOD LAYUP by ANDERSON,JOSH(fastbreak)(in the paint)",WestKy 30-66 (-36),,"GOOD LAYUP by ANDERSON,JOSH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BUTZ,JAYLEN",,,"ASSIST  by BUTZ,JAYLEN",2
11:18,"GOOD 3PTR by RING,NOAH",33,,66 (+33),,Centre 33-66 (-33),,"GOOD 3PTR by RING,NOAH",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
10:51,,33,,68 (+35),"GOOD JUMPER by ANDERSON,JOSH(in the paint)",WestKy 33-68 (-35),,"GOOD JUMPER by ANDERSON,JOSH(in the paint)",2
10:34,,,,,"FOUL  by BRASHEAR,SHERMAN",,,"FOUL  by BRASHEAR,SHERMAN",2
10:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:29,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",2
10:09,,,,,"MISS JUMPER by BUTZ,JAYLEN",,,"MISS JUMPER by BUTZ,JAYLEN",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
10:01,"GOOD JUMPER by TAYLOR,MARSHALL(fastbreak)(in the paint)",35,,68 (+33),,Centre 35-68 (-33),,"GOOD JUMPER by TAYLOR,MARSHALL(fastbreak)(in the paint)",2
09:53,,35,,70 (+35),"GOOD DUNK by BUTZ,JAYLEN(fastbreak)(in the paint)",WestKy 35-70 (-35),,"GOOD DUNK by BUTZ,JAYLEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by ANDERSON,JOSH",,,"ASSIST  by ANDERSON,JOSH",2
09:23,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",37,,70 (+33),,Centre 37-70 (-33),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",2
09:02,,,,,"MISS 3PTR by BRASHEAR,SHERMAN",,,"MISS 3PTR by BRASHEAR,SHERMAN",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
08:51,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
08:46,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"REBOUND DEF by BUTZ,JAYLEN",,,"REBOUND DEF by BUTZ,JAYLEN",2
08:41,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",2
08:41,,37,,71 (+34),"GOOD FT by ANDERSON,JOSH(fastbreak)",WestKy 37-71 (-34),,"GOOD FT by ANDERSON,JOSH(fastbreak)",2
08:41,,,,,"SUB OUT by BUTZ,JAYLEN",,,"SUB OUT by BUTZ,JAYLEN",2
08:41,,,,,"SUB IN by COZART,ISAIAH",,,"SUB IN by COZART,ISAIAH",2
08:41,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
08:41,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
08:41,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",2
08:41,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",2
08:41,,37,,72 (+35),"GOOD FT by ANDERSON,JOSH(fastbreak)",WestKy 37-72 (-35),,"GOOD FT by ANDERSON,JOSH(fastbreak)",2
08:34,,,,,"FOUL  by ANDERSON,JOSH",,,"FOUL  by ANDERSON,JOSH",2
08:25,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"REBOUND DEF by FRAMPTON,LUKE",,,"REBOUND DEF by FRAMPTON,LUKE",2
08:20,,,,,"TURNOVER  by FRAMPTON,LUKE",,,"TURNOVER  by FRAMPTON,LUKE",2
08:20,"STEAL  by WILSON,DREW",,,,,,,"STEAL  by WILSON,DREW",2
08:14,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",,,,,,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",2
08:14,,,,,"BLOCK  by COZART,ISAIAH",,,"BLOCK  by COZART,ISAIAH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:07,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",2
08:07,,,,,"BLOCK  by COZART,ISAIAH",,,"BLOCK  by COZART,ISAIAH",2
--,,,,,"REBOUND DEF by COZART,ISAIAH",,,"REBOUND DEF by COZART,ISAIAH",2
07:59,"FOUL  by BANKS,JAXSON",,,,,,,"FOUL  by BANKS,JAXSON",2
07:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:59,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
07:59,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
07:54,,37,,74 (+37),"GOOD LAYUP by ANDERSON,JOSH(in the paint)",WestKy 37-74 (-37),,"GOOD LAYUP by ANDERSON,JOSH(in the paint)",2
07:35,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",2
07:35,,,,,"STEAL  by ANDERSON,JOSH",,,"STEAL  by ANDERSON,JOSH",2
07:35,,,,,"SUB OUT by ANDERSON,JOSH",,,"SUB OUT by ANDERSON,JOSH",2
07:35,,,,,"SUB IN by HAMILTON,JAIRUS",,,"SUB IN by HAMILTON,JAIRUS",2
07:22,,37,,76 (+39),"GOOD DUNK by COZART,ISAIAH(in the paint)",WestKy 37-76 (-39),,"GOOD DUNK by COZART,ISAIAH(in the paint)",2
07:00,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",2
--,,,,,"REBOUND DEF by HAMILTON,JAIRUS",,,"REBOUND DEF by HAMILTON,JAIRUS",2
06:47,,,,,"MISS 3PTR by BRASHEAR,SHERMAN",,,"MISS 3PTR by BRASHEAR,SHERMAN",2
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",2
06:43,,,,,"FOUL  by STANSBURY,NOAH",,,"FOUL  by STANSBURY,NOAH",2
06:43,,,,,"SUB OUT by STANSBURY,NOAH",,,"SUB OUT by STANSBURY,NOAH",2
06:43,,,,,"SUB OUT by BRASHEAR,SHERMAN",,,"SUB OUT by BRASHEAR,SHERMAN",2
06:43,,,,,"SUB IN by MCKNIGHT,DAYVION",,,"SUB IN by MCKNIGHT,DAYVION",2
06:43,,,,,"SUB IN by JUSTICE,CAMRON",,,"SUB IN by JUSTICE,CAMRON",2
06:41,"GOOD LAYUP by SMITH,RJ(in the paint)",39,,76 (+37),,Centre 39-76 (-37),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
06:25,,,,,"MISS JUMPER by HAMILTON,JAIRUS",,,"MISS JUMPER by HAMILTON,JAIRUS",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
06:17,"TURNOVER  by BANKS,JAXSON",,,,,,,"TURNOVER  by BANKS,JAXSON",2
06:12,,39,,78 (+39),"GOOD DUNK by COZART,ISAIAH(fastbreak)(in the paint)",WestKy 39-78 (-39),,"GOOD DUNK by COZART,ISAIAH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by JUSTICE,CAMRON",,,"ASSIST  by JUSTICE,CAMRON",2
06:12,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",2
06:12,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
06:12,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
06:12,,39,,79 (+40),"GOOD FT by COZART,ISAIAH(fastbreak)",WestKy 39-79 (-40),,"GOOD FT by COZART,ISAIAH(fastbreak)",2
05:59,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",2
05:59,,,,,"STEAL  by MCKNIGHT,DAYVION",,,"STEAL  by MCKNIGHT,DAYVION",2
05:53,,39,,81 (+42),"GOOD LAYUP by HAMILTON,JAIRUS(in the paint)",WestKy 39-81 (-42),,"GOOD LAYUP by HAMILTON,JAIRUS(in the paint)",2
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",2
05:42,"GOOD 3PTR by BANKS,JAXSON",42,,81 (+39),,Centre 42-81 (-39),,"GOOD 3PTR by BANKS,JAXSON",2
--,"ASSIST  by TAYLOR,MARSHALL",,,,,,,"ASSIST  by TAYLOR,MARSHALL",2
05:32,,42,,83 (+41),"GOOD LAYUP by COZART,ISAIAH(fastbreak)(in the paint)",WestKy 42-83 (-41),,"GOOD LAYUP by COZART,ISAIAH(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HAMILTON,JAIRUS",,,"ASSIST  by HAMILTON,JAIRUS",2
05:32,"FOUL  by KNOCHELMANN,PETE",,,,,,,"FOUL  by KNOCHELMANN,PETE",2
05:32,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
05:32,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
05:32,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
05:32,"SUB IN by STEWART,BLAKE",,,,,,,"SUB IN by STEWART,BLAKE",2
05:32,,42,,84 (+42),"GOOD FT by COZART,ISAIAH(fastbreak)",WestKy 42-84 (-42),,"GOOD FT by COZART,ISAIAH(fastbreak)",2
05:16,"MISS 3PTR by BANKS,JAXSON",,,,,,,"MISS 3PTR by BANKS,JAXSON",2
--,,,,,"REBOUND DEF by MCKNIGHT,DAYVION",,,"REBOUND DEF by MCKNIGHT,DAYVION",2
05:09,,,,,"MISS JUMPER by MCKNIGHT,DAYVION",,,"MISS JUMPER by MCKNIGHT,DAYVION",2
--,"REBOUND DEF by STEWART,BLAKE",,,,,,,"REBOUND DEF by STEWART,BLAKE",2
05:01,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",2
--,,,,,"REBOUND DEF by COZART,ISAIAH",,,"REBOUND DEF by COZART,ISAIAH",2
04:38,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
04:38,"SUB IN by WOOLDRIDGE,CARSON",,,,,,,"SUB IN by WOOLDRIDGE,CARSON",2
04:30,,42,,86 (+44),"GOOD JUMPER by MCKNIGHT,DAYVION(in the paint)",WestKy 42-86 (-44),,"GOOD JUMPER by MCKNIGHT,DAYVION(in the paint)",2
04:16,,,,,"FOUL  by HAMILTON,JAIRUS",,,"FOUL  by HAMILTON,JAIRUS",2
04:10,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",2
--,,,,,"REBOUND DEF by MCKNIGHT,DAYVION",,,"REBOUND DEF by MCKNIGHT,DAYVION",2
04:06,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
03:59,,,,,"MISS 3PTR by JUSTICE,CAMRON",,,"MISS 3PTR by JUSTICE,CAMRON",2
--,"REBOUND DEF by STEWART,BLAKE",,,,,,,"REBOUND DEF by STEWART,BLAKE",2
03:51,"MISS JUMPER by STEWART,BLAKE(in the paint)",,,,,,,"MISS JUMPER by STEWART,BLAKE(in the paint)",2
03:51,,,,,"BLOCK  by COZART,ISAIAH",,,"BLOCK  by COZART,ISAIAH",2
--,,,,,"REBOUND DEF by MCKNIGHT,DAYVION",,,"REBOUND DEF by MCKNIGHT,DAYVION",2
03:41,,,,,"MISS 3PTR by FRAMPTON,LUKE",,,"MISS 3PTR by FRAMPTON,LUKE",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
03:34,"TURNOVER  by WOOLDRIDGE,CARSON",,,,,,,"TURNOVER  by WOOLDRIDGE,CARSON",2
03:34,,,,,"STEAL  by MCKNIGHT,DAYVION",,,"STEAL  by MCKNIGHT,DAYVION",2
03:29,,42,,88 (+46),"GOOD JUMPER by JUSTICE,CAMRON(fastbreak)(in the paint)",WestKy 42-88 (-46),,"GOOD JUMPER by JUSTICE,CAMRON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",2
03:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:21,,,,,"SUB OUT by HAMILTON,JAIRUS",,,"SUB OUT by HAMILTON,JAIRUS",2
03:21,,,,,"SUB OUT by FRAMPTON,LUKE",,,"SUB OUT by FRAMPTON,LUKE",2
03:21,,,,,"SUB OUT by MCKNIGHT,DAYVION",,,"SUB OUT by MCKNIGHT,DAYVION",2
03:21,,,,,"SUB IN by STANSBURY,NOAH",,,"SUB IN by STANSBURY,NOAH",2
03:21,,,,,"SUB IN by BRASHEAR,SHERMAN",,,"SUB IN by BRASHEAR,SHERMAN",2
03:21,,,,,"SUB IN by CONRAD,BAILEY",,,"SUB IN by CONRAD,BAILEY",2
03:21,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
03:21,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
03:21,"SUB IN by BUSH,TYLER",,,,,,,"SUB IN by BUSH,TYLER",2
03:21,"SUB IN by BLAIR,ANDY",,,,,,,"SUB IN by BLAIR,ANDY",2
03:06,"GOOD 3PTR by WOOLDRIDGE,CARSON",45,,88 (+43),,Centre 45-88 (-43),,"GOOD 3PTR by WOOLDRIDGE,CARSON",2
