Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
15:11,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
15:11,,,,,"SUB OUT by GERNATT,JONATHAN",,,"SUB OUT by GERNATT,JONATHAN",1
14:41,,,,,"MISS 3PTR by KINARD,JESSE",,,"MISS 3PTR by KINARD,JESSE",1
14:41,"BLOCK  by BANKS,JAXSON",,,,,,,"BLOCK  by BANKS,JAXSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:38,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:20,"MISS JUMPER by MOORE,CHEZ",,,,,,,"MISS JUMPER by MOORE,CHEZ",1
--,,,,,"REBOUND DEF by BARNETTE,CHRIS",,,"REBOUND DEF by BARNETTE,CHRIS",1
14:13,,,,,"MISS JUMPER by BARNETTE,CHRIS",,,"MISS JUMPER by BARNETTE,CHRIS",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
13:55,"MISS JUMPER by SMITH,RJ",,,,,,,"MISS JUMPER by SMITH,RJ",1
--,,,,,"REBOUND DEF by PLATT,DAEVON",,,"REBOUND DEF by PLATT,DAEVON",1
13:45,,6,,10 (+4),"GOOD JUMPER by PLATT,DAEVON",CCM 6-10 (-4),,"GOOD JUMPER by PLATT,DAEVON",1
13:17,"MISS LAYUP by MOORE,CHEZ",,,,,,,"MISS LAYUP by MOORE,CHEZ",1
13:17,,,,,"BLOCK  by PEARLMAN,LOGAN",,,"BLOCK  by PEARLMAN,LOGAN",1
--,,,,,"REBOUND DEF by PLATT,DAEVON",,,"REBOUND DEF by PLATT,DAEVON",1
13:10,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
13:10,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
13:10,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
13:10,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
13:10,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
13:10,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
13:10,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
13:10,,,,,"SUB IN by JONES,MYLES",,,"SUB IN by JONES,MYLES",1
