Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",1
--,"REBOUND DEF by OBIDIKE,BRANDIN",,,,,,,"REBOUND DEF by OBIDIKE,BRANDIN",1
19:10,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
19:10,,,,,"BLOCK  by GERALD,DUSTIN",,,"BLOCK  by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
19:03,,0,,2 (+2),"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",Centre 0-2 (+2),,"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",1
18:45,"GOOD LAYUP by AMANOR,TROY(in the paint)",2,,2,,SU 2-2 (0),,"GOOD LAYUP by AMANOR,TROY(in the paint)",1
18:32,"FOUL  by HENSON,JONATHAN",,,,,,,"FOUL  by HENSON,JONATHAN",1
18:32,,2,,4 (+2),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 2-4 (+2),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
18:32,"GOOD JUMPER by AMANOR,TROY",4,,4,,SU 4-4 (0),,"GOOD JUMPER by AMANOR,TROY",1
17:56,,4,,6 (+2),"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 4-6 (+2),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
17:40,"MISS 3PTR by HENSON,JONATHAN",,,,,,,"MISS 3PTR by HENSON,JONATHAN",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:34,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",6,,6,,SU 6-6 (0),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:17,,6,,8 (+2),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 6-8 (+2),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
16:51,"GOOD JUMPER by STEWART,CHRISTIAN",8,,8,,SU 8-8 (0),,"GOOD JUMPER by STEWART,CHRISTIAN",1
--,"ASSIST  by AMANOR,TROY",,,,,,,"ASSIST  by AMANOR,TROY",1
16:32,,8,,10 (+2),"GOOD JUMPER by BAUGHMAN,CARTER",Centre 8-10 (+2),,"GOOD JUMPER by BAUGHMAN,CARTER",1
16:09,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
16:09,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
16:00,,8,,13 (+5),"GOOD 3PTR by GERALD,DUSTIN",Centre 8-13 (+5),,"GOOD 3PTR by GERALD,DUSTIN",1
15:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:56,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
15:56,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
15:56,"SUB OUT by MANN,TYLAN",,,,,,,"SUB OUT by MANN,TYLAN",1
15:56,"SUB OUT by HENSON,JONATHAN",,,,,,,"SUB OUT by HENSON,JONATHAN",1
15:56,"SUB IN by JOHNSON,JACOBY",,,,,,,"SUB IN by JOHNSON,JACOBY",1
15:56,"SUB IN by LOCKARD,ISAIAH",,,,,,,"SUB IN by LOCKARD,ISAIAH",1
15:41,"MISS JUMPER by AMANOR,TROY(in the paint)",,,,,,,"MISS JUMPER by AMANOR,TROY(in the paint)",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
15:22,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
