Time Remaining,Wabash,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:44,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",2 (+2),,0,,Wabash 2-0 (-2),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",1
19:22,,,,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",1
--,"REBOUND DEF by WATSON,TYLER",,,,,,,"REBOUND DEF by WATSON,TYLER",1
19:11,"GOOD LAYUP by WATSON,TYLER(fastbreak)(in the paint)",4 (+4),,0,,Wabash 4-0 (-4),,"GOOD LAYUP by WATSON,TYLER(fastbreak)(in the paint)",1
18:54,,4 (+2),,2,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 4-2 (-2),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
18:30,"MISS 3PTR by JONES,AHMONI",,,,,,,"MISS 3PTR by JONES,AHMONI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:17,"MISS JUMPER by SCHREIBER,KELLEN(in the paint)",,,,,,,"MISS JUMPER by SCHREIBER,KELLEN(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
17:58,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",1
17:44,,,,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",,,"MISS JUMPER by BAUGHMAN,CARTER(in the paint)",1
--,"REBOUND DEF by SCHREIBER,KELLEN",,,,,,,"REBOUND DEF by SCHREIBER,KELLEN",1
17:24,"MISS 3PTR by JONES,AHMONI",,,,,,,"MISS 3PTR by JONES,AHMONI",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
17:10,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
--,"REBOUND DEF by JONES,AHMONI",,,,,,,"REBOUND DEF by JONES,AHMONI",1
17:10,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
17:10,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
17:10,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
