Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
16:56,,48 (+9),,39,"GOOD FT by MARR,RUSS",Sewan 48-39 (+9),,"GOOD FT by MARR,RUSS",2
16:37,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
16:17,,,,,"FOUL  by CRUMP,JOHN",,,"FOUL  by CRUMP,JOHN",2
16:17,"GOOD FT by SMITH,RJ",49 (+10),,39,,Centre 49-39 (+10),,"GOOD FT by SMITH,RJ",2
16:17,"GOOD FT by SMITH,RJ",50 (+11),,39,,Centre 50-39 (+11),,"GOOD FT by SMITH,RJ",2
16:04,,,,,"MISS JUMPER by CRUMP,JOHN",,,"MISS JUMPER by CRUMP,JOHN",2
16:04,"BLOCK  by SMITH,RJ",,,,,,,"BLOCK  by SMITH,RJ",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
15:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:32,"GOOD 3PTR by SMITH,RJ",53 (+14),,39,,Centre 53-39 (+14),,"GOOD 3PTR by SMITH,RJ",2
15:18,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",2
14:54,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",55 (+16),,39,,Centre 55-39 (+16),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",2
14:31,,55 (+14),,41,"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 55-41 (+14),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
14:08,"GOOD LAYUP by SMITH,RJ(in the paint)",57 (+16),,41,,Centre 57-41 (+16),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
13:50,,57 (+14),,43,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 57-43 (+14),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
13:33,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",59 (+16),,43,,Centre 59-43 (+16),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",2
13:33,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",2
13:33,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
13:33,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
13:33,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",2
13:33,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",2
13:33,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
13:33,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
13:33,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
13:33,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
13:33,"GOOD FT by BAUGHMAN,CARTER",60 (+17),,43,,Centre 60-43 (+17),,"GOOD FT by BAUGHMAN,CARTER",2
13:15,,60 (+15),,45,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 60-45 (+15),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
12:52,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",,,,,,,"MISS LAYUP by WILLIAMS,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",2
12:36,,60 (+13),,47,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",Sewan 60-47 (+13),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",2
12:14,"GOOD 3PTR by BAUGHMAN,CARTER",63 (+16),,47,,Centre 63-47 (+16),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by WILLIAMS,JALEN",,,,,,,"ASSIST  by WILLIAMS,JALEN",2
11:57,,63 (+14),,49,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",Sewan 63-49 (+14),,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
11:57,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",2
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:57,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
11:57,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
11:57,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
11:57,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",2
11:57,,63 (+13),,50,"GOOD FT by BOULDIN,BLAKE",Sewan 63-50 (+13),,"GOOD FT by BOULDIN,BLAKE",2
11:45,"GOOD LAYUP by SMITH,RJ(in the paint)",65 (+15),,50,,Centre 65-50 (+15),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
11:32,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
11:22,"GOOD 3PTR by BAUGHMAN,CARTER",68 (+18),,50,,Centre 68-50 (+18),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
10:59,,,,,"TURNOVER  by BOULDIN,BLAKE",,,"TURNOVER  by BOULDIN,BLAKE",2
10:59,"STEAL  by GERALD,DUSTIN",,,,,,,"STEAL  by GERALD,DUSTIN",2
10:42,"GOOD 3PTR by BAUGHMAN,CARTER",71 (+21),,50,,Centre 71-50 (+21),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by RING,NOAH",,,,,,,"ASSIST  by RING,NOAH",2
10:27,,,,,"MISS 3PTR by BOULDIN,BLAKE",,,"MISS 3PTR by BOULDIN,BLAKE",2
--,,,,,"REBOUND OFF by AVALIANI,LUKA",,,"REBOUND OFF by AVALIANI,LUKA",2
10:23,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",2
10:23,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",2
10:00,"GOOD 3PTR by BAUGHMAN,CARTER",74 (+24),,50,,Centre 74-50 (+24),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",2
09:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:41,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",2
09:41,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
09:41,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
09:41,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",2
09:41,,,,,"MISS 3PTR by CRUMP,JOHN",,,"MISS 3PTR by CRUMP,JOHN",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
09:40,,,,,"FOUL  by BOULDIN,BLAKE",,,"FOUL  by BOULDIN,BLAKE",2
09:36,"GOOD 3PTR by BAUGHMAN,CARTER",77 (+27),,50,,Centre 77-50 (+27),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",2
08:58,,77 (+25),,52,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",Sewan 77-52 (+25),,"GOOD LAYUP by CORRIGAN,TRE(in the paint)",2
08:34,"GOOD LAYUP by SMITH,RJ(in the paint)",79 (+27),,52,,Centre 79-52 (+27),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
08:15,,79 (+25),,54,"GOOD JUMPER by KAHL,COLIN",Sewan 79-54 (+25),,"GOOD JUMPER by KAHL,COLIN",2
07:58,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
07:52,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",2
07:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:52,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",2
07:52,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
07:52,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
07:52,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
07:52,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
07:52,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
07:30,"GOOD JUMPER by MOORE,CHEZ(in the paint)",81 (+27),,54,,Centre 81-54 (+27),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",2
07:15,,81 (+24),,57,"GOOD 3PTR by KAHL,COLIN",Sewan 81-57 (+24),,"GOOD 3PTR by KAHL,COLIN",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
06:45,"GOOD 3PTR by WILLIAMS,JALEN",84 (+27),,57,,Centre 84-57 (+27),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",2
06:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:45,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
06:45,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
06:25,,84 (+24),,60,"GOOD 3PTR by CORRIGAN,TRE",Sewan 84-60 (+24),,"GOOD 3PTR by CORRIGAN,TRE",2
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",2
06:12,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",86 (+26),,60,,Centre 86-60 (+26),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
05:54,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",2
05:31,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",88 (+28),,60,,Centre 88-60 (+28),,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",2
05:14,,88 (+26),,62,"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 88-62 (+26),,"GOOD JUMPER by KAHL,COLIN(in the paint)",2
04:44,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",2
04:44,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",2
04:44,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
04:44,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
04:34,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",2
04:31,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
04:07,"GOOD 3PTR by BAUGHMAN,CARTER",91 (+29),,62,,Centre 91-62 (+29),,"GOOD 3PTR by BAUGHMAN,CARTER",2
03:47,,,,,"MISS LAYUP by CRUMP,JOHN(in the paint)",,,"MISS LAYUP by CRUMP,JOHN(in the paint)",2
--,,,,,"REBOUND OFF by CRUMP,JOHN",,,"REBOUND OFF by CRUMP,JOHN",2
03:45,,91 (+27),,64,"GOOD LAYUP by CRUMP,JOHN(in the paint)",Sewan 91-64 (+27),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
03:18,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
03:13,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",2
03:13,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:13,,91 (+26),,65,"GOOD FT by AVALIANI,LUKA(fastbreak)",Sewan 91-65 (+26),,"GOOD FT by AVALIANI,LUKA(fastbreak)",2
03:13,,,,,"MISS FT by AVALIANI,LUKA(fastbreak)",,,"MISS FT by AVALIANI,LUKA(fastbreak)",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
02:47,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
02:47,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:44,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
02:36,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
02:05,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
01:57,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
01:57,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
01:48,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",2
01:48,,91 (+25),,66,"GOOD FT by KAHL,COLIN",Sewan 91-66 (+25),,"GOOD FT by KAHL,COLIN",2
01:48,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
01:48,"SUB IN by BLAIR,ANDY",,,,,,,"SUB IN by BLAIR,ANDY",2
01:48,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
01:48,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",2
01:48,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
01:48,"SUB IN by STEWART,BLAKE",,,,,,,"SUB IN by STEWART,BLAKE",2
01:48,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",2
01:48,,,,,"SUB IN by PRICE,CAL",,,"SUB IN by PRICE,CAL",2
01:48,,91 (+24),,67,"GOOD FT by KAHL,COLIN",Sewan 91-67 (+24),,"GOOD FT by KAHL,COLIN",2
01:13,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
01:13,"SUB IN by BANKS,JAXSON",,,,,,,"SUB IN by BANKS,JAXSON",2
01:03,"GOOD 3PTR by BANKS,JAXSON",94 (+27),,67,,Centre 94-67 (+27),,"GOOD 3PTR by BANKS,JAXSON",2
--,"ASSIST  by STEWART,BLAKE",,,,,,,"ASSIST  by STEWART,BLAKE",2
00:57,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",2
--,"REBOUND DEF by BLAIR,ANDY",,,,,,,"REBOUND DEF by BLAIR,ANDY",2
00:49,"GOOD JUMPER by WILSON,DREW",96 (+29),,67,,Centre 96-67 (+29),,"GOOD JUMPER by WILSON,DREW",2
00:43,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",2
--,"REBOUND DEF by STEWART,BLAKE",,,,,,,"REBOUND DEF by STEWART,BLAKE",2
00:26,"MISS JUMPER by BLAIR,ANDY",,,,,,,"MISS JUMPER by BLAIR,ANDY",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
00:17,"FOUL  by BANKS,JAXSON",,,,,,,"FOUL  by BANKS,JAXSON",2
00:17,,,,,"MISS FT by MARR,RUSS",,,"MISS FT by MARR,RUSS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:17,,96 (+28),,68,"GOOD FT by MARR,RUSS",Sewan 96-68 (+28),,"GOOD FT by MARR,RUSS",2
