Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
19:39,"GOOD JUMPER by BERGER,RYAN",29,,29,,MSPSM 29-29 (0),,"GOOD JUMPER by BERGER,RYAN",2
19:22,,,,,"MISS JUMPER by POWER,AARON",,,"MISS JUMPER by POWER,AARON",2
--,,,,,"REBOUND OFF by POWER,AARON",,,"REBOUND OFF by POWER,AARON",2
19:16,,,,,"MISS JUMPER by POWER,AARON",,,"MISS JUMPER by POWER,AARON",2
--,,,,,"REBOUND OFF by ROBINSON,DENZEL",,,"REBOUND OFF by ROBINSON,DENZEL",2
19:13,,29,,31 (+2),"GOOD JUMPER by ROBINSON,DENZEL(in the paint)",LCM 29-31 (-2),,"GOOD JUMPER by ROBINSON,DENZEL(in the paint)",2
18:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
18:40,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",2
18:40,"MISS FT by MERKEL,BRIAN",,,,,,,"MISS FT by MERKEL,BRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:40,"GOOD FT by MERKEL,BRIAN",30,,31 (+1),,MSPSM 30-31 (-1),,"GOOD FT by MERKEL,BRIAN",2
18:24,,,,,"MISS LAYUP by MITCHELL,NICK",,,"MISS LAYUP by MITCHELL,NICK",2
--,,,,,"REBOUND OFF by ANDERKAVICH,JOEY",,,"REBOUND OFF by ANDERKAVICH,JOEY",2
18:20,,30,,33 (+3),"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",LCM 30-33 (-3),,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",2
18:01,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",2
18:01,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",2
17:48,,,,,"TURNOVER  by MITCHELL,NICK",,,"TURNOVER  by MITCHELL,NICK",2
17:48,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
17:48,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
17:28,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
17:21,,30,,36 (+6),"GOOD 3PTR by POWER,AARON",LCM 30-36 (-6),,"GOOD 3PTR by POWER,AARON",2
--,,,,,"ASSIST  by CRAFT,BLAKE",,,"ASSIST  by CRAFT,BLAKE",2
16:42,"GOOD JUMPER by MERKEL,BRIAN",32,,36 (+4),,MSPSM 32-36 (-4),,"GOOD JUMPER by MERKEL,BRIAN",2
16:29,,32,,38 (+6),"GOOD LAYUP by MITCHELL,NICK(in the paint)",LCM 32-38 (-6),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",2
16:09,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",2
16:09,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
16:09,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
16:09,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
16:09,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
16:09,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",2
16:09,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
16:03,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND OFF by WHITE,TIM",,,,,,,"REBOUND OFF by WHITE,TIM",2
15:47,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by POWER,AARON",,,"REBOUND DEF by POWER,AARON",2
15:35,,32,,40 (+8),"GOOD LAYUP by MITCHELL,NICK(in the paint)",LCM 32-40 (-8),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",2
15:20,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND OFF by WHITE,TIM",,,,,,,"REBOUND OFF by WHITE,TIM",2
15:14,"GOOD JUMPER by WHITE,TIM(in the paint)",34,,40 (+6),,MSPSM 34-40 (-6),,"GOOD JUMPER by WHITE,TIM(in the paint)",2
15:07,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
15:07,,34,,41 (+7),"GOOD FT by ANDERKAVICH,JOEY",LCM 34-41 (-7),,"GOOD FT by ANDERKAVICH,JOEY",2
15:07,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
15:07,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
15:07,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
15:07,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
14:57,,34,,42 (+8),"GOOD FT by ANDERKAVICH,JOEY",LCM 34-42 (-8),,"GOOD FT by ANDERKAVICH,JOEY",2
14:42,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",2
14:42,,,,,"SUB OUT by ANDERKAVICH,JOEY",,,"SUB OUT by ANDERKAVICH,JOEY",2
14:39,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
14:30,,,,,"TURNOVER  by POWER,AARON",,,"TURNOVER  by POWER,AARON",2
14:25,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",2
14:25,,,,,"FOUL  by ROBINSON,DENZEL",,,"FOUL  by ROBINSON,DENZEL",2
14:25,"GOOD FT by WHITE,TIM",35,,42 (+7),,MSPSM 35-42 (-7),,"GOOD FT by WHITE,TIM",2
14:25,"MISS FT by WHITE,TIM",,,,,,,"MISS FT by WHITE,TIM",2
--,,,,,"REBOUND DEF by MITCHELL,NICK",,,"REBOUND DEF by MITCHELL,NICK",2
14:25,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
14:25,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
13:59,,,,,"MISS LAYUP by VAUGHN,MARCUS",,,"MISS LAYUP by VAUGHN,MARCUS",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
13:47,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by ROBINSON,DENZEL",,,"REBOUND DEF by ROBINSON,DENZEL",2
13:43,,35,,44 (+9),"GOOD LAYUP by ANDERSON,KYRON(in the paint)",LCM 35-44 (-9),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",2
--,,,,,"ASSIST  by ROBINSON,DENZEL",,,"ASSIST  by ROBINSON,DENZEL",2
13:43,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
13:43,,35,,45 (+10),"GOOD FT by ANDERSON,KYRON",LCM 35-45 (-10),,"GOOD FT by ANDERSON,KYRON",2
13:43,,,,,"SUB IN by O'HARA,ROSS",,,"SUB IN by O'HARA,ROSS",2
13:43,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",2
13:34,"GOOD JUMPER by CORTESE,NICK(in the paint)",37,,45 (+8),,MSPSM 37-45 (-8),,"GOOD JUMPER by CORTESE,NICK(in the paint)",2
13:12,,,,,"TURNOVER  by ANDERSON,KYRON",,,"TURNOVER  by ANDERSON,KYRON",2
13:09,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
13:07,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
13:03,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
13:03,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
13:03,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
13:03,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
13:03,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
12:42,,37,,48 (+11),"GOOD 3PTR by ROBINSON,DENZEL",LCM 37-48 (-11),,"GOOD 3PTR by ROBINSON,DENZEL",2
--,,,,,"ASSIST  by POWER,AARON",,,"ASSIST  by POWER,AARON",2
12:19,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",2
12:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:07,,,,,"TURNOVER  by O'HARA,ROSS",,,"TURNOVER  by O'HARA,ROSS",2
11:55,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
11:26,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
11:26,,37,,49 (+12),"GOOD FT by VAUGHN,MARCUS",LCM 37-49 (-12),,"GOOD FT by VAUGHN,MARCUS",2
11:26,,,,,"MISS FT by VAUGHN,MARCUS",,,"MISS FT by VAUGHN,MARCUS",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
11:11,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",2
11:11,"MISS FT by THOMAS,STERLING",,,,,,,"MISS FT by THOMAS,STERLING",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:11,"GOOD FT by THOMAS,STERLING",38,,49 (+11),,MSPSM 38-49 (-11),,"GOOD FT by THOMAS,STERLING",2
11:11,,,,,"SUB IN by MUNCH,PETER",,,"SUB IN by MUNCH,PETER",2
11:11,,,,,"SUB IN by MITCHELL,NICK",,,"SUB IN by MITCHELL,NICK",2
11:11,,,,,"SUB IN by ANDERKAVICH,JOEY",,,"SUB IN by ANDERKAVICH,JOEY",2
11:11,,,,,"SUB OUT by POWER,AARON",,,"SUB OUT by POWER,AARON",2
11:11,,,,,"SUB OUT by O'HARA,ROSS",,,"SUB OUT by O'HARA,ROSS",2
11:11,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",2
11:04,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
11:04,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
11:02,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",,,"MISS JUMPER by ANDERKAVICH,JOEY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:02,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
11:02,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
10:57,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",2
10:52,,,,,"MISS JUMPER by MITCHELL,NICK",,,"MISS JUMPER by MITCHELL,NICK",2
--,,,,,"REBOUND OFF by ANDERKAVICH,JOEY",,,"REBOUND OFF by ANDERKAVICH,JOEY",2
10:49,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",,,"MISS JUMPER by ANDERKAVICH,JOEY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:49,,,,,"FOUL  by ANDERKAVICH,JOEY",,,"FOUL  by ANDERKAVICH,JOEY",2
10:33,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by ANDERSON,KYRON",,,"REBOUND DEF by ANDERSON,KYRON",2
10:26,,,,,"FOUL  by ANDERSON,KYRON",,,"FOUL  by ANDERSON,KYRON",2
10:26,,,,,"TURNOVER  by ANDERSON,KYRON",,,"TURNOVER  by ANDERSON,KYRON",2
10:26,,,,,"SUB IN by O'HARA,ROSS",,,"SUB IN by O'HARA,ROSS",2
10:26,,,,,"SUB IN by POWER,AARON",,,"SUB IN by POWER,AARON",2
10:26,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
10:26,,,,,"SUB OUT by ANDERKAVICH,JOEY",,,"SUB OUT by ANDERKAVICH,JOEY",2
10:17,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",2
10:17,,,,,"SUB OUT by O'HARA,ROSS",,,"SUB OUT by O'HARA,ROSS",2
10:14,"GOOD JUMPER by CORTESE,NICK",40,,49 (+9),,MSPSM 40-49 (-9),,"GOOD JUMPER by CORTESE,NICK",2
09:58,,,,,"MISS 3PTR by POWER,AARON",,,"MISS 3PTR by POWER,AARON",2
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",2
09:48,"GOOD LAYUP by CORTESE,NICK(in the paint)",42,,49 (+7),,MSPSM 42-49 (-7),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,"ASSIST  by THOMAS,STERLING",,,,,,,"ASSIST  by THOMAS,STERLING",2
09:33,,,,,"TURNOVER  by POWER,AARON",,,"TURNOVER  by POWER,AARON",2
09:29,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
09:29,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",2
09:29,,,,,"SUB IN by MACLIN,CATRELL",,,"SUB IN by MACLIN,CATRELL",2
09:29,,,,,"SUB OUT by POWER,AARON",,,"SUB OUT by POWER,AARON",2
09:29,,,,,"SUB OUT by ROBINSON,DENZEL",,,"SUB OUT by ROBINSON,DENZEL",2
09:29,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",2
09:12,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
09:09,,,,,"STEAL  by CRAFT,BLAKE",,,"STEAL  by CRAFT,BLAKE",2
09:07,,,,,"FOUL  by CRAFT,BLAKE",,,"FOUL  by CRAFT,BLAKE",2
09:07,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",2
08:59,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",44,,49 (+5),,MSPSM 44-49 (-5),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",2
08:45,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
08:45,,,,,"MISS FT by MITCHELL,NICK",,,"MISS FT by MITCHELL,NICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:45,,44,,50 (+6),"GOOD FT by MITCHELL,NICK",LCM 44-50 (-6),,"GOOD FT by MITCHELL,NICK",2
08:45,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
08:45,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
08:45,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",2
08:45,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
08:21,,,,,"FOUL  by MUNCH,PETER",,,"FOUL  by MUNCH,PETER",2
08:21,"MISS FT by MEADES,TAYLOR",,,,,,,"MISS FT by MEADES,TAYLOR",2
--,"REBOUND OFF by MEADES,TAYLOR",,,,,,,"REBOUND OFF by MEADES,TAYLOR",2
07:51,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND OFF by THOMAS,STERLING",,,,,,,"REBOUND OFF by THOMAS,STERLING",2
07:46,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",2
07:46,,,,,"BLOCK  by MITCHELL,NICK",,,"BLOCK  by MITCHELL,NICK",2
--,,,,,"REBOUND DEF by MITCHELL,NICK",,,"REBOUND DEF by MITCHELL,NICK",2
07:34,,44,,52 (+8),"GOOD LAYUP by MUNCH,PETER(in the paint)",LCM 44-52 (-8),,"GOOD LAYUP by MUNCH,PETER(in the paint)",2
07:18,,,,,"FOUL  by MACLIN,CATRELL",,,"FOUL  by MACLIN,CATRELL",2
07:18,"MISS FT by THOMAS,STERLING",,,,,,,"MISS FT by THOMAS,STERLING",2
--,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",,,"REBOUND DEF by ANDERKAVICH,JOEY",2
07:18,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
07:18,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
07:18,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
07:18,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
07:18,,,,,"SUB IN by POWER,AARON",,,"SUB IN by POWER,AARON",2
07:18,,,,,"SUB IN by ANDERKAVICH,JOEY",,,"SUB IN by ANDERKAVICH,JOEY",2
07:18,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
07:18,,,,,"SUB OUT by MACLIN,CATRELL",,,"SUB OUT by MACLIN,CATRELL",2
06:56,,44,,54 (+10),"GOOD JUMPER by MITCHELL,NICK",LCM 44-54 (-10),,"GOOD JUMPER by MITCHELL,NICK",2
06:43,,,,,"FOUL  by MUNCH,PETER",,,"FOUL  by MUNCH,PETER",2
06:43,"MISS FT by BROWN,JEFF",,,,,,,"MISS FT by BROWN,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:43,"GOOD FT by BROWN,JEFF",45,,54 (+9),,MSPSM 45-54 (-9),,"GOOD FT by BROWN,JEFF",2
06:43,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
06:43,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
06:43,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",2
06:43,,,,,"SUB OUT by MUNCH,PETER",,,"SUB OUT by MUNCH,PETER",2
06:24,,45,,56 (+11),"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",LCM 45-56 (-11),,"GOOD LAYUP by ANDERKAVICH,JOEY(in the paint)",2
06:12,,,,,"FOUL  by ANDERSON,KYRON",,,"FOUL  by ANDERSON,KYRON",2
06:12,"GOOD FT by GILLIGAN,TULLY",46,,56 (+10),,MSPSM 46-56 (-10),,"GOOD FT by GILLIGAN,TULLY",2
06:12,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:03,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
06:03,,,,,"MISS FT by ANDERKAVICH,JOEY",,,"MISS FT by ANDERKAVICH,JOEY",2
--,,,,,"REBOUND OFF by MITCHELL,NICK",,,"REBOUND OFF by MITCHELL,NICK",2
05:58,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",2
05:58,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",2
05:31,,,,,"MISS LAYUP by ANDERSON,KYRON",,,"MISS LAYUP by ANDERSON,KYRON",2
--,,,,,"REBOUND OFF by ANDERKAVICH,JOEY",,,"REBOUND OFF by ANDERKAVICH,JOEY",2
05:24,,,,,"MISS JUMPER by POWER,AARON",,,"MISS JUMPER by POWER,AARON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:24,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
05:24,,46,,57 (+11),"GOOD FT by VAUGHN,MARCUS",LCM 46-57 (-11),,"GOOD FT by VAUGHN,MARCUS",2
05:24,,46,,58 (+12),"GOOD FT by VAUGHN,MARCUS",LCM 46-58 (-12),,"GOOD FT by VAUGHN,MARCUS",2
05:24,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
05:24,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
05:24,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
05:24,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
05:24,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
05:24,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
05:24,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",2
05:24,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
05:24,,,,,"SUB OUT by POWER,AARON",,,"SUB OUT by POWER,AARON",2
05:24,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",2
05:07,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",2
04:52,,,,,"TURNOVER  by ROBINSON,DENZEL",,,"TURNOVER  by ROBINSON,DENZEL",2
04:40,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",,,"REBOUND DEF by ANDERKAVICH,JOEY",2
04:19,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",,,"MISS JUMPER by ANDERKAVICH,JOEY",2
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",2
04:19,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
04:19,,,,,"MISS FT by VAUGHN,MARCUS",,,"MISS FT by VAUGHN,MARCUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:19,,46,,59 (+13),"GOOD FT by VAUGHN,MARCUS",LCM 46-59 (-13),,"GOOD FT by VAUGHN,MARCUS",2
04:19,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
04:19,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
04:12,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",2
04:12,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
04:03,"MISS 3PTR by BROWN,JEFF",,,,,,,"MISS 3PTR by BROWN,JEFF",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:45,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
03:25,,46,,61 (+15),"GOOD JUMPER by ROBINSON,DENZEL(in the paint)",LCM 46-61 (-15),,"GOOD JUMPER by ROBINSON,DENZEL(in the paint)",2
03:06,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",,,"REBOUND DEF by ANDERKAVICH,JOEY",2
02:44,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
02:44,,46,,62 (+16),"GOOD FT by ANDERSON,KYRON",LCM 46-62 (-16),,"GOOD FT by ANDERSON,KYRON",2
02:44,,,,,"MISS FT by ANDERSON,KYRON",,,"MISS FT by ANDERSON,KYRON",2
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",2
02:44,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
02:44,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
02:44,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
02:44,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
02:36,,,,,"FOUL  by ANDERKAVICH,JOEY",,,"FOUL  by ANDERKAVICH,JOEY",2
02:36,"GOOD FT by KINNEAR,KYLE",47,,62 (+15),,MSPSM 47-62 (-15),,"GOOD FT by KINNEAR,KYLE",2
02:36,"MISS FT by KINNEAR,KYLE",,,,,,,"MISS FT by KINNEAR,KYLE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:36,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
02:36,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
02:34,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",2
02:34,"GOOD FT by THOMAS,STERLING",48,,62 (+14),,MSPSM 48-62 (-14),,"GOOD FT by THOMAS,STERLING",2
02:34,"GOOD FT by THOMAS,STERLING",49,,62 (+13),,MSPSM 49-62 (-13),,"GOOD FT by THOMAS,STERLING",2
02:12,,49,,64 (+15),"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",LCM 49-64 (-15),,"GOOD LAYUP by ROBINSON,DENZEL(in the paint)",2
02:02,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:02,,,,,"SUB IN by MITCHELL,NICK",,,"SUB IN by MITCHELL,NICK",2
02:02,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
01:46,,49,,66 (+17),"GOOD LAYUP by ANDERSON,KYRON(in the paint)",LCM 49-66 (-17),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",2
01:46,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
01:46,,49,,67 (+18),"GOOD FT by ANDERSON,KYRON",LCM 49-67 (-18),,"GOOD FT by ANDERSON,KYRON",2
01:46,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
01:46,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
01:46,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
01:46,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
01:46,,,,,"SUB IN by LEWIS,DARON",,,"SUB IN by LEWIS,DARON",2
01:46,,,,,"SUB OUT by ANDERSON,KYRON",,,"SUB OUT by ANDERSON,KYRON",2
01:42,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by ROBINSON,DENZEL",,,"REBOUND DEF by ROBINSON,DENZEL",2
01:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
