Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
16:46,"GOOD LAYUP by THOMAS,STERLING(in the paint)",6,,6,,MSPSM 6-6 (0),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
16:46,,,,,"MISS JUMPER by MITCHELL,NICK",,,"MISS JUMPER by MITCHELL,NICK",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
16:46,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
16:46,"GOOD JUMPER by BERGER,RYAN",8 (+2),,6,,MSPSM 8-6 (+2),,"GOOD JUMPER by BERGER,RYAN",1
16:46,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
16:46,,,,,"FOUL  by POWER,AARON",,,"FOUL  by POWER,AARON",1
16:46,"GOOD FT by CORTESE,NICK",9 (+3),,6,,MSPSM 9-6 (+3),,"GOOD FT by CORTESE,NICK",1
16:46,"GOOD FT by CORTESE,NICK",10 (+4),,6,,MSPSM 10-6 (+4),,"GOOD FT by CORTESE,NICK",1
16:46,,,,,"TURNOVER  by HOWARD,JEROD",,,"TURNOVER  by HOWARD,JEROD",1
16:46,"STEAL  by MEADES,TAYLOR",,,,,,,"STEAL  by MEADES,TAYLOR",1
16:46,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",1
16:46,,,,,"BLOCK  by O'HARA,ROSS",,,"BLOCK  by O'HARA,ROSS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:46,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",1
