Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
11:25,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
11:25,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
11:25,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
11:25,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
11:09,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",19 (+5),,14,,OUM 19-14 (-5),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",1
10:47,,19 (+2),,17,"GOOD 3PTR by MEADES,TAYLOR",MSPS 19-17 (-2),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
10:25,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",1
10:25,"SUB IN by PURDY,SAM",,,,,,,"SUB IN by PURDY,SAM",1
10:25,"SUB IN by MOLINET,CHRISTIAN",,,,,,,"SUB IN by MOLINET,CHRISTIAN",1
10:25,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
10:25,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
10:25,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
10:25,"SUB OUT by PITTS,ALEC",,,,,,,"SUB OUT by PITTS,ALEC",1
10:25,"SUB OUT by CERONE,TYLER",,,,,,,"SUB OUT by CERONE,TYLER",1
10:03,,19,,19,"GOOD JUMPER by MERKEL,BRIAN",MSPS 19-19 (0),,"GOOD JUMPER by MERKEL,BRIAN",1
09:52,"GOOD JUMPER by MOLINET,CHRISTIAN",21 (+2),,19,,OUM 21-19 (-2),,"GOOD JUMPER by MOLINET,CHRISTIAN",1
09:33,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",1
09:33,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
09:33,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
09:24,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",1
09:24,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
09:24,"SUB OUT by STEIOFF,ANDREW",,,,,,,"SUB OUT by STEIOFF,ANDREW",1
09:24,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
09:24,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
09:00,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
08:41,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
08:33,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",1
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",1
08:28,"GOOD 3PTR by JOVAAG,BRANDEN",24 (+5),,19,,OUM 24-19 (-5),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,"ASSIST  by PURDY,SAM",,,,,,,"ASSIST  by PURDY,SAM",1
08:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:08,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",1
07:41,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
07:41,,,,,"BLOCK  by KINNEAR,KYLE",,,"BLOCK  by KINNEAR,KYLE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:39,"GOOD JUMPER by PURDY,SAM",26 (+7),,19,,OUM 26-19 (-7),,"GOOD JUMPER by PURDY,SAM",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
07:18,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:14,"SUB IN by PITTS,ALEC",,,,,,,"SUB IN by PITTS,ALEC",1
07:14,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
07:14,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
07:14,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
07:06,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
06:42,,26 (+5),,21,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MSPS 26-21 (-5),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by KINNEAR,KYLE",,,"ASSIST  by KINNEAR,KYLE",1
06:31,"GOOD 3PTR by PURDY,SAM",29 (+8),,21,,OUM 29-21 (-8),,"GOOD 3PTR by PURDY,SAM",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
06:09,,29 (+5),,24,"GOOD 3PTR by MEADES,TAYLOR",MSPS 29-24 (-5),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
05:49,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
05:49,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
05:49,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
05:24,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by BROWN,JEFF",,,"REBOUND OFF by BROWN,JEFF",1
05:14,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",1
04:55,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",31 (+7),,24,,OUM 31-24 (-7),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
04:39,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",1
04:39,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
04:39,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
04:39,"SUB IN by CERONE,TYLER",,,,,,,"SUB IN by CERONE,TYLER",1
04:39,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",1
04:32,"GOOD LAYUP by PITTS,ALEC(in the paint)",33 (+9),,24,,OUM 33-24 (-9),,"GOOD LAYUP by PITTS,ALEC(in the paint)",1
04:32,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",1
04:32,"GOOD FT by PITTS,ALEC",34 (+10),,24,,OUM 34-24 (-10),,"GOOD FT by PITTS,ALEC",1
04:32,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
04:32,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
04:05,,34 (+8),,26,"GOOD JUMPER by CORTESE,NICK",MSPS 34-26 (-8),,"GOOD JUMPER by CORTESE,NICK",1
03:53,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",1
03:53,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
03:53,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
03:32,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:30,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
03:21,"MISS JUMPER by PITTS,ALEC",,,,,,,"MISS JUMPER by PITTS,ALEC",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
03:09,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",1
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",1
03:04,"GOOD JUMPER by MOLINET,CHRISTIAN",36 (+10),,26,,OUM 36-26 (-10),,"GOOD JUMPER by MOLINET,CHRISTIAN",1
02:28,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
02:02,"MISS JUMPER by MOLINET,CHRISTIAN",,,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",1
02:02,,,,,"BLOCK  by CORTESE,NICK",,,"BLOCK  by CORTESE,NICK",1
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",1
01:51,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
01:16,"MISS LAYUP by MOLINET,CHRISTIAN",,,,,,,"MISS LAYUP by MOLINET,CHRISTIAN",1
--,"REBOUND OFF by CERONE,TYLER",,,,,,,"REBOUND OFF by CERONE,TYLER",1
01:04,"TURNOVER  by JOVAAG,BRANDEN",,,,,,,"TURNOVER  by JOVAAG,BRANDEN",1
01:04,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",1
01:04,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
01:04,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
01:04,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
01:04,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
01:04,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
01:04,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
01:04,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
01:04,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
01:04,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
00:34,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
00:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:04,"MISS JUMPER by PITTS,ALEC",,,,,,,"MISS JUMPER by PITTS,ALEC",1
--,"REBOUND OFF by CERONE,TYLER",,,,,,,"REBOUND OFF by CERONE,TYLER",1
00:00,"MISS JUMPER by CERONE,TYLER",,,,,,,"MISS JUMPER by CERONE,TYLER",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
19:41,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",2
19:29,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
19:28,"STEAL  by PITTS,ALEC",,,,,,,"STEAL  by PITTS,ALEC",2
19:25,"GOOD 3PTR by JOVAAG,BRANDEN",39 (+13),,26,,OUM 39-26 (-13),,"GOOD 3PTR by JOVAAG,BRANDEN",2
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",2
19:05,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",2
19:05,"FOUL  by PURDY,SAM",,,,,,,"FOUL  by PURDY,SAM",2
19:05,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
19:05,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",2
19:05,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",2
18:45,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
18:38,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
18:38,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",2
18:38,"GOOD FT by DAVIS,ALEX",40 (+14),,26,,OUM 40-26 (-14),,"GOOD FT by DAVIS,ALEX",2
18:14,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
17:52,"MISS JUMPER by STEIOFF,ANDREW",,,,,,,"MISS JUMPER by STEIOFF,ANDREW",2
--,"REBOUND OFF by STEIOFF,ANDREW",,,,,,,"REBOUND OFF by STEIOFF,ANDREW",2
17:48,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
17:48,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
17:48,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
17:48,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
17:38,"MISS 3PTR by DAVIS,ALEX",,,,,,,"MISS 3PTR by DAVIS,ALEX",2
--,"REBOUND OFF by PITTS,ALEC",,,,,,,"REBOUND OFF by PITTS,ALEC",2
17:27,"MISS LAYUP by JOVAAG,BRANDEN",,,,,,,"MISS LAYUP by JOVAAG,BRANDEN",2
--,"REBOUND OFF by JOVAAG,BRANDEN",,,,,,,"REBOUND OFF by JOVAAG,BRANDEN",2
17:17,"MISS 3PTR by PURDY,SAM",,,,,,,"MISS 3PTR by PURDY,SAM",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
17:10,,40 (+12),,28,"GOOD JUMPER by CORTESE,NICK",MSPS 40-28 (-12),,"GOOD JUMPER by CORTESE,NICK",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
16:49,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",2
16:49,"FOUL TECH by STEIOFF,ANDREW",,,,,,,"FOUL TECH by STEIOFF,ANDREW",2
16:49,,40 (+11),,29,"GOOD FT by CORTESE,NICK",MSPS 40-29 (-11),,"GOOD FT by CORTESE,NICK",2
16:49,,,,,"MISS FT by CORTESE,NICK",,,"MISS FT by CORTESE,NICK",2
16:49,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",2
16:49,"SUB OUT by STEIOFF,ANDREW",,,,,,,"SUB OUT by STEIOFF,ANDREW",2
16:49,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
16:49,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
16:23,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
16:14,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",2
15:58,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:37,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
15:18,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",2
15:05,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
14:58,,40 (+9),,31,"GOOD JUMPER by CORTESE,NICK",MSPS 40-31 (-9),,"GOOD JUMPER by CORTESE,NICK",2
14:31,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",2
14:31,"SUB IN by CERONE,TYLER",,,,,,,"SUB IN by CERONE,TYLER",2
14:31,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
14:31,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
14:31,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
14:31,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
