Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD LAYUP by BERGER,RYAN(in the paint)",MSPS 0-2 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
19:35,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
19:23,"GOOD JUMPER by MCCUBBIN,NATHAN",2,,2,,HC 2-2 (0),,"GOOD JUMPER by MCCUBBIN,NATHAN",1
19:11,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",1
18:43,"MISS 3PTR by MARTIN,AMMON",,,,,,,"MISS 3PTR by MARTIN,AMMON",1
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",1
18:25,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by GOODMAN,CHRIS",,,,,,,"REBOUND DEF by GOODMAN,CHRIS",1
18:14,"MISS JUMPER by MARTIN,AMMON",,,,,,,"MISS JUMPER by MARTIN,AMMON",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
18:08,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1
18:07,"STEAL  by HEATHSCOTT,NICK",,,,,,,"STEAL  by HEATHSCOTT,NICK",1
17:28,"MISS LAYUP by PRIMM,COLTON",,,,,,,"MISS LAYUP by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",1
17:12,,2,,4 (+2),"GOOD JUMPER by MERKEL,BRIAN",MSPS 2-4 (+2),,"GOOD JUMPER by MERKEL,BRIAN",1
16:52,"MISS LAYUP by HEATHSCOTT,NICK",,,,,,,"MISS LAYUP by HEATHSCOTT,NICK",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
16:43,"FOUL  by GOODMAN,CHRIS",,,,,,,"FOUL  by GOODMAN,CHRIS",1
16:32,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by HEATHSCOTT,NICK",,,,,,,"REBOUND DEF by HEATHSCOTT,NICK",1
16:09,"GOOD LAYUP by PRIMM,COLTON(in the paint)",4,,4,,HC 4-4 (0),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,"ASSIST  by MCCUBBIN,NATHAN",,,,,,,"ASSIST  by MCCUBBIN,NATHAN",1
16:09,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",1
16:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:09,"GOOD FT by PRIMM,COLTON",5 (+1),,4,,HC 5-4 (-1),,"GOOD FT by PRIMM,COLTON",1
16:09,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",1
16:09,"SUB OUT by MARTIN,AMMON",,,,,,,"SUB OUT by MARTIN,AMMON",1
15:54,"FOUL  by HEATHSCOTT,NICK",,,,,,,"FOUL  by HEATHSCOTT,NICK",1
15:54,,5,,5,"GOOD FT by BERGER,RYAN",MSPS 5-5 (0),,"GOOD FT by BERGER,RYAN",1
15:54,,5,,6 (+1),"GOOD FT by BERGER,RYAN",MSPS 5-6 (+1),,"GOOD FT by BERGER,RYAN",1
15:54,"SUB IN by GRAHAM,JOSH",,,,,,,"SUB IN by GRAHAM,JOSH",1
15:54,"SUB OUT by HEATHSCOTT,NICK",,,,,,,"SUB OUT by HEATHSCOTT,NICK",1
15:54,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
15:54,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
15:25,"GOOD 3PTR by GOODMAN,CHRIS",8 (+2),,6,,HC 8-6 (-2),,"GOOD 3PTR by GOODMAN,CHRIS",1
--,"ASSIST  by MCCUBBIN,NATHAN",,,,,,,"ASSIST  by MCCUBBIN,NATHAN",1
15:00,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",1
14:49,"MISS 3PTR by MCCUBBIN,NATHAN",,,,,,,"MISS 3PTR by MCCUBBIN,NATHAN",1
14:28,"SUB IN by MARTIN,AMMON",,,,,,,"SUB IN by MARTIN,AMMON",1
14:28,"SUB OUT by MCCUBBIN,NATHAN",,,,,,,"SUB OUT by MCCUBBIN,NATHAN",1
14:28,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
14:28,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
14:28,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
14:28,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
14:23,,8,,8,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MSPS 8-8 (0),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,,,,,"ASSIST  by MEADES,TAYLOR",,,"ASSIST  by MEADES,TAYLOR",1
14:01,"GOOD JUMPER by PRIMM,COLTON",10 (+2),,8,,HC 10-8 (-2),,"GOOD JUMPER by PRIMM,COLTON",1
13:44,"SUB IN by MAINER,ZACH",,,,,,,"SUB IN by MAINER,ZACH",1
13:44,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",1
13:44,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
13:44,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
13:26,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",1
--,"REBOUND DEF by MAINER,ZACH",,,,,,,"REBOUND DEF by MAINER,ZACH",1
13:05,"MISS 3PTR by MARTIN,AMMON",,,,,,,"MISS 3PTR by MARTIN,AMMON",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
12:55,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
12:34,"TURNOVER  by RILEY,JAREN",,,,,,,"TURNOVER  by RILEY,JAREN",1
12:15,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",1
--,"REBOUND DEF by RILEY,JAREN",,,,,,,"REBOUND DEF by RILEY,JAREN",1
12:15,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
12:15,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
12:15,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
11:56,"TURNOVER  by MAINER,ZACH",,,,,,,"TURNOVER  by MAINER,ZACH",1
11:56,,10,,10,"GOOD JUMPER by WHITE,TIM",MSPS 10-10 (0),,"GOOD JUMPER by WHITE,TIM",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
11:56,"MISS 3PTR by GOODMAN,CHRIS",,,,,,,"MISS 3PTR by GOODMAN,CHRIS",1
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",1
11:56,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
11:45,,10,,12 (+2),"GOOD LAYUP by BERGER,RYAN(in the paint)",MSPS 10-12 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
11:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:05,"SUB IN by HEATHSCOTT,NICK",,,,,,,"SUB IN by HEATHSCOTT,NICK",1
11:05,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
11:05,"SUB OUT by GOODMAN,CHRIS",,,,,,,"SUB OUT by GOODMAN,CHRIS",1
11:05,"SUB OUT by GRAHAM,JOSH",,,,,,,"SUB OUT by GRAHAM,JOSH",1
11:05,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
11:05,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
10:54,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
10:44,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
10:44,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:30,"GOOD JUMPER by HEATHSCOTT,NICK",12,,12,,HC 12-12 (0),,"GOOD JUMPER by HEATHSCOTT,NICK",1
--,"ASSIST  by MARTIN,AMMON",,,,,,,"ASSIST  by MARTIN,AMMON",1
10:02,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
09:50,"MISS JUMPER by RILEY,JAREN",,,,,,,"MISS JUMPER by RILEY,JAREN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:42,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",1
09:42,"SUB OUT by MAINER,ZACH",,,,,,,"SUB OUT by MAINER,ZACH",1
09:42,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
09:42,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
09:25,,12,,14 (+2),"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MSPS 12-14 (+2),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
09:02,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",1
09:01,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",1
08:39,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",1
08:39,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",1
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",1
08:30,"MISS JUMPER by MARTIN,AMMON",,,,,,,"MISS JUMPER by MARTIN,AMMON",1
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",1
08:17,,,,,"MISS 3PTR by BROWN,JEFF",,,"MISS 3PTR by BROWN,JEFF",1
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",1
07:59,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",14,,14,,HC 14-14 (0),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",1
07:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:46,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
07:46,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
07:29,"FOUL  by HEATHSCOTT,NICK",,,,,,,"FOUL  by HEATHSCOTT,NICK",1
07:29,"SUB IN by SHERIDAN,DAYTON",,,,,,,"SUB IN by SHERIDAN,DAYTON",1
07:29,"SUB OUT by HEATHSCOTT,NICK",,,,,,,"SUB OUT by HEATHSCOTT,NICK",1
07:24,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",1
07:24,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
07:24,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
07:24,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
