Time Remaining,MSPS,Away Team Score,Play Team Indicator,Home Team Score,TUM,Game Score,Team Indicator,Play,Period
15:07,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",1
14:50,,,,,"FOUL  by LAMBERT,ZACH",,,"FOUL  by LAMBERT,ZACH",1
14:50,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:50,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",1
14:35,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",1
14:13,,7,,9 (+2),"GOOD JUMPER by HOPSON,HEATH",TUM 7-9 (-2),,"GOOD JUMPER by HOPSON,HEATH",1
--,,,,,"ASSIST  by BEALL,RYAN",,,"ASSIST  by BEALL,RYAN",1
13:49,,,,,"FOUL  by YOUNG,WILLIAM",,,"FOUL  by YOUNG,WILLIAM",1
13:49,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
13:49,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
13:49,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
13:49,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
13:49,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",1
13:49,,,,,"SUB OUT by YOUNG,WILLIAM",,,"SUB OUT by YOUNG,WILLIAM",1
13:39,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",9,,9,,MSPS 9-9 (0),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
13:32,,,,,"TURNOVER  by FELDMAN,MATT",,,"TURNOVER  by FELDMAN,MATT",1
13:10,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
13:07,"GOOD LAYUP by BERGER,RYAN(in the paint)",11 (+2),,9,,MSPS 11-9 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
12:40,,,,,"TURNOVER  by BEALL,RYAN",,,"TURNOVER  by BEALL,RYAN",1
12:40,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",1
12:40,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",1
12:08,"GOOD 3PTR by KASTNER,MURRAY",14 (+5),,9,,MSPS 14-9 (+5),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",1
11:52,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",1
11:52,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",1
11:52,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
11:52,,,,,"SUB IN by LAVANWAY,JOHN",,,"SUB IN by LAVANWAY,JOHN",1
11:52,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",1
11:51,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",1
11:51,,14 (+4),,10,"GOOD FT by KITZINGER,ROBERT",TUM 14-10 (+4),,"GOOD FT by KITZINGER,ROBERT",1
11:51,,14 (+3),,11,"GOOD FT by KITZINGER,ROBERT",TUM 14-11 (+3),,"GOOD FT by KITZINGER,ROBERT",1
11:51,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
11:51,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
11:30,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",1
11:14,,,,,"TURNOVER  by FELDMAN,MATT",,,"TURNOVER  by FELDMAN,MATT",1
11:13,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",1
11:01,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",1
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",1
10:42,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
10:42,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",1
10:42,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
10:31,,14,,14,"GOOD 3PTR by KITZINGER,ROBERT",TUM 14-14 (0),,"GOOD 3PTR by KITZINGER,ROBERT",1
--,,,,,"ASSIST  by BEALL,RYAN",,,"ASSIST  by BEALL,RYAN",1
10:06,,,,,"FOUL  by FELDMAN,MATT",,,"FOUL  by FELDMAN,MATT",1
10:06,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
10:06,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
09:55,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by KITZINGER,ROBERT",,,"REBOUND DEF by KITZINGER,ROBERT",1
09:34,,,,,"MISS JUMPER by HOPSON,HEATH",,,"MISS JUMPER by HOPSON,HEATH",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
09:23,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
09:22,,,,,"STEAL  by LAVANWAY,JOHN",,,"STEAL  by LAVANWAY,JOHN",1
09:07,,,,,"MISS JUMPER by HOPSON,HEATH",,,"MISS JUMPER by HOPSON,HEATH",1
--,,,,,"REBOUND OFF by LAVANWAY,JOHN",,,"REBOUND OFF by LAVANWAY,JOHN",1
09:03,,,,,"MISS 3PTR by HOPSON,HEATH",,,"MISS 3PTR by HOPSON,HEATH",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
08:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:58,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
08:58,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
08:58,,,,,"SUB IN by LAMBERT,ZACH",,,"SUB IN by LAMBERT,ZACH",1
08:58,,,,,"SUB IN by YOUNG,WILLIAM",,,"SUB IN by YOUNG,WILLIAM",1
08:58,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",1
08:58,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",1
08:29,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by KITZINGER,ROBERT",,,"REBOUND DEF by KITZINGER,ROBERT",1
08:03,,,,,"TURNOVER  by LAMBERT,ZACH",,,"TURNOVER  by LAMBERT,ZACH",1
08:02,"STEAL  by KASTNER,MURRAY",,,,,,,"STEAL  by KASTNER,MURRAY",1
08:01,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
07:53,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
07:53,,14,,15 (+1),"GOOD FT by LAMBERT,ZACH",TUM 14-15 (-1),,"GOOD FT by LAMBERT,ZACH",1
07:53,,14,,16 (+2),"GOOD FT by LAMBERT,ZACH",TUM 14-16 (-2),,"GOOD FT by LAMBERT,ZACH",1
07:53,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
07:53,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
07:53,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
07:53,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
07:31,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
07:31,,,,,"BLOCK  by KITZINGER,ROBERT",,,"BLOCK  by KITZINGER,ROBERT",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
07:27,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",1
07:10,,,,,"MISS LAYUP by KITZINGER,ROBERT",,,"MISS LAYUP by KITZINGER,ROBERT",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
07:09,,,,,"FOUL  by LAVANWAY,JOHN",,,"FOUL  by LAVANWAY,JOHN",1
07:09,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
07:09,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
07:09,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",1
07:09,,,,,"SUB OUT by HOPSON,HEATH",,,"SUB OUT by HOPSON,HEATH",1
06:43,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
06:35,,,,,"FOUL  by LAMBERT,ZACH",,,"FOUL  by LAMBERT,ZACH",1
06:35,,,,,"TURNOVER  by LAMBERT,ZACH",,,"TURNOVER  by LAMBERT,ZACH",1
06:11,"GOOD 3PTR by MEADES,TAYLOR",17 (+1),,16,,MSPS 17-16 (+1),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
05:55,,17,,19 (+2),"GOOD 3PTR by KITZINGER,ROBERT",TUM 17-19 (-2),,"GOOD 3PTR by KITZINGER,ROBERT",1
--,,,,,"ASSIST  by LAMBERT,ZACH",,,"ASSIST  by LAMBERT,ZACH",1
05:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:50,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",1
05:50,,,,,"SUB OUT by LAVANWAY,JOHN",,,"SUB OUT by LAVANWAY,JOHN",1
05:32,"TURNOVER  by MEADES,TAYLOR",,,,,,,"TURNOVER  by MEADES,TAYLOR",1
05:31,,,,,"STEAL  by BEALL,RYAN",,,"STEAL  by BEALL,RYAN",1
05:23,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",1
--,,,,,"REBOUND OFF by WILT,JONATHAN",,,"REBOUND OFF by WILT,JONATHAN",1
05:17,,17,,22 (+5),"GOOD 3PTR by BEALL,RYAN",TUM 17-22 (-5),,"GOOD 3PTR by BEALL,RYAN",1
--,,,,,"ASSIST  by KITZINGER,ROBERT",,,"ASSIST  by KITZINGER,ROBERT",1
04:50,,,,,"FOUL  by LAMBERT,ZACH",,,"FOUL  by LAMBERT,ZACH",1
04:50,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
04:50,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
04:50,,,,,"SUB IN by SELLING,MATT",,,"SUB IN by SELLING,MATT",1
04:50,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",1
04:19,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",1
04:04,,,,,"MISS JUMPER by KITZINGER,ROBERT",,,"MISS JUMPER by KITZINGER,ROBERT",1
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",1
03:34,"GOOD 3PTR by MEADES,TAYLOR",20,,22 (+2),,MSPS 20-22 (-2),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
03:12,,20,,24 (+4),"GOOD LAYUP by KITZINGER,ROBERT(in the paint)",TUM 20-24 (-4),,"GOOD LAYUP by KITZINGER,ROBERT(in the paint)",1
--,,,,,"ASSIST  by WILT,JONATHAN",,,"ASSIST  by WILT,JONATHAN",1
03:02,"GOOD LAYUP by CORTESE,NICK(in the paint)",22,,24 (+2),,MSPS 22-24 (-2),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
02:53,,,,,"MISS LAYUP by SELLING,MATT",,,"MISS LAYUP by SELLING,MATT",1
--,,,,,"REBOUND OFF by BEALL,RYAN",,,"REBOUND OFF by BEALL,RYAN",1
02:49,,22,,26 (+4),"GOOD LAYUP by BEALL,RYAN(in the paint)",TUM 22-26 (-4),,"GOOD LAYUP by BEALL,RYAN(in the paint)",1
02:36,"GOOD 3PTR by MEADES,TAYLOR",25,,26 (+1),,MSPS 25-26 (-1),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
02:01,,,,,"TURNOVER  by WILT,JONATHAN",,,"TURNOVER  by WILT,JONATHAN",1
02:00,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",1
01:52,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",1
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",1
01:38,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
01:38,,25,,27 (+2),"GOOD FT by BEALL,RYAN",TUM 25-27 (-2),,"GOOD FT by BEALL,RYAN",1
01:38,,25,,28 (+3),"GOOD FT by BEALL,RYAN",TUM 25-28 (-3),,"GOOD FT by BEALL,RYAN",1
01:38,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
01:38,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
01:38,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
01:38,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
01:38,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
01:38,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
01:38,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",1
01:38,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",1
01:10,"GOOD 3PTR by WHITE,TIM",28,,28,,MSPS 28-28 (0),,"GOOD 3PTR by WHITE,TIM",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
00:44,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",1
00:44,,28,,29 (+1),"GOOD FT by WILT,JONATHAN",TUM 28-29 (-1),,"GOOD FT by WILT,JONATHAN",1
00:44,,28,,30 (+2),"GOOD FT by WILT,JONATHAN",TUM 28-30 (-2),,"GOOD FT by WILT,JONATHAN",1
00:20,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND OFF by BROWN,JEFF",,,,,,,"REBOUND OFF by BROWN,JEFF",1
00:06,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by WILT,JONATHAN",,,"REBOUND DEF by WILT,JONATHAN",1
19:51,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
19:30,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
19:03,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
18:40,,,,,"FOUL  by BEALL,RYAN",,,"FOUL  by BEALL,RYAN",2
18:40,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",2
18:40,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
18:10,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by HOPSON,HEATH",,,"REBOUND DEF by HOPSON,HEATH",2
18:00,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
18:00,,,,,"MISS FT by WILT,JONATHAN",,,"MISS FT by WILT,JONATHAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:00,,,,,"MISS FT by WILT,JONATHAN",,,"MISS FT by WILT,JONATHAN",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
17:45,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
17:32,,,,,"TURNOVER  by LAMBERT,ZACH",,,"TURNOVER  by LAMBERT,ZACH",2
17:31,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",2
17:27,,,,,"FOUL  by YOUNG,WILLIAM",,,"FOUL  by YOUNG,WILLIAM",2
17:27,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
17:27,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",2
17:07,,,,,"FOUL  by YOUNG,WILLIAM",,,"FOUL  by YOUNG,WILLIAM",2
17:07,"GOOD FT by MERKEL,BRIAN",29,,30 (+1),,MSPS 29-30 (-1),,"GOOD FT by MERKEL,BRIAN",2
17:07,"MISS FT by MERKEL,BRIAN",,,,,,,"MISS FT by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
16:43,,,,,"TURNOVER  by YOUNG,WILLIAM",,,"TURNOVER  by YOUNG,WILLIAM",2
16:09,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",31 (+1),,30,,MSPS 31-30 (+1),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
15:56,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",2
15:56,,31,,31,"GOOD FT by HOPSON,HEATH",TUM 31-31 (0),,"GOOD FT by HOPSON,HEATH",2
15:56,,,,,"MISS FT by HOPSON,HEATH",,,"MISS FT by HOPSON,HEATH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:56,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
15:56,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
15:28,,,,,"MISS 3PTR by BEALL,RYAN",,,"MISS 3PTR by BEALL,RYAN",2
--,,,,,"REBOUND OFF by WILT,JONATHAN",,,"REBOUND OFF by WILT,JONATHAN",2
15:21,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
15:07,,,,,"MISS 3PTR by BEALL,RYAN",,,"MISS 3PTR by BEALL,RYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:04,,,,,"SUB IN by LAVANWAY,JOHN",,,"SUB IN by LAVANWAY,JOHN",2
15:04,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
14:48,,,,,"TURNOVER  by LAVANWAY,JOHN",,,"TURNOVER  by LAVANWAY,JOHN",2
14:24,"GOOD 3PTR by MEADES,TAYLOR",34 (+3),,31,,MSPS 34-31 (+3),,"GOOD 3PTR by MEADES,TAYLOR",2
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",2
14:08,,34,,34,"GOOD 3PTR by KITZINGER,ROBERT",TUM 34-34 (0),,"GOOD 3PTR by KITZINGER,ROBERT",2
--,,,,,"ASSIST  by HOPSON,HEATH",,,"ASSIST  by HOPSON,HEATH",2
13:41,,,,,"FOUL  by LAVANWAY,JOHN",,,"FOUL  by LAVANWAY,JOHN",2
13:41,"GOOD FT by KINNEAR,KYLE",35 (+1),,34,,MSPS 35-34 (+1),,"GOOD FT by KINNEAR,KYLE",2
13:41,"MISS FT by KINNEAR,KYLE",,,,,,,"MISS FT by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",2
13:41,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
13:41,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
13:41,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
13:41,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
13:41,,,,,"SUB IN by LAMBERT,ZACH",,,"SUB IN by LAMBERT,ZACH",2
13:41,,,,,"SUB OUT by HOPSON,HEATH",,,"SUB OUT by HOPSON,HEATH",2
13:21,,35,,37 (+2),"GOOD 3PTR by KITZINGER,ROBERT",TUM 35-37 (-2),,"GOOD 3PTR by KITZINGER,ROBERT",2
--,,,,,"ASSIST  by BEALL,RYAN",,,"ASSIST  by BEALL,RYAN",2
13:01,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",37,,37,,MSPS 37-37 (0),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
--,"ASSIST  by WHITE,TIM",,,,,,,"ASSIST  by WHITE,TIM",2
12:41,,,,,"MISS 3PTR by LAMBERT,ZACH",,,"MISS 3PTR by LAMBERT,ZACH",2
--,,,,,"REBOUND OFF by KITZINGER,ROBERT",,,"REBOUND OFF by KITZINGER,ROBERT",2
12:39,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
12:39,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
12:39,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
12:39,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",2
12:39,,,,,"SUB OUT by YOUNG,WILLIAM",,,"SUB OUT by YOUNG,WILLIAM",2
12:28,,,,,"TURNOVER  by KITZINGER,ROBERT",,,"TURNOVER  by KITZINGER,ROBERT",2
12:27,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
12:08,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND OFF by BROWN,JEFF",,,,,,,"REBOUND OFF by BROWN,JEFF",2
12:06,"GOOD LAYUP by BROWN,JEFF(in the paint)",39 (+2),,37,,MSPS 39-37 (+2),,"GOOD LAYUP by BROWN,JEFF(in the paint)",2
11:49,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
