Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,MC,Game Score,Team Indicator,Play,Period
19:51,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
19:25,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
18:56,,,,,"TURNOVER  by JONES,CHAD",,,"TURNOVER  by JONES,CHAD",1
18:55,"STEAL  by BROWN,JEFF",,,,,,,"STEAL  by BROWN,JEFF",1
18:49,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
18:49,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
18:49,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
18:32,,,,,"MISS 3PTR by ESTER,MARLON",,,"MISS 3PTR by ESTER,MARLON",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
18:08,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by MALONE,TREVON",,,"REBOUND DEF by MALONE,TREVON",1
17:53,,,,,"TURNOVER  by JONES,CHAD",,,"TURNOVER  by JONES,CHAD",1
17:33,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",1
17:30,,,,,"STEAL  by JONES,CHAD",,,"STEAL  by JONES,CHAD",1
17:28,,,,,"MISS JUMPER by PULLIAM,GREG",,,"MISS JUMPER by PULLIAM,GREG",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:25,,,,,"FOUL  by JONES,CHAD",,,"FOUL  by JONES,CHAD",1
17:15,,,,,"FOUL  by MALONE,TREVON",,,"FOUL  by MALONE,TREVON",1
17:14,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by JONES,CHAD",,,"REBOUND DEF by JONES,CHAD",1
17:01,,0,,2 (+2),"GOOD LAYUP by MALONE,TREVON(in the paint)",MC 0-2 (-2),,"GOOD LAYUP by MALONE,TREVON(in the paint)",1
--,,,,,"ASSIST  by ESTER,MARLON",,,"ASSIST  by ESTER,MARLON",1
16:43,"GOOD JUMPER by WHITE,TIM",2,,2,,MIL 2-2 (0),,"GOOD JUMPER by WHITE,TIM",1
--,"ASSIST  by BROWN,JEFF",,,,,,,"ASSIST  by BROWN,JEFF",1
16:27,,,,,"TURNOVER  by MALONE,TREVON",,,"TURNOVER  by MALONE,TREVON",1
16:27,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
16:27,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
16:27,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
16:27,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
16:27,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
16:27,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
