Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
16:38,"SUB OUT by ROBERSON,D'ANGELO",,,,,,,"SUB OUT by ROBERSON,D'ANGELO",1
16:38,"SUB OUT by THOMAS,JEREMIAH",,,,,,,"SUB OUT by THOMAS,JEREMIAH",1
16:38,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
16:38,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
16:37,,,,,"MISS FT by WHITE,TIM",,,"MISS FT by WHITE,TIM",1
--,,,,,"REBOUND OFF by WALKER,NICK",,,"REBOUND OFF by WALKER,NICK",1
16:21,"TURNOVER  by PETTY,RYAN",,,,,,,"TURNOVER  by PETTY,RYAN",1
15:47,,4,,13 (+9),"GOOD 3PTR by MERKEL,BRIAN",MSPS 4-13 (+9),,"GOOD 3PTR by MERKEL,BRIAN",1
15:33,"TURNOVER  by VARNEY,JASON",,,,,,,"TURNOVER  by VARNEY,JASON",1
15:33,"SUB IN by LEE,JERROD",,,,,,,"SUB IN by LEE,JERROD",1
15:33,"SUB IN by KILPATRICK,MIKE",,,,,,,"SUB IN by KILPATRICK,MIKE",1
15:33,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
15:33,"SUB OUT by VARNEY,JASON",,,,,,,"SUB OUT by VARNEY,JASON",1
15:33,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
15:33,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
15:33,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
15:33,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
15:33,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
15:31,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
15:29,"STEAL  by BLACKMON,KANDEN",,,,,,,"STEAL  by BLACKMON,KANDEN",1
15:24,"GOOD LAYUP by LEE,JERROD(in the paint)",6,,13 (+7),,HCM 6-13 (+7),,"GOOD LAYUP by LEE,JERROD(in the paint)",1
--,"ASSIST  by BLACKMON,KANDEN",,,,,,,"ASSIST  by BLACKMON,KANDEN",1
15:10,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",1
15:09,"STEAL  by LEE,JERROD",,,,,,,"STEAL  by LEE,JERROD",1
15:05,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
14:56,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
14:51,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
14:51,"SUB OUT by TURNIPSEED,D'AWVALO",,,,,,,"SUB OUT by TURNIPSEED,D'AWVALO",1
14:51,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
14:51,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
14:51,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
14:38,"FOUL  by MOODY,JACOB",,,,,,,"FOUL  by MOODY,JACOB",1
14:24,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
14:04,,6,,15 (+9),"GOOD JUMPER by CORTESE,NICK",MSPS 6-15 (+9),,"GOOD JUMPER by CORTESE,NICK",1
13:55,"MISS 3PTR by BLACKMON,KANDEN",,,,,,,"MISS 3PTR by BLACKMON,KANDEN",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
13:42,"FOUL  by KILPATRICK,MIKE",,,,,,,"FOUL  by KILPATRICK,MIKE",1
13:42,,6,,16 (+10),"GOOD FT by BERGER,RYAN",MSPS 6-16 (+10),,"GOOD FT by BERGER,RYAN",1
13:42,,6,,17 (+11),"GOOD FT by BERGER,RYAN",MSPS 6-17 (+11),,"GOOD FT by BERGER,RYAN",1
13:42,"SUB IN by ROBERSON,D'ANGELO",,,,,,,"SUB IN by ROBERSON,D'ANGELO",1
13:42,"SUB IN by THOMAS,JEREMIAH",,,,,,,"SUB IN by THOMAS,JEREMIAH",1
13:42,"SUB OUT by MOODY,JACOB",,,,,,,"SUB OUT by MOODY,JACOB",1
13:42,"SUB OUT by BLACKMON,KANDEN",,,,,,,"SUB OUT by BLACKMON,KANDEN",1
13:42,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
13:42,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
13:42,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
13:42,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
13:32,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
13:32,"MISS FT by THOMAS,JEREMIAH",,,,,,,"MISS FT by THOMAS,JEREMIAH",1
13:32,"MISS FT by THOMAS,JEREMIAH",,,,,,,"MISS FT by THOMAS,JEREMIAH",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
13:32,,6,,19 (+13),"GOOD LAYUP by THOMAS,STERLING(in the paint)",MSPS 6-19 (+13),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
12:56,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
12:56,"MISS FT by THOMAS,JEREMIAH",,,,,,,"MISS FT by THOMAS,JEREMIAH",1
12:56,"GOOD FT by THOMAS,JEREMIAH",7,,19 (+12),,HCM 7-19 (+12),,"GOOD FT by THOMAS,JEREMIAH",1
12:56,"SUB IN by VARNEY,JASON",,,,,,,"SUB IN by VARNEY,JASON",1
12:56,"SUB OUT by LEE,JERROD",,,,,,,"SUB OUT by LEE,JERROD",1
12:56,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
12:56,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
12:56,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
12:56,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
12:24,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",1
12:19,"FOUL  by KILPATRICK,MIKE",,,,,,,"FOUL  by KILPATRICK,MIKE",1
12:08,,7,,21 (+14),"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",MSPS 7-21 (+14),,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
11:51,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",1
11:51,"SUB IN by MOODY,JACOB",,,,,,,"SUB IN by MOODY,JACOB",1
11:51,"SUB IN by TURNIPSEED,D'AWVALO",,,,,,,"SUB IN by TURNIPSEED,D'AWVALO",1
11:51,"SUB OUT by ROBERSON,D'ANGELO",,,,,,,"SUB OUT by ROBERSON,D'ANGELO",1
11:51,"SUB OUT by EDGAR,COURTNEE",,,,,,,"SUB OUT by EDGAR,COURTNEE",1
11:38,"MISS JUMPER by TURNIPSEED,D'AWVALO",,,,,,,"MISS JUMPER by TURNIPSEED,D'AWVALO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:35,"FOUL  by VARNEY,JASON",,,,,,,"FOUL  by VARNEY,JASON",1
11:35,,7,,22 (+15),"GOOD FT by MEADES,TAYLOR",MSPS 7-22 (+15),,"GOOD FT by MEADES,TAYLOR",1
11:35,,7,,23 (+16),"GOOD FT by MEADES,TAYLOR",MSPS 7-23 (+16),,"GOOD FT by MEADES,TAYLOR",1
11:35,"SUB IN by PETTY,RYAN",,,,,,,"SUB IN by PETTY,RYAN",1
11:35,"SUB IN by MCDOWELL,WILLIE",,,,,,,"SUB IN by MCDOWELL,WILLIE",1
11:35,"SUB OUT by KILPATRICK,MIKE",,,,,,,"SUB OUT by KILPATRICK,MIKE",1
11:35,"SUB OUT by THOMAS,JEREMIAH",,,,,,,"SUB OUT by THOMAS,JEREMIAH",1
11:17,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",1
11:17,"GOOD FT by MCDOWELL,WILLIE",8,,23 (+15),,HCM 8-23 (+15),,"GOOD FT by MCDOWELL,WILLIE",1
11:17,"MISS FT by MCDOWELL,WILLIE",,,,,,,"MISS FT by MCDOWELL,WILLIE",1
--,"REBOUND OFF by PETTY,RYAN",,,,,,,"REBOUND OFF by PETTY,RYAN",1
11:14,"TURNOVER  by MCDOWELL,WILLIE",,,,,,,"TURNOVER  by MCDOWELL,WILLIE",1
11:12,"FOUL  by PETTY,RYAN",,,,,,,"FOUL  by PETTY,RYAN",1
11:12,,8,,24 (+16),"GOOD FT by MERKEL,BRIAN",MSPS 8-24 (+16),,"GOOD FT by MERKEL,BRIAN",1
11:12,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
--,"REBOUND DEF by MCDOWELL,WILLIE",,,,,,,"REBOUND DEF by MCDOWELL,WILLIE",1
11:02,"MISS JUMPER by PETTY,RYAN",,,,,,,"MISS JUMPER by PETTY,RYAN",1
--,"REBOUND OFF by MOODY,JACOB",,,,,,,"REBOUND OFF by MOODY,JACOB",1
10:42,"FOUL  by PETTY,RYAN",,,,,,,"FOUL  by PETTY,RYAN",1
10:42,"SUB IN by NORRIS,DEANGELO",,,,,,,"SUB IN by NORRIS,DEANGELO",1
10:42,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
10:23,,8,,26 (+18),"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",MSPS 8-26 (+18),,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",1
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",1
09:55,"MISS JUMPER by VARNEY,JASON",,,,,,,"MISS JUMPER by VARNEY,JASON",1
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",1
09:33,"FOUL  by MOODY,JACOB",,,,,,,"FOUL  by MOODY,JACOB",1
09:33,,8,,27 (+19),"GOOD FT by THOMAS,STERLING",MSPS 8-27 (+19),,"GOOD FT by THOMAS,STERLING",1
09:33,,8,,28 (+20),"GOOD FT by THOMAS,STERLING",MSPS 8-28 (+20),,"GOOD FT by THOMAS,STERLING",1
09:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:33,"SUB IN by THOMAS,JEREMIAH",,,,,,,"SUB IN by THOMAS,JEREMIAH",1
09:33,"SUB IN by BLACKMON,KANDEN",,,,,,,"SUB IN by BLACKMON,KANDEN",1
09:33,"SUB OUT by MOODY,JACOB",,,,,,,"SUB OUT by MOODY,JACOB",1
09:33,"SUB OUT by MCDOWELL,WILLIE",,,,,,,"SUB OUT by MCDOWELL,WILLIE",1
09:33,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
09:33,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
09:33,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
09:33,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
09:33,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
09:19,"MISS JUMPER by THOMAS,JEREMIAH",,,,,,,"MISS JUMPER by THOMAS,JEREMIAH",1
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",1
09:13,,,,,"MISS 3PTR by BROWN,JEFF",,,"MISS 3PTR by BROWN,JEFF",1
--,"REBOUND DEF by BLACKMON,KANDEN",,,,,,,"REBOUND DEF by BLACKMON,KANDEN",1
09:08,"TURNOVER  by BLACKMON,KANDEN",,,,,,,"TURNOVER  by BLACKMON,KANDEN",1
08:43,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
08:35,"MISS LAYUP by THOMAS,JEREMIAH",,,,,,,"MISS LAYUP by THOMAS,JEREMIAH",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
08:30,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,"REBOUND DEF by VARNEY,JASON",,,,,,,"REBOUND DEF by VARNEY,JASON",1
08:21,"MISS JUMPER by VARNEY,JASON",,,,,,,"MISS JUMPER by VARNEY,JASON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
08:10,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
08:09,"SUB IN by ROBERSON,D'ANGELO",,,,,,,"SUB IN by ROBERSON,D'ANGELO",1
08:09,"SUB OUT by THOMAS,JEREMIAH",,,,,,,"SUB OUT by THOMAS,JEREMIAH",1
08:09,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
08:09,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
08:09,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
08:09,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
07:58,"TURNOVER  by BLACKMON,KANDEN",,,,,,,"TURNOVER  by BLACKMON,KANDEN",1
07:58,,,,,"STEAL  by KINNEAR,KYLE",,,"STEAL  by KINNEAR,KYLE",1
07:58,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by VARNEY,JASON",,,,,,,"REBOUND DEF by VARNEY,JASON",1
07:53,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
07:42,"GOOD FT by VARNEY,JASON",9,,28 (+19),,HCM 9-28 (+19),,"GOOD FT by VARNEY,JASON",1
07:42,"GOOD FT by VARNEY,JASON",10,,28 (+18),,HCM 10-28 (+18),,"GOOD FT by VARNEY,JASON",1
07:42,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
07:42,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
07:28,,10,,31 (+21),"GOOD 3PTR by BERGER,RYAN",MSPS 10-31 (+21),,"GOOD 3PTR by BERGER,RYAN",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
07:08,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",1
07:08,"MISS FT by TURNIPSEED,D'AWVALO",,,,,,,"MISS FT by TURNIPSEED,D'AWVALO",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
07:08,"SUB IN by LEE,JERROD",,,,,,,"SUB IN by LEE,JERROD",1
07:08,"SUB OUT by VARNEY,JASON",,,,,,,"SUB OUT by VARNEY,JASON",1
07:08,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
07:08,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
06:41,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by LEE,JERROD",,,,,,,"REBOUND DEF by LEE,JERROD",1
06:08,"MISS JUMPER by NORRIS,DEANGELO",,,,,,,"MISS JUMPER by NORRIS,DEANGELO",1
--,"REBOUND OFF by LEE,JERROD",,,,,,,"REBOUND OFF by LEE,JERROD",1
06:05,"MISS JUMPER by LEE,JERROD",,,,,,,"MISS JUMPER by LEE,JERROD",1
06:05,,,,,"BLOCK  by MERKEL,BRIAN",,,"BLOCK  by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
05:53,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by BLACKMON,KANDEN",,,,,,,"REBOUND DEF by BLACKMON,KANDEN",1
05:48,"MISS LAYUP by LEE,JERROD",,,,,,,"MISS LAYUP by LEE,JERROD",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
05:38,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
05:38,"STEAL  by LEE,JERROD",,,,,,,"STEAL  by LEE,JERROD",1
05:35,"TURNOVER  by MOODY,JACOB",,,,,,,"TURNOVER  by MOODY,JACOB",1
05:04,,10,,33 (+23),"GOOD LAYUP by BERGER,RYAN(in the paint)",MSPS 10-33 (+23),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
04:47,"MISS JUMPER by THOMAS,JEREMIAH",,,,,,,"MISS JUMPER by THOMAS,JEREMIAH",1
04:47,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:37,"GOOD 3PTR by MOODY,JACOB",13,,33 (+20),,HCM 13-33 (+20),,"GOOD 3PTR by MOODY,JACOB",1
--,"ASSIST  by EDGAR,COURTNEE",,,,,,,"ASSIST  by EDGAR,COURTNEE",1
04:18,,13,,35 (+22),"GOOD LAYUP by BERGER,RYAN(in the paint)",MSPS 13-35 (+22),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",1
04:04,"MISS JUMPER by EDGAR,COURTNEE",,,,,,,"MISS JUMPER by EDGAR,COURTNEE",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
03:48,,13,,37 (+24),"GOOD LAYUP by THOMAS,STERLING(in the paint)",MSPS 13-37 (+24),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
03:34,"TURNOVER  by KILPATRICK,MIKE",,,,,,,"TURNOVER  by KILPATRICK,MIKE",1
03:34,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
03:34,"SUB IN by THOMAS,JEREMIAH",,,,,,,"SUB IN by THOMAS,JEREMIAH",1
03:34,"SUB IN by MCDOWELL,WILLIE",,,,,,,"SUB IN by MCDOWELL,WILLIE",1
03:34,"SUB OUT by ROBERSON,D'ANGELO",,,,,,,"SUB OUT by ROBERSON,D'ANGELO",1
03:34,"SUB OUT by BLACKMON,KANDEN",,,,,,,"SUB OUT by BLACKMON,KANDEN",1
03:34,"SUB OUT by TURNIPSEED,D'AWVALO",,,,,,,"SUB OUT by TURNIPSEED,D'AWVALO",1
03:34,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
03:34,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
03:34,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
03:34,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
03:34,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
03:34,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
03:32,,13,,39 (+26),"GOOD JUMPER by KASTNER,MURRAY",MSPS 13-39 (+26),,"GOOD JUMPER by KASTNER,MURRAY",1
02:59,"TURNOVER  by MOODY,JACOB",,,,,,,"TURNOVER  by MOODY,JACOB",1
02:59,"SUB IN by BLACKMON,KANDEN",,,,,,,"SUB IN by BLACKMON,KANDEN",1
02:59,"SUB IN by DOOLEY,JUSTIN",,,,,,,"SUB IN by DOOLEY,JUSTIN",1
02:59,"SUB OUT by EDGAR,COURTNEE",,,,,,,"SUB OUT by EDGAR,COURTNEE",1
02:59,"SUB OUT by THOMAS,JEREMIAH",,,,,,,"SUB OUT by THOMAS,JEREMIAH",1
02:52,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
02:52,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
02:52,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
02:16,"TURNOVER  by NORRIS,DEANGELO",,,,,,,"TURNOVER  by NORRIS,DEANGELO",1
02:16,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",1
02:12,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
02:00,"GOOD JUMPER by LEE,JERROD",15,,39 (+24),,HCM 15-39 (+24),,"GOOD JUMPER by LEE,JERROD",1
01:29,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:21,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
01:21,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
00:59,"GOOD 3PTR by BLACKMON,KANDEN",18,,39 (+21),,HCM 18-39 (+21),,"GOOD 3PTR by BLACKMON,KANDEN",1
--,"ASSIST  by LEE,JERROD",,,,,,,"ASSIST  by LEE,JERROD",1
00:29,,18,,41 (+23),"GOOD JUMPER by THOMAS,STERLING",MSPS 18-41 (+23),,"GOOD JUMPER by THOMAS,STERLING",1
00:09,"GOOD LAYUP by LEE,JERROD(in the paint)",20,,41 (+21),,HCM 20-41 (+21),,"GOOD LAYUP by LEE,JERROD(in the paint)",1
00:05,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
00:03,"STEAL  by NORRIS,DEANGELO",,,,,,,"STEAL  by NORRIS,DEANGELO",1
00:01,"GOOD LAYUP by NORRIS,DEANGELO(in the paint)",22,,41 (+19),,HCM 22-41 (+19),,"GOOD LAYUP by NORRIS,DEANGELO(in the paint)",1
00:00,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
20:00,"SUB IN by LEE,JERROD",,,,,,,"SUB IN by LEE,JERROD",2
20:00,"SUB OUT by TURNIPSEED,D'AWVALO",,,,,,,"SUB OUT by TURNIPSEED,D'AWVALO",2
19:55,"GOOD LAYUP by ROBERSON,D'ANGELO(in the paint)",24,,41 (+17),,HCM 24-41 (+17),,"GOOD LAYUP by ROBERSON,D'ANGELO(in the paint)",2
--,"ASSIST  by LEE,JERROD",,,,,,,"ASSIST  by LEE,JERROD",2
19:42,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
19:35,"GOOD LAYUP by LEE,JERROD(in the paint)",26,,41 (+15),,HCM 26-41 (+15),,"GOOD LAYUP by LEE,JERROD(in the paint)",2
19:16,"FOUL  by ROBERSON,D'ANGELO",,,,,,,"FOUL  by ROBERSON,D'ANGELO",2
19:16,,26,,42 (+16),"GOOD FT by KINNEAR,KYLE",MSPS 26-42 (+16),,"GOOD FT by KINNEAR,KYLE",2
19:16,,,,,"MISS FT by KINNEAR,KYLE",,,"MISS FT by KINNEAR,KYLE",2
--,,,,,"REBOUND OFF by BROWN,JEFF",,,"REBOUND OFF by BROWN,JEFF",2
19:16,,26,,44 (+18),"GOOD JUMPER by BROWN,JEFF",MSPS 26-44 (+18),,"GOOD JUMPER by BROWN,JEFF",2
