Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
13:47,,6,,7 (+1),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 6-7 (-1),,"GOOD 3PTR by GALOW,ANDREW",1
13:11,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
12:58,,6,,9 (+3),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 6-9 (-3),,"GOOD JUMPER by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
12:36,"GOOD 3PTR by BERGER,RYAN",9,,9,,MSPSM 9-9 (0),,"GOOD 3PTR by BERGER,RYAN",1
--,"ASSIST  by THOMAS,STERLING",,,,,,,"ASSIST  by THOMAS,STERLING",1
12:20,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
12:19,,9,,11 (+2),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 9-11 (-2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
12:19,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
12:19,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
12:01,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",1
12:01,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",1
12:01,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
12:01,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
12:01,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
12:01,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",1
11:45,,9,,13 (+4),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB12 9-13 (-4),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
11:14,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:57,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
10:56,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",1
10:49,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
10:46,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
10:39,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
10:38,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
10:38,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
10:38,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
10:38,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
10:22,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND OFF by THOMAS,STERLING",,,,,,,"REBOUND OFF by THOMAS,STERLING",1
10:12,"GOOD JUMPER by KINNEAR,KYLE",11,,13 (+2),,MSPSM 11-13 (-2),,"GOOD JUMPER by KINNEAR,KYLE",1
09:54,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by WATSON,SHANE",,,"REBOUND OFF by WATSON,SHANE",1
09:47,,,,,"MISS LAYUP by WATSON,SHANE",,,"MISS LAYUP by WATSON,SHANE",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
09:44,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
09:44,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
09:44,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
09:44,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
09:44,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
