Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
15:16,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",2
14:51,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",2
14:35,,28,,45 (+17),"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",OUM 28-45 (-17),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",2
--,,,,,"ASSIST  by PITTS,ALEC",,,"ASSIST  by PITTS,ALEC",2
14:15,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:13,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
14:13,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
14:13,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
14:13,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
14:00,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",2
13:24,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",2
13:24,"BLOCK  by KINNEAR,KYLE",,,,,,,"BLOCK  by KINNEAR,KYLE",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
13:24,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
13:24,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
13:10,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
13:10,"TURNOVER  by MEADES,TAYLOR",,,,,,,"TURNOVER  by MEADES,TAYLOR",2
12:59,,,,,"FOUL  by PURDY,SAM",,,"FOUL  by PURDY,SAM",2
12:59,,,,,"TURNOVER  by PURDY,SAM",,,"TURNOVER  by PURDY,SAM",2
12:59,,,,,"SUB IN by KINNEY,JORDAN",,,"SUB IN by KINNEY,JORDAN",2
12:59,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",2
12:50,,,,,"FOUL  by JOVAAG,BRANDEN",,,"FOUL  by JOVAAG,BRANDEN",2
12:50,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",2
12:50,,,,,"SUB OUT by PITTS,ALEC",,,"SUB OUT by PITTS,ALEC",2
12:34,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by KINNEY,JORDAN",,,"REBOUND DEF by KINNEY,JORDAN",2
12:23,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",2
12:08,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",30,,45 (+15),,MSPSM 30-45 (-15),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",2
11:50,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",2
11:50,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
11:50,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
11:50,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
11:50,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
11:50,,,,,"SUB IN by MOLINET,CHRISTIAN",,,"SUB IN by MOLINET,CHRISTIAN",2
11:50,,,,,"SUB IN by PURDY,SAM",,,"SUB IN by PURDY,SAM",2
11:50,,,,,"SUB OUT by JOVAAG,BRANDEN",,,"SUB OUT by JOVAAG,BRANDEN",2
11:50,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",2
11:49,,,,,"FOUL  by STEIOFF,ANDREW",,,"FOUL  by STEIOFF,ANDREW",2
11:49,,,,,"TURNOVER  by STEIOFF,ANDREW",,,"TURNOVER  by STEIOFF,ANDREW",2
11:35,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",2
--,,,,,"REBOUND DEF by PURDY,SAM",,,"REBOUND DEF by PURDY,SAM",2
11:27,,,,,"MISS 3PTR by PURDY,SAM",,,"MISS 3PTR by PURDY,SAM",2
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",2
11:23,,,,,"FOUL  by STEIOFF,ANDREW",,,"FOUL  by STEIOFF,ANDREW",2
11:04,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",,,"REBOUND DEF by MOLINET,CHRISTIAN",2
10:47,,,,,"MISS JUMPER by STEIOFF,ANDREW",,,"MISS JUMPER by STEIOFF,ANDREW",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
10:37,"MISS JUMPER by WHITE,TIM",,,,,,,"MISS JUMPER by WHITE,TIM",2
--,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",,,"REBOUND DEF by MOLINET,CHRISTIAN",2
10:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:32,,,,,"SUB IN by KINNEY,JORDAN",,,"SUB IN by KINNEY,JORDAN",2
10:32,,,,,"SUB OUT by STEIOFF,ANDREW",,,"SUB OUT by STEIOFF,ANDREW",2
10:20,,,,,"TURNOVER  by CERONE,TYLER",,,"TURNOVER  by CERONE,TYLER",2
10:20,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
10:20,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",2
10:20,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",2
10:20,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
10:20,,,,,"SUB IN by PITTS,ALEC",,,"SUB IN by PITTS,ALEC",2
10:20,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",2
10:06,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",2
09:45,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:21,,,,,"MISS 3PTR by PURDY,SAM",,,"MISS 3PTR by PURDY,SAM",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
09:15,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
09:15,,,,,"STEAL  by MOLINET,CHRISTIAN",,,"STEAL  by MOLINET,CHRISTIAN",2
09:00,,,,,"MISS LAYUP by MOLINET,CHRISTIAN",,,"MISS LAYUP by MOLINET,CHRISTIAN",2
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",2
08:53,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
08:49,"GOOD LAYUP by BERGER,RYAN(in the paint)",32,,45 (+13),,MSPSM 32-45 (-13),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
08:47,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
08:47,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
08:47,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
08:47,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
08:47,,,,,"SUB IN by STEIOFF,ANDREW",,,"SUB IN by STEIOFF,ANDREW",2
08:47,,,,,"SUB IN by JOVAAG,BRANDEN",,,"SUB IN by JOVAAG,BRANDEN",2
08:47,,,,,"SUB OUT by CERONE,TYLER",,,"SUB OUT by CERONE,TYLER",2
08:47,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",2
08:24,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
08:24,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
08:24,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
08:11,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
08:11,,32,,46 (+14),"GOOD FT by STEIOFF,ANDREW",OUM 32-46 (-14),,"GOOD FT by STEIOFF,ANDREW",2
08:11,,32,,47 (+15),"GOOD FT by STEIOFF,ANDREW",OUM 32-47 (-15),,"GOOD FT by STEIOFF,ANDREW",2
07:57,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",2
--,"REBOUND OFF by MONTGOMERY,JAYSON",,,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",2
07:46,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",34,,47 (+13),,MSPSM 34-47 (-13),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
07:09,,,,,"MISS 3PTR by PITTS,ALEC",,,"MISS 3PTR by PITTS,ALEC",2
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",2
06:49,"GOOD 3PTR by MEADES,TAYLOR",37,,47 (+10),,MSPSM 37-47 (-10),,"GOOD 3PTR by MEADES,TAYLOR",2
--,"ASSIST  by THOMAS,STERLING",,,,,,,"ASSIST  by THOMAS,STERLING",2
06:28,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",2
06:28,,37,,48 (+11),"GOOD FT by PITTS,ALEC",OUM 37-48 (-11),,"GOOD FT by PITTS,ALEC",2
06:28,,37,,49 (+12),"GOOD FT by PITTS,ALEC",OUM 37-49 (-12),,"GOOD FT by PITTS,ALEC",2
06:28,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
06:28,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",2
06:28,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
06:28,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
06:22,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
06:06,,,,,"MISS JUMPER by STEIOFF,ANDREW",,,"MISS JUMPER by STEIOFF,ANDREW",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
05:59,"GOOD 3PTR by MEADES,TAYLOR(fastbreak)",40,,49 (+9),,MSPSM 40-49 (-9),,"GOOD 3PTR by MEADES,TAYLOR(fastbreak)",2
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",2
05:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:22,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",,,"MISS JUMPER by MOLINET,CHRISTIAN",2
--,,,,,"REBOUND OFF by PURDY,SAM",,,"REBOUND OFF by PURDY,SAM",2
05:16,,,,,"MISS LAYUP by PITTS,ALEC",,,"MISS LAYUP by PITTS,ALEC",2
05:16,"BLOCK  by KINNEAR,KYLE",,,,,,,"BLOCK  by KINNEAR,KYLE",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
04:53,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",,,"REBOUND DEF by MOLINET,CHRISTIAN",2
04:41,,,,,"MISS LAYUP by KINNEY,JORDAN",,,"MISS LAYUP by KINNEY,JORDAN",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
04:32,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
04:32,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
04:32,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
03:59,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
03:59,,,,,"MISS FT by STEIOFF,ANDREW",,,"MISS FT by STEIOFF,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:59,,,,,"MISS FT by STEIOFF,ANDREW",,,"MISS FT by STEIOFF,ANDREW",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
03:59,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
03:59,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
03:59,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",2
03:59,,,,,"SUB OUT by JOVAAG,BRANDEN",,,"SUB OUT by JOVAAG,BRANDEN",2
03:49,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by PURDY,SAM",,,"REBOUND DEF by PURDY,SAM",2
03:22,,40,,51 (+11),"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",OUM 40-51 (-11),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",2
03:13,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",2
03:08,,,,,"FOUL  by MOLINET,CHRISTIAN",,,"FOUL  by MOLINET,CHRISTIAN",2
03:08,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:08,"GOOD FT by GILLIGAN,TULLY",41,,51 (+10),,MSPSM 41-51 (-10),,"GOOD FT by GILLIGAN,TULLY",2
03:08,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
03:08,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
03:08,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
03:08,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
02:54,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
02:54,,,,,"MISS FT by MOLINET,CHRISTIAN",,,"MISS FT by MOLINET,CHRISTIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:54,,,,,"MISS FT by MOLINET,CHRISTIAN",,,"MISS FT by MOLINET,CHRISTIAN",2
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",2
02:54,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
02:54,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
02:50,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
02:50,,41,,52 (+11),"GOOD FT by PITTS,ALEC",OUM 41-52 (-11),,"GOOD FT by PITTS,ALEC",2
02:50,,41,,53 (+12),"GOOD FT by PITTS,ALEC",OUM 41-53 (-12),,"GOOD FT by PITTS,ALEC",2
02:42,"GOOD JUMPER by CORTESE,NICK(in the paint)",43,,53 (+10),,MSPSM 43-53 (-10),,"GOOD JUMPER by CORTESE,NICK(in the paint)",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
02:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:41,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
02:41,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
02:41,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",2
02:41,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",2
02:29,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
02:29,,,,,"MISS FT by DAVIS,ALEX",,,"MISS FT by DAVIS,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:29,,,,,"MISS FT by DAVIS,ALEX",,,"MISS FT by DAVIS,ALEX",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
02:29,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
02:29,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
02:29,,,,,"SUB IN by MOLINET,CHRISTIAN",,,"SUB IN by MOLINET,CHRISTIAN",2
02:29,,,,,"SUB OUT by CERONE,TYLER",,,"SUB OUT by CERONE,TYLER",2
02:18,"GOOD 3PTR by CORTESE,NICK",46,,53 (+7),,MSPSM 46-53 (-7),,"GOOD 3PTR by CORTESE,NICK",2
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",2
02:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:15,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
02:15,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
02:15,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
02:15,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
02:15,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
02:15,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",2
02:15,,,,,"SUB IN by COURSON,TYLER",,,"SUB IN by COURSON,TYLER",2
02:15,,,,,"SUB IN by JOVAAG,BRANDEN",,,"SUB IN by JOVAAG,BRANDEN",2
02:15,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",2
02:15,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",2
02:15,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",2
02:15,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",2
02:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:11,,,,,"SUB IN by MOLINET,CHRISTIAN",,,"SUB IN by MOLINET,CHRISTIAN",2
02:11,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",2
02:09,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",2
02:09,,46,,54 (+8),"GOOD FT by MOLINET,CHRISTIAN",OUM 46-54 (-8),,"GOOD FT by MOLINET,CHRISTIAN",2
02:09,,46,,55 (+9),"GOOD FT by MOLINET,CHRISTIAN",OUM 46-55 (-9),,"GOOD FT by MOLINET,CHRISTIAN",2
02:09,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",2
02:09,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
02:09,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
02:09,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
02:09,,,,,"SUB IN by DAVIS,ALEX",,,"SUB IN by DAVIS,ALEX",2
02:09,,,,,"SUB IN by PURDY,SAM",,,"SUB IN by PURDY,SAM",2
02:09,,,,,"SUB OUT by JOVAAG,BRANDEN",,,"SUB OUT by JOVAAG,BRANDEN",2
02:09,,,,,"SUB OUT by CERONE,TYLER",,,"SUB OUT by CERONE,TYLER",2
01:53,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
01:46,"GOOD LAYUP by BERGER,RYAN(in the paint)",48,,55 (+7),,MSPSM 48-55 (-7),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
01:45,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
01:45,,,,,"MISS FT by STEIOFF,ANDREW",,,"MISS FT by STEIOFF,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:45,,48,,56 (+8),"GOOD FT by STEIOFF,ANDREW",OUM 48-56 (-8),,"GOOD FT by STEIOFF,ANDREW",2
01:44,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
01:44,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
01:38,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",2
01:30,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
01:30,,48,,57 (+9),"GOOD FT by MOLINET,CHRISTIAN",OUM 48-57 (-9),,"GOOD FT by MOLINET,CHRISTIAN",2
01:30,,48,,58 (+10),"GOOD FT by MOLINET,CHRISTIAN",OUM 48-58 (-10),,"GOOD FT by MOLINET,CHRISTIAN",2
01:18,"GOOD 3PTR by BERGER,RYAN",51,,58 (+7),,MSPSM 51-58 (-7),,"GOOD 3PTR by BERGER,RYAN",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
01:08,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
01:08,,51,,59 (+8),"GOOD FT by MOLINET,CHRISTIAN",OUM 51-59 (-8),,"GOOD FT by MOLINET,CHRISTIAN",2
01:08,,51,,60 (+9),"GOOD FT by MOLINET,CHRISTIAN",OUM 51-60 (-9),,"GOOD FT by MOLINET,CHRISTIAN",2
01:01,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",2
00:57,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
00:57,,51,,61 (+10),"GOOD FT by DAVIS,ALEX",OUM 51-61 (-10),,"GOOD FT by DAVIS,ALEX",2
00:57,,51,,62 (+11),"GOOD FT by DAVIS,ALEX",OUM 51-62 (-11),,"GOOD FT by DAVIS,ALEX",2
00:57,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
00:57,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
00:53,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",,,"REBOUND DEF by MOLINET,CHRISTIAN",2
00:49,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
00:49,,,,,"MISS FT by MOLINET,CHRISTIAN",,,"MISS FT by MOLINET,CHRISTIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:49,,51,,63 (+12),"GOOD FT by MOLINET,CHRISTIAN",OUM 51-63 (-12),,"GOOD FT by MOLINET,CHRISTIAN",2
00:49,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
00:49,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
00:40,,,,,"FOUL  by PITTS,ALEC",,,"FOUL  by PITTS,ALEC",2
00:40,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:40,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
00:40,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
00:40,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",2
00:40,,,,,"SUB OUT by STEIOFF,ANDREW",,,"SUB OUT by STEIOFF,ANDREW",2
00:38,,,,,"SUB IN by STEIOFF,ANDREW",,,"SUB IN by STEIOFF,ANDREW",2
00:38,,,,,"SUB OUT by CERONE,TYLER",,,"SUB OUT by CERONE,TYLER",2
00:37,,,,,"FOUL  by PITTS,ALEC",,,"FOUL  by PITTS,ALEC",2
00:37,"GOOD FT by BERGER,RYAN",52,,63 (+11),,MSPSM 52-63 (-11),,"GOOD FT by BERGER,RYAN",2
00:37,"GOOD FT by BERGER,RYAN",53,,63 (+10),,MSPSM 53-63 (-10),,"GOOD FT by BERGER,RYAN",2
00:37,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
00:37,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",2
00:37,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",2
00:37,,,,,"SUB OUT by PURDY,SAM",,,"SUB OUT by PURDY,SAM",2
00:36,,,,,"TURNOVER  by CERONE,TYLER",,,"TURNOVER  by CERONE,TYLER",2
00:36,,,,,"SUB IN by PURDY,SAM",,,"SUB IN by PURDY,SAM",2
00:36,,,,,"SUB OUT by CERONE,TYLER",,,"SUB OUT by CERONE,TYLER",2
00:31,"GOOD 3PTR by GILLIGAN,TULLY",56,,63 (+7),,MSPSM 56-63 (-7),,"GOOD 3PTR by GILLIGAN,TULLY",2
00:26,,56,,65 (+9),"GOOD DUNK by STEIOFF,ANDREW(fastbreak)(in the paint)",OUM 56-65 (-9),,"GOOD DUNK by STEIOFF,ANDREW(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by PURDY,SAM",,,"ASSIST  by PURDY,SAM",2
00:21,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by PURDY,SAM",,,"REBOUND DEF by PURDY,SAM",2
