Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MSPS,Game Score,Team Indicator,Play,Period
15:22,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
15:22,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
15:22,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
15:22,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
15:13,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",2
14:50,,34 (+1),,33,"GOOD JUMPER by WHITE,TIM",MSPS 34-33 (-1),,"GOOD JUMPER by WHITE,TIM",2
14:26,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",2
14:26,,,,,"BLOCK  by THOMAS,STERLING",,,"BLOCK  by THOMAS,STERLING",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
14:01,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
13:43,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
13:09,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",2
13:07,,34,,35 (+1),"GOOD LAYUP by THOMAS,STERLING(in the paint)",MSPS 34-35 (+1),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
12:44,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",2
12:16,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",2
12:16,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
12:16,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
11:51,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
11:50,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",2
11:46,,34,,37 (+3),"GOOD LAYUP by THOMAS,STERLING(in the paint)",MSPS 34-37 (+3),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
11:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:43,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
11:43,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
11:43,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
11:43,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
11:43,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
11:43,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
11:43,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
11:43,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
11:43,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
11:43,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
11:29,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
11:29,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
11:20,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",36,,37 (+1),,BSC 36-37 (+1),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
10:51,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
10:51,,36,,38 (+2),"GOOD FT by MEADES,TAYLOR",MSPS 36-38 (+2),,"GOOD FT by MEADES,TAYLOR",2
10:51,,36,,39 (+3),"GOOD FT by MEADES,TAYLOR",MSPS 36-39 (+3),,"GOOD FT by MEADES,TAYLOR",2
10:35,"GOOD 3PTR by KEGARISE,KEVIN",39,,39,,BSC 39-39 (0),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",2
10:11,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
09:48,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
09:46,"GOOD LAYUP by HENRY,COLIN(in the paint)",41 (+2),,39,,BSC 41-39 (-2),,"GOOD LAYUP by HENRY,COLIN(in the paint)",2
09:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:40,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
09:40,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
09:40,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
09:40,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
09:21,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
08:51,"GOOD JUMPER by WHITE,BLAISE",43 (+4),,39,,BSC 43-39 (-4),,"GOOD JUMPER by WHITE,BLAISE",2
08:35,,,,,"MISS 3PTR by BROWN,JEFF",,,"MISS 3PTR by BROWN,JEFF",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
08:25,"GOOD LAYUP by WHITE,BLAISE(in the paint)",45 (+6),,39,,BSC 45-39 (-6),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
08:25,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
08:25,"GOOD FT by WHITE,BLAISE",46 (+7),,39,,BSC 46-39 (-7),,"GOOD FT by WHITE,BLAISE",2
07:51,,46 (+5),,41,"GOOD JUMPER by MEADES,TAYLOR",MSPS 46-41 (-5),,"GOOD JUMPER by MEADES,TAYLOR",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
07:36,"GOOD JUMPER by KEGARISE,KEVIN",48 (+7),,41,,BSC 48-41 (-7),,"GOOD JUMPER by KEGARISE,KEVIN",2
07:01,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
06:41,"GOOD 3PTR by KEGARISE,KEVIN",51 (+10),,41,,BSC 51-41 (-10),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
06:27,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
06:17,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
06:17,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
06:17,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
06:17,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
06:17,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
06:17,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
06:17,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
06:17,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
06:17,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
06:17,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
06:17,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
06:17,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
06:17,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
06:17,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
06:17,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
06:17,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
06:02,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
06:01,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
05:30,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",2
05:28,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
05:08,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
04:41,,51 (+8),,43,"GOOD LAYUP by CORTESE,NICK(in the paint)",MSPS 51-43 (-8),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
04:41,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
04:41,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
04:41,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
04:41,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",2
04:37,"GOOD FT by THOMAS,LARRY",52 (+9),,43,,BSC 52-43 (-9),,"GOOD FT by THOMAS,LARRY",2
04:37,"GOOD FT by THOMAS,LARRY",53 (+10),,43,,BSC 53-43 (-10),,"GOOD FT by THOMAS,LARRY",2
04:37,"GOOD FT by THOMAS,LARRY",54 (+11),,43,,BSC 54-43 (-11),,"GOOD FT by THOMAS,LARRY",2
04:13,,54 (+9),,45,"GOOD JUMPER by THOMAS,STERLING",MSPS 54-45 (-9),,"GOOD JUMPER by THOMAS,STERLING",2
03:57,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:36,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
03:36,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
03:36,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
03:36,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
03:36,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
03:36,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
03:36,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
03:36,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
03:29,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
03:29,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",2
03:29,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
03:16,,54 (+7),,47,"GOOD LAYUP by CORTESE,NICK(in the paint)",MSPS 54-47 (-7),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
03:16,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
03:16,,54 (+6),,48,"GOOD FT by CORTESE,NICK",MSPS 54-48 (-6),,"GOOD FT by CORTESE,NICK",2
03:05,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
03:05,"GOOD FT by WHITE,BLAISE",55 (+7),,48,,BSC 55-48 (-7),,"GOOD FT by WHITE,BLAISE",2
03:05,"GOOD FT by WHITE,BLAISE",56 (+8),,48,,BSC 56-48 (-8),,"GOOD FT by WHITE,BLAISE",2
03:05,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
03:05,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
03:05,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
03:05,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
03:05,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
03:05,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
02:45,,56 (+6),,50,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MSPS 56-50 (-6),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
02:11,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
02:11,"GOOD FT by HENRY,COLIN",57 (+7),,50,,BSC 57-50 (-7),,"GOOD FT by HENRY,COLIN",2
02:11,"GOOD FT by HENRY,COLIN",58 (+8),,50,,BSC 58-50 (-8),,"GOOD FT by HENRY,COLIN",2
02:11,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
02:11,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
02:00,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
01:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:50,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
01:50,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:50,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
01:50,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
01:50,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
01:50,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
01:38,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",60 (+10),,50,,BSC 60-50 (-10),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
01:20,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:19,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
01:19,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
01:06,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
01:06,"GOOD FT by KEGARISE,KEVIN",61 (+11),,50,,BSC 61-50 (-11),,"GOOD FT by KEGARISE,KEVIN",2
01:06,"GOOD FT by KEGARISE,KEVIN",62 (+12),,50,,BSC 62-50 (-12),,"GOOD FT by KEGARISE,KEVIN",2
01:00,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",2
00:59,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
00:56,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
00:56,"GOOD FT by WHITE,BLAISE",63 (+13),,50,,BSC 63-50 (-13),,"GOOD FT by WHITE,BLAISE",2
00:56,"GOOD FT by WHITE,BLAISE",64 (+14),,50,,BSC 64-50 (-14),,"GOOD FT by WHITE,BLAISE",2
00:56,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
00:56,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
00:56,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
00:56,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
00:51,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
00:51,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
00:51,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
00:32,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
00:32,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
00:32,"MISS FT by WHITE,BLAISE",,,,,,,"MISS FT by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
00:32,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
00:32,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
00:18,,64 (+12),,52,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",MSPS 64-52 (-12),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",2
00:18,,,,,"FOUL  by PEARS,BRUCE",,,"FOUL  by PEARS,BRUCE",2
00:18,"MISS FT by KEGARISE,KEVIN",,,,,,,"MISS FT by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",2
00:18,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
00:18,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
00:18,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
00:18,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",2
00:18,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
00:18,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
00:18,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:18,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
00:18,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
00:18,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
00:10,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
00:10,,,,,"SUB IN by PEARS,BRUCE",,,"SUB IN by PEARS,BRUCE",2
00:10,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
00:10,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
00:10,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
00:10,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
