Time Remaining,MSPS,Away Team Score,Play Team Indicator,Home Team Score,SUM,Game Score,Team Indicator,Play,Period
14:30,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
14:29,,,,,"STEAL  by KOCHER,CHASE",,,"STEAL  by KOCHER,CHASE",1
14:15,,,,,"MISS 3PTR by JOHNSON,ADRIAN",,,"MISS 3PTR by JOHNSON,ADRIAN",1
--,,,,,"REBOUND DEF by SEVERSON,CARSON",,,"REBOUND DEF by SEVERSON,CARSON",1
14:04,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",1
14:04,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
14:04,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
14:04,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
14:04,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
14:04,,,,,"SUB IN by HURLEY,LOGAN",,,"SUB IN by HURLEY,LOGAN",1
14:04,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
14:04,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",1
14:04,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
14:04,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
14:04,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
14:04,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
14:04,,,,,"SUB OUT by JOHNSON,ADRIAN",,,"SUB OUT by JOHNSON,ADRIAN",1
14:04,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
13:52,"BLOCK  by KINNEAR,KYLE",,,,,,,"BLOCK  by KINNEAR,KYLE",1
--,"REBOUND OFF by BROWN,JEFF",,,,,,,"REBOUND OFF by BROWN,JEFF",1
13:52,"MISS LAYUP by BROWN,JEFF",,,,,,,"MISS LAYUP by BROWN,JEFF",1
13:49,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
13:49,"GOOD LAYUP by BROWN,JEFF(in the paint)",8 (+3),,5,,MSPS 8-5 (+3),,"GOOD LAYUP by BROWN,JEFF(in the paint)",1
--,,,,,"REBOUND DEF by CANTU,MICHAEL",,,"REBOUND DEF by CANTU,MICHAEL",1
13:31,,,,,"BLOCK  by KURTZ,TRAVIS",,,"BLOCK  by KURTZ,TRAVIS",1
13:11,,8,,8,"GOOD 3PTR by KURTZ,TRAVIS",SUM 8-8 (0),,"GOOD 3PTR by KURTZ,TRAVIS",1
--,,,,,"ASSIST  by DAVENPORT,JAMES",,,"ASSIST  by DAVENPORT,JAMES",1
13:03,,8,,10 (+2),"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",SUM 8-10 (-2),,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",1
--,,,,,"ASSIST  by SPEARMAN,DEMETRICE",,,"ASSIST  by SPEARMAN,DEMETRICE",1
12:50,,8,,12 (+4),"GOOD JUMPER by KURTZ,TRAVIS",SUM 8-12 (-4),,"GOOD JUMPER by KURTZ,TRAVIS",1
--,,,,,"ASSIST  by DAVENPORT,JAMES",,,"ASSIST  by DAVENPORT,JAMES",1
12:44,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",1
--,,,,,"REBOUND DEF by HURLEY,LOGAN",,,"REBOUND DEF by HURLEY,LOGAN",1
12:33,,,,,"TURNOVER  by HURLEY,LOGAN",,,"TURNOVER  by HURLEY,LOGAN",1
12:31,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
12:31,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
12:31,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
12:31,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
12:31,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
12:31,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
12:31,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",1
12:31,,,,,"SUB IN by JOHNSON,ADRIAN",,,"SUB IN by JOHNSON,ADRIAN",1
12:31,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",1
12:31,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
12:31,,,,,"SUB OUT by HURLEY,LOGAN",,,"SUB OUT by HURLEY,LOGAN",1
12:31,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
12:31,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
12:31,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
12:24,"GOOD 3PTR by KASTNER,MURRAY",11,,12 (+1),,MSPS 11-12 (-1),,"GOOD 3PTR by KASTNER,MURRAY",1
12:16,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
12:10,,,,,"MISS LAYUP by KURTZ,TRAVIS",,,"MISS LAYUP by KURTZ,TRAVIS",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
12:09,"GOOD 3PTR by CORTESE,NICK",14 (+2),,12,,MSPS 14-12 (+2),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
11:45,,,,,"FOUL  by ATIEE,NICK",,,"FOUL  by ATIEE,NICK",1
11:45,,,,,"MISS JUMPER by KOCHER,CHASE",,,"MISS JUMPER by KOCHER,CHASE",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
11:36,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
11:35,,,,,"STEAL  by ATIEE,NICK",,,"STEAL  by ATIEE,NICK",1
11:34,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by KURTZ,TRAVIS",,,"REBOUND DEF by KURTZ,TRAVIS",1
11:33,,14,,14,"GOOD JUMPER by ATIEE,NICK(fastbreak)",SUM 14-14 (0),,"GOOD JUMPER by ATIEE,NICK(fastbreak)",1
10:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:05,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
10:05,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
10:03,"GOOD JUMPER by BERGER,RYAN",16 (+2),,14,,MSPS 16-14 (+2),,"GOOD JUMPER by BERGER,RYAN",1
10:00,,,,,"FOUL  by MYERS,SEAN",,,"FOUL  by MYERS,SEAN",1
10:00,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",1
--,,,,,"REBOUND DEF by MYERS,SEAN",,,"REBOUND DEF by MYERS,SEAN",1
09:42,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
09:24,,,,,"TURNOVER  by MATAYA,DANIEL",,,"TURNOVER  by MATAYA,DANIEL",1
09:07,,,,,"TURNOVER  by KOCHER,CHASE",,,"TURNOVER  by KOCHER,CHASE",1
09:01,"STEAL  by THOMAS,STERLING",,,,,,,"STEAL  by THOMAS,STERLING",1
08:59,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",1
08:58,,,,,"STEAL  by KOCHER,CHASE",,,"STEAL  by KOCHER,CHASE",1
08:56,"GOOD LAYUP by THOMAS,STERLING(in the paint)",18 (+4),,14,,MSPS 18-14 (+4),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
08:42,,,,,"MISS JUMPER by MYERS,SEAN",,,"MISS JUMPER by MYERS,SEAN",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
08:32,,,,,"FOUL  by MYERS,SEAN",,,"FOUL  by MYERS,SEAN",1
08:29,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
08:29,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
08:29,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",1
08:29,,,,,"SUB IN by HURLEY,LOGAN",,,"SUB IN by HURLEY,LOGAN",1
08:29,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
08:29,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
08:29,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
08:29,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
08:29,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
08:29,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
08:29,,,,,"SUB OUT by JOHNSON,ADRIAN",,,"SUB OUT by JOHNSON,ADRIAN",1
08:29,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",1
07:51,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",1
07:36,,,,,"MISS JUMPER by CANTU,MICHAEL",,,"MISS JUMPER by CANTU,MICHAEL",1
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",1
07:29,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
07:29,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
07:18,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
07:18,,,,,"STEAL  by CANTU,MICHAEL",,,"STEAL  by CANTU,MICHAEL",1
07:18,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",1
07:18,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
07:18,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
07:10,,18 (+2),,16,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",SUM 18-16 (+2),,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",1
--,,,,,"ASSIST  by SPEARMAN,DEMETRICE",,,"ASSIST  by SPEARMAN,DEMETRICE",1
06:56,"GOOD 3PTR by CORTESE,NICK",21 (+5),,16,,MSPS 21-16 (+5),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by KINNEAR,KYLE",,,,,,,"ASSIST  by KINNEAR,KYLE",1
06:35,,,,,"MISS 3PTR by HURLEY,LOGAN",,,"MISS 3PTR by HURLEY,LOGAN",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
06:30,,,,,"SUB IN by SEVERSON,CARSON",,,"SUB IN by SEVERSON,CARSON",1
06:30,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",1
06:18,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by HURLEY,LOGAN",,,"REBOUND DEF by HURLEY,LOGAN",1
05:54,,,,,"MISS LAYUP by DAVENPORT,JAMES",,,"MISS LAYUP by DAVENPORT,JAMES",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
05:32,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by KURTZ,TRAVIS",,,"REBOUND DEF by KURTZ,TRAVIS",1
05:18,,21 (+3),,18,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",SUM 21-18 (+3),,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",1
04:58,"GOOD 3PTR by CORTESE,NICK",24 (+6),,18,,MSPS 24-18 (+6),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by KINNEAR,KYLE",,,,,,,"ASSIST  by KINNEAR,KYLE",1
04:32,,,,,"MISS JUMPER by HURLEY,LOGAN",,,"MISS JUMPER by HURLEY,LOGAN",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
04:13,"MISS LAYUP by KINNEAR,KYLE",,,,,,,"MISS LAYUP by KINNEAR,KYLE",1
04:13,,,,,"BLOCK  by HURLEY,LOGAN",,,"BLOCK  by HURLEY,LOGAN",1
--,,,,,"REBOUND DEF by KURTZ,TRAVIS",,,"REBOUND DEF by KURTZ,TRAVIS",1
03:58,,24 (+4),,20,"GOOD JUMPER by HURLEY,LOGAN",SUM 24-20 (+4),,"GOOD JUMPER by HURLEY,LOGAN",1
03:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:57,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",1
03:57,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",1
03:57,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",1
03:57,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",1
03:57,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",1
03:57,,,,,"SUB OUT by SEVERSON,CARSON",,,"SUB OUT by SEVERSON,CARSON",1
03:57,,,,,"SUB OUT by HURLEY,LOGAN",,,"SUB OUT by HURLEY,LOGAN",1
03:57,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",1
03:57,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",1
03:57,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",1
03:56,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
03:56,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
03:47,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",26 (+6),,20,,MSPS 26-20 (+6),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",1
03:31,,26 (+4),,22,"GOOD JUMPER by ATIEE,NICK",SUM 26-22 (+4),,"GOOD JUMPER by ATIEE,NICK",1
03:23,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",1
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",1
03:19,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",28 (+6),,22,,MSPS 28-22 (+6),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
03:06,,,,,"MISS LAYUP by KOCHER,CHASE",,,"MISS LAYUP by KOCHER,CHASE",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
02:58,"GOOD 3PTR by CORTESE,NICK",31 (+9),,22,,MSPS 31-22 (+9),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
02:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:50,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
02:50,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
02:31,,31 (+7),,24,"GOOD LAYUP by MATAYA,DANIEL(in the paint)",SUM 31-24 (+7),,"GOOD LAYUP by MATAYA,DANIEL(in the paint)",1
02:05,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND OFF by BROWN,JEFF",,,,,,,"REBOUND OFF by BROWN,JEFF",1
02:00,"MISS LAYUP by BROWN,JEFF",,,,,,,"MISS LAYUP by BROWN,JEFF",1
--,,,,,"REBOUND DEF by TATES,JOSHUA",,,"REBOUND DEF by TATES,JOSHUA",1
01:45,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",1
01:45,,,,,"SUB IN by HURLEY,LOGAN",,,"SUB IN by HURLEY,LOGAN",1
01:45,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",1
01:45,,,,,"SUB IN by SEVERSON,CARSON",,,"SUB IN by SEVERSON,CARSON",1
01:45,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",1
01:45,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",1
01:45,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",1
01:45,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",1
01:45,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",1
01:45,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",1
01:23,,31 (+4),,27,"GOOD 3PTR by KURTZ,TRAVIS",SUM 31-27 (+4),,"GOOD 3PTR by KURTZ,TRAVIS",1
--,,,,,"ASSIST  by SEVERSON,CARSON",,,"ASSIST  by SEVERSON,CARSON",1
00:56,"TURNOVER  by BROWN,JEFF",,,,,,,"TURNOVER  by BROWN,JEFF",1
00:53,,,,,"STEAL  by HURLEY,LOGAN",,,"STEAL  by HURLEY,LOGAN",1
00:45,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",1
00:45,,,,,"MISS FT by DAVENPORT,JAMES",,,"MISS FT by DAVENPORT,JAMES",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
00:17,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by HURLEY,LOGAN",,,"REBOUND DEF by HURLEY,LOGAN",1
00:00,,,,,"MISS LAYUP by CANTU,MICHAEL",,,"MISS LAYUP by CANTU,MICHAEL",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
00:00,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:42,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",33 (+6),,27,,MSPS 33-27 (+6),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",2
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",2
19:41,,,,,"FOUL  by KURTZ,TRAVIS",,,"FOUL  by KURTZ,TRAVIS",2
19:41,"GOOD FT by KINNEAR,KYLE",34 (+7),,27,,MSPS 34-27 (+7),,"GOOD FT by KINNEAR,KYLE",2
19:21,,,,,"TURNOVER  by CANTU,MICHAEL",,,"TURNOVER  by CANTU,MICHAEL",2
19:19,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",2
19:07,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",2
18:57,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",2
18:37,,,,,"MISS JUMPER by DAVENPORT,JAMES",,,"MISS JUMPER by DAVENPORT,JAMES",2
--,,,,,"REBOUND OFF by DAVENPORT,JAMES",,,"REBOUND OFF by DAVENPORT,JAMES",2
18:36,,34 (+5),,29,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",SUM 34-29 (+5),,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",2
18:16,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",2
--,,,,,"REBOUND DEF by CANTU,MICHAEL",,,"REBOUND DEF by CANTU,MICHAEL",2
18:05,,34 (+2),,32,"GOOD 3PTR by SPEARMAN,DEMETRICE",SUM 34-32 (+2),,"GOOD 3PTR by SPEARMAN,DEMETRICE",2
