Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",BSC 0-2 (-2),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
19:14,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
19:03,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
18:58,"GOOD LAYUP by BROWN,JEFF(fastbreak)(in the paint)",2,,2,,MC 2-2 (0),,"GOOD LAYUP by BROWN,JEFF(fastbreak)(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
18:22,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
18:21,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",1
18:19,"GOOD LAYUP by WHITE,TIM(fastbreak)(in the paint)",4 (+2),,2,,MC 4-2 (+2),,"GOOD LAYUP by WHITE,TIM(fastbreak)(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
17:51,,4,,4,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 4-4 (0),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
17:24,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
17:13,,,,,"MISS 3PTR by RICHARDS,ZAC",,,"MISS 3PTR by RICHARDS,ZAC",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
17:01,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",6 (+2),,4,,MC 6-4 (+2),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
16:50,,6,,6,"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 6-6 (0),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
16:40,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",8 (+2),,6,,MC 8-6 (+2),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
16:29,,8,,9 (+1),"GOOD 3PTR by HENRY,COLIN",BSC 8-9 (-1),,"GOOD 3PTR by HENRY,COLIN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
16:02,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
15:53,,8,,12 (+4),"GOOD 3PTR by JONUS,JASEN",BSC 8-12 (-4),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
15:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:50,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
15:50,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
15:50,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",1
15:50,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
15:50,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
15:50,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",1
15:39,"MISS LAYUP by BROWN,JEFF",,,,,,,"MISS LAYUP by BROWN,JEFF",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
15:24,,8,,15 (+7),"GOOD 3PTR by JONUS,JASEN",BSC 8-15 (-7),,"GOOD 3PTR by JONUS,JASEN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
15:23,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
15:23,,8,,16 (+8),"GOOD FT by JONUS,JASEN",BSC 8-16 (-8),,"GOOD FT by JONUS,JASEN",1
15:23,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
15:23,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
15:23,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
15:23,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
15:14,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
14:54,,8,,18 (+10),"GOOD LAYUP by JONUS,JASEN(in the paint)",BSC 8-18 (-10),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
14:20,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:17,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",1
14:17,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
14:17,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",1
14:17,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",1
14:17,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
14:17,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
14:17,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
14:17,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
14:14,"TURNOVER  by MEADES,TAYLOR",,,,,,,"TURNOVER  by MEADES,TAYLOR",1
13:48,,,,,"TURNOVER  by JONUS,JASEN",,,"TURNOVER  by JONUS,JASEN",1
13:48,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
13:33,,,,,"FOUL  by JONUS,JASEN",,,"FOUL  by JONUS,JASEN",1
13:33,"GOOD FT by MEADES,TAYLOR",9,,18 (+9),,MC 9-18 (-9),,"GOOD FT by MEADES,TAYLOR",1
13:33,"GOOD FT by MEADES,TAYLOR",10,,18 (+8),,MC 10-18 (-8),,"GOOD FT by MEADES,TAYLOR",1
13:33,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
13:33,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
13:33,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
13:33,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
13:20,,10,,21 (+11),"GOOD 3PTR by THOMAS,LARRY",BSC 10-21 (-11),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by MURPHY,NICK",,,"ASSIST  by MURPHY,NICK",1
13:08,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",1
13:06,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
12:47,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
12:41,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
12:40,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
12:34,"FOUL  by WHITE,TIM",,,,,,,"FOUL  by WHITE,TIM",1
12:34,,10,,22 (+12),"GOOD FT by SCHAMP,GRIFFIN",BSC 10-22 (-12),,"GOOD FT by SCHAMP,GRIFFIN",1
12:34,,10,,23 (+13),"GOOD FT by SCHAMP,GRIFFIN",BSC 10-23 (-13),,"GOOD FT by SCHAMP,GRIFFIN",1
12:34,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
12:34,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
12:23,"GOOD JUMPER by THOMAS,STERLING",12,,23 (+11),,MC 12-23 (-11),,"GOOD JUMPER by THOMAS,STERLING",1
12:11,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",1
12:06,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",1
11:52,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by LEE,CALEB",,,"REBOUND OFF by LEE,CALEB",1
11:49,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",1
11:49,,12,,24 (+12),"GOOD FT by LEE,CALEB",BSC 12-24 (-12),,"GOOD FT by LEE,CALEB",1
11:49,,,,,"MISS FT by LEE,CALEB",,,"MISS FT by LEE,CALEB",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
11:30,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
11:29,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",1
11:24,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
11:17,"GOOD LAYUP by THOMAS,STERLING(fastbreak)(in the paint)",14,,24 (+10),,MC 14-24 (-10),,"GOOD LAYUP by THOMAS,STERLING(fastbreak)(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
