Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
12:00,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",1
11:54,,4,,11 (+7),"GOOD JUMPER by STEPHENS,JOE",UDMB 4-11 (-7),,"GOOD JUMPER by STEPHENS,JOE",1
--,,,,,"ASSIST  by GILE,CURTIS",,,"ASSIST  by GILE,CURTIS",1
11:38,"GOOD 3PTR by MEADES,TAYLOR",7,,11 (+4),,MSPSM 7-11 (-4),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by WHITE,TIM",,,,,,,"ASSIST  by WHITE,TIM",1
11:10,,,,,"MISS 3PTR by BRUFFEY,TANNER",,,"MISS 3PTR by BRUFFEY,TANNER",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
10:58,"MISS 3PTR by GILLIGAN,TULLY",,,,,,,"MISS 3PTR by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",1
10:48,,7,,13 (+6),"GOOD LAYUP by ASSINESI,DREW(in the paint)",UDMB 7-13 (-6),,"GOOD LAYUP by ASSINESI,DREW(in the paint)",1
10:35,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
10:33,,,,,"STEAL  by ASSINESI,DREW",,,"STEAL  by ASSINESI,DREW",1
10:30,,,,,"MISS LAYUP by ASSINESI,DREW",,,"MISS LAYUP by ASSINESI,DREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:07,"TURNOVER  by MEADES,TAYLOR",,,,,,,"TURNOVER  by MEADES,TAYLOR",1
10:06,,,,,"STEAL  by ASSINESI,DREW",,,"STEAL  by ASSINESI,DREW",1
10:03,,7,,15 (+8),"GOOD LAYUP by ASSINESI,DREW(in the paint)",UDMB 7-15 (-8),,"GOOD LAYUP by ASSINESI,DREW(in the paint)",1
09:35,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",1
09:17,,,,,"MISS 3PTR by GILE,CURTIS",,,"MISS 3PTR by GILE,CURTIS",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
09:05,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",1
09:05,"TURNOVER  by BROWN,JEFF",,,,,,,"TURNOVER  by BROWN,JEFF",1
08:48,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:28,,,,,"FOUL  by STOLL,JOE",,,"FOUL  by STOLL,JOE",1
08:18,"GOOD LAYUP by BERGER,RYAN(in the paint)",9,,15 (+6),,MSPSM 9-15 (-6),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
08:01,,9,,17 (+8),"GOOD LAYUP by GILE,CURTIS(in the paint)",UDMB 9-17 (-8),,"GOOD LAYUP by GILE,CURTIS(in the paint)",1
07:16,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND DEF by GILE,CURTIS",,,"REBOUND DEF by GILE,CURTIS",1
07:05,,,,,"TURNOVER  by HIGHTOWER,BRAETON",,,"TURNOVER  by HIGHTOWER,BRAETON",1
06:52,"GOOD JUMPER by CORTESE,NICK",11,,17 (+6),,MSPSM 11-17 (-6),,"GOOD JUMPER by CORTESE,NICK",1
--,"ASSIST  by KINNEAR,KYLE",,,,,,,"ASSIST  by KINNEAR,KYLE",1
06:35,,,,,"MISS LAYUP by GILE,CURTIS",,,"MISS LAYUP by GILE,CURTIS",1
06:35,"BLOCK  by KINNEAR,KYLE",,,,,,,"BLOCK  by KINNEAR,KYLE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:28,,,,,"MISS 3PTR by HIGHTOWER,BRAETON",,,"MISS 3PTR by HIGHTOWER,BRAETON",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
06:10,"MISS JUMPER by KINNEAR,KYLE",,,,,,,"MISS JUMPER by KINNEAR,KYLE",1
--,,,,,"REBOUND DEF by GILE,CURTIS",,,"REBOUND DEF by GILE,CURTIS",1
05:57,,,,,"MISS 3PTR by GILE,CURTIS",,,"MISS 3PTR by GILE,CURTIS",1
--,,,,,"REBOUND OFF by MALONE,KYM",,,"REBOUND OFF by MALONE,KYM",1
05:50,,,,,"MISS 3PTR by MALONE,KYM",,,"MISS 3PTR by MALONE,KYM",1
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",1
05:41,"GOOD JUMPER by MERKEL,BRIAN(in the paint)",13,,17 (+4),,MSPSM 13-17 (-4),,"GOOD JUMPER by MERKEL,BRIAN(in the paint)",1
05:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:21,,,,,"TURNOVER  by HIGHTOWER,BRAETON",,,"TURNOVER  by HIGHTOWER,BRAETON",1
04:21,"STEAL  by MEADES,TAYLOR",,,,,,,"STEAL  by MEADES,TAYLOR",1
04:21,"TURNOVER  by MEADES,TAYLOR",,,,,,,"TURNOVER  by MEADES,TAYLOR",1
04:21,,,,,"MISS JUMPER by HIGHTOWER,BRAETON",,,"MISS JUMPER by HIGHTOWER,BRAETON",1
--,,,,,"REBOUND OFF by WYATT,AARON",,,"REBOUND OFF by WYATT,AARON",1
04:21,,,,,"MISS JUMPER by WYATT,AARON",,,"MISS JUMPER by WYATT,AARON",1
04:21,"BLOCK  by KINNEAR,KYLE",,,,,,,"BLOCK  by KINNEAR,KYLE",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
04:20,"GOOD 3PTR by MEADES,TAYLOR",16,,17 (+1),,MSPSM 16-17 (-1),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
04:19,,,,,"MISS LAYUP by BRUFFEY,TANNER",,,"MISS LAYUP by BRUFFEY,TANNER",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
04:16,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",18 (+1),,17,,MSPSM 18-17 (+1),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
04:16,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",1
04:16,"GOOD FT by MEADES,TAYLOR",19 (+2),,17,,MSPSM 19-17 (+2),,"GOOD FT by MEADES,TAYLOR",1
03:53,,,,,"MISS LAYUP by ASSINESI,DREW",,,"MISS LAYUP by ASSINESI,DREW",1
--,,,,,"REBOUND OFF by BRUFFEY,TANNER",,,"REBOUND OFF by BRUFFEY,TANNER",1
03:41,,19,,19,"GOOD JUMPER by STEPHENS,JOE(in the paint)",UDMB 19-19 (0),,"GOOD JUMPER by STEPHENS,JOE(in the paint)",1
--,,,,,"ASSIST  by BRUFFEY,TANNER",,,"ASSIST  by BRUFFEY,TANNER",1
03:21,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",21 (+2),,19,,MSPSM 21-19 (+2),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
03:04,,,,,"TURNOVER  by HIGHTOWER,BRAETON",,,"TURNOVER  by HIGHTOWER,BRAETON",1
02:42,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",1
02:31,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
02:20,"MISS JUMPER by WHITE,TIM",,,,,,,"MISS JUMPER by WHITE,TIM",1
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",1
02:17,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",23 (+4),,19,,MSPSM 23-19 (+4),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
02:03,,23 (+1),,22,"GOOD 3PTR by HIGHTOWER,BRAETON",UDMB 23-22 (+1),,"GOOD 3PTR by HIGHTOWER,BRAETON",1
--,,,,,"ASSIST  by STEPHENS,JOE",,,"ASSIST  by STEPHENS,JOE",1
01:46,,,,,"FOUL  by HIGHTOWER,BRAETON",,,"FOUL  by HIGHTOWER,BRAETON",1
01:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:41,"GOOD LAYUP by BROWN,JEFF(in the paint)",25 (+3),,22,,MSPSM 25-22 (+3),,"GOOD LAYUP by BROWN,JEFF(in the paint)",1
01:23,,25 (+1),,24,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",UDMB 25-24 (+1),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",1
00:45,"MISS 3PTR by WHITE,TIM",,,,,,,"MISS 3PTR by WHITE,TIM",1
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",1
00:33,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
00:12,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",1
00:05,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
00:05,,25,,25,"GOOD FT by WYATT,AARON",UDMB 25-25 (0),,"GOOD FT by WYATT,AARON",1
00:05,,,,,"MISS FT by WYATT,AARON",,,"MISS FT by WYATT,AARON",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
00:00,,,,,"MISS JUMPER by BRUFFEY,TANNER",,,"MISS JUMPER by BRUFFEY,TANNER",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
19:36,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
19:32,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",2
19:32,,,,,"BLOCK  by WYATT,AARON",,,"BLOCK  by WYATT,AARON",2
--,,,,,"REBOUND DEF by BRUFFEY,TANNER",,,"REBOUND DEF by BRUFFEY,TANNER",2
19:07,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",2
19:07,,,,,"TURNOVER  by WYATT,AARON",,,"TURNOVER  by WYATT,AARON",2
18:37,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
18:17,,25,,27 (+2),"GOOD LAYUP by WYATT,AARON(in the paint)",UDMB 25-27 (-2),,"GOOD LAYUP by WYATT,AARON(in the paint)",2
18:03,"GOOD 3PTR by CORTESE,NICK",28 (+1),,27,,MSPSM 28-27 (+1),,"GOOD 3PTR by CORTESE,NICK",2
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",2
17:30,,28,,29 (+1),"GOOD LAYUP by STEPHENS,JOE(in the paint)",UDMB 28-29 (-1),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",2
17:11,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",30 (+1),,29,,MSPSM 30-29 (+1),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
16:55,,,,,"TURNOVER  by ASSINESI,DREW",,,"TURNOVER  by ASSINESI,DREW",2
16:40,"FOUL  by MERKEL,BRIAN",,,,,,,"FOUL  by MERKEL,BRIAN",2
16:40,"TURNOVER  by MERKEL,BRIAN",,,,,,,"TURNOVER  by MERKEL,BRIAN",2
16:18,,30,,31 (+1),"GOOD JUMPER by HIGHTOWER,BRAETON",UDMB 30-31 (-1),,"GOOD JUMPER by HIGHTOWER,BRAETON",2
15:49,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:35,,,,,"MISS JUMPER by WYATT,AARON",,,"MISS JUMPER by WYATT,AARON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:31,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",2
15:29,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",2
15:26,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",32 (+1),,31,,MSPSM 32-31 (+1),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",2
--,"ASSIST  by WHITE,TIM",,,,,,,"ASSIST  by WHITE,TIM",2
15:09,,,,,"MISS JUMPER by ASSINESI,DREW",,,"MISS JUMPER by ASSINESI,DREW",2
15:09,"BLOCK  by CORTESE,NICK",,,,,,,"BLOCK  by CORTESE,NICK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:03,,32,,34 (+2),"GOOD 3PTR by BRUFFEY,TANNER",UDMB 32-34 (-2),,"GOOD 3PTR by BRUFFEY,TANNER",2
--,,,,,"ASSIST  by ASSINESI,DREW",,,"ASSIST  by ASSINESI,DREW",2
14:45,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
14:44,,,,,"STEAL  by STEPHENS,JOE",,,"STEAL  by STEPHENS,JOE",2
14:40,,32,,37 (+5),"GOOD 3PTR by STEPHENS,JOE",UDMB 32-37 (-5),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by ASSINESI,DREW",,,"ASSIST  by ASSINESI,DREW",2
14:16,"GOOD 3PTR by CORTESE,NICK",35,,37 (+2),,MSPSM 35-37 (-2),,"GOOD 3PTR by CORTESE,NICK",2
14:00,,,,,"MISS JUMPER by STEPHENS,JOE",,,"MISS JUMPER by STEPHENS,JOE",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
13:48,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",2
13:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:24,"TURNOVER  by BROWN,JEFF",,,,,,,"TURNOVER  by BROWN,JEFF",2
13:22,,,,,"STEAL  by ASSINESI,DREW",,,"STEAL  by ASSINESI,DREW",2
13:02,,,,,"TURNOVER  by WYATT,AARON",,,"TURNOVER  by WYATT,AARON",2
12:59,"STEAL  by WHITE,TIM",,,,,,,"STEAL  by WHITE,TIM",2
12:55,"GOOD 3PTR by BROWN,JEFF",38 (+1),,37,,MSPSM 38-37 (+1),,"GOOD 3PTR by BROWN,JEFF",2
--,"ASSIST  by WHITE,TIM",,,,,,,"ASSIST  by WHITE,TIM",2
12:36,,,,,"MISS JUMPER by ASSINESI,DREW",,,"MISS JUMPER by ASSINESI,DREW",2
12:36,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
12:12,,38,,39 (+1),"GOOD JUMPER by BRUFFEY,TANNER",UDMB 38-39 (-1),,"GOOD JUMPER by BRUFFEY,TANNER",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
11:47,"MISS 3PTR by BROWN,JEFF",,,,,,,"MISS 3PTR by BROWN,JEFF",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
11:30,,,,,"MISS LAYUP by MALONE,KYM",,,"MISS LAYUP by MALONE,KYM",2
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",2
11:16,"TURNOVER  by BROWN,JEFF",,,,,,,"TURNOVER  by BROWN,JEFF",2
11:12,,,,,"STEAL  by BRUFFEY,TANNER",,,"STEAL  by BRUFFEY,TANNER",2
10:51,,38,,41 (+3),"GOOD LAYUP by STEPHENS,JOE(in the paint)",UDMB 38-41 (-3),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",2
10:28,"GOOD 3PTR by MEADES,TAYLOR",41,,41,,MSPSM 41-41 (0),,"GOOD 3PTR by MEADES,TAYLOR",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
09:56,,,,,"MISS JUMPER by ASSINESI,DREW",,,"MISS JUMPER by ASSINESI,DREW",2
09:56,"BLOCK  by KINNEAR,KYLE",,,,,,,"BLOCK  by KINNEAR,KYLE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:46,,,,,"MISS JUMPER by BRUFFEY,TANNER",,,"MISS JUMPER by BRUFFEY,TANNER",2
09:46,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:37,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND OFF by MERKEL,BRIAN",,,,,,,"REBOUND OFF by MERKEL,BRIAN",2
09:31,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",43 (+2),,41,,MSPSM 43-41 (+2),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",2
09:13,,,,,"MISS 3PTR by BRUFFEY,TANNER",,,"MISS 3PTR by BRUFFEY,TANNER",2
08:59,,,,,"STEAL  by STEPHENS,JOE",,,"STEAL  by STEPHENS,JOE",2
08:36,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:36,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
08:24,"GOOD 3PTR by MEADES,TAYLOR",46 (+5),,41,,MSPSM 46-41 (+5),,"GOOD 3PTR by MEADES,TAYLOR",2
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",2
08:05,,,,,"MISS 3PTR by STEPHENS,JOE",,,"MISS 3PTR by STEPHENS,JOE",2
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",2
07:32,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
07:21,,,,,"MISS LAYUP by GILE,CURTIS",,,"MISS LAYUP by GILE,CURTIS",2
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",2
07:04,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",48 (+7),,41,,MSPSM 48-41 (+7),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
06:48,,48 (+5),,43,"GOOD JUMPER by ASSINESI,DREW",UDMB 48-43 (+5),,"GOOD JUMPER by ASSINESI,DREW",2
06:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:07,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
05:51,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",2
05:51,,48 (+4),,44,"GOOD FT by WYATT,AARON",UDMB 48-44 (+4),,"GOOD FT by WYATT,AARON",2
05:51,,,,,"MISS FT by WYATT,AARON",,,"MISS FT by WYATT,AARON",2
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",2
05:24,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
05:00,,,,,"FOUL  by STEPHENS,JOE",,,"FOUL  by STEPHENS,JOE",2
05:00,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",2
04:49,,,,,"STEAL  by WYATT,AARON",,,"STEAL  by WYATT,AARON",2
04:48,,,,,"TURNOVER  by ASSINESI,DREW",,,"TURNOVER  by ASSINESI,DREW",2
04:44,,48 (+2),,46,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",UDMB 48-46 (+2),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",2
04:34,,,,,"FOUL  by BRUFFEY,TANNER",,,"FOUL  by BRUFFEY,TANNER",2
04:29,,,,,"FOUL  by BRUFFEY,TANNER",,,"FOUL  by BRUFFEY,TANNER",2
04:09,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",2
03:56,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
03:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:56,,48 (+1),,47,"GOOD FT by MALONE,KYM",UDMB 48-47 (+1),,"GOOD FT by MALONE,KYM",2
03:56,,48,,48,"GOOD FT by MALONE,KYM",UDMB 48-48 (0),,"GOOD FT by MALONE,KYM",2
03:33,"MISS LAYUP by CORTESE,NICK",,,,,,,"MISS LAYUP by CORTESE,NICK",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
03:20,"GOOD LAYUP by BERGER,RYAN(in the paint)",50 (+2),,48,,MSPSM 50-48 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
