Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
19:14,"MISS 3PTR by BARRETT,JORDAN",,,,,,,"MISS 3PTR by BARRETT,JORDAN",1
--,,,,,"REBOUND DEF by BAEHL,BRIAN",,,"REBOUND DEF by BAEHL,BRIAN",1
19:07,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
19:07,,0,,1 (+1),"GOOD FT by FREET,AUSTIN",ACM 0-1 (-1),,"GOOD FT by FREET,AUSTIN",1
19:07,,0,,2 (+2),"GOOD FT by FREET,AUSTIN",ACM 0-2 (-2),,"GOOD FT by FREET,AUSTIN",1
18:53,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",1
--,,,,,"REBOUND DEF by FREET,AUSTIN",,,"REBOUND DEF by FREET,AUSTIN",1
18:43,,,,,"MISS LAYUP by SULLIVAN,ALAN",,,"MISS LAYUP by SULLIVAN,ALAN",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
18:31,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by HUDSON,CEDRIC",,,"REBOUND DEF by HUDSON,CEDRIC",1
18:28,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
18:17,,0,,4 (+4),"GOOD JUMPER by HUDSON,CEDRIC(in the paint)",ACM 0-4 (-4),,"GOOD JUMPER by HUDSON,CEDRIC(in the paint)",1
18:01,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by SULLIVAN,ALAN",,,"REBOUND DEF by SULLIVAN,ALAN",1
17:45,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND OFF by BAEHL,BRIAN",,,"REBOUND OFF by BAEHL,BRIAN",1
17:36,,,,,"MISS LAYUP by HUDSON,CEDRIC",,,"MISS LAYUP by HUDSON,CEDRIC",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
