Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:40,"GOOD JUMPER by HATCHER,JON",2 (+2),,0,,UTD 2-0 (-2),,"GOOD JUMPER by HATCHER,JON",1
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",1
19:26,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
19:25,"STEAL  by HATCHER,JON",,,,,,,"STEAL  by HATCHER,JON",1
19:17,"MISS JUMPER by HATCHER,JON",,,,,,,"MISS JUMPER by HATCHER,JON",1
--,"REBOUND OFF by COULTER,KYLE",,,,,,,"REBOUND OFF by COULTER,KYLE",1
18:51,"MISS 3PTR by COULTER,KYLE",,,,,,,"MISS 3PTR by COULTER,KYLE",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
18:28,,2,,2,"GOOD JUMPER by BARRETT,JORDAN",HC 2-2 (0),,"GOOD JUMPER by BARRETT,JORDAN",1
18:01,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
18:01,"MISS FT by COULTER,KYLE",,,,,,,"MISS FT by COULTER,KYLE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:01,"GOOD FT by COULTER,KYLE",3 (+1),,2,,UTD 3-2 (-1),,"GOOD FT by COULTER,KYLE",1
17:47,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by HATCHER,JON",,,,,,,"REBOUND DEF by HATCHER,JON",1
17:34,"MISS JUMPER by KEOGH,REAGAN",,,,,,,"MISS JUMPER by KEOGH,REAGAN",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
17:19,"FOUL  by COULTER,KYLE",,,,,,,"FOUL  by COULTER,KYLE",1
17:19,,3,,3,"GOOD FT by LITTLEFIELD,GEAREN",HC 3-3 (0),,"GOOD FT by LITTLEFIELD,GEAREN",1
17:19,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by HATCHER,JON",,,,,,,"REBOUND DEF by HATCHER,JON",1
17:00,"GOOD JUMPER by BANKS,CALEB(in the paint)",5 (+2),,3,,UTD 5-3 (-2),,"GOOD JUMPER by BANKS,CALEB(in the paint)",1
17:00,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
17:00,"MISS FT by BANKS,CALEB",,,,,,,"MISS FT by BANKS,CALEB",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
16:45,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
16:45,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
16:26,"MISS JUMPER by COULTER,KYLE",,,,,,,"MISS JUMPER by COULTER,KYLE",1
--,"REBOUND OFF by KEOGH,REAGAN",,,,,,,"REBOUND OFF by KEOGH,REAGAN",1
16:23,"GOOD LAYUP by KEOGH,REAGAN(in the paint)",7 (+4),,3,,UTD 7-3 (-4),,"GOOD LAYUP by KEOGH,REAGAN(in the paint)",1
16:09,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
