Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:44,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
19:42,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
19:36,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",1
19:33,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",1
19:19,,0,,3 (+3),"GOOD 3PTR by OGLE,JOHN",HC 0-3 (+3),,"GOOD 3PTR by OGLE,JOHN",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
18:58,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
18:44,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
18:26,,0,,5 (+5),"GOOD JUMPER by OGLE,JOHN(in the paint)",HC 0-5 (+5),,"GOOD JUMPER by OGLE,JOHN(in the paint)",1
18:26,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",1
18:26,,0,,6 (+6),"GOOD FT by OGLE,JOHN",HC 0-6 (+6),,"GOOD FT by OGLE,JOHN",1
18:21,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",1
18:20,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",1
18:05,,0,,9 (+9),"GOOD 3PTR by STEELE,AARON",HC 0-9 (+9),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
18:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:51,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
17:51,,,,,"BLOCK  by OGLE,JOHN",,,"BLOCK  by OGLE,JOHN",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
17:31,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
17:12,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",1
17:11,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",1
17:09,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",,,"MISS LAYUP by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",1
17:05,,0,,11 (+11),"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",HC 0-11 (+11),,"GOOD LAYUP by NIKOLOVSKI,DREW(fastbreak)(in the paint)",1
16:56,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",2,,11 (+9),,BCM 2-11 (+9),,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",1
16:37,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
16:31,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
16:31,"GOOD FT by JOHNSON,CALEB",3,,11 (+8),,BCM 3-11 (+8),,"GOOD FT by JOHNSON,CALEB",1
16:31,"GOOD FT by JOHNSON,CALEB",4,,11 (+7),,BCM 4-11 (+7),,"GOOD FT by JOHNSON,CALEB",1
16:31,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
16:31,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",1
16:31,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
16:31,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
16:11,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",,,"MISS LAYUP by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
16:08,,4,,13 (+9),"GOOD TIPIN by LITTLEFIELD,GEAREN(in the paint)",HC 4-13 (+9),,"GOOD TIPIN by LITTLEFIELD,GEAREN(in the paint)",1
15:57,"MISS LAYUP by KORN,LUKAS",,,,,,,"MISS LAYUP by KORN,LUKAS",1
15:57,,,,,"BLOCK  by LITTLEFIELD,GEAREN",,,"BLOCK  by LITTLEFIELD,GEAREN",1
--,"REBOUND OFF by SCHERRMAN,BLAKE",,,,,,,"REBOUND OFF by SCHERRMAN,BLAKE",1
15:53,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
15:53,"MISS FT by SCHERRMAN,BLAKE",,,,,,,"MISS FT by SCHERRMAN,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:53,"GOOD FT by SCHERRMAN,BLAKE",5,,13 (+8),,BCM 5-13 (+8),,"GOOD FT by SCHERRMAN,BLAKE",1
15:53,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
15:53,"SUB OUT by JACOBS,OWEN",,,,,,,"SUB OUT by JACOBS,OWEN",1
15:53,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
15:53,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
15:53,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
15:53,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
15:41,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
15:41,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
15:41,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
15:41,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
15:31,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
15:29,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
15:08,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by SCHERRMAN,BLAKE",,,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",1
14:36,"MISS LAYUP by MARDER,NICK",,,,,,,"MISS LAYUP by MARDER,NICK",1
14:36,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",1
14:30,"MISS LAYUP by MARDER,NICK",,,,,,,"MISS LAYUP by MARDER,NICK",1
14:30,,,,,"BLOCK  by BATCHELOR,BRYCE",,,"BLOCK  by BATCHELOR,BRYCE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:11,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",1
14:11,"SUB IN by MCCLOUD,LEE",,,,,,,"SUB IN by MCCLOUD,LEE",1
14:11,"SUB OUT by SCHERRMAN,BLAKE",,,,,,,"SUB OUT by SCHERRMAN,BLAKE",1
14:11,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
14:11,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
14:04,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",1
14:04,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
14:04,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",1
13:54,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
13:43,"GOOD JUMPER by SPALDING,TANNER(in the paint)",7,,13 (+6),,BCM 7-13 (+6),,"GOOD JUMPER by SPALDING,TANNER(in the paint)",1
