Time Remaining,RUS,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
15:14,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
15:14,"MISS FT by WAITS,LADARIUS",,,,,,,"MISS FT by WAITS,LADARIUS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:14,"GOOD FT by WAITS,LADARIUS",43,,57 (+14),,RUS 43-57 (+14),,"GOOD FT by WAITS,LADARIUS",2
15:14,"SUB IN by HENDERSON,JIMMY",,,,,,,"SUB IN by HENDERSON,JIMMY",2
15:14,"SUB OUT by POTTS,ALLEN",,,,,,,"SUB OUT by POTTS,ALLEN",2
15:08,,43,,60 (+17),"GOOD 3PTR by GARRETT,TRAVIS",HC 43-60 (+17),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
14:51,"MISS 3PTR by STUCKEY,CURTIS",,,,,,,"MISS 3PTR by STUCKEY,CURTIS",2
--,"REBOUND OFF by WAITS,LADARIUS",,,,,,,"REBOUND OFF by WAITS,LADARIUS",2
14:49,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
14:39,"TURNOVER  by WAITS,LADARIUS",,,,,,,"TURNOVER  by WAITS,LADARIUS",2
14:32,,43,,62 (+19),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 43-62 (+19),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
14:22,"MISS JUMPER by SHANNON,BEN",,,,,,,"MISS JUMPER by SHANNON,BEN",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
14:13,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",2
14:13,"STEAL  by WAITS,LADARIUS",,,,,,,"STEAL  by WAITS,LADARIUS",2
14:06,"GOOD LAYUP by SHANNON,BEN(in the paint)",45,,62 (+17),,RUS 45-62 (+17),,"GOOD LAYUP by SHANNON,BEN(in the paint)",2
13:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:58,"SUB IN by WILKINS,RYAN",,,,,,,"SUB IN by WILKINS,RYAN",2
13:58,"SUB OUT by SHANNON,BEN",,,,,,,"SUB OUT by SHANNON,BEN",2
13:55,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",,,"MISS LAYUP by NIKOLOVSKI,DREW",2
13:55,"BLOCK  by HENDERSON,JIMMY",,,,,,,"BLOCK  by HENDERSON,JIMMY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:53,,45,,64 (+19),"GOOD JUMPER by GARRETT,TRAVIS",HC 45-64 (+19),,"GOOD JUMPER by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
13:40,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
13:40,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",2
13:40,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
13:36,"GOOD LAYUP by WAITS,LADARIUS(in the paint)",47,,64 (+17),,RUS 47-64 (+17),,"GOOD LAYUP by WAITS,LADARIUS(in the paint)",2
--,"ASSIST  by LOWE,O'DARIUS",,,,,,,"ASSIST  by LOWE,O'DARIUS",2
13:22,"FOUL  by WILKINS,RYAN",,,,,,,"FOUL  by WILKINS,RYAN",2
13:22,,47,,65 (+18),"GOOD FT by SMITH,PRESTON",HC 47-65 (+18),,"GOOD FT by SMITH,PRESTON",2
13:22,,47,,66 (+19),"GOOD FT by SMITH,PRESTON",HC 47-66 (+19),,"GOOD FT by SMITH,PRESTON",2
13:22,"SUB IN by BOWENS,JOHNATHAN",,,,,,,"SUB IN by BOWENS,JOHNATHAN",2
13:22,"SUB OUT by STUCKEY,CURTIS",,,,,,,"SUB OUT by STUCKEY,CURTIS",2
13:22,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",2
13:22,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
13:22,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
13:22,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
13:08,"MISS LAYUP by WAITS,LADARIUS",,,,,,,"MISS LAYUP by WAITS,LADARIUS",2
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",2
12:52,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,"REBOUND DEF by WILKINS,RYAN",,,,,,,"REBOUND DEF by WILKINS,RYAN",2
12:44,"MISS LAYUP by BOWENS,JOHNATHAN",,,,,,,"MISS LAYUP by BOWENS,JOHNATHAN",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
12:33,,47,,68 (+21),"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",HC 47-68 (+21),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",2
--,,,,,"ASSIST  by MURPHEY,LUKE",,,"ASSIST  by MURPHEY,LUKE",2
12:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:19,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",2
12:18,"MISS 3PTR by WILKINS,RYAN",,,,,,,"MISS 3PTR by WILKINS,RYAN",2
--,"REBOUND OFF by HENDERSON,JIMMY",,,,,,,"REBOUND OFF by HENDERSON,JIMMY",2
12:15,"GOOD LAYUP by HENDERSON,JIMMY(in the paint)",49,,68 (+19),,RUS 49-68 (+19),,"GOOD LAYUP by HENDERSON,JIMMY(in the paint)",2
11:54,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:49,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
11:49,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
11:40,"GOOD LAYUP by WILKINS,RYAN(in the paint)",51,,68 (+17),,RUS 51-68 (+17),,"GOOD LAYUP by WILKINS,RYAN(in the paint)",2
11:23,,,,,"TURNOVER  by NOTLEY,CHANDLER",,,"TURNOVER  by NOTLEY,CHANDLER",2
11:22,"STEAL  by HENDERSON,JIMMY",,,,,,,"STEAL  by HENDERSON,JIMMY",2
11:08,"MISS JUMPER by BOWENS,JOHNATHAN",,,,,,,"MISS JUMPER by BOWENS,JOHNATHAN",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
10:56,,,,,"TURNOVER  by BRADY,RYAN",,,"TURNOVER  by BRADY,RYAN",2
10:55,"STEAL  by WAITS,LADARIUS",,,,,,,"STEAL  by WAITS,LADARIUS",2
10:48,"MISS 3PTR by WILKINS,RYAN",,,,,,,"MISS 3PTR by WILKINS,RYAN",2
--,"REBOUND OFF by HENDERSON,JIMMY",,,,,,,"REBOUND OFF by HENDERSON,JIMMY",2
10:44,"SUB IN by SHANNON,BEN",,,,,,,"SUB IN by SHANNON,BEN",2
10:44,"SUB OUT by LOWE,O'DARIUS",,,,,,,"SUB OUT by LOWE,O'DARIUS",2
10:31,"MISS JUMPER by WAITS,LADARIUS",,,,,,,"MISS JUMPER by WAITS,LADARIUS",2
--,"REBOUND OFF by SHANNON,BEN",,,,,,,"REBOUND OFF by SHANNON,BEN",2
10:11,"GOOD JUMPER by SHANNON,BEN",53,,68 (+15),,RUS 53-68 (+15),,"GOOD JUMPER by SHANNON,BEN",2
09:59,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",2
09:59,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
09:47,"MISS 3PTR by SHANNON,BEN",,,,,,,"MISS 3PTR by SHANNON,BEN",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
09:45,"FOUL  by WAITS,LADARIUS",,,,,,,"FOUL  by WAITS,LADARIUS",2
09:45,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:29,,53,,70 (+17),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 53-70 (+17),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
09:22,"GOOD JUMPER by BOWENS,JOHNATHAN",55,,70 (+15),,RUS 55-70 (+15),,"GOOD JUMPER by BOWENS,JOHNATHAN",2
--,"ASSIST  by SHANNON,BEN",,,,,,,"ASSIST  by SHANNON,BEN",2
09:06,"FOUL  by BOWENS,JOHNATHAN",,,,,,,"FOUL  by BOWENS,JOHNATHAN",2
09:06,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by BOWENS,JOHNATHAN",,,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",2
08:55,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
08:55,"GOOD FT by SHANNON,BEN",56,,70 (+14),,RUS 56-70 (+14),,"GOOD FT by SHANNON,BEN",2
08:55,"GOOD FT by SHANNON,BEN",57,,70 (+13),,RUS 57-70 (+13),,"GOOD FT by SHANNON,BEN",2
08:55,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
08:48,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
08:48,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
08:48,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
08:42,"MISS JUMPER by WAITS,LADARIUS",,,,,,,"MISS JUMPER by WAITS,LADARIUS",2
--,"REBOUND OFF by HENDERSON,JIMMY",,,,,,,"REBOUND OFF by HENDERSON,JIMMY",2
08:39,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
08:39,"GOOD FT by HENDERSON,JIMMY",58,,70 (+12),,RUS 58-70 (+12),,"GOOD FT by HENDERSON,JIMMY",2
08:39,"GOOD FT by HENDERSON,JIMMY",59,,70 (+11),,RUS 59-70 (+11),,"GOOD FT by HENDERSON,JIMMY",2
08:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:30,"FOUL  by HENDERSON,JIMMY",,,,,,,"FOUL  by HENDERSON,JIMMY",2
08:30,,59,,71 (+12),"GOOD FT by OGLE,JOHN",HC 59-71 (+12),,"GOOD FT by OGLE,JOHN",2
08:30,,59,,72 (+13),"GOOD FT by OGLE,JOHN",HC 59-72 (+13),,"GOOD FT by OGLE,JOHN",2
08:18,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
08:18,"GOOD FT by WAITS,LADARIUS",60,,72 (+12),,RUS 60-72 (+12),,"GOOD FT by WAITS,LADARIUS",2
08:18,"MISS FT by WAITS,LADARIUS",,,,,,,"MISS FT by WAITS,LADARIUS",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
08:01,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
07:52,"MISS JUMPER by BOWENS,JOHNATHAN",,,,,,,"MISS JUMPER by BOWENS,JOHNATHAN",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
07:44,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
07:42,"STEAL  by WILKINS,RYAN",,,,,,,"STEAL  by WILKINS,RYAN",2
07:40,"GOOD LAYUP by WILKINS,RYAN(in the paint)",62,,72 (+10),,RUS 62-72 (+10),,"GOOD LAYUP by WILKINS,RYAN(in the paint)",2
07:30,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
07:29,"STEAL  by WAITS,LADARIUS",,,,,,,"STEAL  by WAITS,LADARIUS",2
07:00,"MISS 3PTR by WAITS,LADARIUS",,,,,,,"MISS 3PTR by WAITS,LADARIUS",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
06:32,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",2
06:25,"FOUL  by WILKINS,RYAN",,,,,,,"FOUL  by WILKINS,RYAN",2
06:25,,62,,73 (+11),"GOOD FT by OGLE,JOHN",HC 62-73 (+11),,"GOOD FT by OGLE,JOHN",2
06:25,,62,,74 (+12),"GOOD FT by OGLE,JOHN",HC 62-74 (+12),,"GOOD FT by OGLE,JOHN",2
06:25,"SUB IN by LOWE,O'DARIUS",,,,,,,"SUB IN by LOWE,O'DARIUS",2
06:25,"SUB OUT by HENDERSON,JIMMY",,,,,,,"SUB OUT by HENDERSON,JIMMY",2
06:02,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
06:02,"GOOD FT by SHANNON,BEN",63,,74 (+11),,RUS 63-74 (+11),,"GOOD FT by SHANNON,BEN",2
06:02,"MISS FT by SHANNON,BEN",,,,,,,"MISS FT by SHANNON,BEN",2
--,"REBOUND OFF by LOWE,O'DARIUS",,,,,,,"REBOUND OFF by LOWE,O'DARIUS",2
06:02,"SUB IN by POTTS,ALLEN",,,,,,,"SUB IN by POTTS,ALLEN",2
06:02,"SUB OUT by BOWENS,JOHNATHAN",,,,,,,"SUB OUT by BOWENS,JOHNATHAN",2
06:02,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
05:59,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
05:59,"GOOD FT by LOWE,O'DARIUS",64,,74 (+10),,RUS 64-74 (+10),,"GOOD FT by LOWE,O'DARIUS",2
05:59,"GOOD FT by LOWE,O'DARIUS",65,,74 (+9),,RUS 65-74 (+9),,"GOOD FT by LOWE,O'DARIUS",2
05:59,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",2
05:59,"SUB OUT by WILKINS,RYAN",,,,,,,"SUB OUT by WILKINS,RYAN",2
05:47,,65,,77 (+12),"GOOD 3PTR by STEELE,AARON",HC 65-77 (+12),,"GOOD 3PTR by STEELE,AARON",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
05:29,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",67,,77 (+10),,RUS 67-77 (+10),,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",2
--,"ASSIST  by SHANNON,BEN",,,,,,,"ASSIST  by SHANNON,BEN",2
05:12,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",2
--,"REBOUND DEF by POTTS,ALLEN",,,,,,,"REBOUND DEF by POTTS,ALLEN",2
04:53,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",69,,77 (+8),,RUS 69-77 (+8),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
--,"ASSIST  by POTTS,ALLEN",,,,,,,"ASSIST  by POTTS,ALLEN",2
04:43,"FOUL  by SHANNON,BEN",,,,,,,"FOUL  by SHANNON,BEN",2
04:43,,69,,78 (+9),"GOOD FT by OGLE,JOHN",HC 69-78 (+9),,"GOOD FT by OGLE,JOHN",2
04:43,,69,,79 (+10),"GOOD FT by OGLE,JOHN",HC 69-79 (+10),,"GOOD FT by OGLE,JOHN",2
04:35,"GOOD JUMPER by LOWE,O'DARIUS",71,,79 (+8),,RUS 71-79 (+8),,"GOOD JUMPER by LOWE,O'DARIUS",2
--,"ASSIST  by STUCKEY,CURTIS",,,,,,,"ASSIST  by STUCKEY,CURTIS",2
04:11,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
--,"REBOUND DEF by STUCKEY,CURTIS",,,,,,,"REBOUND DEF by STUCKEY,CURTIS",2
04:08,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
04:08,"MISS FT by STUCKEY,CURTIS",,,,,,,"MISS FT by STUCKEY,CURTIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:08,"MISS FT by STUCKEY,CURTIS",,,,,,,"MISS FT by STUCKEY,CURTIS",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
04:03,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",2
04:02,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:02,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,"REBOUND DEF by STUCKEY,CURTIS",,,,,,,"REBOUND DEF by STUCKEY,CURTIS",2
04:02,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:47,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",2
--,"REBOUND OFF by STUCKEY,CURTIS",,,,,,,"REBOUND OFF by STUCKEY,CURTIS",2
03:43,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",73,,79 (+6),,RUS 73-79 (+6),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
03:30,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
03:30,"STEAL  by SHANNON,BEN",,,,,,,"STEAL  by SHANNON,BEN",2
03:28,"GOOD LAYUP by SHANNON,BEN(in the paint)",75,,79 (+4),,RUS 75-79 (+4),,"GOOD LAYUP by SHANNON,BEN(in the paint)",2
03:28,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
03:28,"GOOD FT by SHANNON,BEN",76,,79 (+3),,RUS 76-79 (+3),,"GOOD FT by SHANNON,BEN",2
03:28,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
03:07,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
03:06,"STEAL  by STUCKEY,CURTIS",,,,,,,"STEAL  by STUCKEY,CURTIS",2
03:03,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",78,,79 (+1),,RUS 78-79 (+1),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
02:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:55,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
02:44,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
02:34,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:28,"FOUL  by WAITS,LADARIUS",,,,,,,"FOUL  by WAITS,LADARIUS",2
02:28,,,,,"MISS FT by PARKER,BRYCE",,,"MISS FT by PARKER,BRYCE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:28,,78,,80 (+2),"GOOD FT by PARKER,BRYCE",HC 78-80 (+2),,"GOOD FT by PARKER,BRYCE",2
02:09,"MISS JUMPER by STUCKEY,CURTIS",,,,,,,"MISS JUMPER by STUCKEY,CURTIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:40,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by PARKER,BRYCE",,,"REBOUND OFF by PARKER,BRYCE",2
01:07,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",2
--,"REBOUND DEF by SHANNON,BEN",,,,,,,"REBOUND DEF by SHANNON,BEN",2
01:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:48,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",2
00:48,"GOOD FT by POTTS,ALLEN",79,,80 (+1),,RUS 79-80 (+1),,"GOOD FT by POTTS,ALLEN",2
00:48,"GOOD FT by POTTS,ALLEN",80,,80,,RUS 80-80 (0),,"GOOD FT by POTTS,ALLEN",2
00:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:43,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
00:43,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
00:39,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
00:26,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:07,"GOOD JUMPER by WAITS,LADARIUS",82 (+2),,80,,RUS 82-80 (-2),,"GOOD JUMPER by WAITS,LADARIUS",2
00:00,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,"REBOUND DEF by POTTS,ALLEN",,,,,,,"REBOUND DEF by POTTS,ALLEN",2
