Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,TUM,Game Score,Team Indicator,Play,Period
19:50,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2 (+2),,0,,HC 2-0 (+2),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
19:32,,,,,"TURNOVER  by PULLIAM,AJ",,,"TURNOVER  by PULLIAM,AJ",1
19:31,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
19:03,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by PULLIAM,AJ",,,"REBOUND DEF by PULLIAM,AJ",1
18:50,,,,,"TURNOVER  by PULLIAM,AJ",,,"TURNOVER  by PULLIAM,AJ",1
18:37,"MISS LAYUP by BATCHELOR,BRYCE",,,,,,,"MISS LAYUP by BATCHELOR,BRYCE",1
--,"REBOUND OFF by BATCHELOR,BRYCE",,,,,,,"REBOUND OFF by BATCHELOR,BRYCE",1
18:35,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",4 (+4),,0,,HC 4-0 (+4),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
18:21,,,,,"MISS LAYUP by BEATIE,BEN",,,"MISS LAYUP by BEATIE,BEN",1
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",1
18:05,"TURNOVER  by BATCHELOR,BRYCE",,,,,,,"TURNOVER  by BATCHELOR,BRYCE",1
18:05,,,,,"SUB IN by COLLIFLOWER,MATTHEW",,,"SUB IN by COLLIFLOWER,MATTHEW",1
18:05,,,,,"SUB OUT by PULLIAM,AJ",,,"SUB OUT by PULLIAM,AJ",1
17:49,,4 (+2),,2,"GOOD LAYUP by OAKES,NIK(in the paint)",TUM 4-2 (+2),,"GOOD LAYUP by OAKES,NIK(in the paint)",1
17:26,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by BEATIE,BEN",,,"REBOUND DEF by BEATIE,BEN",1
17:13,,4,,4,"GOOD LAYUP by BEATIE,BEN(in the paint)",TUM 4-4 (0),,"GOOD LAYUP by BEATIE,BEN(in the paint)",1
--,,,,,"ASSIST  by CLARK,JIMMY",,,"ASSIST  by CLARK,JIMMY",1
16:56,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by OAKES,NIK",,,"REBOUND DEF by OAKES,NIK",1
