Time Remaining,E&H,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by WYNN,ALIC",,,,,,,"REBOUND DEF by WYNN,ALIC",1
15:57,"MISS JUMPER by TURNER,MYLES",,,,,,,"MISS JUMPER by TURNER,MYLES",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
15:47,,4,,8 (+4),"GOOD JUMPER by STEELE,AARON",HC 4-8 (+4),,"GOOD JUMPER by STEELE,AARON",1
15:18,"MISS 3PTR by GRAVLEY,RYAN",,,,,,,"MISS 3PTR by GRAVLEY,RYAN",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
15:04,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by GRAVLEY,RYAN",,,,,,,"REBOUND DEF by GRAVLEY,RYAN",1
14:57,"TURNOVER  by WYNN,ALIC",,,,,,,"TURNOVER  by WYNN,ALIC",1
14:57,"FOUL  by WYNN,ALIC",,,,,,,"FOUL  by WYNN,ALIC",1
14:57,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",1
14:57,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",1
14:57,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
14:57,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
14:34,,4,,10 (+6),"GOOD JUMPER by BATCHELOR,BRYCE",HC 4-10 (+6),,"GOOD JUMPER by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",1
14:16,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
14:16,"MISS FT by SELF,BRANDON",,,,,,,"MISS FT by SELF,BRANDON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:16,"GOOD FT by SELF,BRANDON",5,,10 (+5),,E&H 5-10 (+5),,"GOOD FT by SELF,BRANDON",1
14:16,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",1
14:16,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",1
14:16,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
14:16,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
14:16,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
14:16,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
14:16,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
13:49,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",1
13:47,"STEAL  by SHELOR,JOHN",,,,,,,"STEAL  by SHELOR,JOHN",1
13:42,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
13:39,"GOOD 3PTR by TURNER,MYLES",8,,10 (+2),,E&H 8-10 (+2),,"GOOD 3PTR by TURNER,MYLES",1
13:39,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
13:08,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",1
12:54,"GOOD JUMPER by TURNER,MYLES",10,,10,,E&H 10-10 (0),,"GOOD JUMPER by TURNER,MYLES",1
12:27,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",1
12:26,"STEAL  by WYNN,ALIC",,,,,,,"STEAL  by WYNN,ALIC",1
12:22,"MISS LAYUP by SHELOR,JOHN",,,,,,,"MISS LAYUP by SHELOR,JOHN",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
12:11,,10,,13 (+3),"GOOD 3PTR by PARKER,BRYCE",HC 10-13 (+3),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by BRADY,RYAN",,,"ASSIST  by BRADY,RYAN",1
11:55,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
11:55,"GOOD FT by BRANSCOMB,CHASE",11,,13 (+2),,E&H 11-13 (+2),,"GOOD FT by BRANSCOMB,CHASE",1
11:55,"GOOD FT by BRANSCOMB,CHASE",12,,13 (+1),,E&H 12-13 (+1),,"GOOD FT by BRANSCOMB,CHASE",1
11:55,"SUB IN by MCLEAN,JOHNNY",,,,,,,"SUB IN by MCLEAN,JOHNNY",1
11:55,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
11:55,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
11:41,,,,,"MISS JUMPER by NOTLEY,CHANDLER",,,"MISS JUMPER by NOTLEY,CHANDLER",1
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",1
11:38,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
11:18,"TURNOVER  by CONLEY,CLIF",,,,,,,"TURNOVER  by CONLEY,CLIF",1
11:06,,,,,"MISS LAYUP by NOTLEY,CHANDLER",,,"MISS LAYUP by NOTLEY,CHANDLER",1
11:06,"BLOCK  by CONLEY,CLIF",,,,,,,"BLOCK  by CONLEY,CLIF",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:01,"FOUL  by WYNN,ALIC",,,,,,,"FOUL  by WYNN,ALIC",1
11:01,,12,,14 (+2),"GOOD FT by NIKOLOVSKI,DREW",HC 12-14 (+2),,"GOOD FT by NIKOLOVSKI,DREW",1
11:01,,12,,15 (+3),"GOOD FT by NIKOLOVSKI,DREW",HC 12-15 (+3),,"GOOD FT by NIKOLOVSKI,DREW",1
11:01,"SUB IN by WALKER,NOAH",,,,,,,"SUB IN by WALKER,NOAH",1
11:01,"SUB OUT by WYNN,ALIC",,,,,,,"SUB OUT by WYNN,ALIC",1
11:01,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
11:01,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
10:50,"GOOD LAYUP by WALKER,NOAH(in the paint)",14,,15 (+1),,E&H 14-15 (+1),,"GOOD LAYUP by WALKER,NOAH(in the paint)",1
--,"ASSIST  by MCLEAN,JOHNNY",,,,,,,"ASSIST  by MCLEAN,JOHNNY",1
10:50,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
10:50,"GOOD FT by WALKER,NOAH",15,,15,,E&H 15-15 (0),,"GOOD FT by WALKER,NOAH",1
10:50,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
10:50,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
10:26,"FOUL  by WALKER,NOAH",,,,,,,"FOUL  by WALKER,NOAH",1
10:19,,,,,"TURNOVER  by BRADY,RYAN",,,"TURNOVER  by BRADY,RYAN",1
10:18,"STEAL  by MCLEAN,JOHNNY",,,,,,,"STEAL  by MCLEAN,JOHNNY",1
10:12,"GOOD 3PTR by CONLEY,CLIF",18 (+3),,15,,E&H 18-15 (-3),,"GOOD 3PTR by CONLEY,CLIF",1
09:56,"FOUL  by CONLEY,CLIF",,,,,,,"FOUL  by CONLEY,CLIF",1
09:56,,18 (+2),,16,"GOOD FT by SMITH,PRESTON",HC 18-16 (-2),,"GOOD FT by SMITH,PRESTON",1
09:56,,18 (+1),,17,"GOOD FT by SMITH,PRESTON",HC 18-17 (-1),,"GOOD FT by SMITH,PRESTON",1
09:56,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
09:56,,,,,"SUB OUT by BRADY,RYAN",,,"SUB OUT by BRADY,RYAN",1
09:43,"GOOD LAYUP by MCLEAN,JOHNNY(in the paint)",20 (+3),,17,,E&H 20-17 (-3),,"GOOD LAYUP by MCLEAN,JOHNNY(in the paint)",1
09:22,,20 (+1),,19,"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 20-19 (-1),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
09:22,"FOUL  by WALKER,NOAH",,,,,,,"FOUL  by WALKER,NOAH",1
09:22,,20,,20,"GOOD FT by OGLE,JOHN",HC 20-20 (0),,"GOOD FT by OGLE,JOHN",1
09:22,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",1
09:22,"SUB OUT by BRANSCOMB,CHASE",,,,,,,"SUB OUT by BRANSCOMB,CHASE",1
09:04,"MISS 3PTR by ANZENBERGER,KEVIN",,,,,,,"MISS 3PTR by ANZENBERGER,KEVIN",1
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",1
08:48,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by MCLEAN,JOHNNY",,,,,,,"REBOUND DEF by MCLEAN,JOHNNY",1
08:37,"TURNOVER  by SELF,BRANDON",,,,,,,"TURNOVER  by SELF,BRANDON",1
08:37,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",1
08:22,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
08:02,"MISS 3PTR by TURNER,MYLES",,,,,,,"MISS 3PTR by TURNER,MYLES",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
07:40,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
07:34,"FOUL  by SELF,BRANDON",,,,,,,"FOUL  by SELF,BRANDON",1
07:34,,20,,21 (+1),"GOOD FT by LITTLEFIELD,GEAREN",HC 20-21 (+1),,"GOOD FT by LITTLEFIELD,GEAREN",1
07:34,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",1
07:34,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",1
07:34,"SUB OUT by WALKER,NOAH",,,,,,,"SUB OUT by WALKER,NOAH",1
07:14,"MISS 3PTR by SHELOR,JOHN",,,,,,,"MISS 3PTR by SHELOR,JOHN",1
--,"REBOUND OFF by SELF,BRANDON",,,,,,,"REBOUND OFF by SELF,BRANDON",1
07:10,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
07:10,"GOOD FT by SELF,BRANDON",21,,21,,E&H 21-21 (0),,"GOOD FT by SELF,BRANDON",1
07:10,"MISS FT by SELF,BRANDON",,,,,,,"MISS FT by SELF,BRANDON",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
07:10,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
07:10,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
06:48,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
06:29,"MISS 3PTR by BRANSCOMB,CHASE",,,,,,,"MISS 3PTR by BRANSCOMB,CHASE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:55,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
05:42,"MISS LAYUP by TURNER,MYLES",,,,,,,"MISS LAYUP by TURNER,MYLES",1
--,"REBOUND OFF by TURNER,MYLES",,,,,,,"REBOUND OFF by TURNER,MYLES",1
05:41,"MISS LAYUP by TURNER,MYLES",,,,,,,"MISS LAYUP by TURNER,MYLES",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
05:31,,21,,23 (+2),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HC 21-23 (+2),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
05:08,"GOOD LAYUP by TURNER,MYLES(in the paint)",23,,23,,E&H 23-23 (0),,"GOOD LAYUP by TURNER,MYLES(in the paint)",1
04:41,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",1
--,"REBOUND DEF by GRAVLEY,RYAN",,,,,,,"REBOUND DEF by GRAVLEY,RYAN",1
04:32,"GOOD LAYUP by GRAVLEY,RYAN(in the paint)",25 (+2),,23,,E&H 25-23 (-2),,"GOOD LAYUP by GRAVLEY,RYAN(in the paint)",1
04:11,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
04:02,"MISS 3PTR by GRAVLEY,RYAN",,,,,,,"MISS 3PTR by GRAVLEY,RYAN",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
03:48,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
--,"REBOUND DEF by GRAVLEY,RYAN",,,,,,,"REBOUND DEF by GRAVLEY,RYAN",1
03:30,"MISS LAYUP by SELF,BRANDON",,,,,,,"MISS LAYUP by SELF,BRANDON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:30,"FOUL  by BRANSCOMB,CHASE",,,,,,,"FOUL  by BRANSCOMB,CHASE",1
03:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:30,,25 (+1),,24,"GOOD FT by OGLE,JOHN",HC 25-24 (-1),,"GOOD FT by OGLE,JOHN",1
03:30,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",1
--,"REBOUND DEF by FERGUSON,AARON",,,,,,,"REBOUND DEF by FERGUSON,AARON",1
03:30,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",1
03:30,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",1
03:30,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",1
03:30,"SUB IN by FERGUSON,AARON",,,,,,,"SUB IN by FERGUSON,AARON",1
03:30,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
03:30,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
03:30,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
03:14,"MISS JUMPER by FERGUSON,AARON",,,,,,,"MISS JUMPER by FERGUSON,AARON",1
--,"REBOUND OFF by CONLEY,CLIF",,,,,,,"REBOUND OFF by CONLEY,CLIF",1
03:04,"GOOD LAYUP by FERGUSON,AARON(in the paint)",27 (+3),,24,,E&H 27-24 (-3),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",1
--,"ASSIST  by CONLEY,CLIF",,,,,,,"ASSIST  by CONLEY,CLIF",1
02:48,"FOUL  by SHELOR,JOHN",,,,,,,"FOUL  by SHELOR,JOHN",1
02:48,,,,,"MISS FT by NOTLEY,CHANDLER",,,"MISS FT by NOTLEY,CHANDLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:48,,27 (+2),,25,"GOOD FT by NOTLEY,CHANDLER",HC 27-25 (-2),,"GOOD FT by NOTLEY,CHANDLER",1
02:48,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",1
02:48,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
02:48,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
02:48,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
02:31,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",1
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",1
02:25,,27,,28 (+1),"GOOD 3PTR by GARRETT,TRAVIS",HC 27-28 (+1),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by BATCHELOR,BRYCE",,,"ASSIST  by BATCHELOR,BRYCE",1
02:06,"GOOD LAYUP by WYNN,ALIC(in the paint)",29 (+1),,28,,E&H 29-28 (-1),,"GOOD LAYUP by WYNN,ALIC(in the paint)",1
--,"ASSIST  by TURNER,MYLES",,,,,,,"ASSIST  by TURNER,MYLES",1
01:46,"FOUL  by WYNN,ALIC",,,,,,,"FOUL  by WYNN,ALIC",1
01:46,,29,,29,"GOOD FT by OGLE,JOHN",HC 29-29 (0),,"GOOD FT by OGLE,JOHN",1
01:46,,29,,30 (+1),"GOOD FT by OGLE,JOHN",HC 29-30 (+1),,"GOOD FT by OGLE,JOHN",1
01:46,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",1
01:33,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
01:33,"GOOD FT by BRANSCOMB,CHASE",30,,30,,E&H 30-30 (0),,"GOOD FT by BRANSCOMB,CHASE",1
01:33,"MISS FT by BRANSCOMB,CHASE",,,,,,,"MISS FT by BRANSCOMB,CHASE",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
01:18,,30,,32 (+2),"GOOD LAYUP by STEELE,AARON(in the paint)",HC 30-32 (+2),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,,,,,"ASSIST  by BRADY,RYAN",,,"ASSIST  by BRADY,RYAN",1
01:04,"MISS LAYUP by TURNER,MYLES",,,,,,,"MISS LAYUP by TURNER,MYLES",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
00:49,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by TURNER,MYLES",,,,,,,"REBOUND DEF by TURNER,MYLES",1
00:43,,,,,"FOUL  by BRADY,RYAN",,,"FOUL  by BRADY,RYAN",1
00:43,"GOOD FT by TURNER,MYLES",31,,32 (+1),,E&H 31-32 (+1),,"GOOD FT by TURNER,MYLES",1
00:43,"GOOD FT by TURNER,MYLES",32,,32,,E&H 32-32 (0),,"GOOD FT by TURNER,MYLES",1
00:43,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",1
00:43,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
00:32,,32,,34 (+2),"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 32-34 (+2),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
00:04,"GOOD JUMPER by BRANSCOMB,CHASE",34,,34,,E&H 34-34 (0),,"GOOD JUMPER by BRANSCOMB,CHASE",1
00:03,"FOUL  by ANZENBERGER,KEVIN",,,,,,,"FOUL  by ANZENBERGER,KEVIN",1
00:03,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:03,,34,,35 (+1),"GOOD FT by GARRETT,TRAVIS",HC 34-35 (+1),,"GOOD FT by GARRETT,TRAVIS",1
19:47,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",2
19:31,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
19:31,"MISS FT by SELF,BRANDON",,,,,,,"MISS FT by SELF,BRANDON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:31,"MISS FT by SELF,BRANDON",,,,,,,"MISS FT by SELF,BRANDON",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
19:13,,34,,37 (+3),"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 34-37 (+3),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
18:56,"TURNOVER  by SELF,BRANDON",,,,,,,"TURNOVER  by SELF,BRANDON",2
18:55,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",2
18:44,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
18:44,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
18:17,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
18:11,,,,,"MISS LAYUP by STEELE,AARON",,,"MISS LAYUP by STEELE,AARON",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
18:07,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
18:06,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:50,"MISS LAYUP by SELF,BRANDON",,,,,,,"MISS LAYUP by SELF,BRANDON",2
--,"REBOUND OFF by FERGUSON,AARON",,,,,,,"REBOUND OFF by FERGUSON,AARON",2
17:46,"GOOD TIPIN by FERGUSON,AARON(in the paint)",36,,37 (+1),,E&H 36-37 (+1),,"GOOD TIPIN by FERGUSON,AARON(in the paint)",2
17:22,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",2
--,"REBOUND DEF by TURNER,MYLES",,,,,,,"REBOUND DEF by TURNER,MYLES",2
17:15,"GOOD JUMPER by SHELOR,JOHN",38 (+1),,37,,E&H 38-37 (-1),,"GOOD JUMPER by SHELOR,JOHN",2
16:53,,38,,39 (+1),"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 38-39 (+1),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",2
16:41,"MISS 3PTR by GRAVLEY,RYAN",,,,,,,"MISS 3PTR by GRAVLEY,RYAN",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
16:14,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by FERGUSON,AARON",,,,,,,"REBOUND DEF by FERGUSON,AARON",2
16:06,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
16:06,"MISS FT by GRAVLEY,RYAN",,,,,,,"MISS FT by GRAVLEY,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:06,"GOOD FT by GRAVLEY,RYAN",39,,39,,E&H 39-39 (0),,"GOOD FT by GRAVLEY,RYAN",2
