Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:49,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
19:32,,0,,2 (+2),"GOOD JUMPER by NIKOLOVSKI,DREW",HC 0-2 (+2),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
19:12,"GOOD LAYUP by INUNGU,TOM(in the paint)",2,,2,,OUM 2-2 (0),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",1
19:01,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
19:00,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",1
18:43,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
18:30,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
18:30,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",1
18:12,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
18:02,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
18:02,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
17:33,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
17:33,,2,,3 (+1),"GOOD FT by LITTLEFIELD,GEAREN",HC 2-3 (+1),,"GOOD FT by LITTLEFIELD,GEAREN",1
17:33,,2,,4 (+2),"GOOD FT by LITTLEFIELD,GEAREN",HC 2-4 (+2),,"GOOD FT by LITTLEFIELD,GEAREN",1
17:14,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
17:14,"MISS FT by INUNGU,TOM",,,,,,,"MISS FT by INUNGU,TOM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:14,"MISS FT by INUNGU,TOM",,,,,,,"MISS FT by INUNGU,TOM",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
17:03,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
17:01,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
16:49,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
16:29,,2,,6 (+4),"GOOD JUMPER by OGLE,JOHN",HC 2-6 (+4),,"GOOD JUMPER by OGLE,JOHN",1
16:12,"GOOD 3PTR by SMITH,CONNOR",5,,6 (+1),,OUM 5-6 (+1),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by PERRY,WILL",,,,,,,"ASSIST  by PERRY,WILL",1
15:55,"FOUL  by WARDLAW,CHASE",,,,,,,"FOUL  by WARDLAW,CHASE",1
15:55,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
