Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,UDMBB,Game Score,Team Indicator,Play,Period
17:03,"TURNOVER  by KRAMER,KORBIN",,,,,,,"TURNOVER  by KRAMER,KORBIN",2
16:50,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
16:50,,36,,45 (+9),"GOOD FT by KAISER,TOM",UDMBB 36-45 (-9),,"GOOD FT by KAISER,TOM",2
16:50,,,,,"MISS FT by KAISER,TOM",,,"MISS FT by KAISER,TOM",2
--,"REBOUND DEF by KRAMER,KORBIN",,,,,,,"REBOUND DEF by KRAMER,KORBIN",2
16:50,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
16:50,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",2
16:24,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",2
16:18,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
16:18,,36,,46 (+10),"GOOD FT by SARRAT,MICHAEL",UDMBB 36-46 (-10),,"GOOD FT by SARRAT,MICHAEL",2
16:18,,36,,47 (+11),"GOOD FT by SARRAT,MICHAEL",UDMBB 36-47 (-11),,"GOOD FT by SARRAT,MICHAEL",2
16:18,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
16:18,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
16:18,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
16:18,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
16:00,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
15:58,,,,,"STEAL  by CALTON,EMMANUEL",,,"STEAL  by CALTON,EMMANUEL",2
15:54,,,,,"MISS LAYUP by GLADOLOR,PRINCE",,,"MISS LAYUP by GLADOLOR,PRINCE",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
15:39,,,,,"FOUL  by GLADOLOR,PRINCE",,,"FOUL  by GLADOLOR,PRINCE",2
15:38,"GOOD JUMPER by BATCHELOR,BRYCE",38,,47 (+9),,HC 38-47 (-9),,"GOOD JUMPER by BATCHELOR,BRYCE",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
15:17,,38,,49 (+11),"GOOD LAYUP by KAISER,TOM(in the paint)",UDMBB 38-49 (-11),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
--,,,,,"ASSIST  by SARRAT,MICHAEL",,,"ASSIST  by SARRAT,MICHAEL",2
15:17,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
15:17,,,,,"MISS FT by KAISER,TOM",,,"MISS FT by KAISER,TOM",2
--,,,,,"REBOUND OFF by GLADOLOR,PRINCE",,,"REBOUND OFF by GLADOLOR,PRINCE",2
15:17,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
15:17,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
15:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:00,,38,,52 (+14),"GOOD 3PTR by GONZALEZ,LORENZO",UDMBB 38-52 (-14),,"GOOD 3PTR by GONZALEZ,LORENZO",2
--,,,,,"ASSIST  by CALTON,EMMANUEL",,,"ASSIST  by CALTON,EMMANUEL",2
14:45,,,,,"FOUL  by GLADOLOR,PRINCE",,,"FOUL  by GLADOLOR,PRINCE",2
14:45,"MISS FT by KRAMER,KORBIN",,,,,,,"MISS FT by KRAMER,KORBIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:45,"MISS FT by KRAMER,KORBIN",,,,,,,"MISS FT by KRAMER,KORBIN",2
--,"REBOUND OFF by NOTLEY,CHANDLER",,,,,,,"REBOUND OFF by NOTLEY,CHANDLER",2
14:45,,,,,"SUB IN by COLVIN,DARRIUS",,,"SUB IN by COLVIN,DARRIUS",2
14:45,,,,,"SUB IN by MACCALLUM,RORY",,,"SUB IN by MACCALLUM,RORY",2
14:45,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",2
14:45,,,,,"SUB OUT by CALTON,EMMANUEL",,,"SUB OUT by CALTON,EMMANUEL",2
14:45,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",2
14:45,,,,,"SUB OUT by GLADOLOR,PRINCE",,,"SUB OUT by GLADOLOR,PRINCE",2
14:42,,,,,"FOUL  by MACCALLUM,RORY",,,"FOUL  by MACCALLUM,RORY",2
14:42,"MISS FT by KRAMER,KORBIN",,,,,,,"MISS FT by KRAMER,KORBIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:42,"GOOD FT by KRAMER,KORBIN",39,,52 (+13),,HC 39-52 (-13),,"GOOD FT by KRAMER,KORBIN",2
14:42,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
14:42,"SUB OUT by KRAMER,KORBIN",,,,,,,"SUB OUT by KRAMER,KORBIN",2
14:28,,,,,"MISS 3PTR by GONZALEZ,LORENZO",,,"MISS 3PTR by GONZALEZ,LORENZO",2
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",2
14:13,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",2
--,"REBOUND OFF by STEELE,AARON",,,,,,,"REBOUND OFF by STEELE,AARON",2
14:06,"GOOD LAYUP by STEELE,AARON(in the paint)",41,,52 (+11),,HC 41-52 (-11),,"GOOD LAYUP by STEELE,AARON(in the paint)",2
13:47,,,,,"MISS 3PTR by GARATE,VICTOR",,,"MISS 3PTR by GARATE,VICTOR",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
13:39,"TURNOVER  by PARKER,BRYCE",,,,,,,"TURNOVER  by PARKER,BRYCE",2
13:39,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
13:25,,41,,54 (+13),"GOOD LAYUP by MACCALLUM,RORY(in the paint)",UDMBB 41-54 (-13),,"GOOD LAYUP by MACCALLUM,RORY(in the paint)",2
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",2
13:10,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
13:10,,,,,"SUB IN by COOKS,TJ",,,"SUB IN by COOKS,TJ",2
13:10,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",2
12:59,,,,,"TURNOVER  by GARATE,VICTOR",,,"TURNOVER  by GARATE,VICTOR",2
12:59,,,,,"FOUL  by GARATE,VICTOR",,,"FOUL  by GARATE,VICTOR",2
12:59,,,,,"SUB IN by HORNER,RONNIE",,,"SUB IN by HORNER,RONNIE",2
12:59,,,,,"SUB OUT by SARRAT,MICHAEL",,,"SUB OUT by SARRAT,MICHAEL",2
12:49,"TURNOVER  by BATCHELOR,BRYCE",,,,,,,"TURNOVER  by BATCHELOR,BRYCE",2
12:48,,,,,"STEAL  by COOKS,TJ",,,"STEAL  by COOKS,TJ",2
12:39,,,,,"MISS 3PTR by HORNER,RONNIE",,,"MISS 3PTR by HORNER,RONNIE",2
--,,,,,"REBOUND OFF by GARATE,VICTOR",,,"REBOUND OFF by GARATE,VICTOR",2
12:28,,,,,"MISS LAYUP by COLVIN,DARRIUS",,,"MISS LAYUP by COLVIN,DARRIUS",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
12:09,,,,,"FOUL  by GARATE,VICTOR",,,"FOUL  by GARATE,VICTOR",2
12:09,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
12:09,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
11:54,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by MACCALLUM,RORY",,,"REBOUND DEF by MACCALLUM,RORY",2
11:46,,,,,"MISS 3PTR by GARATE,VICTOR",,,"MISS 3PTR by GARATE,VICTOR",2
--,,,,,"REBOUND OFF by HORNER,RONNIE",,,"REBOUND OFF by HORNER,RONNIE",2
11:40,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",2
11:40,,41,,55 (+14),"GOOD FT by MACCALLUM,RORY",UDMBB 41-55 (-14),,"GOOD FT by MACCALLUM,RORY",2
11:40,,,,,"MISS FT by MACCALLUM,RORY",,,"MISS FT by MACCALLUM,RORY",2
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",2
11:23,"MISS 3PTR by BARRETT,JORDAN",,,,,,,"MISS 3PTR by BARRETT,JORDAN",2
--,,,,,"REBOUND DEF by MACCALLUM,RORY",,,"REBOUND DEF by MACCALLUM,RORY",2
11:08,,41,,58 (+17),"GOOD 3PTR by GARATE,VICTOR",UDMBB 41-58 (-17),,"GOOD 3PTR by GARATE,VICTOR",2
--,,,,,"ASSIST  by COOKS,TJ",,,"ASSIST  by COOKS,TJ",2
10:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:56,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
10:56,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",2
10:47,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",2
--,,,,,"REBOUND DEF by GARATE,VICTOR",,,"REBOUND DEF by GARATE,VICTOR",2
10:25,,,,,"MISS JUMPER by COLVIN,DARRIUS",,,"MISS JUMPER by COLVIN,DARRIUS",2
--,,,,,"REBOUND OFF by HORNER,RONNIE",,,"REBOUND OFF by HORNER,RONNIE",2
10:19,,,,,"TURNOVER  by COLVIN,DARRIUS",,,"TURNOVER  by COLVIN,DARRIUS",2
10:19,,,,,"FOUL  by COLVIN,DARRIUS",,,"FOUL  by COLVIN,DARRIUS",2
10:19,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
10:19,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
10:19,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",2
10:19,,,,,"SUB OUT by MACCALLUM,RORY",,,"SUB OUT by MACCALLUM,RORY",2
10:07,,,,,"FOUL  by KAISER,TOM",,,"FOUL  by KAISER,TOM",2
10:07,"GOOD FT by BATCHELOR,BRYCE",42,,58 (+16),,HC 42-58 (-16),,"GOOD FT by BATCHELOR,BRYCE",2
10:07,"GOOD FT by BATCHELOR,BRYCE",43,,58 (+15),,HC 43-58 (-15),,"GOOD FT by BATCHELOR,BRYCE",2
09:55,,,,,"MISS JUMPER by KAISER,TOM",,,"MISS JUMPER by KAISER,TOM",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
09:42,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
09:26,,,,,"TURNOVER  by COOKS,TJ",,,"TURNOVER  by COOKS,TJ",2
09:26,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
09:26,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",2
09:17,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",2
09:17,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",2
09:17,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
09:17,,43,,59 (+16),"GOOD FT by GARATE,VICTOR",UDMBB 43-59 (-16),,"GOOD FT by GARATE,VICTOR",2
09:17,,43,,60 (+17),"GOOD FT by GARATE,VICTOR",UDMBB 43-60 (-17),,"GOOD FT by GARATE,VICTOR",2
08:53,,43,,62 (+19),"GOOD LAYUP by KAISER,TOM(in the paint)",UDMBB 43-62 (-19),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
--,,,,,"ASSIST  by GARATE,VICTOR",,,"ASSIST  by GARATE,VICTOR",2
08:41,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",45,,62 (+17),,HC 45-62 (-17),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",2
08:41,,,,,"FOUL  by KAISER,TOM",,,"FOUL  by KAISER,TOM",2
08:41,"GOOD FT by BATCHELOR,BRYCE",46,,62 (+16),,HC 46-62 (-16),,"GOOD FT by BATCHELOR,BRYCE",2
08:41,,,,,"SUB IN by BAMBACE,SEAN",,,"SUB IN by BAMBACE,SEAN",2
08:41,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",2
08:41,,,,,"SUB IN by SARRAT,MICHAEL",,,"SUB IN by SARRAT,MICHAEL",2
08:41,,,,,"SUB IN by GLADOLOR,PRINCE",,,"SUB IN by GLADOLOR,PRINCE",2
08:41,,,,,"SUB OUT by COOKS,TJ",,,"SUB OUT by COOKS,TJ",2
08:41,,,,,"SUB OUT by HORNER,RONNIE",,,"SUB OUT by HORNER,RONNIE",2
08:41,,,,,"SUB OUT by COLVIN,DARRIUS",,,"SUB OUT by COLVIN,DARRIUS",2
08:41,,,,,"SUB OUT by GARATE,VICTOR",,,"SUB OUT by GARATE,VICTOR",2
08:31,,,,,"MISS 3PTR by BAMBACE,SEAN",,,"MISS 3PTR by BAMBACE,SEAN",2
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",2
08:11,,46,,64 (+18),"GOOD LAYUP by KAISER,TOM(in the paint)",UDMBB 46-64 (-18),,"GOOD LAYUP by KAISER,TOM(in the paint)",2
--,,,,,"ASSIST  by GLADOLOR,PRINCE",,,"ASSIST  by GLADOLOR,PRINCE",2
07:54,,,,,"FOUL  by BAMBACE,SEAN",,,"FOUL  by BAMBACE,SEAN",2
07:54,"GOOD FT by SMITH,PRESTON",47,,64 (+17),,HC 47-64 (-17),,"GOOD FT by SMITH,PRESTON",2
07:54,"GOOD FT by SMITH,PRESTON",48,,64 (+16),,HC 48-64 (-16),,"GOOD FT by SMITH,PRESTON",2
07:41,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:23,,,,,"TURNOVER  by BAMBACE,SEAN",,,"TURNOVER  by BAMBACE,SEAN",2
07:14,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",2
06:53,,48,,66 (+18),"GOOD JUMPER by KAISER,TOM",UDMBB 48-66 (-18),,"GOOD JUMPER by KAISER,TOM",2
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",2
06:42,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",2
06:37,,,,,"TURNOVER  by GONZALEZ,LORENZO",,,"TURNOVER  by GONZALEZ,LORENZO",2
06:35,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",2
06:32,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
06:32,,,,,"BLOCK  by SARRAT,MICHAEL",,,"BLOCK  by SARRAT,MICHAEL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
06:32,,,,,"SUB IN by MACCALLUM,RORY",,,"SUB IN by MACCALLUM,RORY",2
06:32,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",2
06:30,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",2
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",2
06:27,"GOOD JUMPER by NIKOLOVSKI,DREW",50,,66 (+16),,HC 50-66 (-16),,"GOOD JUMPER by NIKOLOVSKI,DREW",2
06:06,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",2
06:06,,,,,"MISS FT by GLADOLOR,PRINCE",,,"MISS FT by GLADOLOR,PRINCE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:06,,50,,67 (+17),"GOOD FT by GLADOLOR,PRINCE",UDMBB 50-67 (-17),,"GOOD FT by GLADOLOR,PRINCE",2
06:06,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
06:06,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
05:56,"GOOD 3PTR by GARRETT,TRAVIS",53,,67 (+14),,HC 53-67 (-14),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,"ASSIST  by BARRETT,JORDAN",,,,,,,"ASSIST  by BARRETT,JORDAN",2
05:40,,,,,"TURNOVER  by BAMBACE,SEAN",,,"TURNOVER  by BAMBACE,SEAN",2
05:36,"STEAL  by BATCHELOR,BRYCE",,,,,,,"STEAL  by BATCHELOR,BRYCE",2
05:32,,,,,"SUB IN by CALTON,EMMANUEL",,,"SUB IN by CALTON,EMMANUEL",2
05:32,,,,,"SUB OUT by BAMBACE,SEAN",,,"SUB OUT by BAMBACE,SEAN",2
05:25,"GOOD 3PTR by PARKER,BRYCE",56,,67 (+11),,HC 56-67 (-11),,"GOOD 3PTR by PARKER,BRYCE",2
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",2
05:03,,56,,69 (+13),"GOOD LAYUP by GLADOLOR,PRINCE(in the paint)",UDMBB 56-69 (-13),,"GOOD LAYUP by GLADOLOR,PRINCE(in the paint)",2
04:53,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",59,,69 (+10),,HC 59-69 (-10),,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
04:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:37,,59,,72 (+13),"GOOD 3PTR by SARRAT,MICHAEL",UDMBB 59-72 (-13),,"GOOD 3PTR by SARRAT,MICHAEL",2
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",2
04:23,"MISS 3PTR by BARRETT,JORDAN",,,,,,,"MISS 3PTR by BARRETT,JORDAN",2
--,,,,,"REBOUND DEF by MACCALLUM,RORY",,,"REBOUND DEF by MACCALLUM,RORY",2
04:13,,,,,"TURNOVER  by CALTON,EMMANUEL",,,"TURNOVER  by CALTON,EMMANUEL",2
04:13,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
04:13,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",2
04:07,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by GLADOLOR,PRINCE",,,"REBOUND DEF by GLADOLOR,PRINCE",2
03:54,,,,,"TURNOVER  by GLADOLOR,PRINCE",,,"TURNOVER  by GLADOLOR,PRINCE",2
03:54,,,,,"FOUL  by GLADOLOR,PRINCE",,,"FOUL  by GLADOLOR,PRINCE",2
03:54,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",2
03:54,,,,,"SUB OUT by MACCALLUM,RORY",,,"SUB OUT by MACCALLUM,RORY",2
03:45,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",2
--,,,,,"REBOUND DEF by CALTON,EMMANUEL",,,"REBOUND DEF by CALTON,EMMANUEL",2
03:36,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
03:36,,59,,73 (+14),"GOOD FT by GLADOLOR,PRINCE",UDMBB 59-73 (-14),,"GOOD FT by GLADOLOR,PRINCE",2
03:36,,59,,74 (+15),"GOOD FT by GLADOLOR,PRINCE",UDMBB 59-74 (-15),,"GOOD FT by GLADOLOR,PRINCE",2
03:22,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",61,,74 (+13),,HC 61-74 (-13),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",2
02:55,,,,,"MISS LAYUP by CALTON,EMMANUEL",,,"MISS LAYUP by CALTON,EMMANUEL",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
02:44,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",2
02:44,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",2
02:38,,,,,"MISS LAYUP by CALTON,EMMANUEL",,,"MISS LAYUP by CALTON,EMMANUEL",2
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",2
02:34,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",2
02:34,,,,,"MISS FT by KAISER,TOM",,,"MISS FT by KAISER,TOM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:34,,61,,75 (+14),"GOOD FT by KAISER,TOM",UDMBB 61-75 (-14),,"GOOD FT by KAISER,TOM",2
02:21,"GOOD 3PTR by PARKER,BRYCE",64,,75 (+11),,HC 64-75 (-11),,"GOOD 3PTR by PARKER,BRYCE",2
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",2
01:58,,64,,77 (+13),"GOOD JUMPER by GLADOLOR,PRINCE(in the paint)",UDMBB 64-77 (-13),,"GOOD JUMPER by GLADOLOR,PRINCE(in the paint)",2
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",2
01:41,,,,,"FOUL  by CALTON,EMMANUEL",,,"FOUL  by CALTON,EMMANUEL",2
01:41,"MISS FT by PARKER,BRYCE",,,,,,,"MISS FT by PARKER,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:41,"GOOD FT by PARKER,BRYCE",65,,77 (+12),,HC 65-77 (-12),,"GOOD FT by PARKER,BRYCE",2
01:41,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",2
01:41,,,,,"SUB OUT by CALTON,EMMANUEL",,,"SUB OUT by CALTON,EMMANUEL",2
01:15,,,,,"MISS LAYUP by GLADOLOR,PRINCE",,,"MISS LAYUP by GLADOLOR,PRINCE",2
--,,,,,"REBOUND OFF by GLADOLOR,PRINCE",,,"REBOUND OFF by GLADOLOR,PRINCE",2
01:07,,,,,"MISS LAYUP by GLADOLOR,PRINCE",,,"MISS LAYUP by GLADOLOR,PRINCE",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
01:02,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by KAISER,TOM",,,"REBOUND DEF by KAISER,TOM",2
00:54,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",2
00:54,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",2
00:54,"FOUL TECH by NIKOLOVSKI,DREW",,,,,,,"FOUL TECH by NIKOLOVSKI,DREW",2
00:53,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",2
00:53,,65,,78 (+13),"GOOD FT by GONZALEZ,LORENZO",UDMBB 65-78 (-13),,"GOOD FT by GONZALEZ,LORENZO",2
00:53,,,,,"FOUL TECH by GONZALEZ,LORENZO",,,"FOUL TECH by GONZALEZ,LORENZO",2
00:53,,65,,79 (+14),"GOOD FT by GONZALEZ,LORENZO",UDMBB 65-79 (-14),,"GOOD FT by GONZALEZ,LORENZO",2
00:53,"GOOD FT by GARRETT,TRAVIS",66,,79 (+13),,HC 66-79 (-13),,"GOOD FT by GARRETT,TRAVIS",2
00:53,"GOOD FT by GARRETT,TRAVIS",67,,79 (+12),,HC 67-79 (-12),,"GOOD FT by GARRETT,TRAVIS",2
00:53,,,,,"SUB IN by COLVIN,DARRIUS",,,"SUB IN by COLVIN,DARRIUS",2
00:53,,,,,"SUB IN by DICAMBIO,AUSTIN",,,"SUB IN by DICAMBIO,AUSTIN",2
00:53,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",2
00:53,,,,,"SUB OUT by GARATE,VICTOR",,,"SUB OUT by GARATE,VICTOR",2
00:47,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",,,"REBOUND DEF by DICAMBIO,AUSTIN",2
00:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:41,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",2
00:41,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",2
00:41,,,,,"SUB OUT by COLVIN,DARRIUS",,,"SUB OUT by COLVIN,DARRIUS",2
00:41,,,,,"SUB OUT by DICAMBIO,AUSTIN",,,"SUB OUT by DICAMBIO,AUSTIN",2
00:35,,,,,"TURNOVER  by GLADOLOR,PRINCE",,,"TURNOVER  by GLADOLOR,PRINCE",2
00:33,"STEAL  by STEELE,AARON",,,,,,,"STEAL  by STEELE,AARON",2
00:29,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",69,,79 (+10),,HC 69-79 (-10),,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",2
00:22,,69,,81 (+12),"GOOD LAYUP by GLADOLOR,PRINCE(fastbreak)(in the paint)",UDMBB 69-81 (-12),,"GOOD LAYUP by GLADOLOR,PRINCE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SARRAT,MICHAEL",,,"ASSIST  by SARRAT,MICHAEL",2
00:15,"MISS JUMPER by GARRETT,TRAVIS",,,,,,,"MISS JUMPER by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by GONZALEZ,LORENZO",,,"REBOUND DEF by GONZALEZ,LORENZO",2
00:09,,,,,"TURNOVER  by GONZALEZ,LORENZO",,,"TURNOVER  by GONZALEZ,LORENZO",2
