Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:42,"GOOD JUMPER by GRIFFIN,JAROD",2 (+2),,0,,CENTRE 2-0 (-2),,"GOOD JUMPER by GRIFFIN,JAROD",1
19:41,,,,,"FOUL  by BAKER,BRUCE",,,"FOUL  by BAKER,BRUCE",1
19:29,"GOOD LAYUP by SINE,TUCKER(in the paint)",4 (+4),,0,,CENTRE 4-0 (-4),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
18:57,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
18:57,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:43,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
18:43,,,,,"BLOCK  by NIKOLOVSKI,DREW",,,"BLOCK  by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
18:34,"GOOD 3PTR by SCINTA,BLAKE",7 (+7),,0,,CENTRE 7-0 (-7),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
18:17,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
18:17,,7 (+6),,1,"GOOD FT by LITTLEFIELD,GEAREN",HC 7-1 (-6),,"GOOD FT by LITTLEFIELD,GEAREN",1
18:17,,7 (+5),,2,"GOOD FT by LITTLEFIELD,GEAREN",HC 7-2 (-5),,"GOOD FT by LITTLEFIELD,GEAREN",1
17:56,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
17:34,,,,,"MISS 3PTR by BAKER,BRUCE",,,"MISS 3PTR by BAKER,BRUCE",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
17:28,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
17:18,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
17:02,,7 (+3),,4,"GOOD JUMPER by OGLE,JOHN",HC 7-4 (-3),,"GOOD JUMPER by OGLE,JOHN",1
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",1
16:34,"GOOD 3PTR by SINE,TUCKER",10 (+6),,4,,CENTRE 10-4 (-6),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
16:22,,10 (+4),,6,"GOOD JUMPER by NIKOLOVSKI,DREW",HC 10-6 (-4),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by BAKER,BRUCE",,,"ASSIST  by BAKER,BRUCE",1
16:09,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
16:09,,,,,"BLOCK  by OGLE,JOHN",,,"BLOCK  by OGLE,JOHN",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
15:45,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
15:37,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
15:37,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:37,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
15:37,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
15:37,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
15:37,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
15:37,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
15:37,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
15:37,,,,,"SUB OUT by BAKER,BRUCE",,,"SUB OUT by BAKER,BRUCE",1
15:22,"TURNOVER  by ARNETT,MICHAEL",,,,,,,"TURNOVER  by ARNETT,MICHAEL",1
15:22,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",1
15:09,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
15:08,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
14:56,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",1
14:34,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
14:28,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
14:27,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",1
14:26,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
14:04,"GOOD 3PTR by GRIFFIN,JAROD",13 (+7),,6,,CENTRE 13-6 (-7),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by ARNETT,MICHAEL",,,,,,,"ASSIST  by ARNETT,MICHAEL",1
13:41,,13 (+4),,9,"GOOD 3PTR by PARKER,BRYCE",HC 13-9 (-4),,"GOOD 3PTR by PARKER,BRYCE",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
13:19,"MISS 3PTR by ARNETT,MICHAEL",,,,,,,"MISS 3PTR by ARNETT,MICHAEL",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
13:19,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
13:19,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
13:19,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
13:19,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",1
13:19,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
13:19,,,,,"SUB IN by BRADY,RYAN",,,"SUB IN by BRADY,RYAN",1
13:19,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
13:19,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
13:19,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
13:19,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
