Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:44,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
19:29,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",2 (+2),,0,,MILLMBB 2-0 (-2),,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
19:09,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
18:57,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
18:45,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
18:29,,2,,3 (+1),"GOOD 3PTR by NIKOLOVSKI,DREW",HC 2-3 (+1),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",1
18:13,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",1
18:01,"GOOD JUMPER by ROBERTSON,MARC",4 (+1),,3,,MILLMBB 4-3 (-1),,"GOOD JUMPER by ROBERTSON,MARC",1
--,"ASSIST  by GERCHOW,ALEX",,,,,,,"ASSIST  by GERCHOW,ALEX",1
17:45,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
17:34,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
