Time Remaining,SUMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
17:21,"MISS JUMPER by MOLINA,CHRIS",,,,,,,"MISS JUMPER by MOLINA,CHRIS",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
16:52,"FOUL  by CHRISTIE,DIMITRI",,,,,,,"FOUL  by CHRISTIE,DIMITRI",1
16:52,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:52,,5,,5,"GOOD FT by OGLE,JOHN",HC 5-5 (0),,"GOOD FT by OGLE,JOHN",1
16:52,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
16:52,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
16:38,"GOOD JUMPER by MOLINA,CHRIS(in the paint)",7 (+2),,5,,SUMBB 7-5 (-2),,"GOOD JUMPER by MOLINA,CHRIS(in the paint)",1
16:24,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
16:21,"STEAL  by OGDEN,RYAN",,,,,,,"STEAL  by OGDEN,RYAN",1
16:19,"GOOD DUNK by OGDEN,RYAN(fastbreak)(in the paint)",9 (+4),,5,,SUMBB 9-5 (-4),,"GOOD DUNK by OGDEN,RYAN(fastbreak)(in the paint)",1
16:09,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",1
16:08,"STEAL  by MOLINA,CHRIS",,,,,,,"STEAL  by MOLINA,CHRIS",1
15:57,"GOOD LAYUP by OGDEN,RYAN(in the paint)",11 (+6),,5,,SUMBB 11-5 (-6),,"GOOD LAYUP by OGDEN,RYAN(in the paint)",1
--,"ASSIST  by KIM,CONNOR",,,,,,,"ASSIST  by KIM,CONNOR",1
15:41,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,"REBOUND DEF by OGDEN,RYAN",,,,,,,"REBOUND DEF by OGDEN,RYAN",1
15:34,"MISS 3PTR by MOLINA,CHRIS",,,,,,,"MISS 3PTR by MOLINA,CHRIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:30,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
15:30,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
15:27,"MISS 3PTR by KIM,CONNOR",,,,,,,"MISS 3PTR by KIM,CONNOR",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
15:24,"FOUL  by OGDEN,RYAN",,,,,,,"FOUL  by OGDEN,RYAN",1
15:13,,11 (+3),,8,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 11-8 (-3),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",1
14:57,"MISS JUMPER by KIM,CONNOR",,,,,,,"MISS JUMPER by KIM,CONNOR",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
14:50,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by OGDEN,RYAN",,,,,,,"REBOUND DEF by OGDEN,RYAN",1
14:32,"MISS JUMPER by KIM,CONNOR",,,,,,,"MISS JUMPER by KIM,CONNOR",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
14:23,,11,,11,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 11-11 (0),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
14:02,"MISS 3PTR by MOLINA,CHRIS",,,,,,,"MISS 3PTR by MOLINA,CHRIS",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
13:48,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by KIM,CONNOR",,,,,,,"REBOUND DEF by KIM,CONNOR",1
13:36,"GOOD JUMPER by OGDEN,RYAN(in the paint)",13 (+2),,11,,SUMBB 13-11 (-2),,"GOOD JUMPER by OGDEN,RYAN(in the paint)",1
13:36,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
13:36,"GOOD FT by OGDEN,RYAN",14 (+3),,11,,SUMBB 14-11 (-3),,"GOOD FT by OGDEN,RYAN",1
13:36,"SUB IN by LEE,CHRIS",,,,,,,"SUB IN by LEE,CHRIS",1
13:36,"SUB IN by SANDERS,KARREY",,,,,,,"SUB IN by SANDERS,KARREY",1
13:36,"SUB IN by AKABOGU,NNAMDI",,,,,,,"SUB IN by AKABOGU,NNAMDI",1
13:36,"SUB OUT by KIM,CONNOR",,,,,,,"SUB OUT by KIM,CONNOR",1
13:36,"SUB OUT by CHRISTIE,DIMITRI",,,,,,,"SUB OUT by CHRISTIE,DIMITRI",1
13:36,"SUB OUT by MOLINA,CHRIS",,,,,,,"SUB OUT by MOLINA,CHRIS",1
13:36,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",1
13:36,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
13:20,,,,,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1
13:20,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
13:20,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
13:08,"GOOD 3PTR by SANDERS,KARREY",17 (+6),,11,,SUMBB 17-11 (-6),,"GOOD 3PTR by SANDERS,KARREY",1
--,"ASSIST  by LEE,CHRIS",,,,,,,"ASSIST  by LEE,CHRIS",1
12:50,,17 (+4),,13,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 17-13 (-4),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",1
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",1
12:35,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
12:35,"MISS FT by OGDEN,RYAN",,,,,,,"MISS FT by OGDEN,RYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:35,"GOOD FT by OGDEN,RYAN",18 (+5),,13,,SUMBB 18-13 (-5),,"GOOD FT by OGDEN,RYAN",1
12:27,,18 (+2),,16,"GOOD 3PTR by BATCHELOR,BRYCE",HC 18-16 (-2),,"GOOD 3PTR by BATCHELOR,BRYCE",1
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",1
12:04,"MISS 3PTR by SANDERS,KARREY",,,,,,,"MISS 3PTR by SANDERS,KARREY",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
11:44,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
11:41,"STEAL  by LEE,CHRIS",,,,,,,"STEAL  by LEE,CHRIS",1
11:37,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1
11:37,"SUB IN by BAULT,TYLER",,,,,,,"SUB IN by BAULT,TYLER",1
11:37,"SUB OUT by OGDEN,RYAN",,,,,,,"SUB OUT by OGDEN,RYAN",1
11:37,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
11:37,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
11:37,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
11:37,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
11:35,"MISS LAYUP by STIVER,BENJAMIN",,,,,,,"MISS LAYUP by STIVER,BENJAMIN",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
11:29,,18,,18,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",HC 18-18 (0),,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",1
11:03,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
11:03,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
11:03,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
10:56,"MISS JUMPER by AKABOGU,NNAMDI",,,,,,,"MISS JUMPER by AKABOGU,NNAMDI",1
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",1
10:48,,,,,"MISS JUMPER by STEELE,AARON",,,"MISS JUMPER by STEELE,AARON",1
10:48,"BLOCK  by BAULT,TYLER",,,,,,,"BLOCK  by BAULT,TYLER",1
--,"REBOUND DEF by AKABOGU,NNAMDI",,,,,,,"REBOUND DEF by AKABOGU,NNAMDI",1
10:40,"MISS 3PTR by BAULT,TYLER",,,,,,,"MISS 3PTR by BAULT,TYLER",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
10:19,,18,,21 (+3),"GOOD 3PTR by SMITH,PRESTON",HC 18-21 (+3),,"GOOD 3PTR by SMITH,PRESTON",1
09:58,"TURNOVER  by SANDERS,KARREY",,,,,,,"TURNOVER  by SANDERS,KARREY",1
09:58,"SUB IN by KIM,CONNOR",,,,,,,"SUB IN by KIM,CONNOR",1
09:58,"SUB OUT by STIVER,BENJAMIN",,,,,,,"SUB OUT by STIVER,BENJAMIN",1
09:43,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
09:42,"STEAL  by AKABOGU,NNAMDI",,,,,,,"STEAL  by AKABOGU,NNAMDI",1
09:20,"MISS JUMPER by BAULT,TYLER",,,,,,,"MISS JUMPER by BAULT,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:17,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
09:05,"MISS JUMPER by AKABOGU,NNAMDI",,,,,,,"MISS JUMPER by AKABOGU,NNAMDI",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
08:52,"FOUL  by BAULT,TYLER",,,,,,,"FOUL  by BAULT,TYLER",1
08:52,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:52,,18,,22 (+4),"GOOD FT by OGLE,JOHN",HC 18-22 (+4),,"GOOD FT by OGLE,JOHN",1
08:52,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
08:52,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
08:52,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
08:29,"TURNOVER  by SANDERS,KARREY",,,,,,,"TURNOVER  by SANDERS,KARREY",1
08:29,"SUB IN by OGDEN,RYAN",,,,,,,"SUB IN by OGDEN,RYAN",1
08:29,"SUB OUT by BAULT,TYLER",,,,,,,"SUB OUT by BAULT,TYLER",1
08:07,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
08:02,"FOUL  by SANDERS,KARREY",,,,,,,"FOUL  by SANDERS,KARREY",1
08:02,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:02,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by OGDEN,RYAN",,,,,,,"REBOUND DEF by OGDEN,RYAN",1
08:02,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
08:02,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
07:42,"MISS JUMPER by KIM,CONNOR",,,,,,,"MISS JUMPER by KIM,CONNOR",1
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
07:26,,18,,24 (+6),"GOOD JUMPER by LITTLEFIELD,GEAREN",HC 18-24 (+6),,"GOOD JUMPER by LITTLEFIELD,GEAREN",1
07:26,"FOUL  by AKABOGU,NNAMDI",,,,,,,"FOUL  by AKABOGU,NNAMDI",1
07:26,,18,,25 (+7),"GOOD FT by LITTLEFIELD,GEAREN",HC 18-25 (+7),,"GOOD FT by LITTLEFIELD,GEAREN",1
07:26,"SUB IN by STIVER,BENJAMIN",,,,,,,"SUB IN by STIVER,BENJAMIN",1
07:26,"SUB IN by MOLINA,CHRIS",,,,,,,"SUB IN by MOLINA,CHRIS",1
07:26,"SUB OUT by LEE,CHRIS",,,,,,,"SUB OUT by LEE,CHRIS",1
07:26,"SUB OUT by SANDERS,KARREY",,,,,,,"SUB OUT by SANDERS,KARREY",1
07:17,"GOOD JUMPER by MOLINA,CHRIS(in the paint)",20,,25 (+5),,SUMBB 20-25 (+5),,"GOOD JUMPER by MOLINA,CHRIS(in the paint)",1
07:04,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
07:03,"STEAL  by MOLINA,CHRIS",,,,,,,"STEAL  by MOLINA,CHRIS",1
06:50,"GOOD 3PTR by STIVER,BENJAMIN",23,,25 (+2),,SUMBB 23-25 (+2),,"GOOD 3PTR by STIVER,BENJAMIN",1
--,"ASSIST  by KIM,CONNOR",,,,,,,"ASSIST  by KIM,CONNOR",1
06:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:22,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
06:19,"STEAL  by STIVER,BENJAMIN",,,,,,,"STEAL  by STIVER,BENJAMIN",1
06:16,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",1
06:16,"GOOD FT by KIM,CONNOR",24,,25 (+1),,SUMBB 24-25 (+1),,"GOOD FT by KIM,CONNOR",1
06:16,"GOOD FT by KIM,CONNOR",25,,25,,SUMBB 25-25 (0),,"GOOD FT by KIM,CONNOR",1
06:06,,25,,27 (+2),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HC 25-27 (+2),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
05:51,"GOOD LAYUP by STIVER,BENJAMIN(in the paint)",27,,27,,SUMBB 27-27 (0),,"GOOD LAYUP by STIVER,BENJAMIN(in the paint)",1
--,"ASSIST  by AKABOGU,NNAMDI",,,,,,,"ASSIST  by AKABOGU,NNAMDI",1
05:37,,,,,"SUB IN by MURPHEY,LUKE",,,"SUB IN by MURPHEY,LUKE",1
05:37,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
05:37,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
05:37,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
05:30,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",1
--,"REBOUND DEF by OGDEN,RYAN",,,,,,,"REBOUND DEF by OGDEN,RYAN",1
05:16,"TURNOVER  by OGDEN,RYAN",,,,,,,"TURNOVER  by OGDEN,RYAN",1
05:00,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",1
04:59,"STEAL  by AKABOGU,NNAMDI",,,,,,,"STEAL  by AKABOGU,NNAMDI",1
04:54,"MISS LAYUP by STIVER,BENJAMIN",,,,,,,"MISS LAYUP by STIVER,BENJAMIN",1
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",1
04:49,"FOUL  by OGDEN,RYAN",,,,,,,"FOUL  by OGDEN,RYAN",1
04:49,"SUB IN by SANDERS,KARREY",,,,,,,"SUB IN by SANDERS,KARREY",1
04:49,"SUB OUT by OGDEN,RYAN",,,,,,,"SUB OUT by OGDEN,RYAN",1
04:49,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
04:43,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND OFF by STEELE,AARON",,,"REBOUND OFF by STEELE,AARON",1
04:40,"FOUL  by MOLINA,CHRIS",,,,,,,"FOUL  by MOLINA,CHRIS",1
04:40,,27,,28 (+1),"GOOD FT by STEELE,AARON",HC 27-28 (+1),,"GOOD FT by STEELE,AARON",1
04:40,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",1
--,,,,,"REBOUND OFF by STEELE,AARON",,,"REBOUND OFF by STEELE,AARON",1
04:37,,27,,30 (+3),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 27-30 (+3),,"GOOD JUMPER by STEELE,AARON(in the paint)",1
04:11,"GOOD 3PTR by SANDERS,KARREY",30,,30,,SUMBB 30-30 (0),,"GOOD 3PTR by SANDERS,KARREY",1
--,"ASSIST  by AKABOGU,NNAMDI",,,,,,,"ASSIST  by AKABOGU,NNAMDI",1
03:44,,30,,33 (+3),"GOOD 3PTR by STEELE,AARON",HC 30-33 (+3),,"GOOD 3PTR by STEELE,AARON",1
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",1
03:21,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",1
03:21,"GOOD FT by SANDERS,KARREY",31,,33 (+2),,SUMBB 31-33 (+2),,"GOOD FT by SANDERS,KARREY",1
03:21,"GOOD FT by SANDERS,KARREY",32,,33 (+1),,SUMBB 32-33 (+1),,"GOOD FT by SANDERS,KARREY",1
03:21,"SUB IN by CHRISTIE,DIMITRI",,,,,,,"SUB IN by CHRISTIE,DIMITRI",1
03:21,"SUB OUT by AKABOGU,NNAMDI",,,,,,,"SUB OUT by AKABOGU,NNAMDI",1
03:21,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
03:21,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
03:08,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:02,,,,,"MISS LAYUP by MURPHEY,LUKE",,,"MISS LAYUP by MURPHEY,LUKE",1
--,"REBOUND DEF by STIVER,BENJAMIN",,,,,,,"REBOUND DEF by STIVER,BENJAMIN",1
02:51,"TURNOVER  by KIM,CONNOR",,,,,,,"TURNOVER  by KIM,CONNOR",1
02:50,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",1
02:46,,32,,35 (+3),"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",HC 32-35 (+3),,"GOOD LAYUP by NOTLEY,CHANDLER(in the paint)",1
--,,,,,"ASSIST  by MURPHEY,LUKE",,,"ASSIST  by MURPHEY,LUKE",1
02:30,"GOOD 3PTR by STIVER,BENJAMIN",35,,35,,SUMBB 35-35 (0),,"GOOD 3PTR by STIVER,BENJAMIN",1
--,"ASSIST  by MOLINA,CHRIS",,,,,,,"ASSIST  by MOLINA,CHRIS",1
01:59,,,,,"TURNOVER  by NOTLEY,CHANDLER",,,"TURNOVER  by NOTLEY,CHANDLER",1
01:59,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
01:59,"SUB IN by LEE,CHRIS",,,,,,,"SUB IN by LEE,CHRIS",1
01:59,"SUB OUT by KIM,CONNOR",,,,,,,"SUB OUT by KIM,CONNOR",1
01:59,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
01:59,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
01:51,"MISS JUMPER by CHRISTIE,DIMITRI",,,,,,,"MISS JUMPER by CHRISTIE,DIMITRI",1
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",1
01:43,,35,,37 (+2),"GOOD JUMPER by SMITH,PRESTON(in the paint)",HC 35-37 (+2),,"GOOD JUMPER by SMITH,PRESTON(in the paint)",1
01:23,"GOOD JUMPER by LEE,CHRIS(in the paint)",37,,37,,SUMBB 37-37 (0),,"GOOD JUMPER by LEE,CHRIS(in the paint)",1
01:06,"FOUL  by LEE,CHRIS",,,,,,,"FOUL  by LEE,CHRIS",1
01:06,,37,,38 (+1),"GOOD FT by GARRETT,TRAVIS",HC 37-38 (+1),,"GOOD FT by GARRETT,TRAVIS",1
01:06,,37,,39 (+2),"GOOD FT by GARRETT,TRAVIS",HC 37-39 (+2),,"GOOD FT by GARRETT,TRAVIS",1
01:06,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
01:06,,,,,"SUB OUT by MURPHEY,LUKE",,,"SUB OUT by MURPHEY,LUKE",1
00:55,"MISS JUMPER by MOLINA,CHRIS",,,,,,,"MISS JUMPER by MOLINA,CHRIS",1
--,"REBOUND OFF by LEE,CHRIS",,,,,,,"REBOUND OFF by LEE,CHRIS",1
00:51,"GOOD 3PTR by MOLINA,CHRIS",40 (+1),,39,,SUMBB 40-39 (-1),,"GOOD 3PTR by MOLINA,CHRIS",1
--,"ASSIST  by LEE,CHRIS",,,,,,,"ASSIST  by LEE,CHRIS",1
00:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:26,,,,,"MISS JUMPER by PARKER,BRYCE",,,"MISS JUMPER by PARKER,BRYCE",1
--,"REBOUND DEF by CHRISTIE,DIMITRI",,,,,,,"REBOUND DEF by CHRISTIE,DIMITRI",1
00:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
00:07,"GOOD 3PTR by SANDERS,KARREY",43 (+4),,39,,SUMBB 43-39 (-4),,"GOOD 3PTR by SANDERS,KARREY",1
--,"ASSIST  by MOLINA,CHRIS",,,,,,,"ASSIST  by MOLINA,CHRIS",1
20:00,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
20:00,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
19:47,"MISS 3PTR by KIM,CONNOR",,,,,,,"MISS 3PTR by KIM,CONNOR",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
19:31,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
19:31,"BLOCK  by OGDEN,RYAN",,,,,,,"BLOCK  by OGDEN,RYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:24,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
19:22,"STEAL  by MOLINA,CHRIS",,,,,,,"STEAL  by MOLINA,CHRIS",2
19:20,"GOOD LAYUP by MOLINA,CHRIS(fastbreak)(in the paint)",45 (+6),,39,,SUMBB 45-39 (-6),,"GOOD LAYUP by MOLINA,CHRIS(fastbreak)(in the paint)",2
18:50,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",2
--,"REBOUND DEF by AKABOGU,NNAMDI",,,,,,,"REBOUND DEF by AKABOGU,NNAMDI",2
18:40,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
18:32,"MISS 3PTR by OGDEN,RYAN",,,,,,,"MISS 3PTR by OGDEN,RYAN",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
18:17,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by OGDEN,RYAN",,,,,,,"REBOUND DEF by OGDEN,RYAN",2
18:09,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
18:08,"TURNOVER  by KIM,CONNOR",,,,,,,"TURNOVER  by KIM,CONNOR",2
18:07,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",2
