Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:46,,0,,3 (+3),"GOOD 3PTR by SMITH,PRESTON",HC 0-3 (+3),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
19:31,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",1
--,"REBOUND OFF by GONZALEZ,LORENZO",,,,,,,"REBOUND OFF by GONZALEZ,LORENZO",1
19:15,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
19:06,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",1
19:06,"MISS FT by CALTON,EMMANUEL",,,,,,,"MISS FT by CALTON,EMMANUEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:06,"GOOD FT by CALTON,EMMANUEL",1,,3 (+2),,UDMBB 1-3 (+2),,"GOOD FT by CALTON,EMMANUEL",1
18:36,,,,,"MISS JUMPER by SMITH,PRESTON",,,"MISS JUMPER by SMITH,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:20,"GOOD JUMPER by GONZALEZ,LORENZO(in the paint)",3,,3,,UDMBB 3-3 (0),,"GOOD JUMPER by GONZALEZ,LORENZO(in the paint)",1
18:04,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",1
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
18:02,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",1
18:02,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
