Time Remaining,CENTMBO,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
18:29,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
18:28,"STEAL  by DEMOUCHET,KENDALL",,,,,,,"STEAL  by DEMOUCHET,KENDALL",2
18:27,"GOOD LAYUP by CUETO,JUSTIN(fastbreak)(in the paint)",39 (+7),,32,,CENTMBO 39-32 (-7),,"GOOD LAYUP by CUETO,JUSTIN(fastbreak)(in the paint)",2
--,"ASSIST  by DEMOUCHET,KENDALL",,,,,,,"ASSIST  by DEMOUCHET,KENDALL",2
18:25,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
18:25,"GOOD FT by CUETO,JUSTIN",40 (+8),,32,,CENTMBO 40-32 (-8),,"GOOD FT by CUETO,JUSTIN",2
18:25,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",2
18:25,"SUB OUT by SAPP,JAMES",,,,,,,"SUB OUT by SAPP,JAMES",2
18:01,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
18:01,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
18:01,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
17:38,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
17:38,"GOOD FT by KIRKENDOLL,TRAVION",41 (+9),,32,,CENTMBO 41-32 (-9),,"GOOD FT by KIRKENDOLL,TRAVION",2
17:38,"GOOD FT by KIRKENDOLL,TRAVION",42 (+10),,32,,CENTMBO 42-32 (-10),,"GOOD FT by KIRKENDOLL,TRAVION",2
17:24,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
17:18,"GOOD LAYUP by MATTHEWS,TREYLAN(fastbreak)(in the paint)",44 (+12),,32,,CENTMBO 44-32 (-12),,"GOOD LAYUP by MATTHEWS,TREYLAN(fastbreak)(in the paint)",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
17:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:47,,44 (+10),,34,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",HC 44-34 (-10),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",2
16:31,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",46 (+12),,34,,CENTMBO 46-34 (-12),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",2
--,"ASSIST  by WILLIAMS,DONOVAN",,,,,,,"ASSIST  by WILLIAMS,DONOVAN",2
16:12,,46 (+9),,37,"GOOD 3PTR by BARRETT,JORDAN",HC 46-37 (-9),,"GOOD 3PTR by BARRETT,JORDAN",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
15:52,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",2
15:52,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",2
15:32,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
15:32,"SUB IN by CAMPBELL,BRANDON",,,,,,,"SUB IN by CAMPBELL,BRANDON",2
15:32,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",2
15:14,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
15:14,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
15:14,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
15:14,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
15:01,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
14:46,"FOUL  by KIRKENDOLL,TRAVION",,,,,,,"FOUL  by KIRKENDOLL,TRAVION",2
14:46,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:46,,46 (+8),,38,"GOOD FT by BATCHELOR,BRYCE",HC 46-38 (-8),,"GOOD FT by BATCHELOR,BRYCE",2
14:46,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
14:46,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
14:31,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",2
14:31,"FOUL  by WILLIAMS,DONOVAN",,,,,,,"FOUL  by WILLIAMS,DONOVAN",2
14:31,"SUB IN by SAPP,JAMES",,,,,,,"SUB IN by SAPP,JAMES",2
14:31,"SUB OUT by WILLIAMS,DONOVAN",,,,,,,"SUB OUT by WILLIAMS,DONOVAN",2
14:31,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
14:31,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
14:22,,46 (+5),,41,"GOOD 3PTR by BARRETT,JORDAN(fastbreak)",HC 46-41 (-5),,"GOOD 3PTR by BARRETT,JORDAN(fastbreak)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
14:01,"GOOD JUMPER by DEMOUCHET,KENDALL",48 (+7),,41,,CENTMBO 48-41 (-7),,"GOOD JUMPER by DEMOUCHET,KENDALL",2
--,"ASSIST  by CAMPBELL,BRANDON",,,,,,,"ASSIST  by CAMPBELL,BRANDON",2
13:45,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:24,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",2
13:24,"BLOCK  by DEMOUCHET,KENDALL",,,,,,,"BLOCK  by DEMOUCHET,KENDALL",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
13:11,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
13:11,"MISS FT by CAMPBELL,BRANDON",,,,,,,"MISS FT by CAMPBELL,BRANDON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:11,"GOOD FT by CAMPBELL,BRANDON",49 (+8),,41,,CENTMBO 49-41 (-8),,"GOOD FT by CAMPBELL,BRANDON",2
12:51,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
12:50,"STEAL  by SAPP,JAMES",,,,,,,"STEAL  by SAPP,JAMES",2
12:46,"GOOD DUNK by SAPP,JAMES(fastbreak)(in the paint)",51 (+10),,41,,CENTMBO 51-41 (-10),,"GOOD DUNK by SAPP,JAMES(fastbreak)(in the paint)",2
12:18,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
12:14,,51 (+8),,43,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 51-43 (-8),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
11:55,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
11:53,"TURNOVER  by CAMPBELL,BRANDON",,,,,,,"TURNOVER  by CAMPBELL,BRANDON",2
11:52,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",2
11:52,"FOUL  by DEMOUCHET,KENDALL",,,,,,,"FOUL  by DEMOUCHET,KENDALL",2
11:41,,51 (+5),,46,"GOOD 3PTR by GARRETT,TRAVIS",HC 51-46 (-5),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
11:22,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",53 (+7),,46,,CENTMBO 53-46 (-7),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",2
11:05,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",2
10:54,"TURNOVER  by SAPP,JAMES",,,,,,,"TURNOVER  by SAPP,JAMES",2
10:52,,,,,"STEAL  by BARRETT,JORDAN",,,"STEAL  by BARRETT,JORDAN",2
10:50,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
10:47,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
10:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:47,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
10:33,"MISS 3PTR by DEMOUCHET,KENDALL",,,,,,,"MISS 3PTR by DEMOUCHET,KENDALL",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
10:31,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
10:31,"GOOD FT by KIRKENDOLL,TRAVION",54 (+8),,46,,CENTMBO 54-46 (-8),,"GOOD FT by KIRKENDOLL,TRAVION",2
10:31,"GOOD FT by KIRKENDOLL,TRAVION",55 (+9),,46,,CENTMBO 55-46 (-9),,"GOOD FT by KIRKENDOLL,TRAVION",2
09:53,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",,,"MISS LAYUP by LITTLEFIELD,GEAREN",2
09:53,"BLOCK  by DEMOUCHET,KENDALL",,,,,,,"BLOCK  by DEMOUCHET,KENDALL",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
09:37,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
09:37,"GOOD FT by CUETO,JUSTIN",56 (+10),,46,,CENTMBO 56-46 (-10),,"GOOD FT by CUETO,JUSTIN",2
09:37,"GOOD FT by CUETO,JUSTIN",57 (+11),,46,,CENTMBO 57-46 (-11),,"GOOD FT by CUETO,JUSTIN",2
09:37,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
09:37,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
09:19,,57 (+8),,49,"GOOD 3PTR by GARRETT,TRAVIS",HC 57-49 (-8),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",2
08:59,"TURNOVER  by CAMPBELL,BRANDON",,,,,,,"TURNOVER  by CAMPBELL,BRANDON",2
08:59,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",2
08:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:59,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",2
08:59,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",2
08:59,"SUB OUT by CUETO,JUSTIN",,,,,,,"SUB OUT by CUETO,JUSTIN",2
08:59,"SUB OUT by DEMOUCHET,KENDALL",,,,,,,"SUB OUT by DEMOUCHET,KENDALL",2
08:52,"FOUL  by CAMPBELL,BRANDON",,,,,,,"FOUL  by CAMPBELL,BRANDON",2
08:43,,57 (+5),,52,"GOOD 3PTR by GARRETT,TRAVIS",HC 57-52 (-5),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",2
08:23,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
08:23,"GOOD FT by SAPP,JAMES",58 (+6),,52,,CENTMBO 58-52 (-6),,"GOOD FT by SAPP,JAMES",2
08:23,"MISS FT by SAPP,JAMES",,,,,,,"MISS FT by SAPP,JAMES",2
--,,,,,"REBOUND DEF by PARKER,BRYCE",,,"REBOUND DEF by PARKER,BRYCE",2
08:23,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
08:23,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
08:02,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",2
07:34,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",2
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",2
07:19,,,,,"MISS JUMPER by GARRETT,TRAVIS",,,"MISS JUMPER by GARRETT,TRAVIS",2
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",2
07:01,"TURNOVER  by SAPP,JAMES",,,,,,,"TURNOVER  by SAPP,JAMES",2
07:00,,,,,"STEAL  by SMITH,PRESTON",,,"STEAL  by SMITH,PRESTON",2
06:57,"FOUL  by MATTHEWS,TREYLAN",,,,,,,"FOUL  by MATTHEWS,TREYLAN",2
06:57,,58 (+5),,53,"GOOD FT by SMITH,PRESTON",HC 58-53 (-5),,"GOOD FT by SMITH,PRESTON",2
06:57,,58 (+4),,54,"GOOD FT by SMITH,PRESTON",HC 58-54 (-4),,"GOOD FT by SMITH,PRESTON",2
06:57,"SUB IN by CUETO,JUSTIN",,,,,,,"SUB IN by CUETO,JUSTIN",2
06:57,"SUB IN by DEMOUCHET,KENDALL",,,,,,,"SUB IN by DEMOUCHET,KENDALL",2
06:57,"SUB OUT by SAPP,JAMES",,,,,,,"SUB OUT by SAPP,JAMES",2
06:57,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",2
06:39,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",2
06:37,,,,,"STEAL  by PARKER,BRYCE",,,"STEAL  by PARKER,BRYCE",2
06:37,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",2
06:28,"MISS 3PTR by CUETO,JUSTIN",,,,,,,"MISS 3PTR by CUETO,JUSTIN",2
--,"REBOUND OFF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",2
06:26,"GOOD JUMPER by KIRKENDOLL,TRAVION",60 (+6),,54,,CENTMBO 60-54 (-6),,"GOOD JUMPER by KIRKENDOLL,TRAVION",2
06:13,,60 (+3),,57,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",HC 60-57 (-3),,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",2
--,,,,,"ASSIST  by PARKER,BRYCE",,,"ASSIST  by PARKER,BRYCE",2
05:48,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",2
05:48,"GOOD FT by KIRKENDOLL,TRAVION",61 (+4),,57,,CENTMBO 61-57 (-4),,"GOOD FT by KIRKENDOLL,TRAVION",2
05:48,"GOOD FT by KIRKENDOLL,TRAVION",62 (+5),,57,,CENTMBO 62-57 (-5),,"GOOD FT by KIRKENDOLL,TRAVION",2
05:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:35,,62 (+3),,59,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",HC 62-59 (-3),,"GOOD LAYUP by BATCHELOR,BRYCE(in the paint)",2
--,,,,,"ASSIST  by LITTLEFIELD,GEAREN",,,"ASSIST  by LITTLEFIELD,GEAREN",2
05:16,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
05:16,"MISS FT by DEMOUCHET,KENDALL",,,,,,,"MISS FT by DEMOUCHET,KENDALL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:16,"GOOD FT by DEMOUCHET,KENDALL",63 (+4),,59,,CENTMBO 63-59 (-4),,"GOOD FT by DEMOUCHET,KENDALL",2
05:09,,,,,"TURNOVER  by PARKER,BRYCE",,,"TURNOVER  by PARKER,BRYCE",2
05:09,"SUB IN by SAPP,JAMES",,,,,,,"SUB IN by SAPP,JAMES",2
05:09,"SUB OUT by WILLIAMS,DONOVAN",,,,,,,"SUB OUT by WILLIAMS,DONOVAN",2
05:09,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
05:09,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
04:53,"GOOD LAYUP by SAPP,JAMES(in the paint)",65 (+6),,59,,CENTMBO 65-59 (-6),,"GOOD LAYUP by SAPP,JAMES(in the paint)",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
04:53,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
04:53,"GOOD FT by SAPP,JAMES",66 (+7),,59,,CENTMBO 66-59 (-7),,"GOOD FT by SAPP,JAMES",2
04:53,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
04:53,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
04:51,"FOUL  by CUETO,JUSTIN",,,,,,,"FOUL  by CUETO,JUSTIN",2
04:51,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",2
04:43,"MISS JUMPER by DEMOUCHET,KENDALL",,,,,,,"MISS JUMPER by DEMOUCHET,KENDALL",2
--,,,,,"REBOUND DEF by BATCHELOR,BRYCE",,,"REBOUND DEF by BATCHELOR,BRYCE",2
04:34,,66 (+4),,62,"GOOD 3PTR by BATCHELOR,BRYCE(fastbreak)",HC 66-62 (-4),,"GOOD 3PTR by BATCHELOR,BRYCE(fastbreak)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
04:07,"MISS 3PTR by DEMOUCHET,KENDALL",,,,,,,"MISS 3PTR by DEMOUCHET,KENDALL",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
03:53,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
03:25,,,,,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",2
03:25,"MISS FT by CAMPBELL,BRANDON",,,,,,,"MISS FT by CAMPBELL,BRANDON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:25,"GOOD FT by CAMPBELL,BRANDON",67 (+5),,62,,CENTMBO 67-62 (-5),,"GOOD FT by CAMPBELL,BRANDON",2
02:56,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:46,"FOUL  by DEMOUCHET,KENDALL",,,,,,,"FOUL  by DEMOUCHET,KENDALL",2
02:46,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
02:30,"FOUL  by CUETO,JUSTIN",,,,,,,"FOUL  by CUETO,JUSTIN",2
02:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:30,,67 (+4),,63,"GOOD FT by BATCHELOR,BRYCE",HC 67-63 (-4),,"GOOD FT by BATCHELOR,BRYCE",2
02:30,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
02:05,"MISS JUMPER by CAMPBELL,BRANDON",,,,,,,"MISS JUMPER by CAMPBELL,BRANDON",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
01:46,"FOUL  by KIRKENDOLL,TRAVION",,,,,,,"FOUL  by KIRKENDOLL,TRAVION",2
01:46,,67 (+3),,64,"GOOD FT by SMITH,PRESTON",HC 67-64 (-3),,"GOOD FT by SMITH,PRESTON",2
01:46,,67 (+2),,65,"GOOD FT by SMITH,PRESTON",HC 67-65 (-2),,"GOOD FT by SMITH,PRESTON",2
01:23,"GOOD 3PTR by KIRKENDOLL,TRAVION",70 (+5),,65,,CENTMBO 70-65 (-5),,"GOOD 3PTR by KIRKENDOLL,TRAVION",2
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",2
01:05,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",2
01:05,"SUB OUT by CUETO,JUSTIN",,,,,,,"SUB OUT by CUETO,JUSTIN",2
01:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:52,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
00:43,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
00:43,"MISS FT by KIRKENDOLL,TRAVION",,,,,,,"MISS FT by KIRKENDOLL,TRAVION",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:43,"GOOD FT by KIRKENDOLL,TRAVION",71 (+6),,65,,CENTMBO 71-65 (-6),,"GOOD FT by KIRKENDOLL,TRAVION",2
00:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:35,,71 (+4),,67,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 71-67 (-4),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
00:30,"TURNOVER  by KIRKENDOLL,TRAVION",,,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",2
00:29,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",2
00:15,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",,,"MISS JUMPER by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
00:10,"FOUL  by KIRKENDOLL,TRAVION",,,,,,,"FOUL  by KIRKENDOLL,TRAVION",2
00:10,,71 (+3),,68,"GOOD FT by SMITH,PRESTON",HC 71-68 (-3),,"GOOD FT by SMITH,PRESTON",2
00:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:10,,71 (+2),,69,"GOOD FT by SMITH,PRESTON",HC 71-69 (-2),,"GOOD FT by SMITH,PRESTON",2
00:10,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",2
00:10,"SUB IN by CUETO,JUSTIN",,,,,,,"SUB IN by CUETO,JUSTIN",2
00:10,"SUB OUT by DEMOUCHET,KENDALL",,,,,,,"SUB OUT by DEMOUCHET,KENDALL",2
00:10,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",2
00:10,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
00:10,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
00:09,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
00:09,"GOOD FT by CAMPBELL,BRANDON",72 (+3),,69,,CENTMBO 72-69 (-3),,"GOOD FT by CAMPBELL,BRANDON",2
00:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:09,"GOOD FT by CAMPBELL,BRANDON",73 (+4),,69,,CENTMBO 73-69 (-4),,"GOOD FT by CAMPBELL,BRANDON",2
00:09,"SUB IN by DEMOUCHET,KENDALL",,,,,,,"SUB IN by DEMOUCHET,KENDALL",2
00:09,"SUB OUT by WILLIAMS,DONOVAN",,,,,,,"SUB OUT by WILLIAMS,DONOVAN",2
00:09,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
00:09,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
00:09,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
00:09,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:05,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:01,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",2
00:01,"SUB OUT by SAPP,JAMES",,,,,,,"SUB OUT by SAPP,JAMES",2
