Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
11:45,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
11:45,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",1
11:45,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
11:22,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
11:07,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
11:06,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND OFF by BRITVAR,STEFAN",,,"REBOUND OFF by BRITVAR,STEFAN",1
11:02,,10,,15 (+5),"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",OUM 10-15 (-5),,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",1
10:35,"GOOD 3PTR by STEELE,AARON",13,,15 (+2),,HC 13-15 (-2),,"GOOD 3PTR by STEELE,AARON",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
10:19,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
10:19,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
10:19,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
10:19,,,,,"SUB IN by ROMAGUERA,COLE",,,"SUB IN by ROMAGUERA,COLE",1
10:19,,,,,"SUB OUT by BOURDAGE,TAYLOR",,,"SUB OUT by BOURDAGE,TAYLOR",1
10:02,,13,,18 (+5),"GOOD 3PTR by ROMAGUERA,COLE",OUM 13-18 (-5),,"GOOD 3PTR by ROMAGUERA,COLE",1
--,,,,,"ASSIST  by LAWRENCE,CHRIS",,,"ASSIST  by LAWRENCE,CHRIS",1
09:39,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
09:37,,,,,"STEAL  by SMITH,CONNOR",,,"STEAL  by SMITH,CONNOR",1
09:22,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
09:22,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",1
09:22,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
09:22,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
09:22,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
09:09,,13,,20 (+7),"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",OUM 13-20 (-7),,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",1
08:44,"MISS JUMPER by GARRETT,TRAVIS",,,,,,,"MISS JUMPER by GARRETT,TRAVIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:41,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
08:41,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
08:28,"MISS LAYUP by GARRETT,TRAVIS",,,,,,,"MISS LAYUP by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
08:17,,,,,"MISS 3PTR by ANDINO,GEORGE",,,"MISS 3PTR by ANDINO,GEORGE",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
08:06,"GOOD 3PTR by SMITH,PRESTON",16,,20 (+4),,HC 16-20 (-4),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by BRADY,RYAN",,,,,,,"ASSIST  by BRADY,RYAN",1
07:46,"FOUL  by BRADY,RYAN",,,,,,,"FOUL  by BRADY,RYAN",1
07:46,,16,,21 (+5),"GOOD FT by ROMAGUERA,COLE",OUM 16-21 (-5),,"GOOD FT by ROMAGUERA,COLE",1
07:46,,16,,22 (+6),"GOOD FT by ROMAGUERA,COLE",OUM 16-22 (-6),,"GOOD FT by ROMAGUERA,COLE",1
07:46,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",1
07:46,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",1
07:46,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
07:46,,,,,"SUB OUT by BRITVAR,STEFAN",,,"SUB OUT by BRITVAR,STEFAN",1
07:32,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",18,,22 (+4),,HC 18-22 (-4),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
--,"ASSIST  by BRADY,RYAN",,,,,,,"ASSIST  by BRADY,RYAN",1
07:10,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
06:58,"TURNOVER  by BRADY,RYAN",,,,,,,"TURNOVER  by BRADY,RYAN",1
06:57,,,,,"STEAL  by LAWRENCE,CHRIS",,,"STEAL  by LAWRENCE,CHRIS",1
06:36,,,,,"MISS LAYUP by HUFFMAN,DEVIN",,,"MISS LAYUP by HUFFMAN,DEVIN",1
06:36,"BLOCK  by BRADY,RYAN",,,,,,,"BLOCK  by BRADY,RYAN",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
06:23,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:21,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
06:21,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",1
06:21,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
06:21,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",1
06:20,"GOOD LAYUP by STEELE,AARON(in the paint)",20,,22 (+2),,HC 20-22 (-2),,"GOOD LAYUP by STEELE,AARON(in the paint)",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
06:04,,20,,24 (+4),"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 20-24 (-4),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
05:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:45,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by ROMAGUERA,COLE",,,"REBOUND DEF by ROMAGUERA,COLE",1
05:30,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
05:30,,20,,25 (+5),"GOOD FT by INUNGU,TOM",OUM 20-25 (-5),,"GOOD FT by INUNGU,TOM",1
05:30,,20,,26 (+6),"GOOD FT by INUNGU,TOM",OUM 20-26 (-6),,"GOOD FT by INUNGU,TOM",1
05:30,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
05:30,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
05:30,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",1
05:30,,,,,"SUB OUT by ROMAGUERA,COLE",,,"SUB OUT by ROMAGUERA,COLE",1
05:15,,,,,"FOUL  by HUFFMAN,DEVIN",,,"FOUL  by HUFFMAN,DEVIN",1
05:15,"GOOD FT by STEELE,AARON",21,,26 (+5),,HC 21-26 (-5),,"GOOD FT by STEELE,AARON",1
05:15,"GOOD FT by STEELE,AARON",22,,26 (+4),,HC 22-26 (-4),,"GOOD FT by STEELE,AARON",1
05:00,,,,,"TURNOVER  by LAWRENCE,CHRIS",,,"TURNOVER  by LAWRENCE,CHRIS",1
04:58,"STEAL  by STEELE,AARON",,,,,,,"STEAL  by STEELE,AARON",1
04:56,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",1
--,"REBOUND OFF by OGLE,JOHN",,,,,,,"REBOUND OFF by OGLE,JOHN",1
04:52,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",1
04:52,"GOOD FT by OGLE,JOHN",23,,26 (+3),,HC 23-26 (-3),,"GOOD FT by OGLE,JOHN",1
04:52,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
04:52,,,,,"SUB IN by ROMAGUERA,COLE",,,"SUB IN by ROMAGUERA,COLE",1
04:52,,,,,"SUB OUT by HUFFMAN,DEVIN",,,"SUB OUT by HUFFMAN,DEVIN",1
04:34,,23,,29 (+6),"GOOD 3PTR by SMITH,CONNOR",OUM 23-29 (-6),,"GOOD 3PTR by SMITH,CONNOR",1
--,,,,,"ASSIST  by LAWRENCE,CHRIS",,,"ASSIST  by LAWRENCE,CHRIS",1
04:15,"GOOD JUMPER by STEELE,AARON(in the paint)",25,,29 (+4),,HC 25-29 (-4),,"GOOD JUMPER by STEELE,AARON(in the paint)",1
03:56,,,,,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",1
03:28,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
03:25,,,,,"STEAL  by SMITH,CONNOR",,,"STEAL  by SMITH,CONNOR",1
03:24,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",1
03:24,,25,,30 (+5),"GOOD FT by ROMAGUERA,COLE",OUM 25-30 (-5),,"GOOD FT by ROMAGUERA,COLE",1
03:24,,25,,31 (+6),"GOOD FT by ROMAGUERA,COLE",OUM 25-31 (-6),,"GOOD FT by ROMAGUERA,COLE",1
03:24,,,,,"SUB IN by BRITVAR,STEFAN",,,"SUB IN by BRITVAR,STEFAN",1
03:24,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
03:09,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:07,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",1
03:07,"MISS FT by GARRETT,TRAVIS",,,,,,,"MISS FT by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
02:50,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
02:26,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND OFF by BATCHELOR,BRYCE",,,,,,,"REBOUND OFF by BATCHELOR,BRYCE",1
02:20,"MISS LAYUP by BATCHELOR,BRYCE",,,,,,,"MISS LAYUP by BATCHELOR,BRYCE",1
--,,,,,"REBOUND DEF by LAWRENCE,CHRIS",,,"REBOUND DEF by LAWRENCE,CHRIS",1
02:00,,,,,"MISS LAYUP by BRITVAR,STEFAN",,,"MISS LAYUP by BRITVAR,STEFAN",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
01:44,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
01:33,,,,,"TURNOVER  by BRITVAR,STEFAN",,,"TURNOVER  by BRITVAR,STEFAN",1
01:31,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
01:28,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",27,,31 (+4),,HC 27-31 (-4),,"GOOD LAYUP by STEELE,AARON(fastbreak)(in the paint)",1
01:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:04,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
01:04,,,,,"MISS FT by LAWRENCE,CHRIS",,,"MISS FT by LAWRENCE,CHRIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:04,,,,,"MISS FT by LAWRENCE,CHRIS",,,"MISS FT by LAWRENCE,CHRIS",1
--,"REBOUND DEF by BRADY,RYAN",,,,,,,"REBOUND DEF by BRADY,RYAN",1
01:04,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",1
01:04,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
01:04,,,,,"SUB IN by MCGRATH,JOSH",,,"SUB IN by MCGRATH,JOSH",1
01:04,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",1
01:04,,,,,"SUB IN by BOURDAGE,TAYLOR",,,"SUB IN by BOURDAGE,TAYLOR",1
01:04,,,,,"SUB OUT by ROMAGUERA,COLE",,,"SUB OUT by ROMAGUERA,COLE",1
01:04,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",1
00:58,"MISS 3PTR by BATCHELOR,BRYCE",,,,,,,"MISS 3PTR by BATCHELOR,BRYCE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:48,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
00:48,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
00:36,"GOOD JUMPER by OGLE,JOHN(in the paint)",29,,31 (+2),,HC 29-31 (-2),,"GOOD JUMPER by OGLE,JOHN(in the paint)",1
00:04,,,,,"MISS JUMPER by MCGRATH,JOSH",,,"MISS JUMPER by MCGRATH,JOSH",1
--,,,,,"REBOUND OFF by HUFFMAN,DEVIN",,,"REBOUND OFF by HUFFMAN,DEVIN",1
00:01,,29,,33 (+4),"GOOD LAYUP by HUFFMAN,DEVIN(in the paint)",OUM 29-33 (-4),,"GOOD LAYUP by HUFFMAN,DEVIN(in the paint)",1
20:00,,,,,"SUB IN by ROMAGUERA,COLE",,,"SUB IN by ROMAGUERA,COLE",2
20:00,,,,,"SUB OUT by MCGRATH,JOSH",,,"SUB OUT by MCGRATH,JOSH",2
19:40,"GOOD 3PTR by GARRETT,TRAVIS",32,,33 (+1),,HC 32-33 (-1),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
19:24,,32,,35 (+3),"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 32-35 (-3),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
--,,,,,"ASSIST  by ROMAGUERA,COLE",,,"ASSIST  by ROMAGUERA,COLE",2
19:13,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
19:01,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
18:57,,,,,"MISS JUMPER by INUNGU,TOM",,,"MISS JUMPER by INUNGU,TOM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:37,,,,,"FOUL  by ROMAGUERA,COLE",,,"FOUL  by ROMAGUERA,COLE",2
18:37,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:37,"GOOD FT by OGLE,JOHN",33,,35 (+2),,HC 33-35 (-2),,"GOOD FT by OGLE,JOHN",2
18:21,,,,,"MISS JUMPER by LAWRENCE,CHRIS",,,"MISS JUMPER by LAWRENCE,CHRIS",2
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
18:06,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
