Time Remaining,M-2713,Away Team Score,Play Team Indicator,Home Team Score,M-573,Game Score,Team Indicator,Play,Period
19:35,"MISS JUMPER by INUNGU,TOM",,,,,,,"MISS JUMPER by INUNGU,TOM",1
19:35,,,,,"BLOCK  by BERRY,BRYCE",,,"BLOCK  by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
19:18,,0,,3 (+3),"GOOD 3PTR by GALVIN,OWEN",M-573 0-3 (+3),,"GOOD 3PTR by GALVIN,OWEN",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
18:53,"MISS 3PTR by KOCH,WILL",,,,,,,"MISS 3PTR by KOCH,WILL",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
18:41,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
18:17,"MISS LAYUP by KOCH,WILL",,,,,,,"MISS LAYUP by KOCH,WILL",1
--,"REBOUND OFF by PERRY,WILL",,,,,,,"REBOUND OFF by PERRY,WILL",1
18:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:52,,0,,5 (+5),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",M-573 0-5 (+5),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
17:34,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",1
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",1
17:30,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
17:30,"MISS FT by INUNGU,TOM",,,,,,,"MISS FT by INUNGU,TOM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:30,"SUB OUT by SONE,CARLOS",,,,,,,"SUB OUT by SONE,CARLOS",1
17:30,"SUB IN by SPRINGER,WILL",,,,,,,"SUB IN by SPRINGER,WILL",1
17:30,"GOOD FT by INUNGU,TOM",1,,5 (+4),,M-2713 1-5 (+4),,"GOOD FT by INUNGU,TOM",1
17:14,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
17:14,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",1
16:54,"MISS JUMPER by KOCH,WILL",,,,,,,"MISS JUMPER by KOCH,WILL",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
16:42,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
16:26,"GOOD JUMPER by PERRY,WILL(in the paint)",3,,5 (+2),,M-2713 3-5 (+2),,"GOOD JUMPER by PERRY,WILL(in the paint)",1
16:04,,3,,7 (+4),"GOOD JUMPER by GUEST,TYLER",M-573 3-7 (+4),,"GOOD JUMPER by GUEST,TYLER",1
15:51,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:51,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
15:32,TIMEOUT  by TEAM,,,,,,,TIMEOUT  by TEAM,1
15:32,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
15:32,,,,,"SUB IN by MCNAMARA,BRENDEN",,,"SUB IN by MCNAMARA,BRENDEN",1
15:32,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:32,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
15:32,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
15:32,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:32,"SUB OUT by SPRINGER,WILL",,,,,,,"SUB OUT by SPRINGER,WILL",1
15:32,"SUB IN by BREATHWAITE,ZACH",,,,,,,"SUB IN by BREATHWAITE,ZACH",1
15:32,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
15:32,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
15:29,"MISS JUMPER by PERRY,WILL",,,,,,,"MISS JUMPER by PERRY,WILL",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
15:05,,,,,"TURNOVER  by MCNAMARA,BRENDEN",,,"TURNOVER  by MCNAMARA,BRENDEN",1
15:05,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",1
15:02,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",5,,7 (+2),,M-2713 5-7 (+2),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",1
14:45,,,,,"FOUL  by MCNAMARA,BRENDEN",,,"FOUL  by MCNAMARA,BRENDEN",1
14:45,,,,,"TURNOVER  by MCNAMARA,BRENDEN",,,"TURNOVER  by MCNAMARA,BRENDEN",1
14:45,,,,,"SUB OUT by MCNAMARA,BRENDEN",,,"SUB OUT by MCNAMARA,BRENDEN",1
14:45,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
14:45,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:45,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
14:29,,,,,"FOUL  by GUEST,TYLER",,,"FOUL  by GUEST,TYLER",1
14:26,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
14:06,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
13:59,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",1
--,"REBOUND OFF by PERRY,WILL",,,,,,,"REBOUND OFF by PERRY,WILL",1
13:45,"MISS JUMPER by KOCH,WILL",,,,,,,"MISS JUMPER by KOCH,WILL",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
13:21,,5,,9 (+4),"GOOD JUMPER by SHEN,KEVIN",M-573 5-9 (+4),,"GOOD JUMPER by SHEN,KEVIN",1
13:02,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
12:53,,,,,"MISS 3PTR by GUEST,TYLER",,,"MISS 3PTR by GUEST,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:51,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",1
12:51,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
12:51,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
12:51,"SUB OUT by KOCH,WILL",,,,,,,"SUB OUT by KOCH,WILL",1
12:51,"SUB IN by SONE,CARLOS",,,,,,,"SUB IN by SONE,CARLOS",1
12:39,,5,,12 (+7),"GOOD 3PTR by NESTLEHUTT,JAKE",M-573 5-12 (+7),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
12:14,"GOOD LAYUP by INUNGU,TOM(in the paint)",7,,12 (+5),,M-2713 7-12 (+5),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
12:00,,,,,"TURNOVER  by GUEST,TYLER",,,"TURNOVER  by GUEST,TYLER",1
12:00,,,,,"SUB OUT by GUEST,TYLER",,,"SUB OUT by GUEST,TYLER",1
12:00,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
12:00,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
12:00,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:00,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
12:00,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
11:38,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND OFF by SONE,CARLOS",,,,,,,"REBOUND OFF by SONE,CARLOS",1
11:15,"GOOD JUMPER by INUNGU,TOM(in the paint)",9,,12 (+3),,M-2713 9-12 (+3),,"GOOD JUMPER by INUNGU,TOM(in the paint)",1
11:05,"FOUL  by BREATHWAITE,ZACH",,,,,,,"FOUL  by BREATHWAITE,ZACH",1
11:05,,,,,TIMEOUT  by TEAM,,,TIMEOUT  by TEAM,1
11:05,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
11:05,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:05,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:05,,9,,13 (+4),"GOOD FT by DARST,DANIEL",M-573 9-13 (+4),,"GOOD FT by DARST,DANIEL",1
10:54,"GOOD LAYUP by INUNGU,TOM(in the paint)",11,,13 (+2),,M-2713 11-13 (+2),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",1
10:39,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
10:23,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
10:23,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
10:23,"SUB OUT by BREATHWAITE,ZACH",,,,,,,"SUB OUT by BREATHWAITE,ZACH",1
10:23,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
10:23,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
10:23,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",1
10:16,"MISS JUMPER by PERRY,WILL",,,,,,,"MISS JUMPER by PERRY,WILL",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
09:50,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",1
09:44,,,,,"MISS LAYUP by GALVIN,OWEN",,,"MISS LAYUP by GALVIN,OWEN",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
09:29,"GOOD JUMPER by KOCH,WILL(in the paint)",13,,13,,M-2713 13-13 (0),,"GOOD JUMPER by KOCH,WILL(in the paint)",1
09:14,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
09:14,,13,,14 (+1),"GOOD FT by WEATHERFORD,MITCH",M-573 13-14 (+1),,"GOOD FT by WEATHERFORD,MITCH",1
09:14,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
09:14,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
09:14,,13,,15 (+2),"GOOD FT by WEATHERFORD,MITCH",M-573 13-15 (+2),,"GOOD FT by WEATHERFORD,MITCH",1
08:45,"MISS 3PTR by FOSTER,LANE",,,,,,,"MISS 3PTR by FOSTER,LANE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:24,,13,,17 (+4),"GOOD LAYUP by DARST,DANIEL(in the paint)",M-573 13-17 (+4),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
08:03,"GOOD 3PTR by PERRY,WILL",16,,17 (+1),,M-2713 16-17 (+1),,"GOOD 3PTR by PERRY,WILL",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
07:46,,16,,19 (+3),"GOOD LAYUP by DARST,DANIEL(in the paint)",M-573 16-19 (+3),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
