Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:39,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
19:36,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",1
19:20,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
19:20,"GOOD FT by DARST,DANIEL",1 (+1),,0,,RHODES 1-0 (+1),,"GOOD FT by DARST,DANIEL",1
19:20,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
19:17,,1,,2 (+1),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 1-2 (-1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
18:53,"GOOD LAYUP by DARST,DANIEL(in the paint)",3 (+1),,2,,RHODES 3-2 (+1),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
18:23,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
17:58,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
17:58,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
17:54,"GOOD LAYUP by DARST,DANIEL(in the paint)",5 (+3),,2,,RHODES 5-2 (+3),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
17:47,,5,,5,"GOOD 3PTR by SINE,TUCKER",CENTRE-M 5-5 (0),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
17:31,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
17:18,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
17:18,"BLOCK  by BERRY,BRYCE",,,,,,,"BLOCK  by BERRY,BRYCE",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
17:05,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
16:45,"GOOD LAYUP by DARST,DANIEL(in the paint)",7 (+2),,5,,RHODES 7-5 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",1
16:26,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
16:18,"GOOD LAYUP by GALVIN,OWEN(in the paint)",9 (+4),,5,,RHODES 9-5 (+4),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
16:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:09,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:09,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
16:09,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
16:09,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
16:09,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
16:09,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:09,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
16:09,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
15:48,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
15:33,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",1
15:28,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
15:17,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
15:00,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
15:00,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
15:00,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
15:00,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
15:00,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
15:00,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
15:00,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
15:00,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
14:44,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
14:41,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
14:37,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
14:35,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",1
14:33,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
14:30,,9 (+3),,6,"GOOD FT by CRUMP,DAWSON",CENTRE-M 9-6 (+3),,"GOOD FT by CRUMP,DAWSON",1
14:25,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
14:25,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
14:25,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",1
14:25,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
14:24,,9 (+2),,7,"GOOD FT by CRUMP,DAWSON",CENTRE-M 9-7 (+2),,"GOOD FT by CRUMP,DAWSON",1
14:11,"GOOD 3PTR by JAMES,MAC",12 (+5),,7,,RHODES 12-7 (+5),,"GOOD 3PTR by JAMES,MAC",1
--,"ASSIST  by LOVE,KERRY",,,,,,,"ASSIST  by LOVE,KERRY",1
13:53,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",1
--,,,,,"REBOUND OFF by BROWNLEY,HOGAN",,,"REBOUND OFF by BROWNLEY,HOGAN",1
13:53,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
13:53,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:53,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
13:50,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
13:50,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
