Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,RCM,Game Score,Team Indicator,Play,Period
19:40,"FOUL  by ANDERSON,LINCOLN",,,,,,,"FOUL  by ANDERSON,LINCOLN",1
19:40,"FOUL  by ANDERSON,LINCOLN",,,,,,,"FOUL  by ANDERSON,LINCOLN",1
19:40,"TURNOVER  by ANDERSON,LINCOLN",,,,,,,"TURNOVER  by ANDERSON,LINCOLN",1
19:40,,,,,"MISS 3PTR by DIXON,TADDEUS",,,"MISS 3PTR by DIXON,TADDEUS",1
--,"REBOUND DEF by CAMERON,JULIAN",,,,,,,"REBOUND DEF by CAMERON,JULIAN",1
19:40,"GOOD 3PTR by CAMERON,JULIAN",3 (+3),,0,,LCM 3-0 (-3),,"GOOD 3PTR by CAMERON,JULIAN",1
19:32,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
19:32,"STEAL  by MCCRAY,JAMISON",,,,,,,"STEAL  by MCCRAY,JAMISON",1
19:20,"MISS 3PTR by CAMERON,JULIAN",,,,,,,"MISS 3PTR by CAMERON,JULIAN",1
--,,,,,"REBOUND DEF by DIXON,TADDEUS",,,"REBOUND DEF by DIXON,TADDEUS",1
19:09,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
18:47,"TURNOVER  by MCCRAY,JAMISON",,,,,,,"TURNOVER  by MCCRAY,JAMISON",1
18:47,,,,,"STEAL  by DIXON,TADDEUS",,,"STEAL  by DIXON,TADDEUS",1
18:39,,,,,"MISS JUMPER by GIROUX,PRESTON",,,"MISS JUMPER by GIROUX,PRESTON",1
--,,,,,"REBOUND OFF by WEATHERFORD,MITCH",,,"REBOUND OFF by WEATHERFORD,MITCH",1
18:39,"BLOCK  by MCCRAY,JAMISON",,,,,,,"BLOCK  by MCCRAY,JAMISON",1
18:23,"FOUL  by MCCALLUM,JALEN",,,,,,,"FOUL  by MCCALLUM,JALEN",1
18:23,"FOUL  by MCCALLUM,JALEN",,,,,,,"FOUL  by MCCALLUM,JALEN",1
18:23,,3 (+2),,1,"GOOD FT by GIROUX,PRESTON",RCM 3-1 (-2),,"GOOD FT by GIROUX,PRESTON",1
18:14,,,,,"MISS FT by GIROUX,PRESTON",,,"MISS FT by GIROUX,PRESTON",1
--,"REBOUND DEF by ANDERSON,LINCOLN",,,,,,,"REBOUND DEF by ANDERSON,LINCOLN",1
17:51,"MISS JUMPER by BISHOP,GARY",,,,,,,"MISS JUMPER by BISHOP,GARY",1
--,"REBOUND OFF by MCCALLUM,JALEN",,,,,,,"REBOUND OFF by MCCALLUM,JALEN",1
17:47,"GOOD LAYUP by ANDERSON,LINCOLN(in the paint)",5 (+4),,1,,LCM 5-1 (-4),,"GOOD LAYUP by ANDERSON,LINCOLN(in the paint)",1
--,"ASSIST  by MCCALLUM,JALEN",,,,,,,"ASSIST  by MCCALLUM,JALEN",1
17:38,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
17:38,"STEAL  by MCCRAY,JAMISON",,,,,,,"STEAL  by MCCRAY,JAMISON",1
