Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:44,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:21,,0,,2 (+2),"GOOD JUMPER by JAMES,MAC",RHODES 0-2 (+2),,"GOOD JUMPER by JAMES,MAC",1
19:02,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
19:02,"MISS FT by GARDNER,LANCE",,,,,,,"MISS FT by GARDNER,LANCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:02,"GOOD FT by GARDNER,LANCE",1,,2 (+1),,OZARKS 1-2 (+1),,"GOOD FT by GARDNER,LANCE",1
18:55,"TURNOVER  by WINSTON,CORDY",,,,,,,"TURNOVER  by WINSTON,CORDY",1
18:45,,,,,"MISS LAYUP by GIROUX,PRESTON",,,"MISS LAYUP by GIROUX,PRESTON",1
--,"REBOUND DEF by GARDNER,LANCE",,,,,,,"REBOUND DEF by GARDNER,LANCE",1
18:36,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",3 (+1),,2,,OZARKS 3-2 (-1),,"GOOD LAYUP by JOHNSON,BRYSON(fastbreak)(in the paint)",1
18:05,"FOUL  by GARDNER,LANCE",,,,,,,"FOUL  by GARDNER,LANCE",1
18:03,,3,,4 (+1),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 3-4 (+1),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
18:03,"FOUL  by GARDNER,LANCE",,,,,,,"FOUL  by GARDNER,LANCE",1
18:03,,3,,5 (+2),"GOOD FT by GIROUX,PRESTON",RHODES 3-5 (+2),,"GOOD FT by GIROUX,PRESTON",1
18:03,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",1
18:03,"SUB OUT by GARDNER,LANCE",,,,,,,"SUB OUT by GARDNER,LANCE",1
17:26,"MISS LAYUP by COHNS,SEAN",,,,,,,"MISS LAYUP by COHNS,SEAN",1
--,"REBOUND OFF by COHNS,SEAN",,,,,,,"REBOUND OFF by COHNS,SEAN",1
17:18,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
17:07,"GOOD FT by COHNS,SEAN",4,,5 (+1),,OZARKS 4-5 (+1),,"GOOD FT by COHNS,SEAN",1
17:07,"GOOD FT by COHNS,SEAN",5,,5,,OZARKS 5-5 (0),,"GOOD FT by COHNS,SEAN",1
17:03,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
17:03,"STEAL  by WINSTON,CORDY",,,,,,,"STEAL  by WINSTON,CORDY",1
16:53,"TURNOVER  by WINSTON,CORDY",,,,,,,"TURNOVER  by WINSTON,CORDY",1
16:43,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by WILHELM,CORY",,,,,,,"REBOUND DEF by WILHELM,CORY",1
16:28,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,"REBOUND OFF by COHNS,SEAN",,,,,,,"REBOUND OFF by COHNS,SEAN",1
16:16,,,,,"MISS LAYUP by BERRY,BRYCE",,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
16:16,,,,,"MISS JUMPER by GIROUX,PRESTON",,,"MISS JUMPER by GIROUX,PRESTON",1
