Time Remaining,M-573,Away Team Score,Play Team Indicator,Home Team Score,M-426,Game Score,Team Indicator,Play,Period
19:47,,0,,2 (+2),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",M-426 0-2 (-2),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",1
19:34,"GOOD JUMPER by BERRY,BRYCE(in the paint)",2,,2,,M-573 2-2 (0),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1
19:18,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
19:09,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
19:09,,,,,"STEAL  by TULLOS,ZACHARY",,,"STEAL  by TULLOS,ZACHARY",1
18:58,,2,,5 (+3),"GOOD 3PTR by COLEMAN,DANIEL",M-426 2-5 (-3),,"GOOD 3PTR by COLEMAN,DANIEL",1
--,,,,,"ASSIST  by MANNING,JOHNATHAN",,,"ASSIST  by MANNING,JOHNATHAN",1
18:44,"MISS JUMPER by WEATHERFORD,MITCH",,,,,,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
18:40,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",4,,5 (+1),,M-573 4-5 (-1),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
18:40,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
18:40,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
18:40,"GOOD LAYUP by BERRY,BRYCE(in the paint)",6 (+1),,5,,M-573 6-5 (+1),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
18:20,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
17:58,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
17:53,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
17:53,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",1
17:53,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
17:53,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
17:53,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
17:53,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
