Time Remaining,AUSTIN,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:49,"MISS 3PTR by ROLAND,DEVIN",,,,,,,"MISS 3PTR by ROLAND,DEVIN",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
19:32,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
19:16,,0,,2 (+2),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 0-2 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
19:07,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
18:56,"GOOD 3PTR by HOLLAND,MICHAEL",3 (+1),,2,,AUSTIN 3-2 (-1),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,"ASSIST  by MERCADEL,JUSTICE",,,,,,,"ASSIST  by MERCADEL,JUSTICE",1
18:49,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
18:49,"STEAL  by MERCADEL,JUSTICE",,,,,,,"STEAL  by MERCADEL,JUSTICE",1
18:46,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",1
18:39,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND DEF by HOGAN,KAM",,,,,,,"REBOUND DEF by HOGAN,KAM",1
18:29,"MISS 3PTR by HOLLAND,MICHAEL",,,,,,,"MISS 3PTR by HOLLAND,MICHAEL",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
18:21,,,,,"MISS LAYUP by WEATHERFORD,MITCH",,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",1
18:15,"FOUL  by HOGAN,KAM",,,,,,,"FOUL  by HOGAN,KAM",1
18:15,"TURNOVER  by HOGAN,KAM",,,,,,,"TURNOVER  by HOGAN,KAM",1
17:58,,3,,5 (+2),"GOOD 3PTR by BERRY,BRYCE",RHODES 3-5 (+2),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
17:33,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
17:29,"MISS LAYUP by HOLLAND,MICHAEL",,,,,,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,"REBOUND OFF by FEIDER,JP",,,,,,,"REBOUND OFF by FEIDER,JP",1
17:24,"MISS LAYUP by FEIDER,JP",,,,,,,"MISS LAYUP by FEIDER,JP",1
--,"REBOUND OFF by ROLAND,DEVIN",,,,,,,"REBOUND OFF by ROLAND,DEVIN",1
17:19,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",5,,5,,AUSTIN 5-5 (0),,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",1
17:07,,5,,7 (+2),"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 5-7 (+2),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
16:54,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",1
16:54,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
