Time Remaining,,Away Team Score,Play Team Indicator,Home Team Score,,Game Score,Team Indicator,Play,Period
19:45,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
19:33,"TURNOVER  by EBEL,NOLAN",,,,,,,"TURNOVER  by EBEL,NOLAN",1
19:02,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:41,"MISS 3PTR by WOFFORD,PIERSON",,,,,,,"MISS 3PTR by WOFFORD,PIERSON",1
--,"REBOUND OFF by BENNING,BRETT",,,,,,,"REBOUND OFF by BENNING,BRETT",1
18:34,"MISS JUMPER by EBEL,NOLAN",,,,,,,"MISS JUMPER by EBEL,NOLAN",1
--,"REBOUND OFF by FERGUSON,DONOVAN",,,,,,,"REBOUND OFF by FERGUSON,DONOVAN",1
18:29,"GOOD LAYUP by FERGUSON,DONOVAN(in the paint)",2 (+2),,0,,2-0 (-2),,"GOOD LAYUP by FERGUSON,DONOVAN(in the paint)",1
18:07,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by ORANGE,CHRISHAWN",,,,,,,"REBOUND DEF by ORANGE,CHRISHAWN",1
17:55,"GOOD LAYUP by WOFFORD,PIERSON(in the paint)",4 (+4),,0,,4-0 (-4),,"GOOD LAYUP by WOFFORD,PIERSON(in the paint)",1
17:36,"MISS LAYUP by SAMSON,VAUGHN",,,,,,,"MISS LAYUP by SAMSON,VAUGHN",1
--,"REBOUND DEF by ORANGE,CHRISHAWN",,,,,,,"REBOUND DEF by ORANGE,CHRISHAWN",1
17:24,"GOOD LAYUP by FERGUSON,DONOVAN(in the paint)",6 (+6),,0,,6-0 (-6),,"GOOD LAYUP by FERGUSON,DONOVAN(in the paint)",1
--,"ASSIST  by ORANGE,CHRISHAWN",,,,,,,"ASSIST  by ORANGE,CHRISHAWN",1
17:06,"GOOD LAYUP by DARST,DANIEL(in the paint)",6 (+4),,2,,6-2 (-4),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
16:54,"FOUL  by FERGUSON,DONOVAN",,,,,,,"FOUL  by FERGUSON,DONOVAN",1
16:54,"TURNOVER  by FERGUSON,DONOVAN",,,,,,,"TURNOVER  by FERGUSON,DONOVAN",1
16:49,"SUB IN by SIMON,LUCAS",,,,,,,"SUB IN by SIMON,LUCAS",1
16:49,"SUB IN by MARTIN,MICAH",,,,,,,"SUB IN by MARTIN,MICAH",1
16:49,"SUB OUT by FERGUSON,DONOVAN",,,,,,,"SUB OUT by FERGUSON,DONOVAN",1
16:49,"SUB OUT by BENNING,BRETT",,,,,,,"SUB OUT by BENNING,BRETT",1
16:49,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
16:49,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:49,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
16:49,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:36,"MISS 3PTR by GUEST,TYLER",,,,,,,"MISS 3PTR by GUEST,TYLER",1
--,"REBOUND DEF by ORANGE,CHRISHAWN",,,,,,,"REBOUND DEF by ORANGE,CHRISHAWN",1
16:27,"MISS 3PTR by SIMON,LUCAS",,,,,,,"MISS 3PTR by SIMON,LUCAS",1
--,"REBOUND OFF by EBEL,NOLAN",,,,,,,"REBOUND OFF by EBEL,NOLAN",1
16:19,"GOOD LAYUP by ORANGE,CHRISHAWN(in the paint)",8 (+6),,2,,8-2 (-6),,"GOOD LAYUP by ORANGE,CHRISHAWN(in the paint)",1
16:06,"FOUL  by MARTIN,MICAH",,,,,,,"FOUL  by MARTIN,MICAH",1
16:06,"SUB IN by JELEN,JACK",,,,,,,"SUB IN by JELEN,JACK",1
16:06,"SUB OUT by EBEL,NOLAN",,,,,,,"SUB OUT by EBEL,NOLAN",1
16:06,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
16:06,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
16:00,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:50,"MISS JUMPER by GIROUX,PRESTON",,,,,,,"MISS JUMPER by GIROUX,PRESTON",1
--,"REBOUND DEF by WOFFORD,PIERSON",,,,,,,"REBOUND DEF by WOFFORD,PIERSON",1
15:41,"TURNOVER  by MARTIN,MICAH",,,,,,,"TURNOVER  by MARTIN,MICAH",1
15:41,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
15:41,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",1
15:31,"TURNOVER  by LOVE,KERRY",,,,,,,"TURNOVER  by LOVE,KERRY",1
15:31,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
15:31,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
15:08,"GOOD JUMPER by WOFFORD,PIERSON(in the paint)",10 (+8),,2,,10-2 (-8),,"GOOD JUMPER by WOFFORD,PIERSON(in the paint)",1
14:48,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
14:42,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,"REBOUND DEF by SIMON,LUCAS",,,,,,,"REBOUND DEF by SIMON,LUCAS",1
14:30,"GOOD JUMPER by WOFFORD,PIERSON",12 (+10),,2,,12-2 (-10),,"GOOD JUMPER by WOFFORD,PIERSON",1
14:01,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
14:01,"STEAL  by WOFFORD,PIERSON",,,,,,,"STEAL  by WOFFORD,PIERSON",1
13:52,"MISS LAYUP by MARTIN,MICAH",,,,,,,"MISS LAYUP by MARTIN,MICAH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:52,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:31,"SUB IN by ELLEDGE,AUSTIN",,,,,,,"SUB IN by ELLEDGE,AUSTIN",1
13:31,"SUB IN by BENNING,BRETT",,,,,,,"SUB IN by BENNING,BRETT",1
13:31,"SUB OUT by WOFFORD,PIERSON",,,,,,,"SUB OUT by WOFFORD,PIERSON",1
13:31,"SUB OUT by ORANGE,CHRISHAWN",,,,,,,"SUB OUT by ORANGE,CHRISHAWN",1
13:31,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
