Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WCM,Game Score,Team Indicator,Play,Period
19:54,,,,,"MISS LAYUP by YOUNG,AHMAD",,,"MISS LAYUP by YOUNG,AHMAD",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
19:29,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
19:14,,0,,3 (+3),"GOOD 3PTR by POTTHOFF,NICK",WCM 0-3 (-3),,"GOOD 3PTR by POTTHOFF,NICK",1
--,,,,,"ASSIST  by BLACK,NOLAN",,,"ASSIST  by BLACK,NOLAN",1
18:54,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by POTTHOFF,NICK",,,"REBOUND DEF by POTTHOFF,NICK",1
18:48,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
18:48,,0,,4 (+4),"GOOD FT by SHANK,JOURNEY",WCM 0-4 (-4),,"GOOD FT by SHANK,JOURNEY",1
18:48,,0,,5 (+5),"GOOD FT by SHANK,JOURNEY",WCM 0-5 (-5),,"GOOD FT by SHANK,JOURNEY",1
18:48,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
18:48,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
18:24,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by SHANK,JOURNEY",,,"REBOUND DEF by SHANK,JOURNEY",1
18:18,,0,,8 (+8),"GOOD 3PTR by YOUNG,AHMAD",WCM 0-8 (-8),,"GOOD 3PTR by YOUNG,AHMAD",1
--,,,,,"ASSIST  by POTTHOFF,NICK",,,"ASSIST  by POTTHOFF,NICK",1
17:57,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by YOUNG,AHMAD",,,"REBOUND DEF by YOUNG,AHMAD",1
17:43,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
17:43,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
17:43,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
17:39,,0,,10 (+10),"GOOD LAYUP by LOUDER,KENYATTA(in the paint)",WCM 0-10 (-10),,"GOOD LAYUP by LOUDER,KENYATTA(in the paint)",1
17:30,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
17:18,,,,,"TURNOVER  by BLACK,NOLAN",,,"TURNOVER  by BLACK,NOLAN",1
17:01,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
17:00,,,,,"STEAL  by SHANK,JOURNEY",,,"STEAL  by SHANK,JOURNEY",1
--,,,,,"REBOUND OFF by LOUDER,KENYATTA",,,"REBOUND OFF by LOUDER,KENYATTA",1
16:42,,,,,"MISS 3PTR by LOUDER,KENYATTA",,,"MISS 3PTR by LOUDER,KENYATTA",1
--,,,,,"REBOUND OFF by POTTHOFF,NICK",,,"REBOUND OFF by POTTHOFF,NICK",1
16:25,,,,,"TURNOVER  by BLACK,NOLAN",,,"TURNOVER  by BLACK,NOLAN",1
16:21,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
16:21,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:18,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
16:16,,,,,"STEAL  by YOUNG,AHMAD",,,"STEAL  by YOUNG,AHMAD",1
16:15,,0,,12 (+12),"GOOD LAYUP by YOUNG,AHMAD(in the paint)",WCM 0-12 (-12),,"GOOD LAYUP by YOUNG,AHMAD(in the paint)",1
15:56,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by POTTHOFF,NICK",,,"REBOUND DEF by POTTHOFF,NICK",1
15:47,,,,,"TURNOVER  by YOUNG,AHMAD",,,"TURNOVER  by YOUNG,AHMAD",1
15:46,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
