Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,OCCIDENT,Game Score,Team Indicator,Play,Period
19:41,,0,,3 (+3),"GOOD 3PTR by YELLIN-FLAHERTY,CALE",OCCIDENT 0-3 (-3),,"GOOD 3PTR by YELLIN-FLAHERTY,CALE",1
--,,,,,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1
19:24,"GOOD JUMPER by DARST,DANIEL(in the paint)",2,,3 (+1),,RHODES 2-3 (-1),,"GOOD JUMPER by DARST,DANIEL(in the paint)",1
19:05,,,,,"MISS JUMPER by DEWITZ,AUSTIN",,,"MISS JUMPER by DEWITZ,AUSTIN",1
--,,,,,"REBOUND OFF by KANESHIRO,RYAN",,,"REBOUND OFF by KANESHIRO,RYAN",1
19:03,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
18:59,,,,,"TURNOVER  by DEWITZ,AUSTIN",,,"TURNOVER  by DEWITZ,AUSTIN",1
18:57,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
18:52,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
18:52,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
18:28,,2,,6 (+4),"GOOD 3PTR by CROSTHWAITE,JONNY",OCCIDENT 2-6 (-4),,"GOOD 3PTR by CROSTHWAITE,JONNY",1
--,,,,,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1
18:09,"GOOD JUMPER by BERRY,BRYCE(in the paint)",4,,6 (+2),,RHODES 4-6 (-2),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1
17:48,,4,,8 (+4),"GOOD JUMPER by DEWITZ,AUSTIN(in the paint)",OCCIDENT 4-8 (-4),,"GOOD JUMPER by DEWITZ,AUSTIN(in the paint)",1
17:22,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
17:21,,,,,"STEAL  by KANESHIRO,RYAN",,,"STEAL  by KANESHIRO,RYAN",1
17:19,,,,,"TURNOVER  by YELLIN-FLAHERTY,CALE",,,"TURNOVER  by YELLIN-FLAHERTY,CALE",1
17:19,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
17:19,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
17:06,"MISS LAYUP by DARST,DANIEL",,,,,,,"MISS LAYUP by DARST,DANIEL",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
16:56,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by CROSTHWAITE,JONNY",,,"REBOUND DEF by CROSTHWAITE,JONNY",1
16:47,,4,,11 (+7),"GOOD 3PTR by CROSTHWAITE,JONNY",OCCIDENT 4-11 (-7),,"GOOD 3PTR by CROSTHWAITE,JONNY",1
--,,,,,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1
16:25,"GOOD LAYUP by DARST,DANIEL(in the paint)",6,,11 (+5),,RHODES 6-11 (-5),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
16:08,,6,,13 (+7),"GOOD JUMPER by DEWITZ,AUSTIN",OCCIDENT 6-13 (-7),,"GOOD JUMPER by DEWITZ,AUSTIN",1
15:39,,,,,"FOUL  by DEWITZ,AUSTIN",,,"FOUL  by DEWITZ,AUSTIN",1
15:39,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:39,"GOOD FT by GIROUX,PRESTON",7,,13 (+6),,RHODES 7-13 (-6),,"GOOD FT by GIROUX,PRESTON",1
15:39,"SUB IN by DIXON,TADDEUS",,,,,,,"SUB IN by DIXON,TADDEUS",1
15:39,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
15:39,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
15:39,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:39,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
15:39,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
15:27,,,,,"SUB IN by ADLER,JACOB",,,"SUB IN by ADLER,JACOB",1
15:27,,,,,"SUB OUT by BAINES,ZACH",,,"SUB OUT by BAINES,ZACH",1
15:25,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
15:25,,7,,14 (+7),"GOOD FT by KANESHIRO,RYAN",OCCIDENT 7-14 (-7),,"GOOD FT by KANESHIRO,RYAN",1
15:25,,7,,15 (+8),"GOOD FT by KANESHIRO,RYAN",OCCIDENT 7-15 (-8),,"GOOD FT by KANESHIRO,RYAN",1
15:12,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
14:54,,,,,"MISS LAYUP by YELLIN-FLAHERTY,CALE",,,"MISS LAYUP by YELLIN-FLAHERTY,CALE",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
14:34,"TURNOVER  by ASHBY,KENDRICK",,,,,,,"TURNOVER  by ASHBY,KENDRICK",1
14:34,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:34,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
14:34,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:34,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
14:34,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
14:23,,7,,17 (+10),"GOOD LAYUP by YELLIN-FLAHERTY,CALE(in the paint)",OCCIDENT 7-17 (-10),,"GOOD LAYUP by YELLIN-FLAHERTY,CALE(in the paint)",1
--,,,,,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1
14:08,"MISS JUMPER by GUEST,TYLER",,,,,,,"MISS JUMPER by GUEST,TYLER",1
--,"REBOUND OFF by DIXON,TADDEUS",,,,,,,"REBOUND OFF by DIXON,TADDEUS",1
14:02,"MISS JUMPER by DIXON,TADDEUS",,,,,,,"MISS JUMPER by DIXON,TADDEUS",1
--,,,,,"REBOUND DEF by CROSTHWAITE,JONNY",,,"REBOUND DEF by CROSTHWAITE,JONNY",1
13:46,,,,,"MISS JUMPER by CROSTHWAITE,JONNY",,,"MISS JUMPER by CROSTHWAITE,JONNY",1
--,,,,,"REBOUND OFF by KANESHIRO,RYAN",,,"REBOUND OFF by KANESHIRO,RYAN",1
13:42,,,,,"MISS 3PTR by CROSTHWAITE,JONNY",,,"MISS 3PTR by CROSTHWAITE,JONNY",1
--,"REBOUND DEF by GUEST,TYLER",,,,,,,"REBOUND DEF by GUEST,TYLER",1
13:37,"TURNOVER  by GUEST,TYLER",,,,,,,"TURNOVER  by GUEST,TYLER",1
13:37,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:37,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",1
13:37,,,,,"SUB IN by BAINES,ZACH",,,"SUB IN by BAINES,ZACH",1
13:37,,,,,"SUB OUT by CROSTHWAITE,JONNY",,,"SUB OUT by CROSTHWAITE,JONNY",1
13:26,,,,,"MISS JUMPER by DEWITZ,AUSTIN",,,"MISS JUMPER by DEWITZ,AUSTIN",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
13:16,"GOOD 3PTR by NESTLEHUTT,JAKE",10,,17 (+7),,RHODES 10-17 (-7),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
13:13,,,,,"TURNOVER  by BAINES,ZACH",,,"TURNOVER  by BAINES,ZACH",1
13:12,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",1
13:08,"MISS 3PTR by DIXON,TADDEUS",,,,,,,"MISS 3PTR by DIXON,TADDEUS",1
--,,,,,"REBOUND DEF by KANESHIRO,RYAN",,,"REBOUND DEF by KANESHIRO,RYAN",1
12:58,,10,,19 (+9),"GOOD LAYUP by BAINES,ZACH(in the paint)",OCCIDENT 10-19 (-9),,"GOOD LAYUP by BAINES,ZACH(in the paint)",1
--,,,,,"ASSIST  by DEWITZ,AUSTIN",,,"ASSIST  by DEWITZ,AUSTIN",1
12:48,"TURNOVER  by ASHBY,KENDRICK",,,,,,,"TURNOVER  by ASHBY,KENDRICK",1
12:47,,,,,"STEAL  by ADLER,JACOB",,,"STEAL  by ADLER,JACOB",1
12:45,,10,,21 (+11),"GOOD LAYUP by ADLER,JACOB(fastbreak)(in the paint)",OCCIDENT 10-21 (-11),,"GOOD LAYUP by ADLER,JACOB(fastbreak)(in the paint)",1
12:26,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:26,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
12:26,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
12:26,"SUB OUT by DIXON,TADDEUS",,,,,,,"SUB OUT by DIXON,TADDEUS",1
12:13,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
--,,,,,"REBOUND DEF by KANESHIRO,RYAN",,,"REBOUND DEF by KANESHIRO,RYAN",1
12:03,,,,,"MISS 3PTR by ADLER,JACOB",,,"MISS 3PTR by ADLER,JACOB",1
--,,,,,"REBOUND OFF by KANESHIRO,RYAN",,,"REBOUND OFF by KANESHIRO,RYAN",1
11:50,,,,,"MISS LAYUP by DEWITZ,AUSTIN",,,"MISS LAYUP by DEWITZ,AUSTIN",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:47,,,,,"FOUL  by DEWITZ,AUSTIN",,,"FOUL  by DEWITZ,AUSTIN",1
11:47,,,,,"FOUL TECH by DEWITZ,AUSTIN",,,"FOUL TECH by DEWITZ,AUSTIN",1
11:47,"GOOD FT by NESTLEHUTT,JAKE",11,,21 (+10),,RHODES 11-21 (-10),,"GOOD FT by NESTLEHUTT,JAKE",1
11:47,"MISS FT by NESTLEHUTT,JAKE",,,,,,,"MISS FT by NESTLEHUTT,JAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:47,,,,,"SUB IN by SWEENEY,TYLER",,,"SUB IN by SWEENEY,TYLER",1
11:47,,,,,"SUB IN by CROSTHWAITE,JONNY",,,"SUB IN by CROSTHWAITE,JONNY",1
11:47,,,,,"SUB OUT by KANESHIRO,RYAN",,,"SUB OUT by KANESHIRO,RYAN",1
11:47,,,,,"SUB OUT by YELLIN-FLAHERTY,CALE",,,"SUB OUT by YELLIN-FLAHERTY,CALE",1
11:37,,,,,"MISS LAYUP by ADLER,JACOB",,,"MISS LAYUP by ADLER,JACOB",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
11:23,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,"REBOUND DEF by SWEENEY,TYLER",,,"REBOUND DEF by SWEENEY,TYLER",1
11:06,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
11:06,,,,,"MISS FT by SWEENEY,TYLER",,,"MISS FT by SWEENEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:06,,11,,22 (+11),"GOOD FT by SWEENEY,TYLER",OCCIDENT 11-22 (-11),,"GOOD FT by SWEENEY,TYLER",1
11:06,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:06,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
11:06,,,,,"SUB IN by YELLIN-FLAHERTY,CALE",,,"SUB IN by YELLIN-FLAHERTY,CALE",1
11:06,,,,,"SUB OUT by DEWITZ,AUSTIN",,,"SUB OUT by DEWITZ,AUSTIN",1
10:51,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND OFF by BERRY,BRYCE",,,,,,,"REBOUND OFF by BERRY,BRYCE",1
10:42,"GOOD 3PTR by DARST,DANIEL",14,,22 (+8),,RHODES 14-22 (-8),,"GOOD 3PTR by DARST,DANIEL",1
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",1
10:24,,,,,"TURNOVER  by BAINES,ZACH",,,"TURNOVER  by BAINES,ZACH",1
10:24,,,,,"FOUL  by BAINES,ZACH",,,"FOUL  by BAINES,ZACH",1
10:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:59,,,,,"SUB IN by KANESHIRO,RYAN",,,"SUB IN by KANESHIRO,RYAN",1
09:59,,,,,"SUB OUT by ADLER,JACOB",,,"SUB OUT by ADLER,JACOB",1
09:47,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
09:47,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
09:47,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
09:47,,,,,"SUB IN by DEWITZ,AUSTIN",,,"SUB IN by DEWITZ,AUSTIN",1
09:47,,,,,"SUB OUT by SWEENEY,TYLER",,,"SUB OUT by SWEENEY,TYLER",1
09:29,,14,,24 (+10),"GOOD JUMPER by BAINES,ZACH",OCCIDENT 14-24 (-10),,"GOOD JUMPER by BAINES,ZACH",1
--,,,,,"ASSIST  by DEWITZ,AUSTIN",,,"ASSIST  by DEWITZ,AUSTIN",1
09:18,"TURNOVER  by GUEST,TYLER",,,,,,,"TURNOVER  by GUEST,TYLER",1
09:18,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
09:18,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
09:05,,,,,"TURNOVER  by KANESHIRO,RYAN",,,"TURNOVER  by KANESHIRO,RYAN",1
09:05,,,,,"FOUL  by KANESHIRO,RYAN",,,"FOUL  by KANESHIRO,RYAN",1
08:51,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
