Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
14:11,,6,,11 (+5),"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIXM 6-11 (-5),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
13:53,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:41,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
13:41,,,,,"SUB IN by RIDING,JAKE",,,"SUB IN by RIDING,JAKE",1
13:41,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
13:39,"GOOD 3PTR by SHEN,KEVIN",9,,11 (+2),,RHODES 9-11 (-2),,"GOOD 3PTR by SHEN,KEVIN",1
13:27,,9,,13 (+4),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIXM 9-13 (-4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
13:03,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
12:51,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
12:49,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
12:49,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:49,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
12:49,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
12:49,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
12:49,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
12:49,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
12:49,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
12:45,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
12:36,,9,,16 (+7),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 9-16 (-7),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
12:16,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
12:08,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
12:08,"SUB OUT by MCNAMARA,BRENDEN",,,,,,,"SUB OUT by MCNAMARA,BRENDEN",1
12:04,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",11,,16 (+5),,RHODES 11-16 (-5),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
11:37,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
11:36,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:28,"MISS JUMPER by GIROUX,PRESTON",,,,,,,"MISS JUMPER by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
11:11,,11,,18 (+7),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIXM 11-18 (-7),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
10:57,"GOOD JUMPER by DARST,DANIEL(in the paint)",13,,18 (+5),,RHODES 13-18 (-5),,"GOOD JUMPER by DARST,DANIEL(in the paint)",1
10:36,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:21,"GOOD JUMPER by WEATHERFORD,MITCH",15,,18 (+3),,RHODES 15-18 (-3),,"GOOD JUMPER by WEATHERFORD,MITCH",1
10:21,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
10:21,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
09:59,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
09:42,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
09:38,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
09:38,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
09:38,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:38,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
09:38,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
09:38,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
09:27,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",17,,18 (+1),,RHODES 17-18 (-1),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
09:05,,17,,20 (+3),"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIXM 17-20 (-3),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
08:52,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
08:38,"FOUL TECH by NESTLEHUTT,JAKE",,,,,,,"FOUL TECH by NESTLEHUTT,JAKE",1
08:38,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:38,,17,,21 (+4),"GOOD FT by SMITH,PRESTON",HENDRIXM 17-21 (-4),,"GOOD FT by SMITH,PRESTON",1
08:38,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
08:38,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
08:38,"SUB IN by MCNAMARA,BRENDEN",,,,,,,"SUB IN by MCNAMARA,BRENDEN",1
08:38,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
08:38,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
08:38,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
08:38,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
08:38,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
08:38,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
08:38,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
08:37,,17,,22 (+5),"GOOD FT by SMITH,PRESTON",HENDRIXM 17-22 (-5),,"GOOD FT by SMITH,PRESTON",1
08:28,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
07:43,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
07:40,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
07:35,"GOOD 3PTR by WEATHERFORD,MITCH",20,,22 (+2),,RHODES 20-22 (-2),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,"ASSIST  by GALVIN,OWEN",,,,,,,"ASSIST  by GALVIN,OWEN",1
07:23,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
07:23,"BLOCK  by GALVIN,OWEN",,,,,,,"BLOCK  by GALVIN,OWEN",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
07:17,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
07:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:48,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
06:47,"MISS FT by BERRY,BRYCE",,,,,,,"MISS FT by BERRY,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:45,"GOOD FT by BERRY,BRYCE",21,,22 (+1),,RHODES 21-22 (-1),,"GOOD FT by BERRY,BRYCE",1
06:34,,21,,24 (+3),"GOOD JUMPER by FITCH,CARL(in the paint)",HENDRIXM 21-24 (-3),,"GOOD JUMPER by FITCH,CARL(in the paint)",1
06:23,"GOOD 3PTR by WEATHERFORD,MITCH",24,,24,,RHODES 24-24 (0),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,"ASSIST  by GALVIN,OWEN",,,,,,,"ASSIST  by GALVIN,OWEN",1
06:07,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
06:04,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
05:50,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",26 (+2),,24,,RHODES 26-24 (+2),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
05:50,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
05:50,,26 (+1),,25,"GOOD FT by LINK,JACOB",HENDRIXM 26-25 (+1),,"GOOD FT by LINK,JACOB",1
05:50,,26,,26,"GOOD FT by LINK,JACOB",HENDRIXM 26-26 (0),,"GOOD FT by LINK,JACOB",1
05:50,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
05:50,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
05:50,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
05:50,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
05:50,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
05:50,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
05:50,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
05:50,"SUB OUT by MCNAMARA,BRENDEN",,,,,,,"SUB OUT by MCNAMARA,BRENDEN",1
05:41,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
05:26,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
05:14,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",28 (+2),,26,,RHODES 28-26 (+2),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",1
04:54,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
04:43,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:43,,28 (+1),,27,"GOOD FT by LINK,JACOB",HENDRIXM 28-27 (+1),,"GOOD FT by LINK,JACOB",1
04:26,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
04:20,"GOOD 3PTR by SAMSON,VAUGHN",31 (+4),,27,,RHODES 31-27 (+4),,"GOOD 3PTR by SAMSON,VAUGHN",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
03:54,,31 (+2),,29,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIXM 31-29 (+2),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
03:45,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
03:39,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
03:39,,31,,31,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HENDRIXM 31-31 (0),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
03:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:39,,31,,32 (+1),"GOOD FT by CALAMESE,MICHAEL",HENDRIXM 31-32 (-1),,"GOOD FT by CALAMESE,MICHAEL",1
03:39,"GOOD LAYUP by MCNAMARA,BRENDEN(in the paint)",33 (+1),,32,,RHODES 33-32 (+1),,"GOOD LAYUP by MCNAMARA,BRENDEN(in the paint)",1
03:20,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
03:09,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND OFF by MCNAMARA,BRENDEN",,,,,,,"REBOUND OFF by MCNAMARA,BRENDEN",1
02:36,"FOUL  by MCNAMARA,BRENDEN",,,,,,,"FOUL  by MCNAMARA,BRENDEN",1
02:36,,33,,33,"GOOD FT by FITCH,CARL",HENDRIXM 33-33 (0),,"GOOD FT by FITCH,CARL",1
02:36,,33,,34 (+1),"GOOD FT by FITCH,CARL",HENDRIXM 33-34 (-1),,"GOOD FT by FITCH,CARL",1
02:18,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
02:09,,33,,36 (+3),"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",HENDRIXM 33-36 (-3),,"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
01:59,"FOUL  by MCNAMARA,BRENDEN",,,,,,,"FOUL  by MCNAMARA,BRENDEN",1
01:55,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
01:54,"SUB IN by MCNAMARA,BRENDEN",,,,,,,"SUB IN by MCNAMARA,BRENDEN",1
01:54,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
01:47,"GOOD LAYUP by NESTLEHUTT,JAKE(in the paint)",35,,36 (+1),,RHODES 35-36 (-1),,"GOOD LAYUP by NESTLEHUTT,JAKE(in the paint)",1
01:41,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
01:23,"MISS FT by NESTLEHUTT,JAKE",,,,,,,"MISS FT by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
01:23,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
01:23,,35,,37 (+2),"GOOD FT by CONRAD,ALEX",HENDRIXM 35-37 (-2),,"GOOD FT by CONRAD,ALEX",1
01:23,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
01:23,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
01:23,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
01:23,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
01:13,,35,,38 (+3),"GOOD FT by CONRAD,ALEX",HENDRIXM 35-38 (-3),,"GOOD FT by CONRAD,ALEX",1
01:13,"GOOD JUMPER by DARST,DANIEL(in the paint)",37,,38 (+1),,RHODES 37-38 (-1),,"GOOD JUMPER by DARST,DANIEL(in the paint)",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
01:13,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
01:13,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
01:13,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
01:13,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
01:13,"SUB OUT by MCNAMARA,BRENDEN",,,,,,,"SUB OUT by MCNAMARA,BRENDEN",1
01:11,,37,,40 (+3),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 37-40 (-3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
00:59,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
00:57,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
00:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:49,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
00:24,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
00:00,,37,,43 (+6),"GOOD 3PTR by EATON,JACK",HENDRIXM 37-43 (-6),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
19:37,,37,,45 (+8),"GOOD JUMPER by CALAMESE,MICHAEL(in the paint)",HENDRIXM 37-45 (-8),,"GOOD JUMPER by CALAMESE,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",2
19:05,"MISS JUMPER by BERRY,BRYCE",,,,,,,"MISS JUMPER by BERRY,BRYCE",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
18:54,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
18:52,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",2
18:49,"GOOD LAYUP by JAMES,MAC(in the paint)",39,,45 (+6),,RHODES 39-45 (-6),,"GOOD LAYUP by JAMES,MAC(in the paint)",2
18:15,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",2
18:15,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",2
18:09,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
17:59,"GOOD JUMPER by WEATHERFORD,MITCH",41,,45 (+4),,RHODES 41-45 (-4),,"GOOD JUMPER by WEATHERFORD,MITCH",2
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",2
17:46,,41,,48 (+7),"GOOD 3PTR by SMITH,PRESTON",HENDRIXM 41-48 (-7),,"GOOD 3PTR by SMITH,PRESTON",2
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",2
17:26,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",2
17:19,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
17:09,,41,,50 (+9),"GOOD LAYUP by SMITH,PRESTON(in the paint)",HENDRIXM 41-50 (-9),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",2
17:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:51,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",2
16:49,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",2
