Time Remaining,CHAPMAN,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:37,"MISS LAYUP by KENNEY,JEFF",,,,,,,"MISS LAYUP by KENNEY,JEFF",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
19:17,,0,,2 (+2),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 0-2 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
19:03,"TURNOVER  by KENNEY,JEFF",,,,,,,"TURNOVER  by KENNEY,JEFF",1
19:03,"FOUL  by KENNEY,JEFF",,,,,,,"FOUL  by KENNEY,JEFF",1
19:03,,,,,"MISS 3PTR by SAMSON,VAUGHN",,,"MISS 3PTR by SAMSON,VAUGHN",1
--,"REBOUND DEF by NAKAKIHARA,REED",,,,,,,"REBOUND DEF by NAKAKIHARA,REED",1
18:58,"FOUL  by FERRIER,COLIN",,,,,,,"FOUL  by FERRIER,COLIN",1
18:56,"TURNOVER  by FERRIER,COLIN",,,,,,,"TURNOVER  by FERRIER,COLIN",1
18:27,,,,,"MISS JUMPER by DARST,DANIEL",,,"MISS JUMPER by DARST,DANIEL",1
--,"REBOUND DEF by FERRIER,COLIN",,,,,,,"REBOUND DEF by FERRIER,COLIN",1
18:13,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
18:13,"GOOD FT by WHITE,CHANDLER",1,,2 (+1),,CHAPMAN 1-2 (+1),,"GOOD FT by WHITE,CHANDLER",1
18:13,"GOOD FT by WHITE,CHANDLER",2,,2,,CHAPMAN 2-2 (0),,"GOOD FT by WHITE,CHANDLER",1
18:13,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
18:13,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:53,,2,,4 (+2),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 2-4 (+2),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
17:27,"MISS LAYUP by WHITE,CHANDLER",,,,,,,"MISS LAYUP by WHITE,CHANDLER",1
--,"REBOUND OFF by WHITE,CHANDLER",,,,,,,"REBOUND OFF by WHITE,CHANDLER",1
17:24,"GOOD JUMPER by WHITE,CHANDLER",4,,4,,CHAPMAN 4-4 (0),,"GOOD JUMPER by WHITE,CHANDLER",1
17:08,,,,,"MISS LAYUP by GIROUX,PRESTON",,,"MISS LAYUP by GIROUX,PRESTON",1
--,"REBOUND DEF by WHITE,CHANDLER",,,,,,,"REBOUND DEF by WHITE,CHANDLER",1
16:39,"MISS 3PTR by HASLAM,CAM",,,,,,,"MISS 3PTR by HASLAM,CAM",1
--,"REBOUND OFF by FERRIER,COLIN",,,,,,,"REBOUND OFF by FERRIER,COLIN",1
16:37,"GOOD JUMPER by FERRIER,COLIN",6 (+2),,4,,CHAPMAN 6-4 (-2),,"GOOD JUMPER by FERRIER,COLIN",1
16:26,"FOUL  by HASLAM,CAM",,,,,,,"FOUL  by HASLAM,CAM",1
16:26,,6 (+1),,5,"GOOD FT by BERRY,BRYCE",RHODES 6-5 (-1),,"GOOD FT by BERRY,BRYCE",1
16:26,,6,,6,"GOOD FT by BERRY,BRYCE",RHODES 6-6 (0),,"GOOD FT by BERRY,BRYCE",1
16:26,"SUB IN by FUSCO,RYAN",,,,,,,"SUB IN by FUSCO,RYAN",1
16:26,"SUB OUT by KENNEY,JEFF",,,,,,,"SUB OUT by KENNEY,JEFF",1
16:26,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
16:26,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:26,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
