Time Remaining,WUMB,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
09:06,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
09:06,"MISS FT by WHITTINGHAM,STEFAN",,,,,,,"MISS FT by WHITTINGHAM,STEFAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:06,"GOOD FT by WHITTINGHAM,STEFAN",47 (+1),,46,,WUMB 47-46 (-1),,"GOOD FT by WHITTINGHAM,STEFAN",2
08:33,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
08:33,"BLOCK  by WHITTINGHAM,STEFAN",,,,,,,"BLOCK  by WHITTINGHAM,STEFAN",2
--,"REBOUND DEF by MEEH,ROBBY",,,,,,,"REBOUND DEF by MEEH,ROBBY",2
08:24,"GOOD JUMPER by HUSKEY,JARROD",49 (+3),,46,,WUMB 49-46 (-3),,"GOOD JUMPER by HUSKEY,JARROD",2
--,"ASSIST  by TRIMBLE,WILLIE",,,,,,,"ASSIST  by TRIMBLE,WILLIE",2
08:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:04,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by RESTOFF,SCOTT",,,,,,,"REBOUND DEF by RESTOFF,SCOTT",2
07:54,"GOOD LAYUP by HUSKEY,JARROD(in the paint)",51 (+5),,46,,WUMB 51-46 (-5),,"GOOD LAYUP by HUSKEY,JARROD(in the paint)",2
--,"ASSIST  by TRIMBLE,WILLIE",,,,,,,"ASSIST  by TRIMBLE,WILLIE",2
07:32,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by COWAN,MATT",,,"REBOUND OFF by COWAN,MATT",2
07:17,,51 (+2),,49,"GOOD 3PTR by MARELLE,TONY",SEWANEE 51-49 (-2),,"GOOD 3PTR by MARELLE,TONY",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
07:00,"TURNOVER  by TRIMBLE,WILLIE",,,,,,,"TURNOVER  by TRIMBLE,WILLIE",2
06:58,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",2
06:52,,51,,51,"GOOD JUMPER by COWAN,MATT",SEWANEE 51-51 (0),,"GOOD JUMPER by COWAN,MATT",2
06:50,"FOUL  by RESTOFF,SCOTT",,,,,,,"FOUL  by RESTOFF,SCOTT",2
06:50,,,,,"MISS FT by COWAN,MATT",,,"MISS FT by COWAN,MATT",2
--,"REBOUND DEF by WHITTINGHAM,STEFAN",,,,,,,"REBOUND DEF by WHITTINGHAM,STEFAN",2
06:40,"TURNOVER  by WHITTINGHAM,STEFAN",,,,,,,"TURNOVER  by WHITTINGHAM,STEFAN",2
06:39,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",2
06:21,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by WHITTINGHAM,STEFAN",,,,,,,"REBOUND DEF by WHITTINGHAM,STEFAN",2
06:13,"MISS JUMPER by WHITTINGHAM,STEFAN",,,,,,,"MISS JUMPER by WHITTINGHAM,STEFAN",2
--,"REBOUND OFF by WHITTINGHAM,STEFAN",,,,,,,"REBOUND OFF by WHITTINGHAM,STEFAN",2
06:05,"GOOD JUMPER by WHITTINGHAM,STEFAN",53 (+2),,51,,WUMB 53-51 (-2),,"GOOD JUMPER by WHITTINGHAM,STEFAN",2
05:38,,53,,53,"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 53-53 (0),,"GOOD JUMPER by BRYANT,VALENTINO",2
05:13,"MISS LAYUP by WHITTINGHAM,STEFAN",,,,,,,"MISS LAYUP by WHITTINGHAM,STEFAN",2
--,,,,,"REBOUND DEF by COWAN,MATT",,,"REBOUND DEF by COWAN,MATT",2
04:46,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
--,"REBOUND DEF by RESTOFF,SCOTT",,,,,,,"REBOUND DEF by RESTOFF,SCOTT",2
04:30,"TURNOVER  by JONES,NICK",,,,,,,"TURNOVER  by JONES,NICK",2
04:29,,,,,"STEAL  by WILLIAMS,TRENT",,,"STEAL  by WILLIAMS,TRENT",2
04:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:06,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
03:59,"MISS 3PTR by JONES,NICK",,,,,,,"MISS 3PTR by JONES,NICK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:36,"GOOD JUMPER by KUHL,ALEC",55 (+2),,53,,WUMB 55-53 (-2),,"GOOD JUMPER by KUHL,ALEC",2
--,"ASSIST  by HUSKEY,JARROD",,,,,,,"ASSIST  by HUSKEY,JARROD",2
03:19,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
03:16,"FOUL  by JONES,NICK",,,,,,,"FOUL  by JONES,NICK",2
02:48,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
--,"REBOUND DEF by RESTOFF,SCOTT",,,,,,,"REBOUND DEF by RESTOFF,SCOTT",2
02:39,"GOOD LAYUP by JONES,NICK(in the paint)",57 (+4),,53,,WUMB 57-53 (-4),,"GOOD LAYUP by JONES,NICK(in the paint)",2
02:24,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by RESTOFF,SCOTT",,,,,,,"REBOUND DEF by RESTOFF,SCOTT",2
02:00,"TURNOVER  by RESTOFF,SCOTT",,,,,,,"TURNOVER  by RESTOFF,SCOTT",2
01:58,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
01:56,,,,,"MISS 3PTR by MARELLE,TONY",,,"MISS 3PTR by MARELLE,TONY",2
--,"REBOUND DEF by RESTOFF,SCOTT",,,,,,,"REBOUND DEF by RESTOFF,SCOTT",2
01:41,"FOUL  by HUSKEY,JARROD",,,,,,,"FOUL  by HUSKEY,JARROD",2
01:07,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:52,"TURNOVER  by JONES,NICK",,,,,,,"TURNOVER  by JONES,NICK",2
00:51,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
00:47,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
00:45,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
00:45,"GOOD FT by BRADFISCH,CODY",58 (+5),,53,,WUMB 58-53 (-5),,"GOOD FT by BRADFISCH,CODY",2
00:45,"GOOD FT by BRADFISCH,CODY",59 (+6),,53,,WUMB 59-53 (-6),,"GOOD FT by BRADFISCH,CODY",2
00:44,"FOUL  by HUSKEY,JARROD",,,,,,,"FOUL  by HUSKEY,JARROD",2
00:44,,,,,"MISS FT by MARELLE,TONY",,,"MISS FT by MARELLE,TONY",2
--,"REBOUND DEF by HUSKEY,JARROD",,,,,,,"REBOUND DEF by HUSKEY,JARROD",2
00:39,,59 (+3),,56,"GOOD 3PTR by MARELLE,TONY",SEWANEE 59-56 (-3),,"GOOD 3PTR by MARELLE,TONY",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
00:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:30,"TURNOVER  by MEEH,ROBBY",,,,,,,"TURNOVER  by MEEH,ROBBY",2
00:28,,,,,"STEAL  by WILLIAMS,TRENT",,,"STEAL  by WILLIAMS,TRENT",2
00:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:07,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
--,"REBOUND DEF by TRIMBLE,WILLIE",,,,,,,"REBOUND DEF by TRIMBLE,WILLIE",2
00:02,,,,,"FOUL  by MARELLE,TONY",,,"FOUL  by MARELLE,TONY",2
00:02,"MISS FT by TRIMBLE,WILLIE",,,,,,,"MISS FT by TRIMBLE,WILLIE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:02,"FOUL  by HUSKEY,JARROD",,,,,,,"FOUL  by HUSKEY,JARROD",2
00:02,,59 (+2),,57,"GOOD FT by AFFRONTI,LEWIS",SEWANEE 59-57 (-2),,"GOOD FT by AFFRONTI,LEWIS",2
00:02,,,,,"MISS FT by AFFRONTI,LEWIS",,,"MISS FT by AFFRONTI,LEWIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:02,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
00:02,"MISS FT by TRIMBLE,WILLIE",,,,,,,"MISS FT by TRIMBLE,WILLIE",2
--,,,,,"REBOUND DEF by MARELLE,TONY",,,"REBOUND DEF by MARELLE,TONY",2
00:01,,,,,"MISS 3PTR by MARELLE,TONY",,,"MISS 3PTR by MARELLE,TONY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
