Time Remaining,OUMEN,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
08:16,"MISS 3PTR by RICHEY,ALEX",,,,,,,"MISS 3PTR by RICHEY,ALEX",1
--,"REBOUND OFF by STEIOFF,ANDREW",,,,,,,"REBOUND OFF by STEIOFF,ANDREW",1
08:08,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",14,,14,,OUMEN 14-14 (0),,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",1
07:40,,14,,16 (+2),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEWANEE 14-16 (+2),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
07:19,"GOOD 3PTR by PITTS,ALEC",17 (+1),,16,,OUMEN 17-16 (-1),,"GOOD 3PTR by PITTS,ALEC",1
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",1
06:47,,17,,19 (+2),"GOOD 3PTR by WILLIAMS,TRENT",SEWANEE 17-19 (+2),,"GOOD 3PTR by WILLIAMS,TRENT",1
06:24,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",19,,19,,OUMEN 19-19 (0),,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",1
--,"ASSIST  by WARD,TODD",,,,,,,"ASSIST  by WARD,TODD",1
05:59,,,,,"MISS JUMPER by MARTIN,SAM",,,"MISS JUMPER by MARTIN,SAM",1
--,"REBOUND DEF by RICHEY,ALEX",,,,,,,"REBOUND DEF by RICHEY,ALEX",1
05:47,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",1
05:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
05:44,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
04:55,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:36,"GOOD 3PTR by JOVAAG,BRANDEN",22 (+3),,19,,OUMEN 22-19 (-3),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
04:13,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by STEIOFF,ANDREW",,,,,,,"REBOUND DEF by STEIOFF,ANDREW",1
03:51,"TURNOVER  by RICHEY,ALEX",,,,,,,"TURNOVER  by RICHEY,ALEX",1
03:35,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
03:20,"MISS 3PTR by CERONE,TYLER",,,,,,,"MISS 3PTR by CERONE,TYLER",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
03:11,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by STEIOFF,ANDREW",,,,,,,"REBOUND DEF by STEIOFF,ANDREW",1
02:59,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",1
--,"REBOUND OFF by RICHEY,ALEX",,,,,,,"REBOUND OFF by RICHEY,ALEX",1
02:54,"MISS JUMPER by RICHEY,ALEX",,,,,,,"MISS JUMPER by RICHEY,ALEX",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
02:19,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by RICHEY,ALEX",,,,,,,"REBOUND DEF by RICHEY,ALEX",1
02:11,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
01:48,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
01:28,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
01:20,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",1
01:02,"GOOD LAYUP by CERONE,TYLER(in the paint)",24 (+5),,19,,OUMEN 24-19 (-5),,"GOOD LAYUP by CERONE,TYLER(in the paint)",1
--,"ASSIST  by STEIOFF,ANDREW",,,,,,,"ASSIST  by STEIOFF,ANDREW",1
00:42,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by WARD,TODD",,,,,,,"REBOUND DEF by WARD,TODD",1
00:35,"MISS 3PTR by CERONE,TYLER",,,,,,,"MISS 3PTR by CERONE,TYLER",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
00:28,,24 (+2),,22,"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 24-22 (-2),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
19:51,,24,,25 (+1),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 24-25 (+1),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",2
19:33,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",26 (+1),,25,,OUMEN 26-25 (-1),,"GOOD JUMPER by STEIOFF,ANDREW(in the paint)",2
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",2
19:08,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
19:07,"STEAL  by WARD,TODD",,,,,,,"STEAL  by WARD,TODD",2
19:01,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",2
--,"REBOUND OFF by WARD,TODD",,,,,,,"REBOUND OFF by WARD,TODD",2
18:54,"GOOD LAYUP by WARD,TODD(in the paint)",28 (+3),,25,,OUMEN 28-25 (-3),,"GOOD LAYUP by WARD,TODD(in the paint)",2
18:47,"FOUL  by RICHEY,ALEX",,,,,,,"FOUL  by RICHEY,ALEX",2
18:28,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by RICHEY,ALEX",,,,,,,"REBOUND DEF by RICHEY,ALEX",2
18:16,"GOOD JUMPER by RICHEY,ALEX(in the paint)",30 (+5),,25,,OUMEN 30-25 (-5),,"GOOD JUMPER by RICHEY,ALEX(in the paint)",2
18:02,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
18:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:52,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",2
17:35,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",2
17:33,,30 (+2),,28,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 30-28 (-2),,"GOOD 3PTR by AFFRONTI,LEWIS",2
17:20,"GOOD JUMPER by RICHEY,ALEX(in the paint)",32 (+4),,28,,OUMEN 32-28 (-4),,"GOOD JUMPER by RICHEY,ALEX(in the paint)",2
16:59,,32 (+1),,31,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 32-31 (-1),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
16:49,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",2
--,"REBOUND OFF by STEIOFF,ANDREW",,,,,,,"REBOUND OFF by STEIOFF,ANDREW",2
16:44,"TURNOVER  by STEIOFF,ANDREW",,,,,,,"TURNOVER  by STEIOFF,ANDREW",2
16:31,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
16:31,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
16:16,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",34 (+3),,31,,OUMEN 34-31 (-3),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",2
--,"ASSIST  by WARD,TODD",,,,,,,"ASSIST  by WARD,TODD",2
15:59,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",2
15:54,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",2
15:52,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
15:39,"GOOD JUMPER by WARD,TODD",36 (+5),,31,,OUMEN 36-31 (-5),,"GOOD JUMPER by WARD,TODD",2
--,"ASSIST  by RICHEY,ALEX",,,,,,,"ASSIST  by RICHEY,ALEX",2
15:26,,36 (+2),,34,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 36-34 (-2),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
15:06,"TURNOVER  by WARD,TODD",,,,,,,"TURNOVER  by WARD,TODD",2
15:04,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",2
15:00,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:57,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
14:41,"GOOD JUMPER by PITTS,ALEC(in the paint)",38 (+4),,34,,OUMEN 38-34 (-4),,"GOOD JUMPER by PITTS,ALEC(in the paint)",2
14:20,,38 (+2),,36,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEWANEE 38-36 (-2),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",2
14:02,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
13:47,"MISS LAYUP by PITTS,ALEC",,,,,,,"MISS LAYUP by PITTS,ALEC",2
--,"REBOUND OFF by HAMILTON,PRICE",,,,,,,"REBOUND OFF by HAMILTON,PRICE",2
13:44,"GOOD JUMPER by HAMILTON,PRICE(in the paint)",40 (+4),,36,,OUMEN 40-36 (-4),,"GOOD JUMPER by HAMILTON,PRICE(in the paint)",2
13:24,,40 (+2),,38,"GOOD JUMPER by MARTIN,SAM",SEWANEE 40-38 (-2),,"GOOD JUMPER by MARTIN,SAM",2
13:04,"TURNOVER  by RICHEY,ALEX",,,,,,,"TURNOVER  by RICHEY,ALEX",2
13:04,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
12:47,,40,,40,"GOOD LAYUP by MARTIN,SAM(in the paint)",SEWANEE 40-40 (0),,"GOOD LAYUP by MARTIN,SAM(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
12:26,"MISS LAYUP by HAMILTON,PRICE",,,,,,,"MISS LAYUP by HAMILTON,PRICE",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
12:01,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",2
11:51,"MISS JUMPER by MOLINET,CHRISTIAN",,,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",2
--,"REBOUND OFF by WARD,TODD",,,,,,,"REBOUND OFF by WARD,TODD",2
11:46,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
11:27,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
11:22,"TURNOVER  by MOLINET,CHRISTIAN",,,,,,,"TURNOVER  by MOLINET,CHRISTIAN",2
11:11,,40,,42 (+2),"GOOD LAYUP by MARTIN,SAM(in the paint)",SEWANEE 40-42 (+2),,"GOOD LAYUP by MARTIN,SAM(in the paint)",2
10:53,"TURNOVER  by CERONE,TYLER",,,,,,,"TURNOVER  by CERONE,TYLER",2
10:46,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
10:31,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",2
--,"REBOUND OFF by STEIOFF,ANDREW",,,,,,,"REBOUND OFF by STEIOFF,ANDREW",2
10:28,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
10:28,"MISS FT by STEIOFF,ANDREW",,,,,,,"MISS FT by STEIOFF,ANDREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:28,"GOOD FT by STEIOFF,ANDREW",41,,42 (+1),,OUMEN 41-42 (+1),,"GOOD FT by STEIOFF,ANDREW",2
10:11,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
10:09,"STEAL  by RICHEY,ALEX",,,,,,,"STEAL  by RICHEY,ALEX",2
09:57,"MISS JUMPER by PITTS,ALEC",,,,,,,"MISS JUMPER by PITTS,ALEC",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
09:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:24,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
09:22,"STEAL  by STEIOFF,ANDREW",,,,,,,"STEAL  by STEIOFF,ANDREW",2
09:05,"GOOD LAYUP by RICHEY,ALEX(in the paint)",43 (+1),,42,,OUMEN 43-42 (-1),,"GOOD LAYUP by RICHEY,ALEX(in the paint)",2
08:57,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
08:55,"STEAL  by PITTS,ALEC",,,,,,,"STEAL  by PITTS,ALEC",2
08:52,"GOOD LAYUP by PITTS,ALEC(in the paint)",45 (+3),,42,,OUMEN 45-42 (-3),,"GOOD LAYUP by PITTS,ALEC(in the paint)",2
08:40,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",2
08:38,"STEAL  by WARD,TODD",,,,,,,"STEAL  by WARD,TODD",2
08:35,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",2
--,"REBOUND OFF by PITTS,ALEC",,,,,,,"REBOUND OFF by PITTS,ALEC",2
08:32,"MISS JUMPER by PITTS,ALEC",,,,,,,"MISS JUMPER by PITTS,ALEC",2
--,"REBOUND OFF by PITTS,ALEC",,,,,,,"REBOUND OFF by PITTS,ALEC",2
08:28,"GOOD LAYUP by PITTS,ALEC(in the paint)",47 (+5),,42,,OUMEN 47-42 (-5),,"GOOD LAYUP by PITTS,ALEC(in the paint)",2
08:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:18,"FOUL  by PITTS,ALEC",,,,,,,"FOUL  by PITTS,ALEC",2
08:09,"FOUL  by JOVAAG,BRANDEN",,,,,,,"FOUL  by JOVAAG,BRANDEN",2
07:48,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by RICHEY,ALEX",,,,,,,"REBOUND DEF by RICHEY,ALEX",2
07:41,"MISS LAYUP by JOVAAG,BRANDEN",,,,,,,"MISS LAYUP by JOVAAG,BRANDEN",2
07:41,,,,,"BLOCK  by BOULDIN,BRETT",,,"BLOCK  by BOULDIN,BRETT",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:38,"MISS JUMPER by WARD,TODD",,,,,,,"MISS JUMPER by WARD,TODD",2
--,"REBOUND OFF by STEIOFF,ANDREW",,,,,,,"REBOUND OFF by STEIOFF,ANDREW",2
07:34,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
07:34,"GOOD FT by STEIOFF,ANDREW",48 (+6),,42,,OUMEN 48-42 (-6),,"GOOD FT by STEIOFF,ANDREW",2
07:34,"GOOD FT by STEIOFF,ANDREW",49 (+7),,42,,OUMEN 49-42 (-7),,"GOOD FT by STEIOFF,ANDREW",2
07:16,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by RICHEY,ALEX",,,,,,,"REBOUND DEF by RICHEY,ALEX",2
06:50,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",51 (+9),,42,,OUMEN 51-42 (-9),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",2
--,"ASSIST  by WARD,TODD",,,,,,,"ASSIST  by WARD,TODD",2
06:35,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
06:32,"STEAL  by PITTS,ALEC",,,,,,,"STEAL  by PITTS,ALEC",2
06:30,"GOOD LAYUP by PITTS,ALEC(in the paint)",53 (+11),,42,,OUMEN 53-42 (-11),,"GOOD LAYUP by PITTS,ALEC(in the paint)",2
06:30,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
06:30,"MISS FT by PITTS,ALEC",,,,,,,"MISS FT by PITTS,ALEC",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
06:12,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,"REBOUND DEF by WARD,TODD",,,,,,,"REBOUND DEF by WARD,TODD",2
05:51,"FOUL  by RICHEY,ALEX",,,,,,,"FOUL  by RICHEY,ALEX",2
