Time Remaining,DEPAUWM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:44,"GOOD JUMPER by BERGFELD,JOE",2 (+2),,0,,DEPAUWM 2-0 (-2),,"GOOD JUMPER by BERGFELD,JOE",1
19:19,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by BERGFELD,JOE",,,,,,,"REBOUND DEF by BERGFELD,JOE",1
19:00,"MISS 3PTR by LEMASTERS,STEVE",,,,,,,"MISS 3PTR by LEMASTERS,STEVE",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
18:28,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",1
17:54,"GOOD LAYUP by HASELEY,SEAN(in the paint)",4 (+4),,0,,DEPAUWM 4-0 (-4),,"GOOD LAYUP by HASELEY,SEAN(in the paint)",1
17:17,,4 (+2),,2,"GOOD JUMPER by BROWN,TYLER",SEWANEE 4-2 (-2),,"GOOD JUMPER by BROWN,TYLER",1
17:05,"MISS 3PTR by WILKISON,MICHAEL",,,,,,,"MISS 3PTR by WILKISON,MICHAEL",1
--,"REBOUND OFF by HASELEY,SEAN",,,,,,,"REBOUND OFF by HASELEY,SEAN",1
16:38,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
16:38,"GOOD FT by HASELEY,SEAN",5 (+3),,2,,DEPAUWM 5-2 (-3),,"GOOD FT by HASELEY,SEAN",1
16:38,"GOOD FT by HASELEY,SEAN",6 (+4),,2,,DEPAUWM 6-2 (-4),,"GOOD FT by HASELEY,SEAN",1
16:38,"GOOD FT by HASELEY,SEAN",7 (+5),,2,,DEPAUWM 7-2 (-5),,"GOOD FT by HASELEY,SEAN",1
16:16,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
16:09,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",1
--,"REBOUND DEF by BERGFELD,JOE",,,,,,,"REBOUND DEF by BERGFELD,JOE",1
15:52,"MISS JUMPER by BERGFELD,JOE",,,,,,,"MISS JUMPER by BERGFELD,JOE",1
--,"REBOUND OFF by SIMPSON,ROSS",,,,,,,"REBOUND OFF by SIMPSON,ROSS",1
15:32,"GOOD LAYUP by BERGFELD,JOE(in the paint)",9 (+7),,2,,DEPAUWM 9-2 (-7),,"GOOD LAYUP by BERGFELD,JOE(in the paint)",1
15:29,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:02,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by WILLIAMS,TRENT",,,"REBOUND OFF by WILLIAMS,TRENT",1
14:53,,9 (+5),,4,"GOOD JUMPER by BROWN,TYLER(in the paint)",SEWANEE 9-4 (-5),,"GOOD JUMPER by BROWN,TYLER(in the paint)",1
14:21,"MISS 3PTR by WEAKLEY,TOMMY",,,,,,,"MISS 3PTR by WEAKLEY,TOMMY",1
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",1
13:58,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
13:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
