Time Remaining,TUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
01:49,,25 (+11),,14,"GOOD FT by BRYANT,VALENTINO",SEWANEE 25-14 (-11),,"GOOD FT by BRYANT,VALENTINO",1
01:27,"TURNOVER  by BEALL,RYAN",,,,,,,"TURNOVER  by BEALL,RYAN",1
01:26,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",1
01:16,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
01:14,"STEAL  by KITZINGER,ROBERT",,,,,,,"STEAL  by KITZINGER,ROBERT",1
01:12,"GOOD LAYUP by HOPSON,HEATH(in the paint)",27 (+13),,14,,TUM 27-14 (-13),,"GOOD LAYUP by HOPSON,HEATH(in the paint)",1
--,"ASSIST  by KITZINGER,ROBERT",,,,,,,"ASSIST  by KITZINGER,ROBERT",1
00:43,,27 (+10),,17,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 27-17 (-10),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",1
00:14,"MISS JUMPER by BEALL,RYAN",,,,,,,"MISS JUMPER by BEALL,RYAN",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
00:03,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by DWORKIN,SAM",,,,,,,"REBOUND DEF by DWORKIN,SAM",1
19:42,"FOUL  by KITZINGER,ROBERT",,,,,,,"FOUL  by KITZINGER,ROBERT",2
19:26,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:13,"MISS JUMPER by ALLAN,CLARKE",,,,,,,"MISS JUMPER by ALLAN,CLARKE",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
18:59,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",2
18:59,"BLOCK  by ALLAN,CLARKE",,,,,,,"BLOCK  by ALLAN,CLARKE",2
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",2
18:29,"GOOD JUMPER by KITZINGER,ROBERT",29 (+12),,17,,TUM 29-17 (-12),,"GOOD JUMPER by KITZINGER,ROBERT",2
--,"ASSIST  by FELDMAN,MATT",,,,,,,"ASSIST  by FELDMAN,MATT",2
18:12,,29 (+10),,19,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 29-19 (-10),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
17:59,"MISS JUMPER by LAMBERT,ZACH",,,,,,,"MISS JUMPER by LAMBERT,ZACH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:36,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
17:14,"TURNOVER  by ALLAN,CLARKE",,,,,,,"TURNOVER  by ALLAN,CLARKE",2
16:55,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
16:53,"STEAL  by CALDARERA,LUKE",,,,,,,"STEAL  by CALDARERA,LUKE",2
16:47,"MISS 3PTR by BEALL,RYAN",,,,,,,"MISS 3PTR by BEALL,RYAN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
16:34,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",2
16:33,"STEAL  by BEALL,RYAN",,,,,,,"STEAL  by BEALL,RYAN",2
16:29,"GOOD 3PTR by MELCHIOR,GIL",32 (+13),,19,,TUM 32-19 (-13),,"GOOD 3PTR by MELCHIOR,GIL",2
--,"ASSIST  by BEALL,RYAN",,,,,,,"ASSIST  by BEALL,RYAN",2
16:04,"FOUL  by DWORKIN,SAM",,,,,,,"FOUL  by DWORKIN,SAM",2
15:47,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by MELCHIOR,GIL",,,,,,,"REBOUND DEF by MELCHIOR,GIL",2
15:30,"GOOD 3PTR by DWORKIN,SAM",35 (+16),,19,,TUM 35-19 (-16),,"GOOD 3PTR by DWORKIN,SAM",2
--,"ASSIST  by BEALL,RYAN",,,,,,,"ASSIST  by BEALL,RYAN",2
15:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:59,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
14:59,"BLOCK  by CALDARERA,LUKE",,,,,,,"BLOCK  by CALDARERA,LUKE",2
--,"REBOUND DEF by CALDARERA,LUKE",,,,,,,"REBOUND DEF by CALDARERA,LUKE",2
14:50,"GOOD 3PTR by DWORKIN,SAM",38 (+19),,19,,TUM 38-19 (-19),,"GOOD 3PTR by DWORKIN,SAM",2
--,"ASSIST  by BEALL,RYAN",,,,,,,"ASSIST  by BEALL,RYAN",2
14:27,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
14:12,"TURNOVER  by BEALL,RYAN",,,,,,,"TURNOVER  by BEALL,RYAN",2
14:10,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",2
14:02,,38 (+16),,22,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 38-22 (-16),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",2
13:50,"MISS 3PTR by HOPSON,HEATH",,,,,,,"MISS 3PTR by HOPSON,HEATH",2
--,"REBOUND OFF by MELCHIOR,GIL",,,,,,,"REBOUND OFF by MELCHIOR,GIL",2
13:39,"MISS JUMPER by CALDARERA,LUKE",,,,,,,"MISS JUMPER by CALDARERA,LUKE",2
--,"REBOUND OFF by BEALL,RYAN",,,,,,,"REBOUND OFF by BEALL,RYAN",2
13:26,"MISS JUMPER by CALDARERA,LUKE",,,,,,,"MISS JUMPER by CALDARERA,LUKE",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
13:05,,38 (+13),,25,"GOOD 3PTR by WILLIAMS,TRENT",SEWANEE 38-25 (-13),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
12:49,"GOOD JUMPER by DWORKIN,SAM",40 (+15),,25,,TUM 40-25 (-15),,"GOOD JUMPER by DWORKIN,SAM",2
--,"ASSIST  by HOPSON,HEATH",,,,,,,"ASSIST  by HOPSON,HEATH",2
12:49,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
12:49,"GOOD FT by DWORKIN,SAM",41 (+16),,25,,TUM 41-25 (-16),,"GOOD FT by DWORKIN,SAM",2
12:37,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",2
12:29,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by HOPSON,HEATH",,,,,,,"REBOUND DEF by HOPSON,HEATH",2
12:23,"TURNOVER  by MELCHIOR,GIL",,,,,,,"TURNOVER  by MELCHIOR,GIL",2
11:52,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND OFF by BOULDIN,BRETT",,,"REBOUND OFF by BOULDIN,BRETT",2
11:46,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,,,,,"REBOUND OFF by BEVIACQUA,BRYAN",,,"REBOUND OFF by BEVIACQUA,BRYAN",2
11:41,,41 (+14),,27,"GOOD JUMPER by BEVIACQUA,BRYAN",SEWANEE 41-27 (-14),,"GOOD JUMPER by BEVIACQUA,BRYAN",2
11:41,"FOUL  by DWORKIN,SAM",,,,,,,"FOUL  by DWORKIN,SAM",2
11:41,,41 (+13),,28,"GOOD FT by BEVIACQUA,BRYAN",SEWANEE 41-28 (-13),,"GOOD FT by BEVIACQUA,BRYAN",2
11:25,"GOOD 3PTR by BEALL,RYAN",44 (+16),,28,,TUM 44-28 (-16),,"GOOD 3PTR by BEALL,RYAN",2
--,"ASSIST  by CALDARERA,LUKE",,,,,,,"ASSIST  by CALDARERA,LUKE",2
11:10,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",2
10:57,"MISS 3PTR by DWORKIN,SAM",,,,,,,"MISS 3PTR by DWORKIN,SAM",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
10:26,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
10:18,"STEAL  by CALDARERA,LUKE",,,,,,,"STEAL  by CALDARERA,LUKE",2
10:15,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
10:15,"GOOD FT by BEALL,RYAN",45 (+17),,28,,TUM 45-28 (-17),,"GOOD FT by BEALL,RYAN",2
10:15,"GOOD FT by BEALL,RYAN",46 (+18),,28,,TUM 46-28 (-18),,"GOOD FT by BEALL,RYAN",2
10:09,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",2
10:08,"STEAL  by BEALL,RYAN",,,,,,,"STEAL  by BEALL,RYAN",2
10:08,"FOUL  by KITZINGER,ROBERT",,,,,,,"FOUL  by KITZINGER,ROBERT",2
09:57,,,,,"MISS JUMPER by WILLIAMS,TRENT",,,"MISS JUMPER by WILLIAMS,TRENT",2
09:57,"BLOCK  by KITZINGER,ROBERT",,,,,,,"BLOCK  by KITZINGER,ROBERT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:38,"GOOD 3PTR by BEALL,RYAN",49 (+21),,28,,TUM 49-28 (-21),,"GOOD 3PTR by BEALL,RYAN",2
--,"ASSIST  by LAMBERT,ZACH",,,,,,,"ASSIST  by LAMBERT,ZACH",2
09:20,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
08:59,"TURNOVER  by BEALL,RYAN",,,,,,,"TURNOVER  by BEALL,RYAN",2
08:59,,,,,"STEAL  by BROWN,TYLER",,,"STEAL  by BROWN,TYLER",2
08:53,"FOUL  by WILT,JONATHAN",,,,,,,"FOUL  by WILT,JONATHAN",2
08:53,,49 (+20),,29,"GOOD FT by NELSON,ANVIL",SEWANEE 49-29 (-20),,"GOOD FT by NELSON,ANVIL",2
08:53,,,,,"MISS FT by NELSON,ANVIL",,,"MISS FT by NELSON,ANVIL",2
--,"REBOUND DEF by LAMBERT,ZACH",,,,,,,"REBOUND DEF by LAMBERT,ZACH",2
08:40,"GOOD JUMPER by DWORKIN,SAM(in the paint)",51 (+22),,29,,TUM 51-29 (-22),,"GOOD JUMPER by DWORKIN,SAM(in the paint)",2
08:23,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
08:22,"STEAL  by FELDMAN,MATT",,,,,,,"STEAL  by FELDMAN,MATT",2
08:17,"GOOD LAYUP by WILT,JONATHAN(in the paint)",53 (+24),,29,,TUM 53-29 (-24),,"GOOD LAYUP by WILT,JONATHAN(in the paint)",2
--,"ASSIST  by DWORKIN,SAM",,,,,,,"ASSIST  by DWORKIN,SAM",2
08:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:53,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
07:46,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by DWORKIN,SAM",,,,,,,"REBOUND DEF by DWORKIN,SAM",2
07:37,"MISS JUMPER by KITZINGER,ROBERT",,,,,,,"MISS JUMPER by KITZINGER,ROBERT",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
07:31,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
07:29,"STEAL  by KITZINGER,ROBERT",,,,,,,"STEAL  by KITZINGER,ROBERT",2
07:25,"TURNOVER  by KITZINGER,ROBERT",,,,,,,"TURNOVER  by KITZINGER,ROBERT",2
06:53,,53 (+22),,31,"GOOD JUMPER by NELSON,ANVIL",SEWANEE 53-31 (-22),,"GOOD JUMPER by NELSON,ANVIL",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
06:45,"MISS 3PTR by DWORKIN,SAM",,,,,,,"MISS 3PTR by DWORKIN,SAM",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
06:34,,,,,"MISS 3PTR by MARELLE,TONY",,,"MISS 3PTR by MARELLE,TONY",2
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",2
06:12,"GOOD LAYUP by WILT,JONATHAN(in the paint)",55 (+24),,31,,TUM 55-31 (-24),,"GOOD LAYUP by WILT,JONATHAN(in the paint)",2
05:55,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",2
05:44,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
05:37,"MISS JUMPER by HOPSON,HEATH",,,,,,,"MISS JUMPER by HOPSON,HEATH",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
05:29,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",2
