Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:50,,5 (+1),,4,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 5-4 (-1),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
14:05,"MISS 3PTR by ROSS,GREG",,,,,,,"MISS 3PTR by ROSS,GREG",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
13:32,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:19,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
12:56,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
12:38,"GOOD 3PTR by GRIGGS,MATT",8 (+4),,4,,CENTRE_M 8-4 (-4),,"GOOD 3PTR by GRIGGS,MATT",1
--,"ASSIST  by NEWSOME,TAYLOR",,,,,,,"ASSIST  by NEWSOME,TAYLOR",1
12:09,,,,,"MISS 3PTR by MARTIN,SAM",,,"MISS 3PTR by MARTIN,SAM",1
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",1
12:00,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",1
12:00,"GOOD FT by GRIGGS,MATT",9 (+5),,4,,CENTRE_M 9-4 (-5),,"GOOD FT by GRIGGS,MATT",1
12:00,"GOOD FT by GRIGGS,MATT",10 (+6),,4,,CENTRE_M 10-4 (-6),,"GOOD FT by GRIGGS,MATT",1
11:42,,10 (+4),,6,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 10-6 (-4),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,,,,,"ASSIST  by MARTIN,SAM",,,"ASSIST  by MARTIN,SAM",1
11:28,"FOUL  by BINDER,KYLE",,,,,,,"FOUL  by BINDER,KYLE",1
11:02,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
10:48,"GOOD 3PTR by LOPEZ,COLLIN",13 (+7),,6,,CENTRE_M 13-6 (-7),,"GOOD 3PTR by LOPEZ,COLLIN",1
10:35,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
10:33,"STEAL  by NEWSOME,TAYLOR",,,,,,,"STEAL  by NEWSOME,TAYLOR",1
10:14,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
09:52,"FOUL  by LLOYD,ALEX",,,,,,,"FOUL  by LLOYD,ALEX",1
09:52,,13 (+6),,7,"GOOD FT by AFFRONTI,LEWIS",SEWANEE 13-7 (-6),,"GOOD FT by AFFRONTI,LEWIS",1
09:52,,13 (+5),,8,"GOOD FT by AFFRONTI,LEWIS",SEWANEE 13-8 (-5),,"GOOD FT by AFFRONTI,LEWIS",1
09:43,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
09:20,,13 (+3),,10,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 13-10 (-3),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",1
08:58,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
08:58,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
08:41,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
08:37,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
08:21,"GOOD JUMPER by BINDER,KYLE(in the paint)",15 (+5),,10,,CENTRE_M 15-10 (-5),,"GOOD JUMPER by BINDER,KYLE(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
07:58,,15 (+3),,12,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",SEWANEE 15-12 (-3),,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",1
07:43,"GOOD 3PTR by ELLIS,BRYON",18 (+6),,12,,CENTRE_M 18-12 (-6),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by SMITH,DEE",,,,,,,"ASSIST  by SMITH,DEE",1
07:17,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",1
--,"REBOUND DEF by BINDER,KYLE",,,,,,,"REBOUND DEF by BINDER,KYLE",1
07:09,"MISS 3PTR by BINDER,KYLE",,,,,,,"MISS 3PTR by BINDER,KYLE",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
07:04,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:51,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",1
06:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:46,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",1
06:13,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",20 (+8),,12,,CENTRE_M 20-12 (-8),,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",1
05:34,,20 (+5),,15,"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 20-15 (-5),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
05:19,"GOOD JUMPER by BINDER,KYLE",22 (+7),,15,,CENTRE_M 22-15 (-7),,"GOOD JUMPER by BINDER,KYLE",1
--,"ASSIST  by ROSS,GREG",,,,,,,"ASSIST  by ROSS,GREG",1
04:45,,22 (+4),,18,"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 22-18 (-4),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",1
04:31,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",1
04:25,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
04:15,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
03:58,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
03:30,,22 (+2),,20,"GOOD JUMPER by NELSON,ANVIL",SEWANEE 22-20 (-2),,"GOOD JUMPER by NELSON,ANVIL",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
03:12,"GOOD 3PTR by LOPEZ,COLLIN",25 (+5),,20,,CENTRE_M 25-20 (-5),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by BINDER,KYLE",,,,,,,"ASSIST  by BINDER,KYLE",1
02:48,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
02:41,,25 (+3),,22,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 25-22 (-3),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
02:24,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
02:22,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",1
02:20,,25 (+1),,24,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 25-24 (-1),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
02:20,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",1
02:15,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
02:06,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
01:38,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
01:15,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
01:14,"STEAL  by BINDER,KYLE",,,,,,,"STEAL  by BINDER,KYLE",1
01:06,"GOOD 3PTR by BINDER,KYLE",28 (+4),,24,,CENTRE_M 28-24 (-4),,"GOOD 3PTR by BINDER,KYLE",1
00:39,,28 (+2),,26,"GOOD JUMPER by BROWN,TYLER",SEWANEE 28-26 (-2),,"GOOD JUMPER by BROWN,TYLER",1
00:10,"GOOD JUMPER by NEWSOME,TAYLOR",30 (+4),,26,,CENTRE_M 30-26 (-4),,"GOOD JUMPER by NEWSOME,TAYLOR",1
19:39,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,,,,,"REBOUND OFF by AFFRONTI,LEWIS",,,"REBOUND OFF by AFFRONTI,LEWIS",2
19:18,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by BOULDIN,BRETT",,,"REBOUND OFF by BOULDIN,BRETT",2
18:43,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
18:42,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
18:40,"GOOD JUMPER by MULLANEY,JEFF",32 (+6),,26,,CENTRE_M 32-26 (-6),,"GOOD JUMPER by MULLANEY,JEFF",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
18:09,,32 (+4),,28,"GOOD JUMPER by BROWN,TYLER(in the paint)",SEWANEE 32-28 (-4),,"GOOD JUMPER by BROWN,TYLER(in the paint)",2
17:38,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
17:37,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",2
17:02,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",2
16:58,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",2
16:51,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",34 (+6),,28,,CENTRE_M 34-28 (-6),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
16:33,,34 (+4),,30,"GOOD JUMPER by AFFRONTI,LEWIS",SEWANEE 34-30 (-4),,"GOOD JUMPER by AFFRONTI,LEWIS",2
16:13,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
16:11,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",36 (+6),,30,,CENTRE_M 36-30 (-6),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
15:50,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",2
15:34,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
15:21,"GOOD 3PTR by WHITESIDE,DONOVAN",39 (+9),,30,,CENTRE_M 39-30 (-9),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,"ASSIST  by LLOYD,ALEX",,,,,,,"ASSIST  by LLOYD,ALEX",2
15:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:47,,,,,"MISS JUMPER by WILLIAMS,TRENT",,,"MISS JUMPER by WILLIAMS,TRENT",2
14:47,"BLOCK  by LLOYD,ALEX",,,,,,,"BLOCK  by LLOYD,ALEX",2
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",2
14:29,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
14:00,,,,,"MISS 3PTR by MARTIN,SAM",,,"MISS 3PTR by MARTIN,SAM",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
13:52,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
13:51,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
13:46,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
13:46,"GOOD FT by WHITESIDE,DONOVAN",40 (+10),,30,,CENTRE_M 40-30 (-10),,"GOOD FT by WHITESIDE,DONOVAN",2
13:46,"GOOD FT by WHITESIDE,DONOVAN",41 (+11),,30,,CENTRE_M 41-30 (-11),,"GOOD FT by WHITESIDE,DONOVAN",2
13:15,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",2
13:15,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
13:15,,41 (+10),,31,"GOOD FT by BROWN,TYLER",SEWANEE 41-31 (-10),,"GOOD FT by BROWN,TYLER",2
13:15,,41 (+9),,32,"GOOD FT by BROWN,TYLER",SEWANEE 41-32 (-9),,"GOOD FT by BROWN,TYLER",2
12:53,"GOOD 3PTR by MULLANEY,JEFF",44 (+12),,32,,CENTRE_M 44-32 (-12),,"GOOD 3PTR by MULLANEY,JEFF",2
--,"ASSIST  by LLOYD,ALEX",,,,,,,"ASSIST  by LLOYD,ALEX",2
12:22,,44 (+10),,34,"GOOD JUMPER by AFFRONTI,LEWIS",SEWANEE 44-34 (-10),,"GOOD JUMPER by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by MARTIN,SAM",,,"ASSIST  by MARTIN,SAM",2
12:02,"GOOD 3PTR by LOPEZ,COLLIN",47 (+13),,34,,CENTRE_M 47-34 (-13),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",2
11:35,,47 (+11),,36,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 47-36 (-11),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
11:17,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
11:03,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",2
10:41,"GOOD JUMPER by LOPEZ,COLLIN",49 (+13),,36,,CENTRE_M 49-36 (-13),,"GOOD JUMPER by LOPEZ,COLLIN",2
--,"ASSIST  by LLOYD,ALEX",,,,,,,"ASSIST  by LLOYD,ALEX",2
10:35,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
10:35,"GOOD FT by LOPEZ,COLLIN",50 (+14),,36,,CENTRE_M 50-36 (-14),,"GOOD FT by LOPEZ,COLLIN",2
10:03,,50 (+12),,38,"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 50-38 (-12),,"GOOD JUMPER by BRYANT,VALENTINO",2
09:40,"TURNOVER  by LLOYD,ALEX",,,,,,,"TURNOVER  by LLOYD,ALEX",2
09:04,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
08:55,"FOUL  by LLOYD,ALEX",,,,,,,"FOUL  by LLOYD,ALEX",2
08:43,,50 (+10),,40,"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 50-40 (-10),,"GOOD JUMPER by BRYANT,VALENTINO",2
08:32,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
08:17,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
07:44,"GOOD JUMPER by ROSS,GREG",52 (+12),,40,,CENTRE_M 52-40 (-12),,"GOOD JUMPER by ROSS,GREG",2
07:14,"FOUL  by BINDER,KYLE",,,,,,,"FOUL  by BINDER,KYLE",2
07:14,,52 (+11),,41,"GOOD FT by NELSON,ANVIL",SEWANEE 52-41 (-11),,"GOOD FT by NELSON,ANVIL",2
07:14,,,,,"MISS FT by NELSON,ANVIL",,,"MISS FT by NELSON,ANVIL",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
06:58,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",2
06:56,,,,,"STEAL  by WILLIAMS,TRENT",,,"STEAL  by WILLIAMS,TRENT",2
06:41,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
06:32,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",2
--,"REBOUND OFF by LLOYD,ALEX",,,,,,,"REBOUND OFF by LLOYD,ALEX",2
06:29,"GOOD JUMPER by LLOYD,ALEX(in the paint)",54 (+13),,41,,CENTRE_M 54-41 (-13),,"GOOD JUMPER by LLOYD,ALEX(in the paint)",2
06:02,,54 (+10),,44,"GOOD 3PTR by BROWN,TYLER",SEWANEE 54-44 (-10),,"GOOD 3PTR by BROWN,TYLER",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
05:48,"MISS JUMPER by LLOYD,ALEX",,,,,,,"MISS JUMPER by LLOYD,ALEX",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
05:23,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
05:23,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
05:22,,,,,"MISS JUMPER by WILLIAMS,TRENT",,,"MISS JUMPER by WILLIAMS,TRENT",2
--,,,,,"REBOUND OFF by WILLIAMS,TRENT",,,"REBOUND OFF by WILLIAMS,TRENT",2
05:17,,,,,"MISS JUMPER by WILLIAMS,TRENT",,,"MISS JUMPER by WILLIAMS,TRENT",2
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",2
04:53,"GOOD LAYUP by ROSS,GREG(in the paint)",56 (+12),,44,,CENTRE_M 56-44 (-12),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,"ASSIST  by LLOYD,ALEX",,,,,,,"ASSIST  by LLOYD,ALEX",2
04:25,,56 (+10),,46,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 56-46 (-10),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",2
04:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:47,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
03:17,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
03:07,,56 (+8),,48,"GOOD JUMPER by NELSON,ANVIL",SEWANEE 56-48 (-8),,"GOOD JUMPER by NELSON,ANVIL",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
02:32,"GOOD JUMPER by ROSS,GREG",58 (+10),,48,,CENTRE_M 58-48 (-10),,"GOOD JUMPER by ROSS,GREG",2
--,"ASSIST  by LLOYD,ALEX",,,,,,,"ASSIST  by LLOYD,ALEX",2
02:28,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
02:19,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",2
01:46,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
01:46,"GOOD FT by MULLANEY,JEFF",59 (+11),,48,,CENTRE_M 59-48 (-11),,"GOOD FT by MULLANEY,JEFF",2
01:46,"GOOD FT by MULLANEY,JEFF",60 (+12),,48,,CENTRE_M 60-48 (-12),,"GOOD FT by MULLANEY,JEFF",2
01:23,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
01:15,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
01:15,"GOOD FT by MULLANEY,JEFF",61 (+13),,48,,CENTRE_M 61-48 (-13),,"GOOD FT by MULLANEY,JEFF",2
01:15,"GOOD FT by MULLANEY,JEFF",62 (+14),,48,,CENTRE_M 62-48 (-14),,"GOOD FT by MULLANEY,JEFF",2
01:14,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
01:11,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
01:11,"BLOCK  by LLOYD,ALEX",,,,,,,"BLOCK  by LLOYD,ALEX",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
01:01,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
01:00,"MISS FT by LOPEZ,COLLIN",,,,,,,"MISS FT by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
00:49,,62 (+12),,50,"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 62-50 (-12),,"GOOD JUMPER by BRYANT,VALENTINO",2
00:49,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
