Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
11:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:07,"GOOD 3PTR by LEBLANC,CASS",14,,14,,BERRY-M 14-14 (0),,"GOOD 3PTR by LEBLANC,CASS",1
--,"ASSIST  by GADIE,KENDALL",,,,,,,"ASSIST  by GADIE,KENDALL",1
10:47,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
10:32,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by COWAN,MATT",,,"REBOUND DEF by COWAN,MATT",1
10:21,,,,,"MISS JUMPER by BOULDIN,BRETT",,,"MISS JUMPER by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
10:05,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",1
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",1
09:57,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",16 (+2),,14,,BERRY-M 16-14 (-2),,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",1
--,"ASSIST  by GADIE,KENDALL",,,,,,,"ASSIST  by GADIE,KENDALL",1
09:55,,,,,"FOUL  by COWAN,MATT",,,"FOUL  by COWAN,MATT",1
09:55,"MISS FT by HOLLOMAN,DAVID",,,,,,,"MISS FT by HOLLOMAN,DAVID",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
09:26,"FOUL  by MILES,TIM",,,,,,,"FOUL  by MILES,TIM",1
09:23,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",1
--,"REBOUND DEF by GADIE,KENDALL",,,,,,,"REBOUND DEF by GADIE,KENDALL",1
09:00,"MISS LAYUP by ABRAMS,JONATHAN",,,,,,,"MISS LAYUP by ABRAMS,JONATHAN",1
--,"REBOUND OFF by GADIE,KENDALL",,,,,,,"REBOUND OFF by GADIE,KENDALL",1
08:53,"TURNOVER  by ABRAMS,JONATHAN",,,,,,,"TURNOVER  by ABRAMS,JONATHAN",1
08:24,,16,,17 (+1),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 16-17 (+1),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
08:02,"MISS JUMPER by GADIE,KENDALL",,,,,,,"MISS JUMPER by GADIE,KENDALL",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
07:35,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",1
--,"REBOUND DEF by ABRAMS,JONATHAN",,,,,,,"REBOUND DEF by ABRAMS,JONATHAN",1
07:13,"MISS LAYUP by HOLLOMAN,DAVID",,,,,,,"MISS LAYUP by HOLLOMAN,DAVID",1
--,,,,,"REBOUND DEF by MARELLE,TONY",,,"REBOUND DEF by MARELLE,TONY",1
07:09,,,,,"TURNOVER  by MARELLE,TONY",,,"TURNOVER  by MARELLE,TONY",1
06:48,,,,,"FOUL  by COWAN,MATT",,,"FOUL  by COWAN,MATT",1
06:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:47,,,,,"FOUL  by KIRKPATRICK,TODD",,,"FOUL  by KIRKPATRICK,TODD",1
06:47,"MISS FT by ABRAMS,JONATHAN",,,,,,,"MISS FT by ABRAMS,JONATHAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:47,"GOOD FT by ABRAMS,JONATHAN",17,,17,,BERRY-M 17-17 (0),,"GOOD FT by ABRAMS,JONATHAN",1
06:14,"MISS LAYUP by BARNES,HADYN",,,,,,,"MISS LAYUP by BARNES,HADYN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:14,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",1
06:14,,17,,18 (+1),"GOOD FT by MARELLE,TONY",SEWANEE 17-18 (+1),,"GOOD FT by MARELLE,TONY",1
06:14,,17,,19 (+2),"GOOD FT by MARELLE,TONY",SEWANEE 17-19 (+2),,"GOOD FT by MARELLE,TONY",1
05:50,"TURNOVER  by GADIE,KENDALL",,,,,,,"TURNOVER  by GADIE,KENDALL",1
05:46,"FOUL  by GADIE,KENDALL",,,,,,,"FOUL  by GADIE,KENDALL",1
05:35,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND OFF by WILLIAMS,TRENT",,,"REBOUND OFF by WILLIAMS,TRENT",1
