Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,DEPAUW,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by WEAKLEY,TOMMY",,,"ASSIST  by WEAKLEY,TOMMY",1
10:58,"GOOD 3PTR by BEVIACQUA,BRYAN",11,,18 (+7),,SEWANEE 11-18 (-7),,"GOOD 3PTR by BEVIACQUA,BRYAN",1
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",1
10:32,,,,,"MISS JUMPER by WILLS,DREW",,,"MISS JUMPER by WILLS,DREW",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
10:06,"GOOD LAYUP by NELSON,ANVIL(in the paint)",13,,18 (+5),,SEWANEE 13-18 (-5),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
09:40,,13,,21 (+8),"GOOD 3PTR by WILLS,DREW",DEPAUW 13-21 (-8),,"GOOD 3PTR by WILLS,DREW",1
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",1
09:22,"TURNOVER  by BEVIACQUA,BRYAN",,,,,,,"TURNOVER  by BEVIACQUA,BRYAN",1
09:21,,,,,"STEAL  by WEAKLEY,TOMMY",,,"STEAL  by WEAKLEY,TOMMY",1
09:17,,,,,"SUB IN by SIMPSON,ROSS",,,"SUB IN by SIMPSON,ROSS",1
09:17,,,,,"SUB IN by SEVER,RYAN",,,"SUB IN by SEVER,RYAN",1
09:17,,,,,"SUB OUT by BURNS,CAMRON",,,"SUB OUT by BURNS,CAMRON",1
09:17,,,,,"SUB OUT by WILKISON,MICHAEL",,,"SUB OUT by WILKISON,MICHAEL",1
08:53,,13,,24 (+11),"GOOD 3PTR by WEAKLEY,TOMMY",DEPAUW 13-24 (-11),,"GOOD 3PTR by WEAKLEY,TOMMY",1
08:29,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",15,,24 (+9),,SEWANEE 15-24 (-9),,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",1
07:52,,,,,"MISS JUMPER by WILLS,DREW",,,"MISS JUMPER by WILLS,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:49,,,,,"FOUL  by WILLS,DREW",,,"FOUL  by WILLS,DREW",1
07:49,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
07:49,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
07:49,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
07:49,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",1
07:49,,,,,"SUB IN by HASELEY,SEAN",,,"SUB IN by HASELEY,SEAN",1
07:49,,,,,"SUB OUT by RUMPP,IAN",,,"SUB OUT by RUMPP,IAN",1
07:14,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",17,,24 (+7),,SEWANEE 17-24 (-7),,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",1
07:00,,17,,27 (+10),"GOOD 3PTR by HASELEY,SEAN",DEPAUW 17-27 (-10),,"GOOD 3PTR by HASELEY,SEAN",1
--,,,,,"ASSIST  by WILLS,DREW",,,"ASSIST  by WILLS,DREW",1
06:31,"GOOD 3PTR by MARTIN,SAM",20,,27 (+7),,SEWANEE 20-27 (-7),,"GOOD 3PTR by MARTIN,SAM",1
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",1
06:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:29,,,,,"SUB IN by LEMASTERS,STEVE",,,"SUB IN by LEMASTERS,STEVE",1
06:29,,,,,"SUB OUT by WEAKLEY,TOMMY",,,"SUB OUT by WEAKLEY,TOMMY",1
06:04,,,,,"MISS 3PTR by WILLS,DREW",,,"MISS 3PTR by WILLS,DREW",1
--,,,,,"REBOUND OFF by SIMPSON,ROSS",,,"REBOUND OFF by SIMPSON,ROSS",1
