Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
15:11,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND OFF by MANCUSO,LOGAN",,,,,,,"REBOUND OFF by MANCUSO,LOGAN",1
15:07,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",3,,8 (+5),,MILLMBB 3-8 (-5),,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",1
14:56,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
14:56,,,,,"TURNOVER  by BOYD,CHRIS",,,"TURNOVER  by BOYD,CHRIS",1
14:56,,,,,"SUB IN by DULK,MATT DEN",,,"SUB IN by DULK,MATT DEN",1
14:56,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
14:56,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
14:56,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
14:41,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by DULK,MATT DEN",,,"REBOUND DEF by DULK,MATT DEN",1
14:28,,3,,11 (+8),"GOOD 3PTR by COX,TJ",CCM 3-11 (-8),,"GOOD 3PTR by COX,TJ",1
14:12,"GOOD JUMPER by MCSWAIN,JOSHUA",5,,11 (+6),,MILLMBB 5-11 (-6),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
13:59,,,,,"MISS LAYUP by BOYD,CHRIS",,,"MISS LAYUP by BOYD,CHRIS",1
13:59,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
13:57,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
13:57,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",1
13:57,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
13:57,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
13:57,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",1
13:57,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
13:45,,,,,"FOUL  by SEARS,CONNOR",,,"FOUL  by SEARS,CONNOR",1
13:45,"MISS FT by MARKWITH,TRENT",,,,,,,"MISS FT by MARKWITH,TRENT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:45,"GOOD FT by MARKWITH,TRENT",6,,11 (+5),,MILLMBB 6-11 (-5),,"GOOD FT by MARKWITH,TRENT",1
13:45,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
13:45,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
13:45,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
13:45,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
13:36,,,,,"MISS 3PTR by DULK,MATT DEN",,,"MISS 3PTR by DULK,MATT DEN",1
--,,,,,"REBOUND OFF by ARIMA,Z",,,"REBOUND OFF by ARIMA,Z",1
13:09,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
13:09,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
13:09,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
13:01,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
13:00,,,,,"STEAL  by ARIMA,Z",,,"STEAL  by ARIMA,Z",1
12:55,,,,,"MISS LAYUP by COX,TJ",,,"MISS LAYUP by COX,TJ",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
12:48,"GOOD JUMPER by JONES,BLAKE",8,,11 (+3),,MILLMBB 8-11 (-3),,"GOOD JUMPER by JONES,BLAKE",1
12:20,,,,,"MISS 3PTR by DULK,MATT DEN",,,"MISS 3PTR by DULK,MATT DEN",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
12:16,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
12:15,,,,,"STEAL  by ARIMA,Z",,,"STEAL  by ARIMA,Z",1
12:14,,8,,14 (+6),"GOOD 3PTR by PHELPS,BEN",CCM 8-14 (-6),,"GOOD 3PTR by PHELPS,BEN",1
--,,,,,"ASSIST  by ARIMA,Z",,,"ASSIST  by ARIMA,Z",1
12:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:09,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:09,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
12:09,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
12:09,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",1
12:09,,,,,"SUB OUT by DULK,MATT DEN",,,"SUB OUT by DULK,MATT DEN",1
12:01,"GOOD 3PTR by JONES,BLAKE",11,,14 (+3),,MILLMBB 11-14 (-3),,"GOOD 3PTR by JONES,BLAKE",1
--,"ASSIST  by GERCHOW,ALEX",,,,,,,"ASSIST  by GERCHOW,ALEX",1
12:00,"FOUL  by SPENCE,JACOB",,,,,,,"FOUL  by SPENCE,JACOB",1
11:42,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
11:30,"GOOD 3PTR by ROBERTSON,MARC",14,,14,,MILLMBB 14-14 (0),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
11:14,,14,,17 (+3),"GOOD 3PTR by ARIMA,Z",CCM 14-17 (-3),,"GOOD 3PTR by ARIMA,Z",1
--,,,,,"ASSIST  by TWAGIRAYEZU,PATJO",,,"ASSIST  by TWAGIRAYEZU,PATJO",1
11:04,"GOOD LAYUP by JONES,BLAKE(in the paint)",16,,17 (+1),,MILLMBB 16-17 (-1),,"GOOD LAYUP by JONES,BLAKE(in the paint)",1
10:49,,,,,"MISS LAYUP by SEARS,CONNOR",,,"MISS LAYUP by SEARS,CONNOR",1
--,,,,,"REBOUND OFF by TWAGIRAYEZU,PATJO",,,"REBOUND OFF by TWAGIRAYEZU,PATJO",1
10:32,,16,,19 (+3),"GOOD LAYUP by SEARS,CONNOR(in the paint)",CCM 16-19 (-3),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
10:24,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
10:24,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
10:24,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
10:24,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
10:24,"SUB OUT by SPENCE,JACOB",,,,,,,"SUB OUT by SPENCE,JACOB",1
10:24,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
10:24,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
10:24,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
10:24,,,,,"SUB OUT by SEARS,CONNOR",,,"SUB OUT by SEARS,CONNOR",1
10:24,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
10:24,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
10:06,,,,,"MISS 3PTR by DRYDEN,BERTO",,,"MISS 3PTR by DRYDEN,BERTO",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
09:58,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,"REBOUND OFF by MCSWAIN,JOSHUA",,,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",1
09:52,,,,,"FOUL  by DRYDEN,BERTO",,,"FOUL  by DRYDEN,BERTO",1
09:31,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
09:11,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
09:05,"TURNOVER  by MCSWAIN,JOSHUA",,,,,,,"TURNOVER  by MCSWAIN,JOSHUA",1
08:48,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",1
08:29,"GOOD JUMPER by MCSWAIN,JOSHUA",18,,19 (+1),,MILLMBB 18-19 (-1),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
08:08,"FOUL  by MCSWAIN,JOSHUA",,,,,,,"FOUL  by MCSWAIN,JOSHUA",1
08:08,,18,,20 (+2),"GOOD FT by TWAGIRAYEZU,PATJO",CCM 18-20 (-2),,"GOOD FT by TWAGIRAYEZU,PATJO",1
08:08,,18,,21 (+3),"GOOD FT by TWAGIRAYEZU,PATJO",CCM 18-21 (-3),,"GOOD FT by TWAGIRAYEZU,PATJO",1
08:08,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
08:08,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",1
08:08,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
08:08,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
08:08,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
08:08,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
07:46,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",1
07:44,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:44,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
07:44,,,,,"SUB OUT by COX,TJ",,,"SUB OUT by COX,TJ",1
07:44,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
07:44,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
07:44,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
07:39,,,,,"TURNOVER  by BOYD,CHRIS",,,"TURNOVER  by BOYD,CHRIS",1
07:39,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
07:39,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
07:39,,,,,"SUB IN by COX,TJ",,,"SUB IN by COX,TJ",1
07:39,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
07:39,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",1
07:20,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
07:20,,,,,"BLOCK  by SPRAGG,BAILEY",,,"BLOCK  by SPRAGG,BAILEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:15,,18,,23 (+5),"GOOD JUMPER by BOYD,CHRIS",CCM 18-23 (-5),,"GOOD JUMPER by BOYD,CHRIS",1
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",1
06:57,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
06:53,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
06:47,,,,,"MISS 3PTR by DRYDEN,BERTO",,,"MISS 3PTR by DRYDEN,BERTO",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
06:33,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by COX,TJ",,,"REBOUND DEF by COX,TJ",1
06:25,,18,,25 (+7),"GOOD LAYUP by COX,TJ(in the paint)",CCM 18-25 (-7),,"GOOD LAYUP by COX,TJ(in the paint)",1
06:25,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
06:25,,,,,"MISS FT by COX,TJ",,,"MISS FT by COX,TJ",1
--,,,,,"REBOUND OFF by GARRETT,DANIEL",,,"REBOUND OFF by GARRETT,DANIEL",1
06:25,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
06:25,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
06:25,,,,,"SUB IN by GARRETT,DANIEL",,,"SUB IN by GARRETT,DANIEL",1
06:25,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
06:25,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
06:25,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
06:21,,,,,"MISS 3PTR by PHELPS,BEN",,,"MISS 3PTR by PHELPS,BEN",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
05:58,"TURNOVER  by SPENCE,JACOB",,,,,,,"TURNOVER  by SPENCE,JACOB",1
05:58,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
05:58,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
05:58,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
05:58,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
05:37,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
05:26,"MISS LAYUP by SPENCE,JACOB",,,,,,,"MISS LAYUP by SPENCE,JACOB",1
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",1
05:02,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
05:00,,,,,"STEAL  by ARIMA,Z",,,"STEAL  by ARIMA,Z",1
04:57,,,,,"TURNOVER  by ARIMA,Z",,,"TURNOVER  by ARIMA,Z",1
04:57,"STEAL  by MARKWITH,TRENT",,,,,,,"STEAL  by MARKWITH,TRENT",1
04:57,,,,,"FOUL  by ARIMA,Z",,,"FOUL  by ARIMA,Z",1
04:40,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",1
04:27,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
04:18,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",20,,25 (+5),,MILLMBB 20-25 (-5),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",1
04:00,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
03:59,"STEAL  by MARKWITH,TRENT",,,,,,,"STEAL  by MARKWITH,TRENT",1
03:54,"MISS LAYUP by ROBERTSON,MARC",,,,,,,"MISS LAYUP by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by ARIMA,Z",,,"REBOUND DEF by ARIMA,Z",1
03:42,,20,,28 (+8),"GOOD 3PTR by COX,TJ",CCM 20-28 (-8),,"GOOD 3PTR by COX,TJ",1
03:26,"MISS LAYUP by SPENCE,JACOB",,,,,,,"MISS LAYUP by SPENCE,JACOB",1
03:26,,,,,"BLOCK  by ARIMA,Z",,,"BLOCK  by ARIMA,Z",1
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",1
03:09,,20,,30 (+10),"GOOD LAYUP by GARRETT,DANIEL(in the paint)",CCM 20-30 (-10),,"GOOD LAYUP by GARRETT,DANIEL(in the paint)",1
02:48,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
02:42,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",22,,30 (+8),,MILLMBB 22-30 (-8),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
02:41,,,,,"FOUL  by PHELPS,BEN",,,"FOUL  by PHELPS,BEN",1
02:41,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
02:41,"GOOD FT by MARKWITH,TRENT",23,,30 (+7),,MILLMBB 23-30 (-7),,"GOOD FT by MARKWITH,TRENT",1
02:41,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
02:41,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
02:41,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
02:41,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
02:41,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
02:41,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
02:41,"SUB OUT by SPENCE,JACOB",,,,,,,"SUB OUT by SPENCE,JACOB",1
02:41,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
02:41,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",1
02:41,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
02:23,,,,,"MISS 3PTR by GARRETT,DANIEL",,,"MISS 3PTR by GARRETT,DANIEL",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
02:03,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by ARIMA,Z",,,"REBOUND DEF by ARIMA,Z",1
01:47,,23,,32 (+9),"GOOD LAYUP by COX,TJ(in the paint)",CCM 23-32 (-9),,"GOOD LAYUP by COX,TJ(in the paint)",1
01:30,,,,,"FOUL  by PHELPS,BEN",,,"FOUL  by PHELPS,BEN",1
01:30,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:30,"GOOD FT by GAGEN,BRENNAN",24,,32 (+8),,MILLMBB 24-32 (-8),,"GOOD FT by GAGEN,BRENNAN",1
01:30,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
01:30,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",1
01:30,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
01:30,,,,,"SUB OUT by GARRETT,DANIEL",,,"SUB OUT by GARRETT,DANIEL",1
01:18,,,,,"TURNOVER  by ARIMA,Z",,,"TURNOVER  by ARIMA,Z",1
01:17,"STEAL  by MCSWAIN,JOSHUA",,,,,,,"STEAL  by MCSWAIN,JOSHUA",1
01:13,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",26,,32 (+6),,MILLMBB 26-32 (-6),,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",1
01:03,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
01:02,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",1
00:57,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
00:56,,,,,"STEAL  by TWAGIRAYEZU,PATJO",,,"STEAL  by TWAGIRAYEZU,PATJO",1
00:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
