Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
10:52,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
10:52,"STEAL  by MARKWITH,TRENT",,,,,,,"STEAL  by MARKWITH,TRENT",1
10:48,"GOOD DUNK by ATKINSON,QUINN(fastbreak)(in the paint)",22 (+13),,9,,MILLMBB 22-9 (+13),,"GOOD DUNK by ATKINSON,QUINN(fastbreak)(in the paint)",1
--,"ASSIST  by MARKWITH,TRENT",,,,,,,"ASSIST  by MARKWITH,TRENT",1
10:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:42,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
10:42,"STEAL  by MARKWITH,TRENT",,,,,,,"STEAL  by MARKWITH,TRENT",1
10:42,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
10:42,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
10:42,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
10:42,,,,,"MISS FT by KORN,LUKAS",,,"MISS FT by KORN,LUKAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:42,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
10:42,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
10:42,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
10:42,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
10:42,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
10:42,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",1
10:27,,22 (+12),,10,"GOOD FT by KORN,LUKAS",BCM 22-10 (+12),,"GOOD FT by KORN,LUKAS",1
10:27,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
10:27,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
10:03,"GOOD JUMPER by GAGEN,BRENNAN",24 (+14),,10,,MILLMBB 24-10 (+14),,"GOOD JUMPER by GAGEN,BRENNAN",1
09:50,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
09:46,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",26 (+16),,10,,MILLMBB 26-10 (+16),,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
09:32,,,,,"TURNOVER  by MCCLOUD,ALTON",,,"TURNOVER  by MCCLOUD,ALTON",1
09:31,"STEAL  by ROBERTSON,MARC",,,,,,,"STEAL  by ROBERTSON,MARC",1
09:16,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
09:04,,26 (+14),,12,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 26-12 (+14),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1
08:40,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
08:31,,,,,"MISS 3PTR by KORN,LUKAS",,,"MISS 3PTR by KORN,LUKAS",1
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",1
08:28,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
08:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:28,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:28,,26 (+13),,13,"GOOD FT by JACOBS,OWEN",BCM 26-13 (+13),,"GOOD FT by JACOBS,OWEN",1
08:28,,,,,"SUB IN by SCHICK,BRANDON",,,"SUB IN by SCHICK,BRANDON",1
08:28,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
08:28,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
08:28,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",1
08:25,,,,,"SUB IN by SPALDING,TANNER",,,"SUB IN by SPALDING,TANNER",1
08:25,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
08:18,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",28 (+15),,13,,MILLMBB 28-13 (+15),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
08:05,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
08:05,,28 (+14),,14,"GOOD FT by KORN,LUKAS",BCM 28-14 (+14),,"GOOD FT by KORN,LUKAS",1
08:05,,28 (+13),,15,"GOOD FT by KORN,LUKAS",BCM 28-15 (+13),,"GOOD FT by KORN,LUKAS",1
07:47,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
07:47,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
07:47,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",1
07:44,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
07:43,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",1
07:41,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
07:41,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:41,,28 (+12),,16,"GOOD FT by MARDER,NICK",BCM 28-16 (+12),,"GOOD FT by MARDER,NICK",1
07:41,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
07:41,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
07:34,"GOOD LAYUP by MASON,ROBERT WADE(in the paint)",30 (+14),,16,,MILLMBB 30-16 (+14),,"GOOD LAYUP by MASON,ROBERT WADE(in the paint)",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
07:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:22,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
07:22,,30 (+13),,17,"GOOD FT by MARDER,NICK",BCM 30-17 (+13),,"GOOD FT by MARDER,NICK",1
07:22,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
07:20,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
07:16,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
07:15,,30 (+10),,20,"GOOD 3PTR by KORN,LUKAS",BCM 30-20 (+10),,"GOOD 3PTR by KORN,LUKAS",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
07:12,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
07:12,,,,,"SUB OUT by SCHICK,BRANDON",,,"SUB OUT by SCHICK,BRANDON",1
06:50,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,"REBOUND OFF by MASON,ROBERT WADE",,,,,,,"REBOUND OFF by MASON,ROBERT WADE",1
06:46,"TURNOVER  by MANCUSO,LOGAN",,,,,,,"TURNOVER  by MANCUSO,LOGAN",1
06:40,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
06:40,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",1
06:40,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",32 (+12),,20,,MILLMBB 32-20 (+12),,"GOOD LAYUP by ATKINSON,QUINN(fastbreak)(in the paint)",1
06:40,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
06:40,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
06:35,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1
06:35,,32 (+10),,22,"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 32-22 (+10),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
06:35,"FOUL  by MASON,ROBERT WADE",,,,,,,"FOUL  by MASON,ROBERT WADE",1
06:35,,32 (+9),,23,"GOOD FT by KORN,LUKAS",BCM 32-23 (+9),,"GOOD FT by KORN,LUKAS",1
06:35,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
06:35,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
06:35,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
06:35,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
06:35,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
06:35,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
05:48,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
05:48,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",1
05:48,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
05:44,"TURNOVER  by MASON,ROBERT WADE",,,,,,,"TURNOVER  by MASON,ROBERT WADE",1
05:41,,,,,"STEAL  by JACOBS,OWEN",,,"STEAL  by JACOBS,OWEN",1
05:35,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",1
05:32,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",1
05:27,,32 (+7),,25,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 32-25 (+7),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1
05:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:25,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
05:25,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
05:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
05:00,"GOOD 3PTR by ATKINSON,QUINN",35 (+10),,25,,MILLMBB 35-25 (+10),,"GOOD 3PTR by ATKINSON,QUINN",1
04:47,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
04:47,,35 (+9),,26,"GOOD FT by MARDER,NICK",BCM 35-26 (+9),,"GOOD FT by MARDER,NICK",1
04:47,,35 (+8),,27,"GOOD FT by MARDER,NICK",BCM 35-27 (+8),,"GOOD FT by MARDER,NICK",1
04:47,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
04:47,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
04:23,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
04:09,,35 (+6),,29,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 35-29 (+6),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
03:41,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
03:34,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
03:34,,35 (+5),,30,"GOOD FT by JOHNSON,CALEB",BCM 35-30 (+5),,"GOOD FT by JOHNSON,CALEB",1
03:34,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
03:34,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
03:34,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
03:12,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
03:12,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by MCCLOUD,ALTON",,,"REBOUND DEF by MCCLOUD,ALTON",1
02:57,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
02:57,"BLOCK  by MANCUSO,LOGAN",,,,,,,"BLOCK  by MANCUSO,LOGAN",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
02:44,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
02:44,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
02:44,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
02:44,,,,,"SUB IN by NEWKIRK,KAHLIL",,,"SUB IN by NEWKIRK,KAHLIL",1
02:44,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
02:31,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
02:31,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",1
02:17,,35 (+3),,32,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 35-32 (+3),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
02:17,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
02:17,,35 (+2),,33,"GOOD FT by JOHNSON,CALEB",BCM 35-33 (+2),,"GOOD FT by JOHNSON,CALEB",1
01:56,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",37 (+4),,33,,MILLMBB 37-33 (+4),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
01:43,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
01:16,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
01:10,,37 (+2),,35,"GOOD LAYUP by JACOBS,OWEN(fastbreak)(in the paint)",BCM 37-35 (+2),,"GOOD LAYUP by JACOBS,OWEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,CALEB",,,"ASSIST  by JOHNSON,CALEB",1
00:50,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:35,,,,,"TURNOVER  by SCHERRMAN,BLAKE",,,"TURNOVER  by SCHERRMAN,BLAKE",1
00:33,"STEAL  by MANCUSO,LOGAN",,,,,,,"STEAL  by MANCUSO,LOGAN",1
00:17,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
00:15,,,,,"STEAL  by JACOBS,OWEN",,,"STEAL  by JACOBS,OWEN",1
00:13,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
00:13,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
00:13,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
00:00,,,,,"MISS JUMPER by NEWKIRK,KAHLIL",,,"MISS JUMPER by NEWKIRK,KAHLIL",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
20:00,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",2
20:00,,37,,37,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",BCM 37-37 (0),,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",2
20:00,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
20:00,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",,,"REBOUND DEF by SCHERRMAN,BLAKE",2
20:00,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
