Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
17:38,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
17:28,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",4 (+1),,3,,ACM 4-3 (-1),,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",1
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",1
17:22,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
17:21,"GOOD FT by SULLIVAN,ALAN",5 (+2),,3,,ACM 5-3 (-2),,"GOOD FT by SULLIVAN,ALAN",1
17:20,"MISS FT by SULLIVAN,ALAN",,,,,,,"MISS FT by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
16:50,,5,,5,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",MILLSAPS 5-5 (0),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",1
16:38,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",1
16:38,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
16:33,,,,,"MISS LAYUP by MOORE,MYLES",,,"MISS LAYUP by MOORE,MYLES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:30,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
16:30,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
16:30,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
16:30,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
16:14,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
16:14,,5,,6 (+1),"GOOD FT by MARKWITH,TRENT",MILLSAPS 5-6 (+1),,"GOOD FT by MARKWITH,TRENT",1
16:14,,5,,7 (+2),"GOOD FT by MARKWITH,TRENT",MILLSAPS 5-7 (+2),,"GOOD FT by MARKWITH,TRENT",1
16:06,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
15:53,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",1
15:53,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",1
15:44,,,,,"TURNOVER  by SPENCE,JACOB",,,"TURNOVER  by SPENCE,JACOB",1
15:41,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",1
15:41,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",1
15:41,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
15:41,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
15:26,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
15:26,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
15:26,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
15:26,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
15:26,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
15:26,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
15:13,"TURNOVER  by SWISHER,JEREMY",,,,,,,"TURNOVER  by SWISHER,JEREMY",1
15:07,,5,,10 (+5),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 5-10 (+5),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",1
14:43,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
14:18,,,,,"MISS JUMPER by SPENCE,JACOB",,,"MISS JUMPER by SPENCE,JACOB",1
--,"REBOUND DEF by HUDSON,CEDRIC",,,,,,,"REBOUND DEF by HUDSON,CEDRIC",1
14:04,"TURNOVER  by BAEHL,BRIAN",,,,,,,"TURNOVER  by BAEHL,BRIAN",1
14:04,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",1
14:04,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
14:04,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
13:49,"FOUL  by DICKERMAN,JOSH",,,,,,,"FOUL  by DICKERMAN,JOSH",1
13:47,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
13:41,"MISS LAYUP by SWISHER,JEREMY",,,,,,,"MISS LAYUP by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
13:33,,5,,13 (+8),"GOOD 3PTR by ROBERTSON,MARC(fastbreak)",MILLSAPS 5-13 (+8),,"GOOD 3PTR by ROBERTSON,MARC(fastbreak)",1
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",1
13:22,"TURNOVER  by WADE,JUSTIN",,,,,,,"TURNOVER  by WADE,JUSTIN",1
13:22,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
13:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:22,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
13:22,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
13:20,,5,,15 (+10),"GOOD LAYUP by ATKINSON,QUINN(in the paint)",MILLSAPS 5-15 (+10),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
13:05,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
13:05,"GOOD FT by HUDSON,CEDRIC",6,,15 (+9),,ACM 6-15 (+9),,"GOOD FT by HUDSON,CEDRIC",1
13:05,"MISS FT by HUDSON,CEDRIC",,,,,,,"MISS FT by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
13:05,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",1
13:05,"SUB IN by FREET,AUSTIN",,,,,,,"SUB IN by FREET,AUSTIN",1
13:05,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
13:05,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
12:36,,6,,18 (+12),"GOOD 3PTR by ATKINSON,QUINN",MILLSAPS 6-18 (+12),,"GOOD 3PTR by ATKINSON,QUINN",1
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",1
12:21,"MISS JUMPER by SULLIVAN,ALAN",,,,,,,"MISS JUMPER by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
12:04,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
11:49,"MISS 3PTR by FREET,AUSTIN",,,,,,,"MISS 3PTR by FREET,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:46,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
11:46,,6,,19 (+13),"GOOD FT by ATKINSON,QUINN",MILLSAPS 6-19 (+13),,"GOOD FT by ATKINSON,QUINN",1
11:46,,6,,20 (+14),"GOOD FT by ATKINSON,QUINN",MILLSAPS 6-20 (+14),,"GOOD FT by ATKINSON,QUINN",1
11:46,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
11:46,"SUB IN by IGBINOSA,STEPHEN",,,,,,,"SUB IN by IGBINOSA,STEPHEN",1
11:46,"SUB OUT by DICKERMAN,JOSH",,,,,,,"SUB OUT by DICKERMAN,JOSH",1
11:46,"SUB OUT by WADE,JUSTIN",,,,,,,"SUB OUT by WADE,JUSTIN",1
11:46,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
11:46,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
11:46,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
11:46,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
11:31,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
11:31,"MISS FT by IGBINOSA,STEPHEN",,,,,,,"MISS FT by IGBINOSA,STEPHEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:31,"MISS FT by IGBINOSA,STEPHEN",,,,,,,"MISS FT by IGBINOSA,STEPHEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:04,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",1
10:48,,,,,"MISS LAYUP by JONES,BLAKE",,,"MISS LAYUP by JONES,BLAKE",1
10:48,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:38,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
10:27,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",8,,20 (+12),,ACM 8-20 (+12),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",1
--,"ASSIST  by HUDSON,CEDRIC",,,,,,,"ASSIST  by HUDSON,CEDRIC",1
10:14,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
10:14,"SUB OUT by HUDSON,CEDRIC",,,,,,,"SUB OUT by HUDSON,CEDRIC",1
10:01,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
10:01,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",1
10:01,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
10:01,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
10:01,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
10:01,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
10:01,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
10:01,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
09:52,"MISS 3PTR by FREET,AUSTIN",,,,,,,"MISS 3PTR by FREET,AUSTIN",1
--,"REBOUND OFF by RIVERA,ANDRES",,,,,,,"REBOUND OFF by RIVERA,ANDRES",1
09:42,"MISS LAYUP by IGBINOSA,STEPHEN",,,,,,,"MISS LAYUP by IGBINOSA,STEPHEN",1
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",1
09:40,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",1
09:40,"GOOD FT by FREET,AUSTIN",9,,20 (+11),,ACM 9-20 (+11),,"GOOD FT by FREET,AUSTIN",1
09:40,"GOOD FT by FREET,AUSTIN",10,,20 (+10),,ACM 10-20 (+10),,"GOOD FT by FREET,AUSTIN",1
09:12,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
09:00,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",1
09:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:59,"GOOD FT by SULLIVAN,ALAN",11,,20 (+9),,ACM 11-20 (+9),,"GOOD FT by SULLIVAN,ALAN",1
08:59,"GOOD FT by SULLIVAN,ALAN",12,,20 (+8),,ACM 12-20 (+8),,"GOOD FT by SULLIVAN,ALAN",1
08:38,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",1
08:38,,,,,"MISS FT by SPENCE,JACOB",,,"MISS FT by SPENCE,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:38,,,,,"MISS FT by SPENCE,JACOB",,,"MISS FT by SPENCE,JACOB",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
08:36,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",1
08:36,"GOOD FT by FREET,AUSTIN",13,,20 (+7),,ACM 13-20 (+7),,"GOOD FT by FREET,AUSTIN",1
08:36,"GOOD FT by FREET,AUSTIN",14,,20 (+6),,ACM 14-20 (+6),,"GOOD FT by FREET,AUSTIN",1
08:12,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
08:12,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",1
08:12,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
08:12,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
08:12,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
08:12,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
08:12,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
08:12,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
08:09,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
07:28,,14,,22 (+8),"GOOD JUMPER by MCSWAIN,JOSHUA",MILLSAPS 14-22 (+8),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",1
07:09,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",1
07:09,"MISS FT by SULLIVAN,ALAN",,,,,,,"MISS FT by SULLIVAN,ALAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:09,"GOOD FT by SULLIVAN,ALAN",15,,22 (+7),,ACM 15-22 (+7),,"GOOD FT by SULLIVAN,ALAN",1
07:09,"SUB IN by HUDSON,CEDRIC",,,,,,,"SUB IN by HUDSON,CEDRIC",1
07:09,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
07:09,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
07:09,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
07:09,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",1
07:09,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
06:41,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",1
06:24,"MISS JUMPER by SULLIVAN,ALAN",,,,,,,"MISS JUMPER by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
06:05,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",1
06:05,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
05:56,"GOOD JUMPER by BAEHL,BRIAN",17,,22 (+5),,ACM 17-22 (+5),,"GOOD JUMPER by BAEHL,BRIAN",1
05:38,,17,,24 (+7),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 17-24 (+7),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
05:21,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND OFF by HUDSON,CEDRIC",,,,,,,"REBOUND OFF by HUDSON,CEDRIC",1
05:18,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
05:18,"GOOD FT by HUDSON,CEDRIC",18,,24 (+6),,ACM 18-24 (+6),,"GOOD FT by HUDSON,CEDRIC",1
05:18,"GOOD FT by HUDSON,CEDRIC",19,,24 (+5),,ACM 19-24 (+5),,"GOOD FT by HUDSON,CEDRIC",1
05:18,"SUB IN by PASS,JOHN",,,,,,,"SUB IN by PASS,JOHN",1
05:18,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
05:18,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
05:18,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
04:54,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",1
04:54,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
04:42,"MISS LAYUP by HUDSON,CEDRIC",,,,,,,"MISS LAYUP by HUDSON,CEDRIC",1
--,"REBOUND OFF by BAEHL,BRIAN",,,,,,,"REBOUND OFF by BAEHL,BRIAN",1
04:35,"GOOD TIPIN by BAEHL,BRIAN(in the paint)",21,,24 (+3),,ACM 21-24 (+3),,"GOOD TIPIN by BAEHL,BRIAN(in the paint)",1
04:23,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:08,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
04:05,"STEAL  by SULLIVAN,ALAN",,,,,,,"STEAL  by SULLIVAN,ALAN",1
04:03,"TURNOVER  by SULLIVAN,ALAN",,,,,,,"TURNOVER  by SULLIVAN,ALAN",1
04:03,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",1
04:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:35,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
03:21,"MISS 3PTR by PASS,JOHN",,,,,,,"MISS 3PTR by PASS,JOHN",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",1
03:10,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",1
03:05,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,"REBOUND DEF by HUDSON,CEDRIC",,,,,,,"REBOUND DEF by HUDSON,CEDRIC",1
02:55,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",1
--,"REBOUND OFF by IGBINOSA,STEPHEN",,,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",1
02:53,"GOOD TIPIN by IGBINOSA,STEPHEN(in the paint)",23,,24 (+1),,ACM 23-24 (+1),,"GOOD TIPIN by IGBINOSA,STEPHEN(in the paint)",1
02:53,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
02:53,"GOOD FT by IGBINOSA,STEPHEN",24,,24,,ACM 24-24 (0),,"GOOD FT by IGBINOSA,STEPHEN",1
02:53,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",1
02:53,"SUB OUT by PASS,JOHN",,,,,,,"SUB OUT by PASS,JOHN",1
02:53,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
02:53,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
02:53,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
02:53,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
02:53,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
02:53,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
02:33,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",1
02:33,,,,,"MISS FT by ATKINSON,QUINN",,,"MISS FT by ATKINSON,QUINN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:33,,24,,25 (+1),"GOOD FT by ATKINSON,QUINN",MILLSAPS 24-25 (+1),,"GOOD FT by ATKINSON,QUINN",1
02:17,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",1
01:54,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",1
--,,,,,"REBOUND OFF by SPENCE,JACOB",,,"REBOUND OFF by SPENCE,JACOB",1
01:50,,24,,27 (+3),"GOOD LAYUP by SPENCE,JACOB(in the paint)",MILLSAPS 24-27 (+3),,"GOOD LAYUP by SPENCE,JACOB(in the paint)",1
01:44,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",1
01:44,"GOOD FT by HUDSON,CEDRIC",25,,27 (+2),,ACM 25-27 (+2),,"GOOD FT by HUDSON,CEDRIC",1
01:44,"MISS FT by HUDSON,CEDRIC",,,,,,,"MISS FT by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
01:44,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
01:44,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
01:29,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",1
01:29,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",1
01:23,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
01:17,"MISS 3PTR by DICKERMAN,JOSH",,,,,,,"MISS 3PTR by DICKERMAN,JOSH",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",1
00:55,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",1
