Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
09:16,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
09:16,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",1
09:16,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
09:16,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
09:16,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
09:16,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",1
09:07,,17,,21 (+4),"GOOD 3PTR by ATKINSON,QUINN",TASMBB 17-21 (+4),,"GOOD 3PTR by ATKINSON,QUINN",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
08:45,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
08:28,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
08:17,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
08:17,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:17,"GOOD FT by OGLE,JOHN",18,,21 (+3),,HC 18-21 (+3),,"GOOD FT by OGLE,JOHN",1
08:17,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
08:17,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
07:57,,18,,23 (+5),"GOOD LAYUP by JONES,BLAKE(in the paint)",TASMBB 18-23 (+5),,"GOOD LAYUP by JONES,BLAKE(in the paint)",1
07:30,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",20,,23 (+3),,HC 20-23 (+3),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",1
07:22,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
07:05,"GOOD 3PTR by GARRETT,TRAVIS",23,,23,,HC 23-23 (0),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",1
07:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:51,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",1
06:51,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
06:51,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
06:37,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
06:25,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:12,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
05:59,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
05:58,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
05:53,,23,,25 (+2),"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",TASMBB 23-25 (+2),,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",1
05:30,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:28,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
05:28,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
05:28,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
05:28,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
05:15,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
05:06,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
05:06,"SUB IN by MURPHEY,LUKE",,,,,,,"SUB IN by MURPHEY,LUKE",1
05:06,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
04:42,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",1
04:40,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
04:20,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
04:12,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",1
04:02,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
03:53,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
03:52,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",1
03:47,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND DEF by SPENCE,JACOB",,,"REBOUND DEF by SPENCE,JACOB",1
03:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:39,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
03:39,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
03:39,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
03:39,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
03:29,,23,,27 (+4),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",TASMBB 23-27 (+4),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",1
03:07,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND OFF by MURPHEY,LUKE",,,,,,,"REBOUND OFF by MURPHEY,LUKE",1
03:01,"GOOD JUMPER by GARRETT,TRAVIS",25,,27 (+2),,HC 25-27 (+2),,"GOOD JUMPER by GARRETT,TRAVIS",1
--,"ASSIST  by MURPHEY,LUKE",,,,,,,"ASSIST  by MURPHEY,LUKE",1
02:40,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
02:40,,25,,28 (+3),"GOOD FT by MARKWITH,TRENT",TASMBB 25-28 (+3),,"GOOD FT by MARKWITH,TRENT",1
02:40,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
02:40,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
02:40,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
02:22,"GOOD 3PTR by GARRETT,TRAVIS",28,,28,,HC 28-28 (0),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",1
02:00,,28,,30 (+2),"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",TASMBB 28-30 (+2),,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",1
01:40,"MISS 3PTR by MURPHEY,LUKE",,,,,,,"MISS 3PTR by MURPHEY,LUKE",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
01:19,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
01:09,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",30,,30,,HC 30-30 (0),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",1
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",1
00:55,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
--,"REBOUND DEF by MURPHEY,LUKE",,,,,,,"REBOUND DEF by MURPHEY,LUKE",1
00:37,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",1
00:37,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",1
00:37,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
00:32,"MISS LAYUP by NIKOLOVSKI,DREW",,,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:02,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
00:00,"STEAL  by STEELE,AARON",,,,,,,"STEAL  by STEELE,AARON",1
20:00,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
20:00,,,,,"SUB OUT by HANSTAD,RAJAN",,,"SUB OUT by HANSTAD,RAJAN",2
19:50,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",32 (+2),,30,,HC 32-30 (-2),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",2
19:25,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
19:06,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
18:51,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",2
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",2
18:28,"GOOD 3PTR by PARKER,BRYCE",35 (+5),,30,,HC 35-30 (-5),,"GOOD 3PTR by PARKER,BRYCE",2
17:56,,35 (+3),,32,"GOOD JUMPER by ROBERTSON,MARC",TASMBB 35-32 (-3),,"GOOD JUMPER by ROBERTSON,MARC",2
17:43,"MISS JUMPER by PARKER,BRYCE",,,,,,,"MISS JUMPER by PARKER,BRYCE",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
17:25,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",2
17:25,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:25,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",2
17:25,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
17:25,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
17:10,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",2
16:56,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
16:55,"STEAL  by LITTLEFIELD,GEAREN",,,,,,,"STEAL  by LITTLEFIELD,GEAREN",2
16:50,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",2
16:36,"GOOD 3PTR by PARKER,BRYCE",38 (+6),,32,,HC 38-32 (-6),,"GOOD 3PTR by PARKER,BRYCE",2
--,"ASSIST  by BATCHELOR,BRYCE",,,,,,,"ASSIST  by BATCHELOR,BRYCE",2
16:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:28,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
16:28,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
16:08,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by BATCHELOR,BRYCE",,,,,,,"REBOUND DEF by BATCHELOR,BRYCE",2
15:52,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",2
15:47,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",40 (+8),,32,,HC 40-32 (-8),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
15:47,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
15:47,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
15:47,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
15:47,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
15:41,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",2
15:27,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by MANCUSO,LOGAN",,,"REBOUND OFF by MANCUSO,LOGAN",2
15:22,,,,,"MISS LAYUP by MANCUSO,LOGAN",,,"MISS LAYUP by MANCUSO,LOGAN",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
15:10,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
15:10,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
15:10,"SUB IN by MURPHEY,LUKE",,,,,,,"SUB IN by MURPHEY,LUKE",2
15:10,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
15:10,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
14:50,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
14:27,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
13:57,,40 (+6),,34,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",TASMBB 40-34 (-6),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
13:47,"GOOD JUMPER by NIKOLOVSKI,DREW",42 (+8),,34,,HC 42-34 (-8),,"GOOD JUMPER by NIKOLOVSKI,DREW",2
13:16,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
13:02,"GOOD 3PTR by SMITH,PRESTON",45 (+11),,34,,HC 45-34 (-11),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by PARKER,BRYCE",,,,,,,"ASSIST  by PARKER,BRYCE",2
12:41,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
12:41,,45 (+10),,35,"GOOD FT by MARKWITH,TRENT",TASMBB 45-35 (-10),,"GOOD FT by MARKWITH,TRENT",2
12:41,,45 (+9),,36,"GOOD FT by MARKWITH,TRENT",TASMBB 45-36 (-9),,"GOOD FT by MARKWITH,TRENT",2
12:41,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
12:41,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
12:41,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",2
