Time Remaining,CENTMBO,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
15:47,"GOOD 3PTR by CUETO,JUSTIN",54 (+19),,35,,CENTMBO 54-35 (-19),,"GOOD 3PTR by CUETO,JUSTIN",2
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",2
15:26,,54 (+17),,37,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 54-37 (-17),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
15:14,"TURNOVER  by SAPP,JAMES",,,,,,,"TURNOVER  by SAPP,JAMES",2
15:13,,,,,"STEAL  by MANCUSO,LOGAN",,,"STEAL  by MANCUSO,LOGAN",2
15:05,,54 (+15),,39,"GOOD LAYUP by SPENCE,JACOB(in the paint)",MILLMBB 54-39 (-15),,"GOOD LAYUP by SPENCE,JACOB(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
14:38,"TURNOVER  by CUETO,JUSTIN",,,,,,,"TURNOVER  by CUETO,JUSTIN",2
14:12,,54 (+13),,41,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLMBB 54-41 (-13),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
13:56,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",2
--,"REBOUND OFF by SAPP,JAMES",,,,,,,"REBOUND OFF by SAPP,JAMES",2
13:50,"MISS JUMPER by SAPP,JAMES",,,,,,,"MISS JUMPER by SAPP,JAMES",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
13:30,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
13:30,"BLOCK  by DEMOUCHET,KENDALL",,,,,,,"BLOCK  by DEMOUCHET,KENDALL",2
--,"REBOUND DEF by DEMOUCHET,KENDALL",,,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",2
13:29,"SUB IN by CAMPBELL,BRANDON",,,,,,,"SUB IN by CAMPBELL,BRANDON",2
13:29,"SUB IN by WILLIAMS,DONOVAN",,,,,,,"SUB IN by WILLIAMS,DONOVAN",2
13:29,"SUB OUT by CUETO,JUSTIN",,,,,,,"SUB OUT by CUETO,JUSTIN",2
13:29,"SUB OUT by DEMOUCHET,KENDALL",,,,,,,"SUB OUT by DEMOUCHET,KENDALL",2
13:29,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
13:29,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",2
13:09,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",2
12:50,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:29,"FOUL  by SAPP,JAMES",,,,,,,"FOUL  by SAPP,JAMES",2
12:29,"TURNOVER  by SAPP,JAMES",,,,,,,"TURNOVER  by SAPP,JAMES",2
12:11,,54 (+10),,44,"GOOD 3PTR by ROBERTSON,MARC",MILLMBB 54-44 (-10),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
11:53,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",2
11:53,"GOOD FT by SAPP,JAMES",55 (+11),,44,,CENTMBO 55-44 (-11),,"GOOD FT by SAPP,JAMES",2
11:53,"GOOD FT by SAPP,JAMES",56 (+12),,44,,CENTMBO 56-44 (-12),,"GOOD FT by SAPP,JAMES",2
11:34,,56 (+9),,47,"GOOD 3PTR by GAGEN,BRENNAN",MILLMBB 56-47 (-9),,"GOOD 3PTR by GAGEN,BRENNAN",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
11:16,"MISS 3PTR by SAPP,JAMES",,,,,,,"MISS 3PTR by SAPP,JAMES",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:03,"FOUL  by CAMPBELL,BRANDON",,,,,,,"FOUL  by CAMPBELL,BRANDON",2
10:59,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",2
10:36,"TURNOVER  by KIRKENDOLL,TRAVION",,,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",2
10:36,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
10:36,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
10:20,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",2
10:20,"STEAL  by SAPP,JAMES",,,,,,,"STEAL  by SAPP,JAMES",2
10:20,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
10:20,,,,,"FOUL TECH by MARKWITH,TRENT",,,"FOUL TECH by MARKWITH,TRENT",2
10:20,"GOOD FT by KIRKENDOLL,TRAVION",57 (+10),,47,,CENTMBO 57-47 (-10),,"GOOD FT by KIRKENDOLL,TRAVION",2
10:20,"GOOD FT by KIRKENDOLL,TRAVION",58 (+11),,47,,CENTMBO 58-47 (-11),,"GOOD FT by KIRKENDOLL,TRAVION",2
10:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:08,"GOOD JUMPER by KIRKENDOLL,TRAVION",60 (+13),,47,,CENTMBO 60-47 (-13),,"GOOD JUMPER by KIRKENDOLL,TRAVION",2
09:41,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
09:38,,60 (+11),,49,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLMBB 60-49 (-11),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
09:38,"FOUL  by SAPP,JAMES",,,,,,,"FOUL  by SAPP,JAMES",2
09:38,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,"REBOUND DEF by WILLIAMS,DONOVAN",,,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",2
09:38,"SUB IN by HICKS,DJ",,,,,,,"SUB IN by HICKS,DJ",2
09:38,"SUB OUT by SAPP,JAMES",,,,,,,"SUB OUT by SAPP,JAMES",2
09:38,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
09:38,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
09:12,"TURNOVER  by WILLIAMS,DONOVAN",,,,,,,"TURNOVER  by WILLIAMS,DONOVAN",2
09:11,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
09:03,"FOUL  by WILLIAMS,DONOVAN",,,,,,,"FOUL  by WILLIAMS,DONOVAN",2
09:03,,60 (+10),,50,"GOOD FT by GERCHOW,ALEX",MILLMBB 60-50 (-10),,"GOOD FT by GERCHOW,ALEX",2
09:03,,60 (+9),,51,"GOOD FT by GERCHOW,ALEX",MILLMBB 60-51 (-9),,"GOOD FT by GERCHOW,ALEX",2
09:00,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
09:00,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
08:42,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",2
08:26,"MISS LAYUP by CAMPBELL,BRANDON",,,,,,,"MISS LAYUP by CAMPBELL,BRANDON",2
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",2
08:20,,60 (+7),,53,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLMBB 60-53 (-7),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",2
08:13,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",2
--,"REBOUND OFF by WILLIAMS,DONOVAN",,,,,,,"REBOUND OFF by WILLIAMS,DONOVAN",2
08:00,"GOOD 3PTR by KIRKENDOLL,TRAVION",63 (+10),,53,,CENTMBO 63-53 (-10),,"GOOD 3PTR by KIRKENDOLL,TRAVION",2
--,"ASSIST  by WILLIAMS,DONOVAN",,,,,,,"ASSIST  by WILLIAMS,DONOVAN",2
07:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:43,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
07:41,"STEAL  by CAMPBELL,BRANDON",,,,,,,"STEAL  by CAMPBELL,BRANDON",2
07:39,"MISS LAYUP by CAMPBELL,BRANDON",,,,,,,"MISS LAYUP by CAMPBELL,BRANDON",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
07:29,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",2
07:25,,,,,"MISS LAYUP by MCSWAIN,JOSHUA",,,"MISS LAYUP by MCSWAIN,JOSHUA",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
07:20,"MISS LAYUP by KIRKENDOLL,TRAVION",,,,,,,"MISS LAYUP by KIRKENDOLL,TRAVION",2
--,"REBOUND OFF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",2
07:19,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",2
07:19,"SUB IN by CUETO,JUSTIN",,,,,,,"SUB IN by CUETO,JUSTIN",2
07:19,"SUB IN by SAPP,JAMES",,,,,,,"SUB IN by SAPP,JAMES",2
07:19,"SUB OUT by HICKS,DJ",,,,,,,"SUB OUT by HICKS,DJ",2
07:19,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",2
07:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:05,"GOOD LAYUP by SAPP,JAMES(in the paint)",65 (+12),,53,,CENTMBO 65-53 (-12),,"GOOD LAYUP by SAPP,JAMES(in the paint)",2
--,"ASSIST  by WILLIAMS,DONOVAN",,,,,,,"ASSIST  by WILLIAMS,DONOVAN",2
07:03,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",2
07:03,"GOOD FT by SAPP,JAMES",66 (+13),,53,,CENTMBO 66-53 (-13),,"GOOD FT by SAPP,JAMES",2
06:51,,66 (+11),,55,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",MILLMBB 66-55 (-11),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
06:23,"MISS 3PTR by CUETO,JUSTIN",,,,,,,"MISS 3PTR by CUETO,JUSTIN",2
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",2
06:00,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",2
06:00,"STEAL  by WILLIAMS,DONOVAN",,,,,,,"STEAL  by WILLIAMS,DONOVAN",2
06:00,"SUB IN by HICKS,DJ",,,,,,,"SUB IN by HICKS,DJ",2
06:00,"SUB OUT by WILLIAMS,DONOVAN",,,,,,,"SUB OUT by WILLIAMS,DONOVAN",2
06:00,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
06:00,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
06:00,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
06:00,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
05:36,"MISS JUMPER by CAMPBELL,BRANDON",,,,,,,"MISS JUMPER by CAMPBELL,BRANDON",2
--,"REBOUND OFF by CUETO,JUSTIN",,,,,,,"REBOUND OFF by CUETO,JUSTIN",2
05:29,"TURNOVER  by CUETO,JUSTIN",,,,,,,"TURNOVER  by CUETO,JUSTIN",2
05:28,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",2
05:24,,66 (+9),,57,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",MILLMBB 66-57 (-9),,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",2
05:15,"MISS JUMPER by SAPP,JAMES",,,,,,,"MISS JUMPER by SAPP,JAMES",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:13,"FOUL  by CUETO,JUSTIN",,,,,,,"FOUL  by CUETO,JUSTIN",2
05:13,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
05:13,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
04:56,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
04:29,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",2
04:29,"GOOD FT by SAPP,JAMES",67 (+10),,57,,CENTMBO 67-57 (-10),,"GOOD FT by SAPP,JAMES",2
04:29,"GOOD FT by SAPP,JAMES",68 (+11),,57,,CENTMBO 68-57 (-11),,"GOOD FT by SAPP,JAMES",2
04:29,"SUB IN by MATTHEWS,TREYLAN",,,,,,,"SUB IN by MATTHEWS,TREYLAN",2
04:29,"SUB OUT by CUETO,JUSTIN",,,,,,,"SUB OUT by CUETO,JUSTIN",2
04:10,,68 (+8),,60,"GOOD 3PTR by ROBERTSON,MARC",MILLMBB 68-60 (-8),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
04:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:53,"GOOD JUMPER by KIRKENDOLL,TRAVION",70 (+10),,60,,CENTMBO 70-60 (-10),,"GOOD JUMPER by KIRKENDOLL,TRAVION",2
03:28,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",2
03:11,"GOOD JUMPER by SAPP,JAMES",72 (+12),,60,,CENTMBO 72-60 (-12),,"GOOD JUMPER by SAPP,JAMES",2
02:49,,72 (+10),,62,"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 72-62 (-10),,"GOOD JUMPER by MCSWAIN,JOSHUA",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
02:25,"MISS 3PTR by SAPP,JAMES",,,,,,,"MISS 3PTR by SAPP,JAMES",2
--,"REBOUND OFF by SAPP,JAMES",,,,,,,"REBOUND OFF by SAPP,JAMES",2
02:19,"MISS LAYUP by SAPP,JAMES",,,,,,,"MISS LAYUP by SAPP,JAMES",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",2
02:09,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",2
01:47,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
01:47,"MISS FT by MATTHEWS,TREYLAN",,,,,,,"MISS FT by MATTHEWS,TREYLAN",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",2
01:29,"FOUL  by CAMPBELL,BRANDON",,,,,,,"FOUL  by CAMPBELL,BRANDON",2
01:29,,72 (+9),,63,"GOOD FT by ROBERTSON,MARC",MILLMBB 72-63 (-9),,"GOOD FT by ROBERTSON,MARC",2
01:29,,72 (+8),,64,"GOOD FT by ROBERTSON,MARC",MILLMBB 72-64 (-8),,"GOOD FT by ROBERTSON,MARC",2
01:29,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
01:29,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
01:29,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
01:29,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
01:10,"TURNOVER  by KIRKENDOLL,TRAVION",,,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",2
01:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:58,,72 (+5),,67,"GOOD 3PTR by ATKINSON,QUINN",MILLMBB 72-67 (-5),,"GOOD 3PTR by ATKINSON,QUINN",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
00:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:52,"GOOD DUNK by SAPP,JAMES(in the paint)",74 (+7),,67,,CENTMBO 74-67 (-7),,"GOOD DUNK by SAPP,JAMES(in the paint)",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
00:40,"SUB IN by CUETO,JUSTIN",,,,,,,"SUB IN by CUETO,JUSTIN",2
00:40,"SUB OUT by HICKS,DJ",,,,,,,"SUB OUT by HICKS,DJ",2
00:37,,74 (+4),,70,"GOOD 3PTR by GAGEN,BRENNAN",MILLMBB 74-70 (-4),,"GOOD 3PTR by GAGEN,BRENNAN",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
00:36,,,,,"SUB IN by MANNING,JOHNATHAN",,,"SUB IN by MANNING,JOHNATHAN",2
00:36,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
00:34,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
00:34,,,,,"SUB OUT by MANNING,JOHNATHAN",,,"SUB OUT by MANNING,JOHNATHAN",2
00:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:39,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
00:39,"GOOD FT by CUETO,JUSTIN",75 (+5),,70,,CENTMBO 75-70 (-5),,"GOOD FT by CUETO,JUSTIN",2
00:39,"GOOD FT by CUETO,JUSTIN",76 (+6),,70,,CENTMBO 76-70 (-6),,"GOOD FT by CUETO,JUSTIN",2
00:36,"FOUL  by CUETO,JUSTIN",,,,,,,"FOUL  by CUETO,JUSTIN",2
00:36,,76 (+5),,71,"GOOD FT by MARKWITH,TRENT",MILLMBB 76-71 (-5),,"GOOD FT by MARKWITH,TRENT",2
00:36,,76 (+4),,72,"GOOD FT by MARKWITH,TRENT",MILLMBB 76-72 (-4),,"GOOD FT by MARKWITH,TRENT",2
00:34,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
00:34,"GOOD FT by CAMPBELL,BRANDON",77 (+5),,72,,CENTMBO 77-72 (-5),,"GOOD FT by CAMPBELL,BRANDON",2
00:34,"GOOD FT by CAMPBELL,BRANDON",78 (+6),,72,,CENTMBO 78-72 (-6),,"GOOD FT by CAMPBELL,BRANDON",2
00:28,,78 (+4),,74,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 78-74 (-4),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
00:23,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
00:25,"GOOD FT by CAMPBELL,BRANDON",79 (+5),,74,,CENTMBO 79-74 (-5),,"GOOD FT by CAMPBELL,BRANDON",2
00:25,"GOOD FT by CAMPBELL,BRANDON",80 (+6),,74,,CENTMBO 80-74 (-6),,"GOOD FT by CAMPBELL,BRANDON",2
00:21,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
00:19,"GOOD FT by KIRKENDOLL,TRAVION",81 (+7),,74,,CENTMBO 81-74 (-7),,"GOOD FT by KIRKENDOLL,TRAVION",2
00:19,"GOOD FT by KIRKENDOLL,TRAVION",82 (+8),,74,,CENTMBO 82-74 (-8),,"GOOD FT by KIRKENDOLL,TRAVION",2
00:19,,,,,"SUB IN by SMITH,BAILEY",,,"SUB IN by SMITH,BAILEY",2
00:19,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
00:15,,,,,"MISS 3PTR by SMITH,BAILEY",,,"MISS 3PTR by SMITH,BAILEY",2
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",2
00:10,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,"REBOUND DEF by SAPP,JAMES",,,,,,,"REBOUND DEF by SAPP,JAMES",2
