Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:47,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
19:26,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",1
19:10,"GOOD 3PTR by ATKINSON,QUINN",3 (+3),,0,,MILLSAPS 3-0 (+3),,"GOOD 3PTR by ATKINSON,QUINN",1
--,"ASSIST ASSIST by GAGEN,BRENNAN",,,,,,,"ASSIST ASSIST by GAGEN,BRENNAN",1
18:58,,3 (+1),,2,"GOOD JUMPER by MCCULLOUGH,JACOB(in the paint)",SEWANEE 3-2 (+1),,"GOOD JUMPER by MCCULLOUGH,JACOB(in the paint)",1
--,,,,,"ASSIST ASSIST by CARTER,KESHONN",,,"ASSIST ASSIST by CARTER,KESHONN",1
18:41,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",5 (+3),,2,,MILLSAPS 5-2 (+3),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
18:17,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",1
18:02,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",1
17:47,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",,,"MISS 3PTR by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND OFF by BORN,CLAY",,,"REBOUND OFF by BORN,CLAY",1
17:42,,,,,"MISS JUMPER by JONES,CODY",,,"MISS JUMPER by JONES,CODY",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
17:22,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
16:56,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",1
