Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
16:27,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,"REBOUND DEF by WAGNER,MARK",,,"REBOUND DEF by WAGNER,MARK",1
16:18,,7,,11 (+4),"GOOD LAYUP by WAGNER,MARK(in the paint)",LCM 7-11 (-4),,"GOOD LAYUP by WAGNER,MARK(in the paint)",1
16:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:16,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
16:16,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
16:16,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
16:16,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
16:16,,,,,"SUB IN by HENDERSON,JARED",,,"SUB IN by HENDERSON,JARED",1
16:16,,,,,"SUB OUT by PARKER,DUNCAN",,,"SUB OUT by PARKER,DUNCAN",1
16:03,"GOOD JUMPER by ATKINSON,QUINN",9,,11 (+2),,MILLMBB 9-11 (-2),,"GOOD JUMPER by ATKINSON,QUINN",1
15:49,,,,,"FOUL  by HENDERSON,JARED",,,"FOUL  by HENDERSON,JARED",1
15:49,"GOOD FT by ATKINSON,QUINN",10,,11 (+1),,MILLMBB 10-11 (-1),,"GOOD FT by ATKINSON,QUINN",1
15:34,,,,,"MISS 3PTR by WAGNER,MARK",,,"MISS 3PTR by WAGNER,MARK",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
15:17,"GOOD 3PTR by ROBERTSON,MARC",13 (+2),,11,,MILLMBB 13-11 (+2),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
14:59,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:59,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
14:59,"SUB IN by SMITH,BAILEY",,,,,,,"SUB IN by SMITH,BAILEY",1
14:59,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
14:59,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
14:50,"GOOD 3PTR by SMITH,BAILEY",16 (+5),,11,,MILLMBB 16-11 (+5),,"GOOD 3PTR by SMITH,BAILEY",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
14:41,,,,,"MISS 3PTR by FORD,BRAXTON",,,"MISS 3PTR by FORD,BRAXTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:28,"MISS 3PTR by SMITH,BAILEY",,,,,,,"MISS 3PTR by SMITH,BAILEY",1
--,"REBOUND OFF by MANCUSO,LOGAN",,,,,,,"REBOUND OFF by MANCUSO,LOGAN",1
14:23,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",18 (+7),,11,,MILLMBB 18-11 (+7),,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",1
14:12,,,,,"MISS 3PTR by OLSON,JUSTYN",,,"MISS 3PTR by OLSON,JUSTYN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
13:54,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by WAGNER,MARK",,,"REBOUND DEF by WAGNER,MARK",1
13:39,,,,,"FOUL  by HENDERSON,JARED",,,"FOUL  by HENDERSON,JARED",1
13:39,,,,,"TURNOVER  by HENDERSON,JARED",,,"TURNOVER  by HENDERSON,JARED",1
13:39,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
13:39,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
13:39,,,,,"SUB IN by PARKER,DUNCAN",,,"SUB IN by PARKER,DUNCAN",1
13:39,,,,,"SUB IN by BONNER,ALEX",,,"SUB IN by BONNER,ALEX",1
13:39,,,,,"SUB IN by GAETANOS,JACOB",,,"SUB IN by GAETANOS,JACOB",1
13:39,,,,,"SUB OUT by HENDERSON,JARED",,,"SUB OUT by HENDERSON,JARED",1
13:39,,,,,"SUB OUT by VANDERBROOK,DREW",,,"SUB OUT by VANDERBROOK,DREW",1
13:39,,,,,"SUB OUT by OLSON,JUSTYN",,,"SUB OUT by OLSON,JUSTYN",1
13:07,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND OFF by MCSWAIN,JOSHUA",,,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",1
13:01,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",20 (+9),,11,,MILLMBB 20-11 (+9),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",1
12:49,,,,,"MISS 3PTR by FORD,BRAXTON",,,"MISS 3PTR by FORD,BRAXTON",1
--,,,,,"REBOUND OFF by WAGNER,MARK",,,"REBOUND OFF by WAGNER,MARK",1
12:29,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
12:29,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
12:25,,,,,"MISS 3PTR by FORD,BRAXTON",,,"MISS 3PTR by FORD,BRAXTON",1
--,,,,,"REBOUND OFF by PARKER,DUNCAN",,,"REBOUND OFF by PARKER,DUNCAN",1
12:20,,20 (+6),,14,"GOOD 3PTR by FORD,BRAXTON",LCM 20-14 (+6),,"GOOD 3PTR by FORD,BRAXTON",1
--,,,,,"ASSIST  by PARKER,DUNCAN",,,"ASSIST  by PARKER,DUNCAN",1
12:06,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:55,,,,,"MISS JUMPER by BONNER,ALEX",,,"MISS JUMPER by BONNER,ALEX",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
11:46,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
11:46,,,,,"BLOCK  by GAETANOS,JACOB",,,"BLOCK  by GAETANOS,JACOB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:46,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
11:46,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
11:46,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
11:46,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
11:46,"SUB OUT by SMITH,BAILEY",,,,,,,"SUB OUT by SMITH,BAILEY",1
11:46,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
11:43,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
11:33,,20 (+4),,16,"GOOD LAYUP by PARKER,DUNCAN(in the paint)",LCM 20-16 (+4),,"GOOD LAYUP by PARKER,DUNCAN(in the paint)",1
--,,,,,"ASSIST  by GAETANOS,JACOB",,,"ASSIST  by GAETANOS,JACOB",1
11:15,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
11:13,,,,,"STEAL  by GAETANOS,JACOB",,,"STEAL  by GAETANOS,JACOB",1
11:09,,20 (+1),,19,"GOOD 3PTR by FORD,BRAXTON",LCM 20-19 (+1),,"GOOD 3PTR by FORD,BRAXTON",1
--,,,,,"ASSIST  by WAGNER,MARK",,,"ASSIST  by WAGNER,MARK",1
11:08,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:42,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:31,,,,,"FOUL  by PARKER,DUNCAN",,,"FOUL  by PARKER,DUNCAN",1
10:31,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
10:31,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
10:12,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
10:11,,,,,"STEAL  by PARKER,DUNCAN",,,"STEAL  by PARKER,DUNCAN",1
10:07,,20,,22 (+2),"GOOD 3PTR by FORD,BRAXTON",LCM 20-22 (-2),,"GOOD 3PTR by FORD,BRAXTON",1
--,,,,,"ASSIST  by BONNER,ALEX",,,"ASSIST  by BONNER,ALEX",1
09:55,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
09:52,,,,,"STEAL  by GAETANOS,JACOB",,,"STEAL  by GAETANOS,JACOB",1
09:46,,,,,"MISS 3PTR by FORD,BRAXTON",,,"MISS 3PTR by FORD,BRAXTON",1
--,,,,,"REBOUND OFF by BONNER,ALEX",,,"REBOUND OFF by BONNER,ALEX",1
09:42,,20,,24 (+4),"GOOD LAYUP by BONNER,ALEX(in the paint)",LCM 20-24 (-4),,"GOOD LAYUP by BONNER,ALEX(in the paint)",1
09:36,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
09:36,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",1
09:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:33,,,,,"SUB IN by ADEDOYIN,ELIJAH",,,"SUB IN by ADEDOYIN,ELIJAH",1
09:33,,,,,"SUB IN by LANGSTON,TYLER",,,"SUB IN by LANGSTON,TYLER",1
09:33,,,,,"SUB OUT by FORD,BRAXTON",,,"SUB OUT by FORD,BRAXTON",1
09:33,,,,,"SUB OUT by WAGNER,MARK",,,"SUB OUT by WAGNER,MARK",1
09:30,,20,,26 (+6),"GOOD JUMPER by GAETANOS,JACOB",LCM 20-26 (-6),,"GOOD JUMPER by GAETANOS,JACOB",1
--,,,,,"ASSIST  by BONNER,ALEX",,,"ASSIST  by BONNER,ALEX",1
09:12,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
09:12,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
09:12,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
09:02,,,,,"MISS 3PTR by ADEDOYIN,ELIJAH",,,"MISS 3PTR by ADEDOYIN,ELIJAH",1
--,,,,,"REBOUND OFF by GAETANOS,JACOB",,,"REBOUND OFF by GAETANOS,JACOB",1
08:58,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",1
08:58,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
08:58,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
08:25,,20,,28 (+8),"GOOD JUMPER by BONNER,ALEX",LCM 20-28 (-8),,"GOOD JUMPER by BONNER,ALEX",1
08:22,,,,,"SUB IN by VANDERBROOK,DREW",,,"SUB IN by VANDERBROOK,DREW",1
08:22,,,,,"SUB IN by OLSON,JUSTYN",,,"SUB IN by OLSON,JUSTYN",1
08:22,,,,,"SUB OUT by BONNER,ALEX",,,"SUB OUT by BONNER,ALEX",1
08:22,,,,,"SUB OUT by GAETANOS,JACOB",,,"SUB OUT by GAETANOS,JACOB",1
08:08,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
07:50,,20,,31 (+11),"GOOD 3PTR by VANDERBROOK,DREW",LCM 20-31 (-11),,"GOOD 3PTR by VANDERBROOK,DREW",1
--,,,,,"ASSIST  by LANGSTON,TYLER",,,"ASSIST  by LANGSTON,TYLER",1
07:19,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:17,,,,,"FOUL  by VANDERBROOK,DREW",,,"FOUL  by VANDERBROOK,DREW",1
07:14,"GOOD 3PTR by ATKINSON,QUINN",23,,31 (+8),,MILLMBB 23-31 (-8),,"GOOD 3PTR by ATKINSON,QUINN",1
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",1
06:58,,,,,"MISS 3PTR by VANDERBROOK,DREW",,,"MISS 3PTR by VANDERBROOK,DREW",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
06:48,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",25,,31 (+6),,MILLMBB 25-31 (-6),,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",1
06:35,,25,,33 (+8),"GOOD LAYUP by PARKER,DUNCAN(in the paint)",LCM 25-33 (-8),,"GOOD LAYUP by PARKER,DUNCAN(in the paint)",1
--,,,,,"ASSIST  by OLSON,JUSTYN",,,"ASSIST  by OLSON,JUSTYN",1
06:18,"GOOD 3PTR by ROBERTSON,MARC",28,,33 (+5),,MILLMBB 28-33 (-5),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
05:58,,28,,35 (+7),"GOOD JUMPER by OLSON,JUSTYN",LCM 28-35 (-7),,"GOOD JUMPER by OLSON,JUSTYN",1
--,,,,,"ASSIST  by ADEDOYIN,ELIJAH",,,"ASSIST  by ADEDOYIN,ELIJAH",1
05:46,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by OLSON,JUSTYN",,,"REBOUND DEF by OLSON,JUSTYN",1
05:36,"FOUL  by MANCUSO,LOGAN",,,,,,,"FOUL  by MANCUSO,LOGAN",1
05:36,,28,,36 (+8),"GOOD FT by OLSON,JUSTYN",LCM 28-36 (-8),,"GOOD FT by OLSON,JUSTYN",1
05:36,,28,,37 (+9),"GOOD FT by OLSON,JUSTYN",LCM 28-37 (-9),,"GOOD FT by OLSON,JUSTYN",1
05:36,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
05:36,"SUB IN by SMITH,BAILEY",,,,,,,"SUB IN by SMITH,BAILEY",1
05:36,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
05:36,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
05:36,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
05:36,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
05:36,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
05:36,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
05:36,,,,,"SUB IN by THOMPSON,TRAVIS",,,"SUB IN by THOMPSON,TRAVIS",1
05:36,,,,,"SUB IN by FORD,BRAXTON",,,"SUB IN by FORD,BRAXTON",1
05:36,,,,,"SUB IN by WAGNER,MARK",,,"SUB IN by WAGNER,MARK",1
05:36,,,,,"SUB OUT by PARKER,DUNCAN",,,"SUB OUT by PARKER,DUNCAN",1
05:36,,,,,"SUB OUT by ADEDOYIN,ELIJAH",,,"SUB OUT by ADEDOYIN,ELIJAH",1
05:36,,,,,"SUB OUT by LANGSTON,TYLER",,,"SUB OUT by LANGSTON,TYLER",1
05:27,"TURNOVER  by SMITH,BAILEY",,,,,,,"TURNOVER  by SMITH,BAILEY",1
05:26,,,,,"STEAL  by WAGNER,MARK",,,"STEAL  by WAGNER,MARK",1
05:23,,28,,39 (+11),"GOOD LAYUP by WAGNER,MARK(in the paint)",LCM 28-39 (-11),,"GOOD LAYUP by WAGNER,MARK(in the paint)",1
05:06,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by THOMPSON,TRAVIS",,,"REBOUND DEF by THOMPSON,TRAVIS",1
04:53,,,,,"MISS 3PTR by WAGNER,MARK",,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,"REBOUND OFF by VANDERBROOK,DREW",,,"REBOUND OFF by VANDERBROOK,DREW",1
04:45,,,,,"MISS JUMPER by VANDERBROOK,DREW",,,"MISS JUMPER by VANDERBROOK,DREW",1
--,,,,,"REBOUND OFF by THOMPSON,TRAVIS",,,"REBOUND OFF by THOMPSON,TRAVIS",1
04:43,,28,,41 (+13),"GOOD JUMPER by THOMPSON,TRAVIS(in the paint)",LCM 28-41 (-13),,"GOOD JUMPER by THOMPSON,TRAVIS(in the paint)",1
04:28,,,,,"FOUL  by FORD,BRAXTON",,,"FOUL  by FORD,BRAXTON",1
04:28,,,,,"SUB IN by BONNER,ALEX",,,"SUB IN by BONNER,ALEX",1
04:28,,,,,"SUB OUT by OLSON,JUSTYN",,,"SUB OUT by OLSON,JUSTYN",1
04:19,"MISS 3PTR by SMITH,BAILEY",,,,,,,"MISS 3PTR by SMITH,BAILEY",1
--,"REBOUND OFF by JONES,BLAKE",,,,,,,"REBOUND OFF by JONES,BLAKE",1
04:11,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by VANDERBROOK,DREW",,,"REBOUND DEF by VANDERBROOK,DREW",1
04:03,,28,,44 (+16),"GOOD 3PTR by VANDERBROOK,DREW",LCM 28-44 (-16),,"GOOD 3PTR by VANDERBROOK,DREW",1
--,,,,,"ASSIST  by BONNER,ALEX",,,"ASSIST  by BONNER,ALEX",1
03:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:34,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:32,,,,,"FOUL  by BONNER,ALEX",,,"FOUL  by BONNER,ALEX",1
03:29,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
03:18,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
03:14,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",30,,44 (+14),,MILLMBB 30-44 (-14),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
03:08,,,,,"MISS 3PTR by VANDERBROOK,DREW",,,"MISS 3PTR by VANDERBROOK,DREW",1
--,,,,,"REBOUND OFF by BONNER,ALEX",,,"REBOUND OFF by BONNER,ALEX",1
03:06,,30,,46 (+16),"GOOD LAYUP by BONNER,ALEX(in the paint)",LCM 30-46 (-16),,"GOOD LAYUP by BONNER,ALEX(in the paint)",1
02:53,,,,,"FOUL  by THOMPSON,TRAVIS",,,"FOUL  by THOMPSON,TRAVIS",1
02:53,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:53,"GOOD FT by GERCHOW,ALEX",31,,46 (+15),,MILLMBB 31-46 (-15),,"GOOD FT by GERCHOW,ALEX",1
02:53,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
02:53,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
02:53,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
02:53,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
02:53,"SUB OUT by SMITH,BAILEY",,,,,,,"SUB OUT by SMITH,BAILEY",1
02:53,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
02:42,,,,,"MISS 3PTR by FORD,BRAXTON",,,"MISS 3PTR by FORD,BRAXTON",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
02:30,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by BONNER,ALEX",,,"REBOUND DEF by BONNER,ALEX",1
02:26,,,,,"TURNOVER  by WAGNER,MARK",,,"TURNOVER  by WAGNER,MARK",1
02:12,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by GAETANOS,JACOB",,,"REBOUND DEF by GAETANOS,JACOB",1
02:06,,,,,"SUB IN by GAETANOS,JACOB",,,"SUB IN by GAETANOS,JACOB",1
02:06,,,,,"SUB OUT by VANDERBROOK,DREW",,,"SUB OUT by VANDERBROOK,DREW",1
02:02,"FOUL  by MCSWAIN,JOSHUA",,,,,,,"FOUL  by MCSWAIN,JOSHUA",1
02:02,,,,,"MISS FT by THOMPSON,TRAVIS",,,"MISS FT by THOMPSON,TRAVIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:02,,31,,47 (+16),"GOOD FT by THOMPSON,TRAVIS",LCM 31-47 (-16),,"GOOD FT by THOMPSON,TRAVIS",1
02:02,,,,,"SUB IN by HENDERSON,JARED",,,"SUB IN by HENDERSON,JARED",1
02:02,,,,,"SUB IN by OLSON,JUSTYN",,,"SUB IN by OLSON,JUSTYN",1
02:02,,,,,"SUB OUT by THOMPSON,TRAVIS",,,"SUB OUT by THOMPSON,TRAVIS",1
02:02,,,,,"SUB OUT by WAGNER,MARK",,,"SUB OUT by WAGNER,MARK",1
01:50,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
01:50,,,,,"STEAL  by OLSON,JUSTYN",,,"STEAL  by OLSON,JUSTYN",1
01:31,,,,,"MISS 3PTR by BONNER,ALEX",,,"MISS 3PTR by BONNER,ALEX",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
01:10,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by GAETANOS,JACOB",,,"REBOUND DEF by GAETANOS,JACOB",1
00:57,,,,,"MISS LAYUP by BONNER,ALEX",,,"MISS LAYUP by BONNER,ALEX",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
00:33,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
00:33,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
