Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,WCMBK,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
15:23,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",7 (+1),,6,,MILLMBB 7-6 (+1),,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",1
15:19,"FOUL  by JONES,BLAKE",,,,,,,"FOUL  by JONES,BLAKE",1
15:19,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:19,,7,,7,"GOOD FT by WHITE,MONTEZ",WCMBK 7-7 (0),,"GOOD FT by WHITE,MONTEZ",1
15:19,,7,,8 (+1),"GOOD FT by WHITE,MONTEZ",WCMBK 7-8 (-1),,"GOOD FT by WHITE,MONTEZ",1
15:19,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
15:19,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
15:19,,,,,"SUB IN by CHIRCU,PHILIP",,,"SUB IN by CHIRCU,PHILIP",1
15:19,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",1
15:19,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",1
15:19,,,,,"SUB OUT by OTI,TOCHI",,,"SUB OUT by OTI,TOCHI",1
15:08,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,"REBOUND DEF by WIGGINS,JOJO",,,"REBOUND DEF by WIGGINS,JOJO",1
14:58,,,,,"MISS LAYUP by JACOBS-JONES,CEDRIC",,,"MISS LAYUP by JACOBS-JONES,CEDRIC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:35,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by JACOBS-JONES,CEDRIC",,,"REBOUND DEF by JACOBS-JONES,CEDRIC",1
14:11,,,,,"MISS 3PTR by MCDONALD,CHRISTIAN",,,"MISS 3PTR by MCDONALD,CHRISTIAN",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
13:59,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
13:59,,,,,"BLOCK  by CHIRCU,PHILIP",,,"BLOCK  by CHIRCU,PHILIP",1
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",1
13:54,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by CHIRCU,PHILIP",,,"REBOUND DEF by CHIRCU,PHILIP",1
13:41,,,,,"TURNOVER  by CHIRCU,PHILIP",,,"TURNOVER  by CHIRCU,PHILIP",1
13:40,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",1
13:38,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",9 (+1),,8,,MILLMBB 9-8 (+1),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
13:29,,,,,"FOUL  by JACOBS-JONES,CEDRIC",,,"FOUL  by JACOBS-JONES,CEDRIC",1
13:29,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
13:29,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
13:29,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
13:29,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
13:29,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
13:29,,,,,"SUB IN by MARTIN,EVAN",,,"SUB IN by MARTIN,EVAN",1
13:29,,,,,"SUB IN by BUTLER,AUSTIN",,,"SUB IN by BUTLER,AUSTIN",1
13:29,,,,,"SUB OUT by CHIRCU,PHILIP",,,"SUB OUT by CHIRCU,PHILIP",1
13:29,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",1
13:29,,,,,"SUB OUT by WHITE,MONTEZ",,,"SUB OUT by WHITE,MONTEZ",1
13:07,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by MARTIN,EVAN",,,"REBOUND DEF by MARTIN,EVAN",1
12:54,,9,,11 (+2),"GOOD 3PTR by HOWELL,TIM",WCMBK 9-11 (-2),,"GOOD 3PTR by HOWELL,TIM",1
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",1
12:45,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
12:43,,,,,"STEAL  by BUTLER,AUSTIN",,,"STEAL  by BUTLER,AUSTIN",1
12:42,,9,,13 (+4),"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",WCMBK 9-13 (-4),,"GOOD LAYUP by BUTLER,AUSTIN(in the paint)",1
12:23,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by HOWELL,TIM",,,"REBOUND DEF by HOWELL,TIM",1
12:06,,9,,16 (+7),"GOOD 3PTR by MCDONALD,CHRISTIAN",WCMBK 9-16 (-7),,"GOOD 3PTR by MCDONALD,CHRISTIAN",1
--,,,,,"ASSIST  by MARTIN,EVAN",,,"ASSIST  by MARTIN,EVAN",1
11:35,"GOOD 3PTR by ROBERTSON,MARC",12,,16 (+4),,MILLMBB 12-16 (-4),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
11:35,,,,,"FOUL  by MCDONALD,CHRISTIAN",,,"FOUL  by MCDONALD,CHRISTIAN",1
11:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:35,"GOOD FT by ROBERTSON,MARC",13,,16 (+3),,MILLMBB 13-16 (-3),,"GOOD FT by ROBERTSON,MARC",1
11:35,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
11:35,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
11:35,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
11:35,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
11:35,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",1
11:35,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
11:35,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
11:35,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
11:35,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
11:35,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
11:35,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
11:35,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",1
11:35,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",1
11:35,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",1
11:20,,13,,19 (+6),"GOOD 3PTR by STEWART,JACK",WCMBK 13-19 (-6),,"GOOD 3PTR by STEWART,JACK",1
--,,,,,"ASSIST  by BUTLER,AUSTIN",,,"ASSIST  by BUTLER,AUSTIN",1
10:44,"TURNOVER  by SPENCE,JACOB",,,,,,,"TURNOVER  by SPENCE,JACOB",1
10:32,,,,,"MISS 3PTR by HEWITT,JOEY",,,"MISS 3PTR by HEWITT,JOEY",1
--,,,,,"REBOUND OFF by HEWITT,JOEY",,,"REBOUND OFF by HEWITT,JOEY",1
10:20,,13,,22 (+9),"GOOD 3PTR by STEWART,JACK",WCMBK 13-22 (-9),,"GOOD 3PTR by STEWART,JACK",1
--,,,,,"ASSIST  by HOWELL,TIM",,,"ASSIST  by HOWELL,TIM",1
10:04,"MISS 3PTR by HANSTAD,RAJAN",,,,,,,"MISS 3PTR by HANSTAD,RAJAN",1
--,,,,,"REBOUND DEF by BUTLER,AUSTIN",,,"REBOUND DEF by BUTLER,AUSTIN",1
09:57,,,,,"FOUL  by BUTLER,AUSTIN",,,"FOUL  by BUTLER,AUSTIN",1
09:57,,,,,"TURNOVER  by BUTLER,AUSTIN",,,"TURNOVER  by BUTLER,AUSTIN",1
09:57,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",1
09:57,,,,,"SUB OUT by BUTLER,AUSTIN",,,"SUB OUT by BUTLER,AUSTIN",1
09:50,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
09:49,,,,,"STEAL  by MARTIN,EVAN",,,"STEAL  by MARTIN,EVAN",1
09:42,,13,,24 (+11),"GOOD JUMPER by HOWELL,TIM(in the paint)",WCMBK 13-24 (-11),,"GOOD JUMPER by HOWELL,TIM(in the paint)",1
09:26,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
09:25,,,,,"STEAL  by STEWART,JACK",,,"STEAL  by STEWART,JACK",1
09:20,,,,,"MISS JUMPER by HOWELL,TIM",,,"MISS JUMPER by HOWELL,TIM",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
09:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:52,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND OFF by MCSWAIN,JOSHUA",,,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",1
08:44,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
08:44,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
08:44,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
08:44,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
08:44,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
08:44,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
08:44,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
08:44,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
08:44,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
08:44,"SUB OUT by SPENCE,JACOB",,,,,,,"SUB OUT by SPENCE,JACOB",1
08:44,,,,,"SUB IN by WIGGINS,JOJO",,,"SUB IN by WIGGINS,JOJO",1
08:44,,,,,"SUB IN by CHIRCU,PHILIP",,,"SUB IN by CHIRCU,PHILIP",1
08:44,,,,,"SUB IN by WHITE,MONTEZ",,,"SUB IN by WHITE,MONTEZ",1
08:44,,,,,"SUB OUT by HOWELL,TIM",,,"SUB OUT by HOWELL,TIM",1
08:44,,,,,"SUB OUT by HEWITT,JOEY",,,"SUB OUT by HEWITT,JOEY",1
08:44,,,,,"SUB OUT by MARTIN,EVAN",,,"SUB OUT by MARTIN,EVAN",1
08:29,,,,,"MISS 3PTR by CHIRCU,PHILIP",,,"MISS 3PTR by CHIRCU,PHILIP",1
--,,,,,"REBOUND OFF by WIGGINS,JOJO",,,"REBOUND OFF by WIGGINS,JOJO",1
08:27,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",1
08:12,,13,,26 (+13),"GOOD LAYUP by WHITE,MONTEZ(in the paint)",WCMBK 13-26 (-13),,"GOOD LAYUP by WHITE,MONTEZ(in the paint)",1
07:41,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
07:39,,,,,"STEAL  by CHIRCU,PHILIP",,,"STEAL  by CHIRCU,PHILIP",1
07:34,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,,,,,"REBOUND OFF by WIGGINS,JOJO",,,"REBOUND OFF by WIGGINS,JOJO",1
07:33,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
07:33,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:33,,,,,"SUB IN by KENNEY,JEFF",,,"SUB IN by KENNEY,JEFF",1
07:33,,,,,"SUB OUT by JACOBS-JONES,CEDRIC",,,"SUB OUT by JACOBS-JONES,CEDRIC",1
07:09,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
07:04,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
07:04,,,,,"SUB IN by MCDONALD,CHRISTIAN",,,"SUB IN by MCDONALD,CHRISTIAN",1
07:04,,,,,"SUB OUT by WHITE,MONTEZ",,,"SUB OUT by WHITE,MONTEZ",1
06:56,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",1
06:55,,,,,"FOUL  by WIGGINS,JOJO",,,"FOUL  by WIGGINS,JOJO",1
06:39,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by MCDONALD,CHRISTIAN",,,"REBOUND DEF by MCDONALD,CHRISTIAN",1
06:29,,,,,"MISS 3PTR by KENNEY,JEFF",,,"MISS 3PTR by KENNEY,JEFF",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:28,,,,,"FOUL  by WIGGINS,JOJO",,,"FOUL  by WIGGINS,JOJO",1
06:28,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
06:28,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
06:28,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
06:28,,,,,"SUB IN by HEWITT,JOEY",,,"SUB IN by HEWITT,JOEY",1
06:28,,,,,"SUB IN by HOWELL,TIM",,,"SUB IN by HOWELL,TIM",1
06:28,,,,,"SUB IN by STEWART,RYAN",,,"SUB IN by STEWART,RYAN",1
06:28,,,,,"SUB OUT by KENNEY,JEFF",,,"SUB OUT by KENNEY,JEFF",1
06:28,,,,,"SUB OUT by WIGGINS,JOJO",,,"SUB OUT by WIGGINS,JOJO",1
06:28,,,,,"SUB OUT by STEWART,JACK",,,"SUB OUT by STEWART,JACK",1
06:25,"FOUL  by MCSWAIN,JOSHUA",,,,,,,"FOUL  by MCSWAIN,JOSHUA",1
06:25,,13,,27 (+14),"GOOD FT by MCDONALD,CHRISTIAN",WCMBK 13-27 (-14),,"GOOD FT by MCDONALD,CHRISTIAN",1
06:25,,13,,28 (+15),"GOOD FT by MCDONALD,CHRISTIAN",WCMBK 13-28 (-15),,"GOOD FT by MCDONALD,CHRISTIAN",1
06:07,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
05:57,,,,,"MISS 3PTR by HEWITT,JOEY",,,"MISS 3PTR by HEWITT,JOEY",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
05:44,"GOOD 3PTR by ROBERTSON,MARC",16,,28 (+12),,MILLMBB 16-28 (-12),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
05:25,,16,,31 (+15),"GOOD 3PTR by CHIRCU,PHILIP",WCMBK 16-31 (-15),,"GOOD 3PTR by CHIRCU,PHILIP",1
--,,,,,"ASSIST  by MCDONALD,CHRISTIAN",,,"ASSIST  by MCDONALD,CHRISTIAN",1
05:01,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",18,,31 (+13),,MILLMBB 18-31 (-13),,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",1
04:50,,,,,"MISS 3PTR by MCDONALD,CHRISTIAN",,,"MISS 3PTR by MCDONALD,CHRISTIAN",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
04:36,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by CHIRCU,PHILIP",,,"REBOUND DEF by CHIRCU,PHILIP",1
04:28,,18,,34 (+16),"GOOD 3PTR by HOWELL,TIM",WCMBK 18-34 (-16),,"GOOD 3PTR by HOWELL,TIM",1
--,,,,,"ASSIST  by HEWITT,JOEY",,,"ASSIST  by HEWITT,JOEY",1
03:59,"GOOD JUMPER by MCSWAIN,JOSHUA",20,,34 (+14),,MILLMBB 20-34 (-14),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
03:49,,,,,"MISS 3PTR by HOWELL,TIM",,,"MISS 3PTR by HOWELL,TIM",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
03:37,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",22,,34 (+12),,MILLMBB 22-34 (-12),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
03:25,,22,,37 (+15),"GOOD 3PTR by MCDONALD,CHRISTIAN",WCMBK 22-37 (-15),,"GOOD 3PTR by MCDONALD,CHRISTIAN",1
--,,,,,"ASSIST  by HOWELL,TIM",,,"ASSIST  by HOWELL,TIM",1
03:02,,,,,"FOUL  by HOWELL,TIM",,,"FOUL  by HOWELL,TIM",1
03:02,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
03:02,"GOOD FT by JONES,BLAKE",23,,37 (+14),,MILLMBB 23-37 (-14),,"GOOD FT by JONES,BLAKE",1
03:02,"GOOD FT by JONES,BLAKE",24,,37 (+13),,MILLMBB 24-37 (-13),,"GOOD FT by JONES,BLAKE",1
03:02,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
03:02,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
03:02,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",1
03:02,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
03:02,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
03:02,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
03:02,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
03:02,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
03:02,,,,,"SUB IN by JACOBS-JONES,CEDRIC",,,"SUB IN by JACOBS-JONES,CEDRIC",1
03:02,,,,,"SUB IN by STEWART,JACK",,,"SUB IN by STEWART,JACK",1
03:02,,,,,"SUB IN by MARTIN,EVAN",,,"SUB IN by MARTIN,EVAN",1
03:02,,,,,"SUB OUT by CHIRCU,PHILIP",,,"SUB OUT by CHIRCU,PHILIP",1
03:02,,,,,"SUB OUT by MCDONALD,CHRISTIAN",,,"SUB OUT by MCDONALD,CHRISTIAN",1
03:02,,,,,"SUB OUT by STEWART,RYAN",,,"SUB OUT by STEWART,RYAN",1
02:46,,,,,"MISS 3PTR by STEWART,JACK",,,"MISS 3PTR by STEWART,JACK",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
02:20,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
02:20,,,,,"BLOCK  by MARTIN,EVAN",,,"BLOCK  by MARTIN,EVAN",1
--,,,,,"REBOUND DEF by MARTIN,EVAN",,,"REBOUND DEF by MARTIN,EVAN",1
01:58,,,,,"MISS 3PTR by HOWELL,TIM",,,"MISS 3PTR by HOWELL,TIM",1
--,,,,,"REBOUND OFF by MARTIN,EVAN",,,"REBOUND OFF by MARTIN,EVAN",1
01:42,,,,,"TURNOVER  by JACOBS-JONES,CEDRIC",,,"TURNOVER  by JACOBS-JONES,CEDRIC",1
01:12,"GOOD 3PTR by HANSTAD,RAJAN",27,,37 (+10),,MILLMBB 27-37 (-10),,"GOOD 3PTR by HANSTAD,RAJAN",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
00:53,,,,,"MISS JUMPER by HOWELL,TIM",,,"MISS JUMPER by HOWELL,TIM",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
