Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
12:36,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",1
12:36,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
12:36,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
12:36,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
12:36,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
12:36,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
12:36,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
12:16,,6,,23 (+17),"GOOD LAYUP by WARDLAW,CHASE(in the paint)",OUM 6-23 (-17),,"GOOD LAYUP by WARDLAW,CHASE(in the paint)",1
12:10,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",1
12:10,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",1
11:52,,,,,"FOUL  by SIGRIST,CONNOR",,,"FOUL  by SIGRIST,CONNOR",1
11:52,"MISS FT by GERCHOW,ALEX",,,,,,,"MISS FT by GERCHOW,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:52,"GOOD FT by GERCHOW,ALEX",7,,23 (+16),,MCM 7-23 (-16),,"GOOD FT by GERCHOW,ALEX",1
11:52,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
11:52,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
11:52,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",1
11:52,,,,,"SUB IN by BRITVAR,STEFAN",,,"SUB IN by BRITVAR,STEFAN",1
11:52,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
11:52,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
11:34,,7,,26 (+19),"GOOD 3PTR by ANDINO,GEORGE",OUM 7-26 (-19),,"GOOD 3PTR by ANDINO,GEORGE",1
--,,,,,"ASSIST  by WARDLAW,CHASE",,,"ASSIST  by WARDLAW,CHASE",1
11:13,,,,,"FOUL  by WARDLAW,CHASE",,,"FOUL  by WARDLAW,CHASE",1
11:13,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
11:13,,,,,"SUB OUT by WARDLAW,CHASE",,,"SUB OUT by WARDLAW,CHASE",1
11:07,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
10:43,,7,,29 (+22),"GOOD 3PTR by PERRY,WILL",OUM 7-29 (-22),,"GOOD 3PTR by PERRY,WILL",1
--,,,,,"ASSIST  by LAWRENCE,CHRIS",,,"ASSIST  by LAWRENCE,CHRIS",1
10:15,"GOOD 3PTR by GAGEN,BRENNAN",10,,29 (+19),,MCM 10-29 (-19),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,"ASSIST  by GERCHOW,ALEX",,,,,,,"ASSIST  by GERCHOW,ALEX",1
09:53,,10,,32 (+22),"GOOD 3PTR by ANDINO,GEORGE",OUM 10-32 (-22),,"GOOD 3PTR by ANDINO,GEORGE",1
--,,,,,"ASSIST  by PERRY,WILL",,,"ASSIST  by PERRY,WILL",1
09:23,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
09:04,,,,,"TURNOVER  by SMITH,CONNOR",,,"TURNOVER  by SMITH,CONNOR",1
09:04,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",1
08:40,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
08:11,,10,,35 (+25),"GOOD 3PTR by PERRY,WILL",OUM 10-35 (-25),,"GOOD 3PTR by PERRY,WILL",1
--,,,,,"ASSIST  by LAWRENCE,CHRIS",,,"ASSIST  by LAWRENCE,CHRIS",1
08:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:05,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
08:05,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
08:05,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
08:05,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
08:05,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
08:05,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
08:05,,,,,"SUB IN by EDWARDS,JUSTIN",,,"SUB IN by EDWARDS,JUSTIN",1
08:05,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
07:52,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",12,,35 (+23),,MCM 12-35 (-23),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
07:32,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
07:14,,12,,37 (+25),"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",OUM 12-37 (-25),,"GOOD LAYUP by BRITVAR,STEFAN(in the paint)",1
--,,,,,"ASSIST  by PERRY,WILL",,,"ASSIST  by PERRY,WILL",1
06:59,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
06:41,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
06:41,,12,,38 (+26),"GOOD FT by PERRY,WILL",OUM 12-38 (-26),,"GOOD FT by PERRY,WILL",1
06:41,,12,,39 (+27),"GOOD FT by PERRY,WILL",OUM 12-39 (-27),,"GOOD FT by PERRY,WILL",1
06:41,,,,,"SUB IN by MCGRATH,JOSH",,,"SUB IN by MCGRATH,JOSH",1
06:41,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",1
06:41,,,,,"SUB OUT by BRITVAR,STEFAN",,,"SUB OUT by BRITVAR,STEFAN",1
06:41,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
06:29,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by EDWARDS,JUSTIN",,,"REBOUND DEF by EDWARDS,JUSTIN",1
06:23,,12,,41 (+29),"GOOD LAYUP by EDWARDS,JUSTIN(fastbreak)(in the paint)",OUM 12-41 (-29),,"GOOD LAYUP by EDWARDS,JUSTIN(fastbreak)(in the paint)",1
06:14,"MISS LAYUP by JONES,BLAKE",,,,,,,"MISS LAYUP by JONES,BLAKE",1
06:14,,,,,"BLOCK  by EDWARDS,JUSTIN",,,"BLOCK  by EDWARDS,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:11,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,"REBOUND DEF by MCGRATH,JOSH",,,"REBOUND DEF by MCGRATH,JOSH",1
05:41,,,,,"MISS LAYUP by HUFFMAN,DEVIN",,,"MISS LAYUP by HUFFMAN,DEVIN",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
