Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,WHTW-M,Game Score,Team Indicator,Play,Period
19:44,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND DEF by VALLE,GEORGE",,,"REBOUND DEF by VALLE,GEORGE",1
19:29,,,,,"MISS 3PTR by LOVE,KENNY",,,"MISS 3PTR by LOVE,KENNY",1
--,,,,,"REBOUND OFF by SEARS,DREW",,,"REBOUND OFF by SEARS,DREW",1
19:24,,0,,2 (+2),"GOOD JUMPER by JURLINA,CHRISTIAN",WHTW-M 0-2 (-2),,"GOOD JUMPER by JURLINA,CHRISTIAN",1
--,,,,,"ASSIST  by SEARS,DREW",,,"ASSIST  by SEARS,DREW",1
18:58,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by STAUDACHER,MATT",,,"REBOUND DEF by STAUDACHER,MATT",1
18:44,,,,,"MISS 3PTR by JURLINA,CHRISTIAN",,,"MISS 3PTR by JURLINA,CHRISTIAN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
18:22,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND DEF by JURLINA,CHRISTIAN",,,"REBOUND DEF by JURLINA,CHRISTIAN",1
18:08,,0,,5 (+5),"GOOD 3PTR by LOVE,KENNY",WHTW-M 0-5 (-5),,"GOOD 3PTR by LOVE,KENNY",1
--,,,,,"ASSIST  by VALLE,GEORGE",,,"ASSIST  by VALLE,GEORGE",1
17:45,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by VALLE,GEORGE",,,"REBOUND DEF by VALLE,GEORGE",1
17:36,,0,,8 (+8),"GOOD 3PTR by STAUDACHER,MATT",WHTW-M 0-8 (-8),,"GOOD 3PTR by STAUDACHER,MATT",1
--,,,,,"ASSIST  by VALLE,GEORGE",,,"ASSIST  by VALLE,GEORGE",1
17:22,"GOOD JUMPER by ROBERTSON,MARC",2,,8 (+6),,MILLMBB 2-8 (-6),,"GOOD JUMPER by ROBERTSON,MARC",1
17:02,,2,,10 (+8),"GOOD LAYUP by SEARS,DREW(in the paint)",WHTW-M 2-10 (-8),,"GOOD LAYUP by SEARS,DREW(in the paint)",1
--,,,,,"ASSIST  by LOVE,KENNY",,,"ASSIST  by LOVE,KENNY",1
16:46,"MISS 3PTR by HANSTAD,RAJAN",,,,,,,"MISS 3PTR by HANSTAD,RAJAN",1
--,"REBOUND OFF by MCSWAIN,JOSHUA",,,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",1
16:26,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND DEF by STAUDACHER,MATT",,,"REBOUND DEF by STAUDACHER,MATT",1
16:06,,2,,12 (+10),"GOOD JUMPER by JURLINA,CHRISTIAN",WHTW-M 2-12 (-10),,"GOOD JUMPER by JURLINA,CHRISTIAN",1
15:45,"MISS LAYUP by GAGEN,BRENNAN",,,,,,,"MISS LAYUP by GAGEN,BRENNAN",1
--,"REBOUND OFF by MCSWAIN,JOSHUA",,,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",1
15:43,"MISS LAYUP by MCSWAIN,JOSHUA",,,,,,,"MISS LAYUP by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND DEF by JURLINA,CHRISTIAN",,,"REBOUND DEF by JURLINA,CHRISTIAN",1
15:34,,,,,"MISS 3PTR by STAUDACHER,MATT",,,"MISS 3PTR by STAUDACHER,MATT",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
15:16,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by SEARS,DREW",,,"REBOUND DEF by SEARS,DREW",1
15:02,,,,,"TURNOVER  by JURLINA,CHRISTIAN",,,"TURNOVER  by JURLINA,CHRISTIAN",1
15:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:02,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
15:02,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
15:02,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
15:02,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
15:02,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
