Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
18:59,,35 (+2),,33,"GOOD 3PTR by ROBERTSON,MARC",MILLMBB 35-33 (-2),,"GOOD 3PTR by ROBERTSON,MARC",2
18:42,"GOOD 3PTR by MARTIN,JEFF",38 (+5),,33,,LETU 38-33 (-5),,"GOOD 3PTR by MARTIN,JEFF",2
18:20,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,,,,,"REBOUND OFF by MOORE,MYLES",,,"REBOUND OFF by MOORE,MYLES",2
18:16,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:54,,,,,"TURNOVER  by MCSWAIN,JOSHUA",,,"TURNOVER  by MCSWAIN,JOSHUA",2
17:45,"GOOD LAYUP by THOMPSON,GIOVANNY(in the paint)",40 (+7),,33,,LETU 40-33 (-7),,"GOOD LAYUP by THOMPSON,GIOVANNY(in the paint)",2
--,"ASSIST  by KENNEDY,JAKE",,,,,,,"ASSIST  by KENNEDY,JAKE",2
17:30,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",2
--,"REBOUND DEF by MARTIN,JEFF",,,,,,,"REBOUND DEF by MARTIN,JEFF",2
17:19,"MISS 3PTR by EDWARDS,CJ",,,,,,,"MISS 3PTR by EDWARDS,CJ",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
17:10,,40 (+5),,35,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLMBB 40-35 (-5),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
16:53,"GOOD LAYUP by MARTIN,JEFF(in the paint)",42 (+7),,35,,LETU 42-35 (-7),,"GOOD LAYUP by MARTIN,JEFF(in the paint)",2
16:31,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",2
16:24,,,,,"TURNOVER  by MCSWAIN,JOSHUA",,,"TURNOVER  by MCSWAIN,JOSHUA",2
16:22,"STEAL  by EDWARDS,CJ",,,,,,,"STEAL  by EDWARDS,CJ",2
16:12,"GOOD LAYUP by MARTIN,JEFF(in the paint)",44 (+9),,35,,LETU 44-35 (-9),,"GOOD LAYUP by MARTIN,JEFF(in the paint)",2
16:08,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
16:08,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",2
16:08,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
16:08,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
16:08,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
16:08,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:01,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
15:52,,44 (+8),,36,"GOOD FT by SPENCE,JACOB",MILLMBB 44-36 (-8),,"GOOD FT by SPENCE,JACOB",2
15:52,,44 (+7),,37,"GOOD FT by SPENCE,JACOB",MILLMBB 44-37 (-7),,"GOOD FT by SPENCE,JACOB",2
15:52,"GOOD LAYUP by EDWARDS,CJ(in the paint)",46 (+9),,37,,LETU 46-37 (-9),,"GOOD LAYUP by EDWARDS,CJ(in the paint)",2
--,"ASSIST  by KENNEDY,JAKE",,,,,,,"ASSIST  by KENNEDY,JAKE",2
15:07,"FOUL  by MARTIN,JEFF",,,,,,,"FOUL  by MARTIN,JEFF",2
15:04,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
14:50,,46 (+7),,39,"GOOD LAYUP by SPENCE,JACOB(in the paint)",MILLMBB 46-39 (-7),,"GOOD LAYUP by SPENCE,JACOB(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
14:41,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",2
14:41,"SUB IN by LOGGINS,CALEB",,,,,,,"SUB IN by LOGGINS,CALEB",2
14:41,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",2
14:41,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
14:41,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
14:37,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",2
14:31,"MISS JUMPER by MARTIN,JEFF",,,,,,,"MISS JUMPER by MARTIN,JEFF",2
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",2
14:22,,46 (+5),,41,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 46-41 (-5),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
14:08,"GOOD 3PTR by COLHOFF,ALEC",49 (+8),,41,,LETU 49-41 (-8),,"GOOD 3PTR by COLHOFF,ALEC",2
--,"ASSIST  by EDWARDS,CJ",,,,,,,"ASSIST  by EDWARDS,CJ",2
14:06,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
14:06,"GOOD FT by COLHOFF,ALEC",50 (+9),,41,,LETU 50-41 (-9),,"GOOD FT by COLHOFF,ALEC",2
13:52,,50 (+6),,44,"GOOD 3PTR by MOORE,MYLES",MILLMBB 50-44 (-6),,"GOOD 3PTR by MOORE,MYLES",2
--,,,,,"ASSIST  by MANCUSO,LOGAN",,,"ASSIST  by MANCUSO,LOGAN",2
13:35,"GOOD 3PTR by COLHOFF,ALEC",53 (+9),,44,,LETU 53-44 (-9),,"GOOD 3PTR by COLHOFF,ALEC",2
--,"ASSIST  by EDWARDS,CJ",,,,,,,"ASSIST  by EDWARDS,CJ",2
13:17,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
13:08,"MISS 3PTR by EDWARDS,CJ",,,,,,,"MISS 3PTR by EDWARDS,CJ",2
--,"REBOUND OFF by THOMPSON,GIOVANNY",,,,,,,"REBOUND OFF by THOMPSON,GIOVANNY",2
12:50,"MISS JUMPER by MARTIN,JEFF",,,,,,,"MISS JUMPER by MARTIN,JEFF",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:47,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",2
12:47,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
12:47,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
12:47,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
12:47,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
12:47,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
12:47,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
12:47,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
12:47,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",2
12:45,"TURNOVER  by EDWARDS,CJ",,,,,,,"TURNOVER  by EDWARDS,CJ",2
12:40,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",2
12:35,,53 (+7),,46,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLMBB 53-46 (-7),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",2
12:27,"TURNOVER  by EDWARDS,CJ",,,,,,,"TURNOVER  by EDWARDS,CJ",2
12:25,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",2
12:22,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",2
12:20,"STEAL  by MARTIN,JEFF",,,,,,,"STEAL  by MARTIN,JEFF",2
12:17,"GOOD 3PTR by COLHOFF,ALEC",56 (+10),,46,,LETU 56-46 (-10),,"GOOD 3PTR by COLHOFF,ALEC",2
--,"ASSIST  by MARTIN,JEFF",,,,,,,"ASSIST  by MARTIN,JEFF",2
12:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:59,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
11:50,"MISS JUMPER by LOGGINS,CALEB",,,,,,,"MISS JUMPER by LOGGINS,CALEB",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
11:42,,56 (+7),,49,"GOOD 3PTR by ROBERTSON,MARC",MILLMBB 56-49 (-7),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",2
10:59,"GOOD LAYUP by THOMPSON,GIOVANNY(in the paint)",58 (+9),,49,,LETU 58-49 (-9),,"GOOD LAYUP by THOMPSON,GIOVANNY(in the paint)",2
--,"ASSIST  by WELLS,ZAKARIUS",,,,,,,"ASSIST  by WELLS,ZAKARIUS",2
10:59,,58 (+7),,51,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLMBB 58-51 (-7),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
10:59,"FOUL  by LOGGINS,CALEB",,,,,,,"FOUL  by LOGGINS,CALEB",2
10:59,,58 (+6),,52,"GOOD FT by GERCHOW,ALEX",MILLMBB 58-52 (-6),,"GOOD FT by GERCHOW,ALEX",2
10:59,"SUB IN by KENNEDY,JAKE",,,,,,,"SUB IN by KENNEDY,JAKE",2
10:59,"SUB OUT by LOGGINS,CALEB",,,,,,,"SUB OUT by LOGGINS,CALEB",2
10:48,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",2
10:18,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:13,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
10:08,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",2
--,"REBOUND DEF by MARTIN,JEFF",,,,,,,"REBOUND DEF by MARTIN,JEFF",2
09:54,"GOOD LAYUP by COLHOFF,ALEC(in the paint)",60 (+8),,52,,LETU 60-52 (-8),,"GOOD LAYUP by COLHOFF,ALEC(in the paint)",2
09:35,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
09:17,"TURNOVER  by WELLS,ZAKARIUS",,,,,,,"TURNOVER  by WELLS,ZAKARIUS",2
09:15,,,,,"STEAL  by MCSWAIN,JOSHUA",,,"STEAL  by MCSWAIN,JOSHUA",2
09:12,"SUB IN by MAY,MITCHELL",,,,,,,"SUB IN by MAY,MITCHELL",2
09:12,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",2
09:12,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
09:12,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",2
09:12,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
09:12,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
09:01,,60 (+6),,54,"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 60-54 (-6),,"GOOD JUMPER by MCSWAIN,JOSHUA",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
08:43,"MISS 3PTR by MARTIN,JEFF",,,,,,,"MISS 3PTR by MARTIN,JEFF",2
--,"REBOUND OFF by WELLS,ZAKARIUS",,,,,,,"REBOUND OFF by WELLS,ZAKARIUS",2
08:38,"MISS JUMPER by WELLS,ZAKARIUS",,,,,,,"MISS JUMPER by WELLS,ZAKARIUS",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",2
08:32,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
08:32,"BLOCK  by KENNEDY,JAKE",,,,,,,"BLOCK  by KENNEDY,JAKE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:21,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",2
08:21,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
08:21,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
08:21,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
08:20,"FOUL  by MAY,MITCHELL",,,,,,,"FOUL  by MAY,MITCHELL",2
08:20,,60 (+5),,55,"GOOD FT by MARKWITH,TRENT",MILLMBB 60-55 (-5),,"GOOD FT by MARKWITH,TRENT",2
08:20,,60 (+4),,56,"GOOD FT by MARKWITH,TRENT",MILLMBB 60-56 (-4),,"GOOD FT by MARKWITH,TRENT",2
08:01,"MISS 3PTR by KENNEDY,JAKE",,,,,,,"MISS 3PTR by KENNEDY,JAKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:43,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",2
07:23,"GOOD FT by COLHOFF,ALEC",61 (+5),,56,,LETU 61-56 (-5),,"GOOD FT by COLHOFF,ALEC",2
07:23,"GOOD FT by COLHOFF,ALEC",62 (+6),,56,,LETU 62-56 (-6),,"GOOD FT by COLHOFF,ALEC",2
07:23,"GOOD FT by COLHOFF,ALEC",63 (+7),,56,,LETU 63-56 (-7),,"GOOD FT by COLHOFF,ALEC",2
07:23,"SUB IN by SCHEXNAYDER,GREG",,,,,,,"SUB IN by SCHEXNAYDER,GREG",2
07:23,"SUB OUT by COLHOFF,ALEC",,,,,,,"SUB OUT by COLHOFF,ALEC",2
07:23,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
07:23,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
07:21,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",2
07:00,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:57,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
06:56,,,,,"MISS FT by SPENCE,JACOB",,,"MISS FT by SPENCE,JACOB",2
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",2
06:53,"GOOD JUMPER by WELLS,ZAKARIUS",65 (+9),,56,,LETU 65-56 (-9),,"GOOD JUMPER by WELLS,ZAKARIUS",2
--,"ASSIST  by SCHEXNAYDER,GREG",,,,,,,"ASSIST  by SCHEXNAYDER,GREG",2
06:34,,,,,"MISS JUMPER by SPENCE,JACOB",,,"MISS JUMPER by SPENCE,JACOB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:34,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
06:34,"SUB IN by LOGGINS,CALEB",,,,,,,"SUB IN by LOGGINS,CALEB",2
06:34,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",2
06:28,,65 (+8),,57,"GOOD FT by SPENCE,JACOB",MILLMBB 65-57 (-8),,"GOOD FT by SPENCE,JACOB",2
06:28,,65 (+7),,58,"GOOD FT by SPENCE,JACOB",MILLMBB 65-58 (-7),,"GOOD FT by SPENCE,JACOB",2
06:28,"SUB IN by THOMPSON,GIOVANNY",,,,,,,"SUB IN by THOMPSON,GIOVANNY",2
06:28,"SUB OUT by MAY,MITCHELL",,,,,,,"SUB OUT by MAY,MITCHELL",2
06:28,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",2
06:28,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
06:28,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",2
06:28,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
06:07,"MISS JUMPER by SCHEXNAYDER,GREG",,,,,,,"MISS JUMPER by SCHEXNAYDER,GREG",2
--,"REBOUND OFF by SEIDL,CHRISTIAN",,,,,,,"REBOUND OFF by SEIDL,CHRISTIAN",2
05:55,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
05:55,"MISS FT by WELLS,ZAKARIUS",,,,,,,"MISS FT by WELLS,ZAKARIUS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:37,"MISS 3PTR by WELLS,ZAKARIUS",,,,,,,"MISS 3PTR by WELLS,ZAKARIUS",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
05:26,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
05:11,"TURNOVER  by LOGGINS,CALEB",,,,,,,"TURNOVER  by LOGGINS,CALEB",2
05:08,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",2
05:06,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",2
--,"REBOUND DEF by WELLS,ZAKARIUS",,,,,,,"REBOUND DEF by WELLS,ZAKARIUS",2
04:55,"GOOD LAYUP by WELLS,ZAKARIUS(in the paint)",67 (+9),,58,,LETU 67-58 (-9),,"GOOD LAYUP by WELLS,ZAKARIUS(in the paint)",2
04:37,,67 (+7),,60,"GOOD JUMPER by MCSWAIN,JOSHUA(in the paint)",MILLMBB 67-60 (-7),,"GOOD JUMPER by MCSWAIN,JOSHUA(in the paint)",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
04:37,"FOUL  by LOGGINS,CALEB",,,,,,,"FOUL  by LOGGINS,CALEB",2
04:37,,,,,"MISS FT by MCSWAIN,JOSHUA",,,"MISS FT by MCSWAIN,JOSHUA",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
04:37,"SUB IN by WELLS,ZAKARIUS",,,,,,,"SUB IN by WELLS,ZAKARIUS",2
04:37,"SUB IN by COLHOFF,ALEC",,,,,,,"SUB IN by COLHOFF,ALEC",2
04:37,"SUB OUT by EDWARDS,CJ",,,,,,,"SUB OUT by EDWARDS,CJ",2
04:37,"SUB OUT by SCHEXNAYDER,GREG",,,,,,,"SUB OUT by SCHEXNAYDER,GREG",2
04:26,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
04:26,"GOOD FT by THOMPSON,GIOVANNY",68 (+8),,60,,LETU 68-60 (-8),,"GOOD FT by THOMPSON,GIOVANNY",2
04:26,"GOOD FT by THOMPSON,GIOVANNY",69 (+9),,60,,LETU 69-60 (-9),,"GOOD FT by THOMPSON,GIOVANNY",2
04:13,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,"REBOUND DEF by EDWARDS,CJ",,,,,,,"REBOUND DEF by EDWARDS,CJ",2
03:51,"GOOD 3PTR by EDWARDS,CJ",72 (+12),,60,,LETU 72-60 (-12),,"GOOD 3PTR by EDWARDS,CJ",2
--,"ASSIST  by MARTIN,JEFF",,,,,,,"ASSIST  by MARTIN,JEFF",2
03:35,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",2
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",2
03:11,"TURNOVER  by MARTIN,JEFF",,,,,,,"TURNOVER  by MARTIN,JEFF",2
03:08,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",2
03:02,,72 (+10),,62,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",MILLMBB 72-62 (-10),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",2
03:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:57,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",2
02:57,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
02:57,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
02:57,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",2
02:40,"FOUL  by EADEH,JUSTIN",,,,,,,"FOUL  by EADEH,JUSTIN",2
02:40,"SUB OUT by WELLS,ZAKARIUS",,,,,,,"SUB OUT by WELLS,ZAKARIUS",2
02:40,"SUB OUT by LOGGINS,CALEB",,,,,,,"SUB OUT by LOGGINS,CALEB",2
02:25,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by COLHOFF,ALEC",,,,,,,"REBOUND DEF by COLHOFF,ALEC",2
02:17,"SUB IN by EDWARDS,CJ",,,,,,,"SUB IN by EDWARDS,CJ",2
02:17,"SUB IN by WELLS,ZAKARIUS",,,,,,,"SUB IN by WELLS,ZAKARIUS",2
02:14,"MISS JUMPER by MARTIN,JEFF",,,,,,,"MISS JUMPER by MARTIN,JEFF",2
--,"REBOUND OFF by THOMPSON,GIOVANNY",,,,,,,"REBOUND OFF by THOMPSON,GIOVANNY",2
01:57,"MISS 3PTR by EDWARDS,CJ",,,,,,,"MISS 3PTR by EDWARDS,CJ",2
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",2
01:47,,,,,"MISS 3PTR by MARKWITH,TRENT",,,"MISS 3PTR by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
01:38,,72 (+8),,64,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLMBB 72-64 (-8),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
01:38,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",2
01:24,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
01:16,,72 (+6),,66,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 72-66 (-6),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
01:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:14,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
01:14,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
00:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:57,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
00:57,"GOOD FT by EDWARDS,CJ",73 (+7),,66,,LETU 73-66 (-7),,"GOOD FT by EDWARDS,CJ",2
00:57,"GOOD FT by EDWARDS,CJ",74 (+8),,66,,LETU 74-66 (-8),,"GOOD FT by EDWARDS,CJ",2
00:50,,74 (+6),,68,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 74-68 (-6),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
00:49,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
00:28,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",2
00:28,"GOOD FT by MARTIN,JEFF",75 (+7),,68,,LETU 75-68 (-7),,"GOOD FT by MARTIN,JEFF",2
00:28,"GOOD FT by MARTIN,JEFF",76 (+8),,68,,LETU 76-68 (-8),,"GOOD FT by MARTIN,JEFF",2
00:28,"SUB IN by SCHEXNAYDER,GREG",,,,,,,"SUB IN by SCHEXNAYDER,GREG",2
00:28,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",2
00:27,,76 (+6),,70,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",MILLMBB 76-70 (-6),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",2
00:14,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
00:14,"MISS FT by MARTIN,JEFF",,,,,,,"MISS FT by MARTIN,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:14,"GOOD FT by MARTIN,JEFF",77 (+7),,70,,LETU 77-70 (-7),,"GOOD FT by MARTIN,JEFF",2
00:09,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by WELLS,ZAKARIUS",,,,,,,"REBOUND DEF by WELLS,ZAKARIUS",2
