Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
--,"ASSIST  by EDWARDS,CJ",,,,,,,"ASSIST  by EDWARDS,CJ",1
14:32,"FOUL  by EDWARDS,CJ",,,,,,,"FOUL  by EDWARDS,CJ",1
14:32,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
14:32,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
14:20,,,,,"MISS JUMPER by SPENCE,JACOB",,,"MISS JUMPER by SPENCE,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:13,,8,,8,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",MILLMBB 8-8 (0),,"GOOD JUMPER by MANCUSO,LOGAN(in the paint)",1
13:47,"MISS JUMPER by EDWARDS,CJ",,,,,,,"MISS JUMPER by EDWARDS,CJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:45,"SUB IN by KENNEDY,JAKE",,,,,,,"SUB IN by KENNEDY,JAKE",1
13:45,"SUB OUT by LOGGINS,CALEB",,,,,,,"SUB OUT by LOGGINS,CALEB",1
13:33,"TURNOVER  by EDWARDS,CJ",,,,,,,"TURNOVER  by EDWARDS,CJ",1
13:33,"FOUL  by EDWARDS,CJ",,,,,,,"FOUL  by EDWARDS,CJ",1
13:33,"SUB IN by MATTSON,SETH",,,,,,,"SUB IN by MATTSON,SETH",1
13:33,"SUB OUT by EDWARDS,CJ",,,,,,,"SUB OUT by EDWARDS,CJ",1
13:33,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
13:33,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
13:33,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
13:33,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
13:22,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
13:02,"MISS JUMPER by KENNEDY,JAKE",,,,,,,"MISS JUMPER by KENNEDY,JAKE",1
--,"REBOUND OFF by MATTSON,SETH",,,,,,,"REBOUND OFF by MATTSON,SETH",1
12:43,"GOOD 3PTR by WELLS,ZAKARIUS",11 (+3),,8,,LETU 11-8 (-3),,"GOOD 3PTR by WELLS,ZAKARIUS",1
--,"ASSIST  by MARTIN,JEFF",,,,,,,"ASSIST  by MARTIN,JEFF",1
12:24,,11 (+1),,10,"GOOD JUMPER by SPENCE,JACOB",MILLMBB 11-10 (-1),,"GOOD JUMPER by SPENCE,JACOB",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
12:06,"MISS JUMPER by THOMPSON,GIOVANNY",,,,,,,"MISS JUMPER by THOMPSON,GIOVANNY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:04,"SUB IN by MAY,MITCHELL",,,,,,,"SUB IN by MAY,MITCHELL",1
12:04,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",1
12:04,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
12:04,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
12:04,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
12:04,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
12:02,,,,,"MISS LAYUP by MCSWAIN,JOSHUA",,,"MISS LAYUP by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
11:58,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:44,"MISS 3PTR by WELLS,ZAKARIUS",,,,,,,"MISS 3PTR by WELLS,ZAKARIUS",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
11:34,,11,,13 (+2),"GOOD 3PTR by JONES,BLAKE",MILLMBB 11-13 (+2),,"GOOD 3PTR by JONES,BLAKE",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
11:12,"TURNOVER  by WELLS,ZAKARIUS",,,,,,,"TURNOVER  by WELLS,ZAKARIUS",1
11:07,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
11:07,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
10:53,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:50,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",1
10:36,"MISS 3PTR by MARTIN,JEFF",,,,,,,"MISS 3PTR by MARTIN,JEFF",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
10:28,,11,,15 (+4),"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLMBB 11-15 (+4),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
10:28,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",1
10:28,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
10:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:28,,11,,16 (+5),"GOOD FT by ROBERTSON,MARC",MILLMBB 11-16 (+5),,"GOOD FT by ROBERTSON,MARC",1
10:13,"GOOD JUMPER by WELLS,ZAKARIUS(in the paint)",13,,16 (+3),,LETU 13-16 (+3),,"GOOD JUMPER by WELLS,ZAKARIUS(in the paint)",1
09:40,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
09:22,"MISS JUMPER by SCHEXNAYDER,GREG",,,,,,,"MISS JUMPER by SCHEXNAYDER,GREG",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
09:16,"FOUL  by WELLS,ZAKARIUS",,,,,,,"FOUL  by WELLS,ZAKARIUS",1
09:10,,,,,"MISS FT by MARKWITH,TRENT",,,"MISS FT by MARKWITH,TRENT",1
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",1
09:10,"MISS LAYUP by KENNEDY,JAKE",,,,,,,"MISS LAYUP by KENNEDY,JAKE",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
08:42,"MISS JUMPER by WELLS,ZAKARIUS",,,,,,,"MISS JUMPER by WELLS,ZAKARIUS",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
08:32,,13,,18 (+5),"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 13-18 (+5),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",1
08:17,"MISS JUMPER by SCHEXNAYDER,GREG",,,,,,,"MISS JUMPER by SCHEXNAYDER,GREG",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
08:11,,13,,20 (+7),"GOOD JUMPER by GERCHOW,ALEX(fastbreak)(in the paint)",MILLMBB 13-20 (+7),,"GOOD JUMPER by GERCHOW,ALEX(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
08:11,"FOUL  by WELLS,ZAKARIUS",,,,,,,"FOUL  by WELLS,ZAKARIUS",1
08:11,"SUB IN by THOMPSON,GIOVANNY",,,,,,,"SUB IN by THOMPSON,GIOVANNY",1
08:11,"SUB OUT by MAY,MITCHELL",,,,,,,"SUB OUT by MAY,MITCHELL",1
08:11,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
08:11,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
08:11,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
08:11,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
08:01,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:01,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
07:49,"GOOD 3PTR by COLHOFF,ALEC",16,,20 (+4),,LETU 16-20 (+4),,"GOOD 3PTR by COLHOFF,ALEC",1
--,"ASSIST  by KENNEDY,JAKE",,,,,,,"ASSIST  by KENNEDY,JAKE",1
07:20,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
