Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
19:56,"TURNOVER  by IGBINOSA,STEPHEN",,,,,,,"TURNOVER  by IGBINOSA,STEPHEN",1
19:54,,,,,"STEAL  by ATKINSON,QUINN",,,"STEAL  by ATKINSON,QUINN",1
19:51,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSHUA",,,"REBOUND OFF by MCSWAIN,JOSHUA",1
19:47,,,,,"MISS LAYUP by MCSWAIN,JOSHUA",,,"MISS LAYUP by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
19:42,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
19:35,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
19:24,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",2 (+2),,0,,ACM 2-0 (-2),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",1
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",1
19:10,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
19:05,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",1
19:03,"STEAL  by SULLIVAN,ALAN",,,,,,,"STEAL  by SULLIVAN,ALAN",1
19:00,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:37,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",1
18:37,,2 (+1),,1,"GOOD FT by ATKINSON,QUINN",MILLMBB 2-1 (-1),,"GOOD FT by ATKINSON,QUINN",1
18:37,,2,,2,"GOOD FT by ATKINSON,QUINN",MILLMBB 2-2 (0),,"GOOD FT by ATKINSON,QUINN",1
18:24,"GOOD JUMPER by FREET,AUSTIN(in the paint)",4 (+2),,2,,ACM 4-2 (-2),,"GOOD JUMPER by FREET,AUSTIN(in the paint)",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
18:12,,,,,"MISS 3PTR by JONES,BLAKE",,,"MISS 3PTR by JONES,BLAKE",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
17:54,"MISS 3PTR by HUDSON,CEDRIC",,,,,,,"MISS 3PTR by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",1
17:39,,4,,4,"GOOD JUMPER by ATKINSON,QUINN",MILLMBB 4-4 (0),,"GOOD JUMPER by ATKINSON,QUINN",1
17:29,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",6 (+2),,4,,ACM 6-4 (-2),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",1
17:10,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
17:02,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",1
17:02,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
17:02,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
17:02,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
17:02,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
17:02,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
17:02,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",1
16:51,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
16:37,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",8 (+4),,4,,ACM 8-4 (-4),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",1
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",1
16:25,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",1
16:17,,8 (+2),,6,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",MILLMBB 8-6 (-2),,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
15:57,"GOOD 3PTR by SULLIVAN,ALAN",11 (+5),,6,,ACM 11-6 (-5),,"GOOD 3PTR by SULLIVAN,ALAN",1
--,"ASSIST  by HUDSON,CEDRIC",,,,,,,"ASSIST  by HUDSON,CEDRIC",1
15:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:53,"SUB IN by WADE,JUSTIN",,,,,,,"SUB IN by WADE,JUSTIN",1
