Time Remaining,PCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:45,,0,,2 (+2),"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",RHODES 0-2 (+2),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
19:39,"TURNOVER  by ASSINESI,LANDRY",,,,,,,"TURNOVER  by ASSINESI,LANDRY",1
19:29,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
19:29,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
19:29,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
19:29,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
19:29,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
19:29,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
19:29,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
19:29,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
19:29,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
19:29,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
19:29,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
19:21,"MISS 3PTR by MILLS,TAYLOR",,,,,,,"MISS 3PTR by MILLS,TAYLOR",1
--,,,,,"REBOUND DEF by NYAWATA,ANESU",,,"REBOUND DEF by NYAWATA,ANESU",1
19:15,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by DALTON,PRICE",,,"REBOUND OFF by DALTON,PRICE",1
19:07,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,"REBOUND DEF by ASSINESI,LANDRY",,,,,,,"REBOUND DEF by ASSINESI,LANDRY",1
18:58,"MISS LAYUP by VALLEJO,JUSTIN",,,,,,,"MISS LAYUP by VALLEJO,JUSTIN",1
--,,,,,"REBOUND DEF by MCINTYRE,WILLIAM",,,"REBOUND DEF by MCINTYRE,WILLIAM",1
18:51,,0,,5 (+5),"GOOD 3PTR by MCINTYRE,WILLIAM",RHODES 0-5 (+5),,"GOOD 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
18:31,"MISS 3PTR by MILLS,TAYLOR",,,,,,,"MISS 3PTR by MILLS,TAYLOR",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
18:28,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
18:28,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
18:28,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
18:28,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
18:28,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
18:28,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
18:28,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
18:28,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
18:28,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
18:28,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
18:25,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
18:25,"GOOD FT by VALLEJO,JUSTIN",1,,5 (+4),,PCM 1-5 (+4),,"GOOD FT by VALLEJO,JUSTIN",1
18:25,"GOOD FT by VALLEJO,JUSTIN",2,,5 (+3),,PCM 2-5 (+3),,"GOOD FT by VALLEJO,JUSTIN",1
18:05,"FOUL  by LANIER,MARQUISE",,,,,,,"FOUL  by LANIER,MARQUISE",1
18:05,,2,,6 (+4),"GOOD FT by DARST,DANIEL",RHODES 2-6 (+4),,"GOOD FT by DARST,DANIEL",1
18:05,,2,,7 (+5),"GOOD FT by DARST,DANIEL",RHODES 2-7 (+5),,"GOOD FT by DARST,DANIEL",1
17:58,"GOOD 3PTR by ALSTON,ELIJAH",5,,7 (+2),,PCM 5-7 (+2),,"GOOD 3PTR by ALSTON,ELIJAH",1
--,"ASSIST  by VALLEJO,JUSTIN",,,,,,,"ASSIST  by VALLEJO,JUSTIN",1
17:38,,5,,9 (+4),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 5-9 (+4),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
17:28,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
17:28,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
17:28,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
17:28,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
17:28,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
17:28,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
17:28,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
17:28,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
17:28,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
17:28,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
17:26,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",7,,9 (+2),,PCM 7-9 (+2),,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",1
--,"ASSIST  by ALSTON,ELIJAH",,,,,,,"ASSIST  by ALSTON,ELIJAH",1
17:14,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
17:12,"STEAL  by VALLEJO,JUSTIN",,,,,,,"STEAL  by VALLEJO,JUSTIN",1
17:10,"TURNOVER  by VALLEJO,JUSTIN",,,,,,,"TURNOVER  by VALLEJO,JUSTIN",1
17:10,"FOUL  by VALLEJO,JUSTIN",,,,,,,"FOUL  by VALLEJO,JUSTIN",1
16:59,,7,,12 (+5),"GOOD 3PTR by WEATHERFORD,MITCH",RHODES 7-12 (+5),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,,,,,"ASSIST  by SAMSON,VAUGHN",,,"ASSIST  by SAMSON,VAUGHN",1
16:39,"MISS 3PTR by ALSTON,ELIJAH",,,,,,,"MISS 3PTR by ALSTON,ELIJAH",1
--,,,,,"REBOUND DEF by EVANS,ANDREW",,,"REBOUND DEF by EVANS,ANDREW",1
16:31,,,,,"MISS 3PTR by SAMSON,VAUGHN",,,"MISS 3PTR by SAMSON,VAUGHN",1
--,"REBOUND DEF by MILLS,TAYLOR",,,,,,,"REBOUND DEF by MILLS,TAYLOR",1
16:23,"MISS LAYUP by MILLS,TAYLOR",,,,,,,"MISS LAYUP by MILLS,TAYLOR",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
16:16,,7,,14 (+7),"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",RHODES 7-14 (+7),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
16:04,"GOOD LAYUP by VALLEJO,JUSTIN(fastbreak)(in the paint)",9,,14 (+5),,PCM 9-14 (+5),,"GOOD LAYUP by VALLEJO,JUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by MILLS,TAYLOR",,,,,,,"ASSIST  by MILLS,TAYLOR",1
15:49,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:49,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:49,"SUB IN by FOOTE,JORDAN",,,,,,,"SUB IN by FOOTE,JORDAN",1
15:49,"SUB IN by RILEY,MILES",,,,,,,"SUB IN by RILEY,MILES",1
15:49,"SUB OUT by LANIER,MARQUISE",,,,,,,"SUB OUT by LANIER,MARQUISE",1
15:49,"SUB OUT by MILLS,TAYLOR",,,,,,,"SUB OUT by MILLS,TAYLOR",1
15:49,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
15:49,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
15:49,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:49,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:49,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
15:49,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
15:49,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:49,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
15:49,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:49,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
15:48,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
15:35,"GOOD LAYUP by RILEY,MILES(fastbreak)(in the paint)",11,,14 (+3),,PCM 11-14 (+3),,"GOOD LAYUP by RILEY,MILES(fastbreak)(in the paint)",1
15:20,,11,,17 (+6),"GOOD 3PTR by NESTLEHUTT,JAKE",RHODES 11-17 (+6),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
15:11,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
15:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:11,"SUB IN by JOSEPH,MICHAEL",,,,,,,"SUB IN by JOSEPH,MICHAEL",1
15:11,"SUB OUT by VALLEJO,JUSTIN",,,,,,,"SUB OUT by VALLEJO,JUSTIN",1
15:09,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
15:09,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:09,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
15:09,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
15:09,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
15:09,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
15:09,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
15:09,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
15:09,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
15:09,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
15:06,"TURNOVER  by JOSEPH,MICHAEL",,,,,,,"TURNOVER  by JOSEPH,MICHAEL",1
15:05,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
15:02,,,,,"MISS JUMPER by LOVE,KERRY",,,"MISS JUMPER by LOVE,KERRY",1
--,"REBOUND DEF by FOOTE,JORDAN",,,,,,,"REBOUND DEF by FOOTE,JORDAN",1
15:01,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
14:50,"GOOD LAYUP by FOOTE,JORDAN(fastbreak)(in the paint)",13,,17 (+4),,PCM 13-17 (+4),,"GOOD LAYUP by FOOTE,JORDAN(fastbreak)(in the paint)",1
14:43,,13,,20 (+7),"GOOD 3PTR by SWIFT,DJ",RHODES 13-20 (+7),,"GOOD 3PTR by SWIFT,DJ",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
14:31,"MISS LAYUP by ASSINESI,LANDRY",,,,,,,"MISS LAYUP by ASSINESI,LANDRY",1
